Pathway,SOX9 B1,SOX5 01,SRY 02,TCCATTKW UNKNOWN,STAT5A 03,TCF1P Q6,NKX22 01,YNGTTNNNATT UNKNOWN,YATTNATC UNKNOWN,PAX4 02,POU3F2 02,CDC5 01,CART1 01,FOXO4 02,FOXO3 01,FOXO1 02,FOXO1 01,FOXO4 01,HLF 01,DR4 Q2,TCF4 Q5,LEF1 Q6,ACAWYAAAG UNKNOWN,WGGAATGY TEF1 Q6,MAF Q6,SRY 01,LEF1 Q2,OCT Q6,OCT1 Q5 01,OCT1 B,YATGNWAAT OCT C,IRF1 01,NF1 Q6 01,SRF Q6,SRF 01,SRF C,SRF Q4,SRF Q5 01,SP1 Q6,SP1 Q4 01
POU3F2 02,0.06015037593984962,0.07518796992481203,0.07142857142857142,0.05639097744360902,0.10150375939849623,0.06390977443609022,0.07518796992481203,0.09774436090225563,0.12781954887218044,0.09398496240601503,1.0,0.15789473684210525,0.13533834586466165,0.09398496240601503,0.09398496240601503,0.08270676691729323,0.10150375939849623,0.10150375939849623,0.07518796992481203,0.08270676691729323,0.05639097744360902,0.04887218045112782,0.045112781954887216,0.09774436090225563,0.07518796992481203,0.04887218045112782,0.02631578947368421,0.19172932330827067,0.18045112781954886,0.14661654135338345,0.42105263157894735,0.06390977443609022,0.045112781954887216,0.04887218045112782,0.007518796992481203,0.06015037593984962,0.05263157894736842,0.06015037593984962,0.02631578947368421,0.03007518796992481
CDC5 01,0.06015037593984962,0.08270676691729323,0.12030075187969924,0.05639097744360902,0.07894736842105263,0.09774436090225563,0.08646616541353383,0.14285714285714285,0.12781954887218044,0.09774436090225563,0.15789473684210525,1.0,0.14285714285714285,0.08646616541353383,0.10526315789473684,0.07518796992481203,0.09022556390977443,0.10526315789473684,0.10902255639097744,0.06390977443609022,0.08270676691729323,0.08646616541353383,0.06766917293233082,0.10150375939849623,0.07894736842105263,0.07518796992481203,0.041353383458646614,0.09398496240601503,0.09398496240601503,0.08646616541353383,0.12030075187969924,0.07142857142857142,0.06390977443609022,0.05639097744360902,0.015037593984962405,0.041353383458646614,0.07142857142857142,0.05263157894736842,0.045112781954887216,0.04887218045112782
CART1 01,0.06986899563318777,0.1222707423580786,0.13100436681222707,0.10043668122270742,0.12663755458515283,0.07860262008733625,0.10480349344978165,0.1572052401746725,0.15283842794759825,0.14410480349344978,0.1572052401746725,0.16593886462882096,1.0,0.10043668122270742,0.1091703056768559,0.10043668122270742,0.08733624454148471,0.07860262008733625,0.10043668122270742,0.056768558951965066,0.07423580786026202,0.06550218340611354,0.03056768558951965,0.10043668122270742,0.09170305676855896,0.09170305676855896,0.048034934497816595,0.1091703056768559,0.13100436681222707,0.08296943231441048,0.1572052401746725,0.09606986899563319,0.0611353711790393,0.048034934497816595,0.013100436681222707,0.05240174672489083,0.06550218340611354,0.06550218340611354,0.026200873362445413,0.021834061135371178
FOXO4 02,0.06463878326996197,0.09885931558935361,0.17870722433460076,0.09125475285171103,0.07604562737642585,0.060836501901140684,0.057034220532319393,0.13688212927756654,0.11026615969581749,0.09505703422053231,0.09505703422053231,0.08745247148288973,0.08745247148288973,1.0,0.5437262357414449,0.4600760456273764,0.34980988593155893,0.3041825095057034,0.07224334600760456,0.057034220532319393,0.049429657794676805,0.06844106463878327,0.030418250950570342,0.08745247148288973,0.09125475285171103,0.12547528517110265,0.04182509505703422,0.049429657794676805,0.053231939163498096,0.053231939163498096,0.09885931558935361,0.07604562737642585,0.060836501901140684,0.07224334600760456,0.011406844106463879,0.049429657794676805,0.07984790874524715,0.09125475285171103,0.034220532319391636,0.034220532319391636
FOXO3 01,0.05179282868525897,0.11155378486055777,0.20318725099601595,0.07171314741035857,0.07171314741035857,0.07569721115537849,0.055776892430278883,0.17131474103585656,0.11553784860557768,0.10358565737051793,0.099601593625498,0.11155378486055777,0.099601593625498,0.5697211155378487,1.0,0.398406374501992,0.3346613545816733,0.2589641434262948,0.07171314741035857,0.07171314741035857,0.04780876494023904,0.05976095617529881,0.035856573705179286,0.08764940239043825,0.08366533864541832,0.11155378486055777,0.0398406374501992,0.06772908366533864,0.06772908366533864,0.07569721115537849,0.11155378486055777,0.07569721115537849,0.043824701195219126,0.099601593625498,0.01195219123505976,0.07569721115537849,0.08764940239043825,0.09561752988047809,0.0398406374501992,0.0398406374501992
FOXO1 02,0.07630522088353414,0.12449799196787148,0.1606425702811245,0.07228915662650602,0.0642570281124498,0.08433734939759036,0.060240963855421686,0.13654618473895583,0.10441767068273092,0.08433734939759036,0.08835341365461848,0.08032128514056225,0.09236947791164658,0.4859437751004016,0.40160642570281124,1.0,0.2971887550200803,0.2891566265060241,0.07228915662650602,0.05220883534136546,0.08433734939759036,0.07630522088353414,0.0321285140562249,0.11244979919678715,0.07228915662650602,0.12048192771084337,0.03614457831325301,0.08433734939759036,0.08433734939759036,0.08835341365461848,0.1285140562248996,0.060240963855421686,0.03614457831325301,0.06827309236947791,0.012048192771084338,0.05622489959839357,0.07630522088353414,0.08835341365461848,0.040160642570281124,0.0321285140562249
FOXO1 01,0.07258064516129033,0.1532258064516129,0.1774193548387097,0.08064516129032258,0.0846774193548387,0.07661290322580645,0.0846774193548387,0.125,0.11290322580645161,0.08870967741935484,0.10887096774193548,0.0967741935483871,0.08064516129032258,0.3709677419354839,0.3387096774193548,0.29838709677419356,1.0,0.40725806451612906,0.04435483870967742,0.06854838709677419,0.07258064516129033,0.07661290322580645,0.024193548387096774,0.08064516129032258,0.08064516129032258,0.11693548387096774,0.04838709677419355,0.11290322580645161,0.09274193548387097,0.10887096774193548,0.14516129032258066,0.07661290322580645,0.04838709677419355,0.05241935483870968,0.008064516129032258,0.04032258064516129,0.056451612903225805,0.04838709677419355,0.04435483870967742,0.036290322580645164
FOXO4 01,0.1016260162601626,0.13821138211382114,0.11788617886178862,0.056910569105691054,0.10975609756097561,0.09349593495934959,0.06910569105691057,0.13414634146341464,0.11788617886178862,0.06910569105691057,0.10975609756097561,0.11382113821138211,0.07317073170731707,0.3252032520325203,0.26422764227642276,0.2926829268292683,0.4105691056910569,1.0,0.06910569105691057,0.06504065040650407,0.08536585365853659,0.08536585365853659,0.016260162601626018,0.10569105691056911,0.06910569105691057,0.09349593495934959,0.028455284552845527,0.10975609756097561,0.10975609756097561,0.1016260162601626,0.15040650406504066,0.06097560975609756,0.056910569105691054,0.056910569105691054,0.008130081300813009,0.036585365853658534,0.044715447154471545,0.04065040650406504,0.02032520325203252,0.02032520325203252
HLF 01,0.08108108108108109,0.0694980694980695,0.08494208494208494,0.06563706563706563,0.09266409266409266,0.06177606177606178,0.06177606177606178,0.08108108108108109,0.06563706563706563,0.07722007722007722,0.07722007722007722,0.11196911196911197,0.0888030888030888,0.07335907335907337,0.0694980694980695,0.0694980694980695,0.04247104247104247,0.06563706563706563,1.0,0.07335907335907337,0.05019305019305019,0.06563706563706563,0.03861003861003861,0.05019305019305019,0.06177606177606178,0.04247104247104247,0.019305019305019305,0.06177606177606178,0.06177606177606178,0.07335907335907337,0.07335907335907337,0.05019305019305019,0.03474903474903475,0.04633204633204633,0.0,0.03088803088803089,0.05019305019305019,0.05405405405405406,0.007722007722007722,0.019305019305019305
DR4 Q2,0.05263157894736842,0.06390977443609022,0.07142857142857142,0.07142857142857142,0.05263157894736842,0.06015037593984962,0.03759398496240601,0.09022556390977443,0.07894736842105263,0.06015037593984962,0.08270676691729323,0.06390977443609022,0.04887218045112782,0.05639097744360902,0.06766917293233082,0.04887218045112782,0.06390977443609022,0.06015037593984962,0.07142857142857142,1.0,0.06390977443609022,0.06015037593984962,0.02631578947368421,0.09398496240601503,0.07142857142857142,0.03759398496240601,0.045112781954887216,0.03759398496240601,0.03759398496240601,0.03759398496240601,0.07518796992481203,0.045112781954887216,0.06390977443609022,0.07142857142857142,0.0037593984962406013,0.06015037593984962,0.08646616541353383,0.05639097744360902,0.05639097744360902,0.06390977443609022
