"TF","HMVL_HUB098","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TEAD4","3.183717372313805249","3.183717372313805249","3.183717372313805249","Activated","31","viper","31","3.183717372313805249",NA,NA,"6","ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=40); Literature--ChIP-seq(rank=46); Enrichr--Queries(rank=460); GTEx--Coexpression(rank=774); ARCHS4--Coexpression(rank=1001)","428","0.118599999999999997","ENCODE ChIP-seq,0.1186"
"MBD1","3.074510573601518804","3.074510573601518804","3.074510573601518804","Activated","32","viper","32","3.074510573601518804",NA,NA,"3","GTEx--Coexpression(rank=762); Enrichr--Queries(rank=1204); ARCHS4--Coexpression(rank=1250)","1227","0.474200000000000010","GTEx Coexpression,0.4742"
"DUX4","3.037026970324483877","3.037026970324483877","3.037026970324483877","Activated","33","viper","33","3.037026970324483877",NA,NA,"2","ReMap--ChIP-seq(rank=224); ARCHS4--Coexpression(rank=1153)","1500","0.708200000000000163","ARCHS4 Coexpression,0.7082"
"NEUROD1","-3.011236939296212167","-3.011236939296212167","3.011236939296212167","Repressed","34","viper","34","3.011236939296212167",NA,NA,"4","GTEx--Coexpression(rank=76); ReMap--ChIP-seq(rank=98); Enrichr--Queries(rank=999); ARCHS4--Coexpression(rank=1195)","197","0.047289999999999999","GTEx Coexpression,0.04729"
"IRF3","-2.893875121472327283","-2.893875121472327283","2.893875121472327283","Repressed","35","viper","35","2.893875121472327283",NA,NA,"5","ENCODE--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=268); ARCHS4--Coexpression(rank=1128); Enrichr--Queries(rank=1246); GTEx--Coexpression(rank=1601)","1488","0.692899999999999960","ARCHS4 Coexpression,0.6929"
"ZNF639","-2.856808184039870468","-2.856808184039870468","2.856808184039870468","Repressed","36","viper","36","2.856808184039870468",NA,NA,"4","ReMap--ChIP-seq(rank=269); GTEx--Coexpression(rank=701); ARCHS4--Coexpression(rank=829); Enrichr--Queries(rank=1383)","1163","0.436199999999999977","GTEx Coexpression,0.4362"
"STAT2","2.831436037924410787","2.831436037924410787","2.831436037924410787","Activated","37","viper","37","2.831436037924410787",NA,NA,"5","ENCODE--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=160); Enrichr--Queries(rank=612); ARCHS4--Coexpression(rank=641); GTEx--Coexpression(rank=957)","904","0.305099999999999982","ENCODE ChIP-seq,0.3051"
"ETV1","2.790794734817828360","2.790794734817828360","2.790794734817828360","Activated","38","viper","38","2.790794734817828360",NA,NA,"4","GTEx--Coexpression(rank=107); ARCHS4--Coexpression(rank=149); ReMap--ChIP-seq(rank=171); Enrichr--Queries(rank=191)","263","0.066580000000000000","GTEx Coexpression,0.06658"
"ARNT","2.754428274990291303","2.754428274990291303","2.754428274990291303","Activated","39","viper","39","2.754428274990291303",NA,NA,"5","ReMap--ChIP-seq(rank=59); Literature--ChIP-seq(rank=61); GTEx--Coexpression(rank=667); ARCHS4--Coexpression(rank=986); Enrichr--Queries(rank=1130)","639","0.198699999999999988","ReMap ChIP-seq,0.1987"
"MITF","2.733826008604200108","2.733826008604200108","2.733826008604200108","Activated","40","viper","40","2.733826008604200108",NA,NA,"5","Literature--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=204); Enrichr--Queries(rank=293); ARCHS4--Coexpression(rank=941); GTEx--Coexpression(rank=1348)","670","0.208699999999999997","Enrichr Queries,0.2087"
