"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TBX3","1.057392953080199982","1.057392953080199982","0.290332286305318543195852498683962039649486541748","HMVL_ALL=1.057","Activated","221","collectri","221","1.057392953080199982",NA,"4","Literature--ChIP-seq(rank=134); ARCHS4--Coexpression(rank=900); Enrichr--Queries(rank=1258); GTEx--Coexpression(rank=1589)","1439","0.55279999999999996","ARCHS4 Coexpression,0.5528"
"TCF7L2","1.049620345130144683","-1.049620345130144683","0.293892699292074233152760598386521451175212860107","HMVL_ALL=-1.05","Repressed","222","collectri","222","1.049620345130144683",NA,"6","ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=61); Literature--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=429); Enrichr--Queries(rank=1189); GTEx--Coexpression(rank=1534)","489","0.13560000000000000","ENCODE ChIP-seq,0.1356"
"HINFP","1.047379609323781047","-1.047379609323781047","0.294924532324752020073788116860669106245040893555","HMVL_ALL=-1.047","Repressed","223","collectri","223","1.047379609323781047",NA,"3","ReMap--ChIP-seq(rank=114); GTEx--Coexpression(rank=661); ARCHS4--Coexpression(rank=716)","1162","0.38379999999999997","ReMap ChIP-seq,0.3838"
"AIRE","1.043088900118218199","1.043088900118218199","0.296907121054383271729903981395182199776172637939","HMVL_ALL=1.043","Activated","224","collectri","224","1.043088900118218199",NA,"3","ARCHS4--Coexpression(rank=520); Enrichr--Queries(rank=529); GTEx--Coexpression(rank=1009)","1034","0.31940000000000002","ARCHS4 Coexpression,0.3194"
"NR6A1","1.043075063734116625","-1.043075063734116625","0.296913528753719180297565571891027502715587615967","HMVL_ALL=-1.043","Repressed","225","collectri","225","1.043075063734116625",NA,"3","ARCHS4--Coexpression(rank=43); GTEx--Coexpression(rank=226); Enrichr--Queries(rank=782)","95","0.02641000000000000","ARCHS4 Coexpression,0.02641"
"CREBZF","1.042212360314544561","1.042212360314544561","0.297313233709671886906278359674615785479545593262","HMVL_ALL=1.042","Activated","226","collectri","226","1.042212360314544561",NA,"3","ARCHS4--Coexpression(rank=217); Enrichr--Queries(rank=265); GTEx--Coexpression(rank=1232)","480","0.13330000000000000","ARCHS4 Coexpression,0.1333"
"NR5A1","1.042146497120304494","1.042146497120304494","0.297343764003861366074232819300959818065166473389","HMVL_ALL=1.042","Activated","227","collectri","227","1.042146497120304494",NA,"3","Enrichr--Queries(rank=391); ARCHS4--Coexpression(rank=888); GTEx--Coexpression(rank=1539)","934","0.27850000000000003","Enrichr Queries,0.2785"
"FOXO4","1.041406000544588650","1.041406000544588650","0.297687158795874318162333338477765209972858428955","HMVL_ALL=1.041","Activated","228","collectri","228","1.041406000544588650",NA,"3","Enrichr--Queries(rank=412); GTEx--Coexpression(rank=573); ARCHS4--Coexpression(rank=936)","977","0.29339999999999999","Enrichr Queries,0.2934"
"ETV6","1.031289271911835392","1.031289271911835392","0.302405187690930277177869811566779389977455139160","HMVL_ALL=1.031","Activated","229","collectri","229","1.031289271911835392",NA,"4","ReMap--ChIP-seq(rank=288); GTEx--Coexpression(rank=505); ARCHS4--Coexpression(rank=987); Enrichr--Queries(rank=1376)","1022","0.31430000000000002","GTEx Coexpression,0.3143"
"KDM2A","1.030791258523475973","1.030791258523475973","0.302638718402301443166635408488218672573566436768","HMVL_ALL=1.031","Activated","230","collectri","230","1.030791258523475973",NA,"2","GTEx--Coexpression(rank=167); ARCHS4--Coexpression(rank=894)","381","0.10390000000000001","GTEx Coexpression,0.1039"
"NR5A2","1.024804278000525537","1.024804278000525537","0.305455547458230836088688420204562135040760040283","HMVL_ALL=1.025","Activated","231","collectri","231","1.024804278000525537",NA,"4","ReMap--ChIP-seq(rank=292); ARCHS4--Coexpression(rank=728); Enrichr--Queries(rank=1143); GTEx--Coexpression(rank=1390)","1283","0.44719999999999999","ARCHS4 Coexpression,0.4472"
"POU2F2","1.020452121611519436","-1.020452121611519436","0.307514085227134525979408863349817693233489990234","HMVL_ALL=-1.02","Repressed","232","collectri","232","1.020452121611519436",NA,"5","ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=43); GTEx--Coexpression(rank=254); Enrichr--Queries(rank=1381); ARCHS4--Coexpression(rank=1452)","519","0.14480000000000001","ReMap ChIP-seq,0.1448"
"MED1","1.018446104298230237","-1.018446104298230237","0.308466001427628366826638739439658820629119873047","HMVL_ALL=-1.018","Repressed","233","collectri","233","1.018446104298230237",NA,"0","",NA,NA,NA
"KDM5C","1.015349455775800935","1.015349455775800935","0.309939277465452411863822135273949243128299713135","HMVL_ALL=1.015","Activated","234","collectri","234","1.015349455775800935",NA,"0","",NA,NA,NA
"BCOR","1.014349410107642901","-1.014349410107642901","0.310416054957770304323361187925911508500576019287","HMVL_ALL=-1.014","Repressed","235","collectri","235","1.014349410107642901",NA,"0","",NA,NA,NA
"RARB","1.007839731808911843","1.007839731808911843","0.313531408397375255248107350780628621578216552734","HMVL_ALL=1.008","Activated","236","collectri","236","1.007839731808911843",NA,"4","Literature--ChIP-seq(rank=102); Enrichr--Queries(rank=724); GTEx--Coexpression(rank=1022); ARCHS4--Coexpression(rank=1537)","1386","0.51570000000000005","Enrichr Queries,0.5157"
"AR","1.006917129476766037","-1.006917129476766037","0.313974599604420145926297891492140479385852813721","HMVL_ALL=-1.007","Repressed","237","collectri","237","1.006917129476766037",NA,"5","Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=180); GTEx--Coexpression(rank=574); Enrichr--Queries(rank=741); ARCHS4--Coexpression(rank=1114)","87","0.02439000000000000","Literature ChIP-seq,0.02439"
"NR1H3","1.004536598511595935","1.004536598511595935","0.315120039721635991636361495693563483655452728271","HMVL_ALL=1.005","Activated","238","collectri","238","1.004536598511595935",NA,"5","Literature--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=227); GTEx--Coexpression(rank=385); ARCHS4--Coexpression(rank=1307); Enrichr--Queries(rank=1363)","443","0.12200000000000000","Literature ChIP-seq,0.122"
