"TF","HMVL_TOR10","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"SNAPC4","-2.247878374348225350","-2.247878374348225350","2.247878374348225350","Repressed","59","viper","59","2.247878374348225350",NA,NA,"4","GTEx--Coexpression(rank=111); ReMap--ChIP-seq(rank=277); ARCHS4--Coexpression(rank=682); Enrichr--Queries(rank=1077)","261","0.06907000000000001","GTEx Coexpression,0.06907"
"AHR","2.212062463314000915","2.212062463314000915","2.212062463314000915","Activated","60","viper","60","2.212062463314000915",NA,NA,"5","Literature--ChIP-seq(rank=120); Enrichr--Queries(rank=240); ReMap--ChIP-seq(rank=261); GTEx--Coexpression(rank=599); ARCHS4--Coexpression(rank=1176)","616","0.17090000000000000","Enrichr Queries,0.1709"
"LEF1","2.189486033434840273","2.189486033434840273","2.189486033434840273","Activated","61","viper","61","2.189486033434840273",NA,NA,"4","ARCHS4--Coexpression(rank=254); ReMap--ChIP-seq(rank=268); Enrichr--Queries(rank=496); GTEx--Coexpression(rank=732)","570","0.15600000000000000","ARCHS4 Coexpression,0.156"
"ARID2","-2.187009553725123734","-2.187009553725123734","2.187009553725123734","Repressed","62","viper","62","2.187009553725123734",NA,NA,"4","ReMap--ChIP-seq(rank=183); GTEx--Coexpression(rank=517); ARCHS4--Coexpression(rank=1001); Enrichr--Queries(rank=1392)","1036","0.32169999999999999","GTEx Coexpression,0.3217"
"ARNT","2.175428265025724173","2.175428265025724173","2.175428265025724173","Activated","63","viper","63","2.175428265025724173",NA,NA,"5","ReMap--ChIP-seq(rank=113); Literature--ChIP-seq(rank=151); GTEx--Coexpression(rank=334); Enrichr--Queries(rank=1173); ARCHS4--Coexpression(rank=1538)","727","0.20780000000000001","GTEx Coexpression,0.2078"
"TFAP2C","2.170897354626823539","2.170897354626823539","2.170897354626823539","Activated","64","viper","64","2.170897354626823539",NA,NA,"6","Literature--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=79); ENCODE--ChIP-seq(rank=100); GTEx--Coexpression(rank=150); Enrichr--Queries(rank=450); ARCHS4--Coexpression(rank=498)","352","0.09334000000000001","GTEx Coexpression,0.09334"
"ESRRA","2.169408036531520700","2.169408036531520700","2.169408036531520700","Activated","65","viper","65","2.169408036531520700",NA,NA,"5","ENCODE--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=187); Enrichr--Queries(rank=899); ARCHS4--Coexpression(rank=1492); GTEx--Coexpression(rank=1590)","1466","0.60170000000000001","ENCODE ChIP-seq,0.6017"
"IRF3","-2.131688467822534072","-2.131688467822534072","2.131688467822534072","Repressed","66","viper","66","2.131688467822534072",NA,NA,"5","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=842); Enrichr--Queries(rank=942); GTEx--Coexpression(rank=1388)","32","0.01010000000000000","ReMap ChIP-seq,0.0101"
"MEIS1","2.125810792881271283","2.125810792881271283","2.125810792881271283","Activated","67","viper","67","2.125810792881271283",NA,NA,"5","Literature--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=172); Enrichr--Queries(rank=966); ARCHS4--Coexpression(rank=1232); GTEx--Coexpression(rank=1351)","1442","0.57909999999999984","ReMap ChIP-seq,0.5791"
"ZNF740","-2.068476139378929268","-2.068476139378929268","2.068476139378929268","Repressed","68","viper","68","2.068476139378929268",NA,NA,"4","ReMap--ChIP-seq(rank=186); ARCHS4--Coexpression(rank=947); Enrichr--Queries(rank=1216); GTEx--Coexpression(rank=1544)","1444","0.58169999999999999","ARCHS4 Coexpression,0.5817"
"NR2F1","2.067178322302106519","2.067178322302106519","2.067178322302106519","Activated","69","viper","69","2.067178322302106519",NA,NA,"4","ReMap--ChIP-seq(rank=192); Enrichr--Queries(rank=505); GTEx--Coexpression(rank=824); ARCHS4--Coexpression(rank=1316)","1129","0.35970000000000002","Enrichr Queries,0.3597"
"FOXA1","2.054740589639212356","2.054740589639212356","2.054740589639212356","Activated","70","viper","70","2.054740589639212356",NA,NA,"6","ENCODE--ChIP-seq(rank=59); Literature--ChIP-seq(rank=80); GTEx--Coexpression(rank=165); ReMap--ChIP-seq(rank=234); Enrichr--Queries(rank=308); ARCHS4--Coexpression(rank=517)","389","0.10270000000000000","GTEx Coexpression,0.1027"
"MAZ","-2.048253936032980338","-2.048253936032980338","2.048253936032980338","Repressed","71","viper","71","2.048253936032980338",NA,NA,"5","ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=29); Enrichr--Queries(rank=151); ARCHS4--Coexpression(rank=268); GTEx--Coexpression(rank=651)","367","0.09764000000000000","ReMap ChIP-seq,0.09764"
"USF1","2.043432993344037829","2.043432993344037829","2.043432993344037829","Activated","72","viper","72","2.043432993344037829",NA,NA,"5","ReMap--ChIP-seq(rank=31); ENCODE--ChIP-seq(rank=62); GTEx--Coexpression(rank=577); Enrichr--Queries(rank=596); ARCHS4--Coexpression(rank=747)","395","0.10440000000000001","ReMap ChIP-seq,0.1044"
"KLF13","2.037329089667061943","2.037329089667061943","2.037329089667061943","Activated","73","viper","73","2.037329089667061943",NA,NA,"4","ReMap--ChIP-seq(rank=41); ARCHS4--Coexpression(rank=627); GTEx--Coexpression(rank=678); Enrichr--Queries(rank=780)","517","0.13800000000000001","ReMap ChIP-seq,0.138"
"STAT1","2.032573592522751493","2.032573592522751493","2.032573592522751493","Activated","74","viper","74","2.032573592522751493",NA,NA,"6","GTEx--Coexpression(rank=25); ENCODE--ChIP-seq(rank=91); Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=140); ARCHS4--Coexpression(rank=186); Enrichr--Queries(rank=389)","55","0.01556000000000000","GTEx Coexpression,0.01556"
"NR2C2","-2.031935063698986355","-2.031935063698986355","2.031935063698986355","Repressed","75","viper","75","2.031935063698986355",NA,NA,"5","ENCODE--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=262); GTEx--Coexpression(rank=335); Enrichr--Queries(rank=1347); ARCHS4--Coexpression(rank=1590)","729","0.20849999999999999","GTEx Coexpression,0.2085"
"ELK1","-2.020145303722486574","-2.020145303722486574","2.020145303722486574","Repressed","76","viper","76","2.020145303722486574",NA,NA,"5","Literature--ChIP-seq(rank=42); ENCODE--ChIP-seq(rank=82); GTEx--Coexpression(rank=174); ReMap--ChIP-seq(rank=184); ARCHS4--Coexpression(rank=1238)","413","0.10829999999999999","GTEx Coexpression,0.1083"
"FOXM1","-2.013572959543814100","-2.013572959543814100","2.013572959543814100","Repressed","77","viper","77","2.013572959543814100",NA,NA,"6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=6)","2","0.00062230000000000","GTEx Coexpression,6.223E-4"
