"TF","DLD1","HCT15","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ZBTB11","-1.42812112276862502","2.920160247699098210","0.74601956246523660","2.17414068523386161","Activated","56","viper","56","2.17414068523386161",NA,NA,"4","ReMap--ChIP-seq(rank=243); ARCHS4--Coexpression(rank=718); Enrichr--Queries(rank=984); GTEx--Coexpression(rank=1028)","1231","0.44100000000000000","ARCHS4 Coexpression,0.441"
"SP3","3.01007029414686356","1.291031234815536166","2.15055076448120008","2.15055076448120008","Activated","57","viper","57","2.15055076448120008",NA,NA,"3","Enrichr--Queries(rank=628); GTEx--Coexpression(rank=1270); ARCHS4--Coexpression(rank=1375)","1247","0.44729999999999998","Enrichr Queries,0.4473"
"RUNX2","3.32246361203085439","0.932581430608569351","2.12752252131971176","2.12752252131971176","Activated","58","viper","58","2.12752252131971176",NA,NA,"5","ReMap--ChIP-seq(rank=40); Literature--ChIP-seq(rank=42); ARCHS4--Coexpression(rank=106); Enrichr--Queries(rank=180); GTEx--Coexpression(rank=1418)","247","0.06511000000000000","ARCHS4 Coexpression,0.06511"
"HSF1","3.30462598783132844","0.904422837017492820","2.10452441242441068","2.10452441242441068","Activated","59","viper","59","2.10452441242441068",NA,NA,"5","ENCODE--ChIP-seq(rank=52); Literature--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=266); GTEx--Coexpression(rank=1003); ARCHS4--Coexpression(rank=1488)","1230","0.44069999999999998","ENCODE ChIP-seq,0.4407"
"MAFK","3.85921519668183555","0.325151051164306648","2.09218312392307126","2.09218312392307126","Activated","60","viper","60","2.09218312392307126",NA,NA,"5","ENCODE--ChIP-seq(rank=10); Enrichr--Queries(rank=30); ReMap--ChIP-seq(rank=100); GTEx--Coexpression(rank=422); ARCHS4--Coexpression(rank=1423)","84","0.02137000000000000","Enrichr Queries,0.02137"
"ZNF639","1.65399355647199653","-2.493063568742319713","-0.41953500613516159","2.07352856260715823","Repressed","61","viper","61","2.07352856260715823",NA,NA,"4","ReMap--ChIP-seq(rank=111); ARCHS4--Coexpression(rank=670); Enrichr--Queries(rank=1222); GTEx--Coexpression(rank=1566)","1097","0.37369999999999998","ReMap ChIP-seq,0.3737"
"ESRRA","3.33226816190762243","-0.789505456397126659","1.27138135275524800","2.06088680915237443","Activated","62","viper","62","2.06088680915237443",NA,NA,"5","ENCODE--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=128); Enrichr--Queries(rank=690); GTEx--Coexpression(rank=866); ARCHS4--Coexpression(rank=1381)","1210","0.43099999999999999","ReMap ChIP-seq,0.431"
"RFX1","2.74327659955428604","-1.323205417879384171","0.71003559083745094","2.03324100871683511","Activated","63","viper","63","2.03324100871683511",NA,NA,"4","ReMap--ChIP-seq(rank=133); ARCHS4--Coexpression(rank=365); GTEx--Coexpression(rank=647); Enrichr--Queries(rank=1301)","752","0.22420000000000001","ARCHS4 Coexpression,0.2242"
"SMAD5","-3.07797157809046595","-0.928134597573253228","-2.00305308783185954","2.00305308783185954","Repressed","64","viper","64","2.00305308783185954",NA,NA,"4","ReMap--ChIP-seq(rank=35); ARCHS4--Coexpression(rank=550); GTEx--Coexpression(rank=654); Enrichr--Queries(rank=1272)","436","0.11780000000000000","ReMap ChIP-seq,0.1178"
"NFKB2","-2.16414622844252369","-1.813243320218838051","-1.98869477433068087","1.98869477433068087","Repressed","65","viper","65","1.98869477433068087",NA,NA,"4","ARCHS4--Coexpression(rank=97); Enrichr--Queries(rank=102); ReMap--ChIP-seq(rank=207); GTEx--Coexpression(rank=1037)","225","0.05958000000000000","ARCHS4 Coexpression,0.05958"
"POU2F1","0.99298129951045355","2.975272099916636215","1.98412669971354494","1.98412669971354494","Activated","66","viper","66","1.98412669971354494",NA,NA,"4","ReMap--ChIP-seq(rank=182); GTEx--Coexpression(rank=992); Enrichr--Queries(rank=1126); ARCHS4--Coexpression(rank=1259)","1456","0.61280000000000001","ReMap ChIP-seq,0.6128"
