"TF","HMVL_CRC29","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"SMAD4","1.459553302486083393","1.459553302486083393","1.459553302486083393","Activated","80","viper","80","1.459553302486083393",NA,NA,"5","Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=240); ARCHS4--Coexpression(rank=1209); GTEx--Coexpression(rank=1296); Enrichr--Queries(rank=1342)","495","0.12800000000000000","Literature ChIP-seq,0.128"
"BACH2","-1.458108408635681030","-1.458108408635681030","1.458108408635681030","Repressed","81","viper","81","1.458108408635681030",NA,NA,"4","ReMap--ChIP-seq(rank=175); ARCHS4--Coexpression(rank=510); Enrichr--Queries(rank=603); GTEx--Coexpression(rank=1004)","996","0.31330000000000002","ARCHS4 Coexpression,0.3133"
"MBD1","-1.434937759418608794","-1.434937759418608794","1.434937759418608794","Repressed","82","viper","82","1.434937759418608794",NA,NA,"3","GTEx--Coexpression(rank=711); ARCHS4--Coexpression(rank=926); Enrichr--Queries(rank=1132)","1230","0.44240000000000002","GTEx Coexpression,0.4424"
"EHF","1.433449515625629722","1.433449515625629722","1.433449515625629722","Activated","83","viper","83","1.433449515625629722",NA,NA,"4","GTEx--Coexpression(rank=44); Enrichr--Queries(rank=49); ReMap--ChIP-seq(rank=88); ARCHS4--Coexpression(rank=104)","119","0.02738000000000000","GTEx Coexpression,0.02738"
"RXRA","1.428714069932860431","1.428714069932860431","1.428714069932860431","Activated","84","viper","84","1.428714069932860431",NA,NA,"6","ENCODE--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=50); Literature--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=238); Enrichr--Queries(rank=748); GTEx--Coexpression(rank=1452)","559","0.14620000000000000","ARCHS4 Coexpression,0.1462"
"LHX2","1.405193006167633651","1.405193006167633651","1.405193006167633651","Activated","85","viper","85","1.405193006167633651",NA,NA,"4","ReMap--ChIP-seq(rank=232); Enrichr--Queries(rank=398); ARCHS4--Coexpression(rank=805); GTEx--Coexpression(rank=1192)","928","0.28349999999999997","Enrichr Queries,0.2835"
"IRF9","1.403566379197970893","1.403566379197970893","1.403566379197970893","Activated","86","viper","86","1.403566379197970893",NA,NA,"4","Enrichr--Queries(rank=35); GTEx--Coexpression(rank=97); ARCHS4--Coexpression(rank=100); ReMap--ChIP-seq(rank=237)","108","0.02493000000000000","Enrichr Queries,0.02493"
"MXI1","-1.388290411937147084","-1.388290411937147084","1.388290411937147084","Repressed","87","viper","87","1.388290411937147084",NA,NA,"5","ENCODE--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=142); Enrichr--Queries(rank=511); GTEx--Coexpression(rank=665); ARCHS4--Coexpression(rank=948)","351","0.08475000000000001","ENCODE ChIP-seq,0.08475"
"NFE2L2","1.370261765360777151","1.370261765360777151","1.370261765360777151","Activated","88","viper","88","1.370261765360777151",NA,NA,"5","GTEx--Coexpression(rank=55); ReMap--ChIP-seq(rank=60); Literature--ChIP-seq(rank=89); Enrichr--Queries(rank=419); ARCHS4--Coexpression(rank=842)","149","0.03423000000000000","GTEx Coexpression,0.03423"
"XBP1","-1.368714925929725101","-1.368714925929725101","1.368714925929725101","Repressed","89","viper","89","1.368714925929725101",NA,NA,"4","ReMap--ChIP-seq(rank=285); Enrichr--Queries(rank=641); ARCHS4--Coexpression(rank=722); GTEx--Coexpression(rank=991)","1233","0.44350000000000001","ARCHS4 Coexpression,0.4435"
"ATF2","1.361704910304253779","1.361704910304253779","1.361704910304253779","Activated","90","viper","90","1.361704910304253779",NA,NA,"5","ENCODE--ChIP-seq(rank=100); ReMap--ChIP-seq(rank=234); Enrichr--Queries(rank=1379); GTEx--Coexpression(rank=1492); ARCHS4--Coexpression(rank=1581)","1577","0.78790000000000004","ReMap ChIP-seq,0.7879"
"MYOD1","1.358818439487574858","1.358818439487574858","1.358818439487574858","Activated","91","viper","91","1.358818439487574858",NA,NA,"5","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=62); Enrichr--Queries(rank=581); GTEx--Coexpression(rank=974)","163","0.03808000000000000","ARCHS4 Coexpression,0.03808"
"SMAD5","-1.312432410288472129","-1.312432410288472129","1.312432410288472129","Repressed","92","viper","92","1.312432410288472129",NA,NA,"4","ARCHS4--Coexpression(rank=144); ReMap--ChIP-seq(rank=218); GTEx--Coexpression(rank=1075); Enrichr--Queries(rank=1188)","365","0.08845000000000000","ARCHS4 Coexpression,0.08845"
"ZNF592","1.307871559532270744","1.307871559532270744","1.307871559532270744","Activated","93","viper","93","1.307871559532270744",NA,NA,"4","ReMap--ChIP-seq(rank=169); ARCHS4--Coexpression(rank=968); Enrichr--Queries(rank=1341); GTEx--Coexpression(rank=1463)","1391","0.56899999999999995","ReMap ChIP-seq,0.569"
"ZNF143","1.299813325996737268","1.299813325996737268","1.299813325996737268","Activated","94","viper","94","1.299813325996737268",NA,NA,"5","ReMap--ChIP-seq(rank=55); ENCODE--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=1033); Enrichr--Queries(rank=1110); GTEx--Coexpression(rank=1507)","682","0.18520000000000000","ReMap ChIP-seq,0.1852"
"NFATC1","1.297599846881596353","1.297599846881596353","1.297599846881596353","Activated","95","viper","95","1.297599846881596353",NA,NA,"5","ENCODE--ChIP-seq(rank=101); ARCHS4--Coexpression(rank=191); ReMap--ChIP-seq(rank=197); Enrichr--Queries(rank=708); GTEx--Coexpression(rank=988)","466","0.11730000000000000","ARCHS4 Coexpression,0.1173"
"MEF2A","-1.278405024310929505","-1.278405024310929505","1.278405024310929505","Repressed","96","viper","96","1.278405024310929505",NA,NA,"6","ENCODE--ChIP-seq(rank=71); Literature--ChIP-seq(rank=148); ReMap--ChIP-seq(rank=193); ARCHS4--Coexpression(rank=929); Enrichr--Queries(rank=982); GTEx--Coexpression(rank=1374)","1393","0.57060000000000000","ARCHS4 Coexpression,0.5706"
"TAL1","1.274647587540441274","1.274647587540441274","1.274647587540441274","Activated","97","viper","97","1.274647587540441274",NA,NA,"6","ENCODE--ChIP-seq(rank=48); Literature--ChIP-seq(rank=136); ReMap--ChIP-seq(rank=143); Enrichr--Queries(rank=297); ARCHS4--Coexpression(rank=492); GTEx--Coexpression(rank=1174)","753","0.21149999999999999","Enrichr Queries,0.2115"
"HBP1","1.257004883543667795","1.257004883543667795","1.257004883543667795","Activated","98","viper","98","1.257004883543667795",NA,NA,"4","ReMap--ChIP-seq(rank=115); Enrichr--Queries(rank=795); GTEx--Coexpression(rank=1303); ARCHS4--Coexpression(rank=1542)","1128","0.38719999999999999","ReMap ChIP-seq,0.3872"
"STAT3","1.253072441315360441","1.253072441315360441","1.253072441315360441","Activated","99","viper","99","1.253072441315360441",NA,NA,"6","ReMap--ChIP-seq(rank=61); ENCODE--ChIP-seq(rank=64); Literature--ChIP-seq(rank=76); Enrichr--Queries(rank=695); ARCHS4--Coexpression(rank=736); GTEx--Coexpression(rank=1285)","738","0.20540000000000000","ReMap ChIP-seq,0.2054"
"IKZF1","-1.249245680134534409","-1.249245680134534409","1.249245680134534409","Repressed","100","viper","100","1.249245680134534409",NA,NA,"6","Literature--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=69); ENCODE--ChIP-seq(rank=72); ReMap--ChIP-seq(rank=196); GTEx--Coexpression(rank=281); Enrichr--Queries(rank=750)","180","0.04238000000000000","ARCHS4 Coexpression,0.04238"
"GATA6","1.233053443365662361","1.233053443365662361","1.233053443365662361","Activated","101","viper","101","1.233053443365662361",NA,NA,"5","Literature--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=177); Enrichr--Queries(rank=216); ARCHS4--Coexpression(rank=730); GTEx--Coexpression(rank=780)","584","0.15379999999999999","Enrichr Queries,0.1538"
"BCL6","-1.231670706530643145","-1.231670706530643145","1.231670706530643145","Repressed","102","viper","102","1.231670706530643145",NA,NA,"5","Literature--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=106); Enrichr--Queries(rank=353); ARCHS4--Coexpression(rank=433); GTEx--Coexpression(rank=1389)","859","0.25140000000000001","Enrichr Queries,0.2514"
"JUN","1.231047765135573346","1.231047765135573346","1.231047765135573346","Activated","103","viper","103","1.231047765135573346",NA,NA,"6","ENCODE--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=39); Literature--ChIP-seq(rank=68); ARCHS4--Coexpression(rank=112); Enrichr--Queries(rank=169); GTEx--Coexpression(rank=378)","283","0.06880000000000000","ARCHS4 Coexpression,0.0688"
"PAX5","1.210511354450319876","1.210511354450319876","1.210511354450319876","Activated","104","viper","104","1.210511354450319876",NA,NA,"5","ReMap--ChIP-seq(rank=6); GTEx--Coexpression(rank=42); ARCHS4--Coexpression(rank=65); ENCODE--ChIP-seq(rank=107); Enrichr--Queries(rank=812)","87","0.02020000000000000","ReMap ChIP-seq,0.0202"
"ELK1","1.194417289434768659","1.194417289434768659","1.194417289434768659","Activated","105","viper","105","1.194417289434768659",NA,NA,"5","Literature--ChIP-seq(rank=103); ENCODE--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=247); GTEx--Coexpression(rank=733); ARCHS4--Coexpression(rank=1585)","1251","0.45610000000000001","GTEx Coexpression,0.4561"
"POU4F2","1.191394970100915884","1.191394970100915884","1.191394970100915884","Activated","106","viper","106","1.191394970100915884",NA,NA,"4","ReMap--ChIP-seq(rank=211); GTEx--Coexpression(rank=773); Enrichr--Queries(rank=1006); ARCHS4--Coexpression(rank=1084)","1285","0.48099999999999998","GTEx Coexpression,0.481"
"E2F7","-1.187158856572404497","-1.187158856572404497","1.187158856572404497","Repressed","107","viper","107","1.187158856572404497",NA,NA,"5","Enrichr--Queries(rank=9); GTEx--Coexpression(rank=10); Literature--ChIP-seq(rank=26); ARCHS4--Coexpression(rank=72); ReMap--ChIP-seq(rank=136)","26","0.00622300000000000","GTEx Coexpression,0.006223"
"SNAI2","-1.173883496617538214","-1.173883496617538214","1.173883496617538214","Repressed","108","viper","108","1.173883496617538214",NA,NA,"4","ReMap--ChIP-seq(rank=3); ARCHS4--Coexpression(rank=10); Enrichr--Queries(rank=96); GTEx--Coexpression(rank=459)","25","0.00614300000000000","ARCHS4 Coexpression,0.006143"
"SREBF2","-1.167229803799465948","-1.167229803799465948","1.167229803799465948","Repressed","109","viper","109","1.167229803799465948",NA,NA,"6","ReMap--ChIP-seq(rank=42); ENCODE--ChIP-seq(rank=47); Literature--ChIP-seq(rank=48); GTEx--Coexpression(rank=607); Enrichr--Queries(rank=903); ARCHS4--Coexpression(rank=1571)","540","0.14140000000000000","ReMap ChIP-seq,0.1414"
"ZEB2","1.151808937563995938","1.151808937563995938","1.151808937563995938","Activated","110","viper","110","1.151808937563995938",NA,NA,"4","Enrichr--Queries(rank=38); ReMap--ChIP-seq(rank=266); GTEx--Coexpression(rank=1214); ARCHS4--Coexpression(rank=1229)","118","0.02707000000000000","Enrichr Queries,0.02707"
"CEBPG","-1.149586171980394145","-1.149586171980394145","1.149586171980394145","Repressed","111","viper","111","1.149586171980394145",NA,NA,"4","ReMap--ChIP-seq(rank=288); ARCHS4--Coexpression(rank=881); Enrichr--Queries(rank=1011); GTEx--Coexpression(rank=1150)","1352","0.54120000000000001","ARCHS4 Coexpression,0.5412"
"HINFP","-1.122582791965926141","-1.122582791965926141","1.122582791965926141","Repressed","112","viper","112","1.122582791965926141",NA,NA,"3","ReMap--ChIP-seq(rank=199); ARCHS4--Coexpression(rank=324); GTEx--Coexpression(rank=480)","721","0.19900000000000001","ARCHS4 Coexpression,0.199"
"MEF2C","-1.078467958365545654","-1.078467958365545654","1.078467958365545654","Repressed","113","viper","113","1.078467958365545654",NA,NA,"5","Enrichr--Queries(rank=40); ENCODE--ChIP-seq(rank=116); ReMap--ChIP-seq(rank=265); ARCHS4--Coexpression(rank=1058); GTEx--Coexpression(rank=1063)","122","0.02849000000000000","Enrichr Queries,0.02849"
"NFE2","1.074386920968364523","1.074386920968364523","1.074386920968364523","Activated","114","viper","114","1.074386920968364523",NA,NA,"5","ENCODE--ChIP-seq(rank=102); ReMap--ChIP-seq(rank=109); Enrichr--Queries(rank=116); ARCHS4--Coexpression(rank=337); GTEx--Coexpression(rank=1012)","342","0.08262000000000000","Enrichr Queries,0.08262"
"MYBL2","-1.033627270277462706","-1.033627270277462706","1.033627270277462706","Repressed","115","viper","115","1.033627270277462706",NA,NA,"6","Enrichr--Queries(rank=8); GTEx--Coexpression(rank=9); ENCODE--ChIP-seq(rank=105); Literature--ChIP-seq(rank=123); ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=1010)","23","0.00560000000000000","GTEx Coexpression,0.0056"
"FOXO4","1.019013802219156384","1.019013802219156384","1.019013802219156384","Activated","116","viper","116","1.019013802219156384",NA,NA,"3","Enrichr--Queries(rank=344); ARCHS4--Coexpression(rank=690); GTEx--Coexpression(rank=1523)","840","0.24500000000000000","Enrichr Queries,0.245"
"FLI1","-1.011841280816548005","-1.011841280816548005","1.011841280816548005","Repressed","117","viper","117","1.011841280816548005",NA,NA,"6","ReMap--ChIP-seq(rank=32); Literature--ChIP-seq(rank=92); ENCODE--ChIP-seq(rank=111); Enrichr--Queries(rank=158); ARCHS4--Coexpression(rank=237); GTEx--Coexpression(rank=262)","433","0.10770000000000000","ReMap ChIP-seq,0.1077"
"TBP","0.980016922677162339","0.980016922677162339","0.980016922677162339","Activated","118","viper","118","0.980016922677162339",NA,NA,"5","Literature--ChIP-seq(rank=11); ENCODE--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=102); GTEx--Coexpression(rank=437); ARCHS4--Coexpression(rank=1030)","274","0.06707000000000000","Literature ChIP-seq,0.06707"
"TCF7","-0.978089967230125534","-0.978089967230125534","0.978089967230125534","Repressed","119","viper","119","0.978089967230125534",NA,NA,"5","ARCHS4--Coexpression(rank=71); Literature--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=208); GTEx--Coexpression(rank=277); Enrichr--Queries(rank=746)","185","0.04361000000000000","ARCHS4 Coexpression,0.04361"
"SNAPC4","0.968885032743535768","0.968885032743535768","0.968885032743535768","Activated","120","viper","120","0.968885032743535768",NA,NA,"4","ReMap--ChIP-seq(rank=156); GTEx--Coexpression(rank=341); Enrichr--Queries(rank=1357); ARCHS4--Coexpression(rank=1613)","754","0.21220000000000000","GTEx Coexpression,0.2122"
"SOX11","-0.960826021489695092","-0.960826021489695092","0.960826021489695092","Repressed","121","viper","121","0.960826021489695092",NA,NA,"5","Literature--ChIP-seq(rank=61); Enrichr--Queries(rank=212); ReMap--ChIP-seq(rank=233); ARCHS4--Coexpression(rank=1046); GTEx--Coexpression(rank=1520)","575","0.15100000000000000","Enrichr Queries,0.151"
"SP1","0.932152819288504908","0.932152819288504908","0.932152819288504908","Activated","122","viper","122","0.932152819288504908",NA,NA,"5","ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=56); GTEx--Coexpression(rank=1269); Enrichr--Queries(rank=1277); ARCHS4--Coexpression(rank=1363)","692","0.18859999999999999","ReMap ChIP-seq,0.1886"
"HNF1B","-0.930961112660934509","-0.930961112660934509","0.930961112660934509","Repressed","123","viper","123","0.930961112660934509",NA,NA,"3","ReMap--ChIP-seq(rank=253); Enrichr--Queries(rank=397); ARCHS4--Coexpression(rank=509)","926","0.28280000000000000","Enrichr Queries,0.2828"
"MEIS2","-0.919107461978039719","-0.919107461978039719","0.919107461978039719","Repressed","124","viper","124","0.919107461978039719",NA,NA,"4","Enrichr--Queries(rank=45); ReMap--ChIP-seq(rank=262); GTEx--Coexpression(rank=560); ARCHS4--Coexpression(rank=1078)","137","0.03205000000000000","Enrichr Queries,0.03205"
"NANOG","0.914095168267330949","0.914095168267330949","0.914095168267330949","Activated","125","viper","125","0.914095168267330949",NA,NA,"6","ENCODE--ChIP-seq(rank=75); Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=255); ARCHS4--Coexpression(rank=405); GTEx--Coexpression(rank=566); Enrichr--Queries(rank=1210)","853","0.24879999999999999","ARCHS4 Coexpression,0.2488"
"LEF1","-0.913849091139225300","-0.913849091139225300","0.913849091139225300","Repressed","126","viper","126","0.913849091139225300",NA,NA,"4","GTEx--Coexpression(rank=167); ARCHS4--Coexpression(rank=228); ReMap--ChIP-seq(rank=291); Enrichr--Queries(rank=318)","418","0.10390000000000001","GTEx Coexpression,0.1039"
"CUX1","0.908061275780967403","0.908061275780967403","0.908061275780967403","Activated","127","viper","127","0.908061275780967403",NA,NA,"6","ENCODE--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=91); Literature--ChIP-seq(rank=120); GTEx--Coexpression(rank=436); Enrichr--Queries(rank=1051); ARCHS4--Coexpression(rank=1228)","903","0.27129999999999999","GTEx Coexpression,0.2713"
"HNF4G","0.905491393319681204","0.905491393319681204","0.905491393319681204","Activated","128","viper","128","0.905491393319681204",NA,NA,"5","ENCODE--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=97); Enrichr--Queries(rank=175); ARCHS4--Coexpression(rank=341); GTEx--Coexpression(rank=700)","486","0.12460000000000000","Enrichr Queries,0.1246"
"ETS2","-0.904943767835209578","-0.904943767835209578","0.904943767835209578","Repressed","129","viper","129","0.904943767835209578",NA,NA,"4","Literature--ChIP-seq(rank=35); ARCHS4--Coexpression(rank=264); Enrichr--Queries(rank=434); GTEx--Coexpression(rank=1161)","611","0.16220000000000001","ARCHS4 Coexpression,0.1622"
"FOS","0.899829836977778297","0.899829836977778297","0.899829836977778297","Activated","130","viper","130","0.899829836977778297",NA,NA,"5","ENCODE--ChIP-seq(rank=19); Enrichr--Queries(rank=86); ReMap--ChIP-seq(rank=165); ARCHS4--Coexpression(rank=639); GTEx--Coexpression(rank=1357)","254","0.06125000000000000","Enrichr Queries,0.06125"
"EOMES","0.888755833605999968","0.888755833605999968","0.888755833605999968","Activated","131","viper","131","0.888755833605999968",NA,NA,"5","Literature--ChIP-seq(rank=36); GTEx--Coexpression(rank=289); ReMap--ChIP-seq(rank=289); Enrichr--Queries(rank=627); ARCHS4--Coexpression(rank=1007)","663","0.17979999999999999","GTEx Coexpression,0.1798"
"GABPA","-0.877607428320943073","-0.877607428320943073","0.877607428320943073","Repressed","132","viper","132","0.877607428320943073",NA,NA,"6","ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=41); Literature--ChIP-seq(rank=137); Enrichr--Queries(rank=1268); ARCHS4--Coexpression(rank=1294); GTEx--Coexpression(rank=1515)","529","0.13800000000000001","ReMap ChIP-seq,0.138"
"PRDM1","-0.874922293046481170","-0.874922293046481170","0.874922293046481170","Repressed","133","viper","133","0.874922293046481170",NA,NA,"5","ENCODE--ChIP-seq(rank=37); GTEx--Coexpression(rank=59); ReMap--ChIP-seq(rank=217); Enrichr--Queries(rank=699); ARCHS4--Coexpression(rank=753)","157","0.03671000000000000","GTEx Coexpression,0.03671"
"ESR1","0.873882299632424697","0.873882299632424697","0.873882299632424697","Activated","134","viper","134","0.873882299632424697",NA,NA,"6","ENCODE--ChIP-seq(rank=8); Literature--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=65); Enrichr--Queries(rank=521); GTEx--Coexpression(rank=548); ARCHS4--Coexpression(rank=561)","279","0.06780000000000000","ENCODE ChIP-seq,0.0678"
"ATF3","-0.873032052851766549","-0.873032052851766549","0.873032052851766549","Repressed","135","viper","135","0.873032052851766549",NA,NA,"6","Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=83); ENCODE--ChIP-seq(rank=95); Enrichr--Queries(rank=191); ARCHS4--Coexpression(rank=468); GTEx--Coexpression(rank=1069)","524","0.13600000000000001","Enrichr Queries,0.136"
"TCF7L2","-0.866046154249739297","-0.866046154249739297","0.866046154249739297","Repressed","136","viper","136","0.866046154249739297",NA,NA,"6","ReMap--ChIP-seq(rank=80); ENCODE--ChIP-seq(rank=98); Literature--ChIP-seq(rank=142); Enrichr--Queries(rank=608); GTEx--Coexpression(rank=669); ARCHS4--Coexpression(rank=1036)","898","0.26939999999999997","ReMap ChIP-seq,0.2694"
"PBX2","0.861375907692063403","0.861375907692063403","0.861375907692063403","Activated","137","viper","137","0.861375907692063403",NA,NA,"4","ReMap--ChIP-seq(rank=116); GTEx--Coexpression(rank=390); ARCHS4--Coexpression(rank=1107); Enrichr--Queries(rank=1139)","834","0.24270000000000000","GTEx Coexpression,0.2427"
"NFYA","-0.848327959655715946","-0.848327959655715946","0.848327959655715946","Repressed","138","viper","138","0.848327959655715946",NA,NA,"5","ENCODE--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=89); GTEx--Coexpression(rank=614); Enrichr--Queries(rank=1270); ARCHS4--Coexpression(rank=1600)","964","0.29970000000000002","ReMap ChIP-seq,0.2997"
"SOX10","0.842870958840706730","0.842870958840706730","0.842870958840706730","Activated","139","viper","139","0.842870958840706730",NA,NA,"4","ReMap--ChIP-seq(rank=296); ARCHS4--Coexpression(rank=375); Enrichr--Queries(rank=504); GTEx--Coexpression(rank=1198)","799","0.23030000000000000","ARCHS4 Coexpression,0.2303"
"SOX9","0.820108070632224351","0.820108070632224351","0.820108070632224351","Activated","140","viper","140","0.820108070632224351",NA,NA,"5","Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=112); Enrichr--Queries(rank=178); ARCHS4--Coexpression(rank=490); GTEx--Coexpression(rank=1206)","105","0.02439000000000000","Literature ChIP-seq,0.02439"
"TCF3","-0.810813762759540202","-0.810813762759540202","0.810813762759540202","Repressed","141","viper","141","0.810813762759540202",NA,NA,"6","ENCODE--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=34); Literature--ChIP-seq(rank=108); GTEx--Coexpression(rank=360); Enrichr--Queries(rank=1031); ARCHS4--Coexpression(rank=1601)","456","0.11450000000000000","ReMap ChIP-seq,0.1145"
"NFYB","-0.792636589282563309","-0.792636589282563309","0.792636589282563309","Repressed","142","viper","142","0.792636589282563309",NA,NA,"5","ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=122); GTEx--Coexpression(rank=448); ARCHS4--Coexpression(rank=568); Enrichr--Queries(rank=1134)","920","0.27879999999999999","GTEx Coexpression,0.2788"
"IRF4","-0.790305446241548082","-0.790305446241548082","0.790305446241548082","Repressed","143","viper","143","0.790305446241548082",NA,NA,"5","GTEx--Coexpression(rank=32); ENCODE--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=141); ARCHS4--Coexpression(rank=255); Enrichr--Queries(rank=752)","86","0.01991000000000000","GTEx Coexpression,0.01991"
"KLF13","-0.783229884529001552","-0.783229884529001552","0.783229884529001552","Repressed","144","viper","144","0.783229884529001552",NA,NA,"4","ReMap--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=115); GTEx--Coexpression(rank=523); Enrichr--Queries(rank=989)","291","0.07063999999999999","ARCHS4 Coexpression,0.07064"
"NR4A1","0.782161951226686969","0.782161951226686969","0.782161951226686969","Activated","145","viper","145","0.782161951226686969",NA,NA,"4","ARCHS4--Coexpression(rank=27); ReMap--ChIP-seq(rank=213); Enrichr--Queries(rank=358); GTEx--Coexpression(rank=663)","72","0.01658000000000000","ARCHS4 Coexpression,0.01658"
"AR","0.775633753509917923","0.775633753509917923","0.775633753509917923","Activated","146","viper","146","0.775633753509917923",NA,NA,"5","Literature--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=139); Enrichr--Queries(rank=321); GTEx--Coexpression(rank=555); ARCHS4--Coexpression(rank=657)","709","0.19510000000000000","Literature ChIP-seq,0.1951"
"MAFB","0.774440830206801323","0.774440830206801323","0.774440830206801323","Activated","147","viper","147","0.774440830206801323",NA,NA,"4","Enrichr--Queries(rank=106); ARCHS4--Coexpression(rank=186); ReMap--ChIP-seq(rank=269); GTEx--Coexpression(rank=993)","314","0.07550000000000000","Enrichr Queries,0.0755"
"ELF5","0.761427543368054294","0.761427543368054294","0.761427543368054294","Activated","148","viper","148","0.761427543368054294",NA,NA,"5","ARCHS4--Coexpression(rank=91); Literature--ChIP-seq(rank=145); Enrichr--Queries(rank=209); GTEx--Coexpression(rank=237); ReMap--ChIP-seq(rank=256)","235","0.05590000000000000","ARCHS4 Coexpression,0.0559"
"CEBPB","0.761176939800006447","0.761176939800006447","0.761176939800006447","Activated","149","viper","149","0.761176939800006447",NA,NA,"6","Literature--ChIP-seq(rank=22); ENCODE--ChIP-seq(rank=36); Enrichr--Queries(rank=74); ReMap--ChIP-seq(rank=260); ARCHS4--Coexpression(rank=263); GTEx--Coexpression(rank=1166)","222","0.05271000000000000","Enrichr Queries,0.05271"
"MAFG","0.752842769574605608","0.752842769574605608","0.752842769574605608","Activated","150","viper","150","0.752842769574605608",NA,NA,"4","ReMap--ChIP-seq(rank=284); Enrichr--Queries(rank=1116); GTEx--Coexpression(rank=1370); ARCHS4--Coexpression(rank=1486)","1582","0.79490000000000005","Enrichr Queries,0.7949"
"GRHL2","0.748598309812051887","0.748598309812051887","0.748598309812051887","Activated","151","viper","151","0.748598309812051887",NA,NA,"5","ReMap--ChIP-seq(rank=84); GTEx--Coexpression(rank=104); Literature--ChIP-seq(rank=126); Enrichr--Queries(rank=362); ARCHS4--Coexpression(rank=600)","266","0.06472000000000000","GTEx Coexpression,0.06472"
"MEF2B","0.735205187276047334","0.735205187276047334","0.735205187276047334","Activated","152","viper","152","0.735205187276047334",NA,NA,"4","ReMap--ChIP-seq(rank=261); Enrichr--Queries(rank=283); ARCHS4--Coexpression(rank=411); GTEx--Coexpression(rank=777)","729","0.20160000000000000","Enrichr Queries,0.2016"
"SPIB","-0.686448192283216074","-0.686448192283216074","0.686448192283216074","Repressed","153","viper","153","0.686448192283216074",NA,NA,"4","ReMap--ChIP-seq(rank=110); ARCHS4--Coexpression(rank=117); Enrichr--Queries(rank=144); GTEx--Coexpression(rank=192)","296","0.07187000000000000","ARCHS4 Coexpression,0.07187"
"OTX2","0.681226191127778824","0.681226191127778824","0.681226191127778824","Activated","154","viper","154","0.681226191127778824",NA,NA,"4","GTEx--Coexpression(rank=194); ReMap--ChIP-seq(rank=250); ARCHS4--Coexpression(rank=577); Enrichr--Queries(rank=762)","474","0.12070000000000000","GTEx Coexpression,0.1207"
"PGR","-0.678491784062734360","-0.678491784062734360","0.678491784062734360","Repressed","155","viper","155","0.678491784062734360",NA,NA,"4","ReMap--ChIP-seq(rank=93); ARCHS4--Coexpression(rank=294); Enrichr--Queries(rank=334); GTEx--Coexpression(rank=387)","667","0.18060000000000001","ARCHS4 Coexpression,0.1806"
"FOXK2","-0.668997290041246195","-0.668997290041246195","0.668997290041246195","Repressed","156","viper","156","0.668997290041246195",NA,NA,"4","ReMap--ChIP-seq(rank=187); Enrichr--Queries(rank=1348); GTEx--Coexpression(rank=1533); ARCHS4--Coexpression(rank=1608)","1465","0.62960000000000005","ReMap ChIP-seq,0.6296"
"POU5F1","0.660194779667189646","0.660194779667189646","0.660194779667189646","Activated","157","viper","157","0.660194779667189646",NA,NA,"5","Literature--ChIP-seq(rank=79); ReMap--ChIP-seq(rank=117); GTEx--Coexpression(rank=578); Enrichr--Queries(rank=1263); ARCHS4--Coexpression(rank=1466)","1084","0.35970000000000002","GTEx Coexpression,0.3597"
"AHR","-0.659688915899307116","-0.659688915899307116","0.659688915899307116","Repressed","158","viper","158","0.659688915899307116",NA,NA,"5","Literature--ChIP-seq(rank=124); Enrichr--Queries(rank=220); ReMap--ChIP-seq(rank=239); ARCHS4--Coexpression(rank=727); GTEx--Coexpression(rank=771)","594","0.15670000000000001","Enrichr Queries,0.1567"
