"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"MITF","0.706754478719228141","-0.706754478719228141","0.4797190677822759652393358465","HMVL_TOR10=-0.7068","Repressed","414","collectri","414","0.706754478719228141",NA,"5","Literature--ChIP-seq(rank=102); ReMap--ChIP-seq(rank=226); Enrichr--Queries(rank=297); GTEx--Coexpression(rank=868); ARCHS4--Coexpression(rank=1026)","739","0.211499999999999994","Enrichr Queries,0.2115"
"NR5A1","0.705997232652107232","0.705997232652107232","0.4801898584094524413679039299","HMVL_TOR10=0.706","Activated","415","collectri","415","0.705997232652107232",NA,"3","GTEx--Coexpression(rank=520); Enrichr--Queries(rank=682); ARCHS4--Coexpression(rank=1213)","1042","0.323599999999999999","GTEx Coexpression,0.3236"
"EMX2","0.704876748117496232","-0.704876748117496232","0.4808869413765843869867921967","HMVL_TOR10=-0.7049","Repressed","416","collectri","416","0.704876748117496232",NA,"3","ARCHS4--Coexpression(rank=1063); Enrichr--Queries(rank=1292); GTEx--Coexpression(rank=1509)","1506","0.652900000000000036","ARCHS4 Coexpression,0.6529"
"HMGB2","0.704533913199537842","-0.704533913199537842","0.4811003380789507510861824358","HMVL_TOR10=-0.7045","Repressed","417","collectri","417","0.704533913199537842",NA,"0","",NA,NA,NA
"KDM5A","0.702277106233175297","0.702277106233175297","0.4825063676878426632832486121","HMVL_TOR10=0.7023","Activated","418","collectri","418","0.702277106233175297",NA,"0","",NA,NA,NA
"HBP1","0.700675074993792890","-0.700675074993792890","0.4835058144298281512796222614","HMVL_TOR10=-0.7007","Repressed","419","collectri","419","0.700675074993792890",NA,"4","ReMap--ChIP-seq(rank=84); ARCHS4--Coexpression(rank=109); Enrichr--Queries(rank=636); GTEx--Coexpression(rank=689)","252","0.066949999999999996","ARCHS4 Coexpression,0.06695"
"NEUROD6","0.697295085761348243","0.697295085761348243","0.4856181428514991793576882628","HMVL_TOR10=0.6973","Activated","420","collectri","420","0.697295085761348243",NA,"3","ARCHS4--Coexpression(rank=642); GTEx--Coexpression(rank=1012); Enrichr--Queries(rank=1320)","1192","0.394299999999999984","ARCHS4 Coexpression,0.3943"
"NANOG","0.692405331392632162","-0.692405331392632162","0.4886828186757129488526629757","HMVL_TOR10=-0.6924","Repressed","421","collectri","421","0.692405331392632162",NA,"6","Literature--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=197); ARCHS4--Coexpression(rank=222); GTEx--Coexpression(rank=368); Enrichr--Queries(rank=591)","322","0.085370000000000001","Literature ChIP-seq,0.08537"
"PBX1","0.686392446031024894","0.686392446031024894","0.4924656666934587034845094422","HMVL_TOR10=0.6864","Activated","422","collectri","422","0.686392446031024894",NA,"4","Literature--ChIP-seq(rank=100); Enrichr--Queries(rank=807); ARCHS4--Coexpression(rank=868); GTEx--Coexpression(rank=1394)","1385","0.533200000000000007","ARCHS4 Coexpression,0.5332"
"ZBTB4","0.683927594972596475","0.683927594972596475","0.4940208878670309111669212143","HMVL_TOR10=0.6839","Activated","423","collectri","423","0.683927594972596475",NA,"3","Enrichr--Queries(rank=357); ARCHS4--Coexpression(rank=545); GTEx--Coexpression(rank=1063)","866","0.254300000000000026","Enrichr Queries,0.2543"
"EOMES","0.683377238525015862","-0.683377238525015862","0.4943684990212067198456225015","HMVL_TOR10=-0.6834","Repressed","424","collectri","424","0.683377238525015862",NA,"5","Literature--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=243); Enrichr--Queries(rank=513); ARCHS4--Coexpression(rank=601); GTEx--Coexpression(rank=1085)","1098","0.347600000000000020","Literature ChIP-seq,0.3476"
"TFDP3","0.681632425144119036","-0.681632425144119036","0.4954714063967822768042026382","HMVL_TOR10=-0.6816","Repressed","425","collectri","425","0.681632425144119036",NA,"3","GTEx--Coexpression(rank=1026); Enrichr--Queries(rank=1147); ARCHS4--Coexpression(rank=1575)","1496","0.638499999999999845","GTEx Coexpression,0.6385"
"FOXO4","0.679450178865316889","-0.679450178865316889","0.4968526649220182389576905280","HMVL_TOR10=-0.6795","Repressed","426","collectri","426","0.679450178865316889",NA,"3","Enrichr--Queries(rank=312); GTEx--Coexpression(rank=1104); ARCHS4--Coexpression(rank=1384)","773","0.222200000000000009","Enrichr Queries,0.2222"
"GABPA","0.676258606443338794","0.676258606443338794","0.4988764687964173383249999461","HMVL_TOR10=0.6763","Activated","427","collectri","427","0.676258606443338794",NA,"6","ENCODE--ChIP-seq(rank=97); Literature--ChIP-seq(rank=129); ReMap--ChIP-seq(rank=201); ARCHS4--Coexpression(rank=471); Enrichr--Queries(rank=881); GTEx--Coexpression(rank=990)","954","0.289300000000000002","ARCHS4 Coexpression,0.2893"
"TWIST2","0.675637059637765991","0.675637059637765991","0.4992711060986528837091213973","HMVL_TOR10=0.6756","Activated","428","collectri","428","0.675637059637765991",NA,"2","ARCHS4--Coexpression(rank=803); GTEx--Coexpression(rank=1102)","1334","0.493200000000000027","ARCHS4 Coexpression,0.4932"
