"statistic","source","condition","score","p_value","TF","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ora","NRF1","HVL_HUB098","0.13256117602223086","0.736951358849224358316121","NRF1","247","trrust","247","0.13256117602223086","0.736951358849224358316121",NA,"","5","ENCODE--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=122); ARCHS4--Coexpression(rank=607); Enrichr--Queries(rank=689); GTEx--Coexpression(rank=983)","1079","0.37290000000000001","ARCHS4 Coexpression,0.3729"
"ora","RFX1","HVL_HUB098","0.13256117602223086","0.736951358849224358316121","RFX1","248","trrust","248","0.13256117602223086","0.736951358849224358316121",NA,"","4","ReMap--ChIP-seq(rank=188); GTEx--Coexpression(rank=714); ARCHS4--Coexpression(rank=1073); Enrichr--Queries(rank=1089)","1212","0.44429999999999997","GTEx Coexpression,0.4443"
"ora","SATB1","HVL_HUB098","0.13256117602223086","0.736951358849224358316121","SATB1","249","trrust","249","0.13256117602223086","0.736951358849224358316121",NA,"","4","ARCHS4--Coexpression(rank=142); Enrichr--Queries(rank=161); ReMap--ChIP-seq(rank=283); GTEx--Coexpression(rank=396)","346","0.08722000000000001","ARCHS4 Coexpression,0.08722"
"ora","TP63","HVL_HUB098","0.13256117602223086","0.736951358849224358316121","TP63","250","trrust","250","0.13256117602223086","0.736951358849224358316121",NA,"","5","Literature--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=124); Enrichr--Queries(rank=197); ARCHS4--Coexpression(rank=350); GTEx--Coexpression(rank=741)","526","0.14030000000000001","Enrichr Queries,0.1403"
"ora","RUNX3","HVL_HUB098","0.13219987426903787","0.737564704436434404044576","RUNX3","251","trrust","251","0.13219987426903787","0.737564704436434404044576",NA,"","5","ENCODE--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=207); Enrichr--Queries(rank=711); GTEx--Coexpression(rank=898); ARCHS4--Coexpression(rank=1143)","1317","0.50639999999999996","Enrichr Queries,0.5064"
"ora","CIITA","HVL_HUB098","0.12260539977319763","0.754040374113332689809397","CIITA","252","trrust","252","0.12260539977319763","0.754040374113332689809397",NA,"","0","",NA,NA,NA
"ora","HSF1","HVL_HUB098","0.12260539977319763","0.754040374113332689809397","HSF1","253","trrust","253","0.12260539977319763","0.754040374113332689809397",NA,"","5","ReMap--ChIP-seq(rank=90); ENCODE--ChIP-seq(rank=95); Literature--ChIP-seq(rank=111); ARCHS4--Coexpression(rank=948); GTEx--Coexpression(rank=1108)","940","0.30299999999999999","ReMap ChIP-seq,0.303"
"ora","HDAC9","HVL_HUB098","0.09765283554988140","0.798632839847707942659838","HDAC9","254","trrust","254","0.09765283554988140","0.798632839847707942659838",NA,"","0","",NA,NA,NA
"ora","ESR2","HVL_HUB098","0.08841912092643962","0.815794699208099993725796","ESR2","255","trrust","255","0.08841912092643962","0.815794699208099993725796",NA,"","5","Literature--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=184); Enrichr--Queries(rank=666); ARCHS4--Coexpression(rank=916); GTEx--Coexpression(rank=1193)","244","0.06098000000000000","Literature ChIP-seq,0.06098"
"ora","GATA2","HVL_HUB098","0.08841912092643962","0.815794699208099993725796","GATA2","256","trrust","256","0.08841912092643962","0.815794699208099993725796",NA,"","6","ENCODE--ChIP-seq(rank=7); Literature--ChIP-seq(rank=36); ARCHS4--Coexpression(rank=153); Enrichr--Queries(rank=226); ReMap--ChIP-seq(rank=231); GTEx--Coexpression(rank=285)","239","0.05932000000000000","ENCODE ChIP-seq,0.05932"
"ora","NR1H4","HVL_HUB098","0.08014051697157987","0.831494695567071562258832","NR1H4","257","trrust","257","0.08014051697157987","0.831494695567071562258832",NA,"","3","Enrichr--Queries(rank=663); ARCHS4--Coexpression(rank=687); GTEx--Coexpression(rank=1178)","1172","0.42199999999999999","ARCHS4 Coexpression,0.422"
"ora","PAX5","HVL_HUB098","0.07270290603874113","0.845857284828796740505652","PAX5","258","trrust","258","0.07270290603874113","0.845857284828796740505652",NA,"","5","ENCODE--ChIP-seq(rank=49); GTEx--Coexpression(rank=68); ReMap--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=636); Enrichr--Queries(rank=1029)","165","0.04231000000000000","GTEx Coexpression,0.04231"
"ora","NANOG","HVL_HUB098","0.05997385877351368","0.871016016921333124933824","NANOG","259","trrust","259","0.05997385877351368","0.871016016921333124933824",NA,"","6","ReMap--ChIP-seq(rank=13); Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=79); GTEx--Coexpression(rank=404); Enrichr--Queries(rank=881); ARCHS4--Coexpression(rank=1060)","173","0.04377000000000000","ReMap ChIP-seq,0.04377"
