"TF","MVL_TOR10","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ETS2","-1.96152077297291560","-1.96152077297291560","1.96152077297291560","Repressed","79","viper","79","1.96152077297291560",NA,NA,"4","Literature--ChIP-seq(rank=157); Enrichr--Queries(rank=280); GTEx--Coexpression(rank=287); ARCHS4--Coexpression(rank=362)","649","0.17860000000000001","GTEx Coexpression,0.1786"
"MAFK","1.89757775759187042","1.89757775759187042","1.89757775759187042","Activated","80","viper","80","1.89757775759187042",NA,NA,"5","ENCODE--ChIP-seq(rank=30); Enrichr--Queries(rank=180); ReMap--ChIP-seq(rank=229); GTEx--Coexpression(rank=923); ARCHS4--Coexpression(rank=1346)","485","0.12820000000000001","Enrichr Queries,0.1282"
"ELF5","1.88468001608387126","1.88468001608387126","1.88468001608387126","Activated","81","viper","81","1.88468001608387126",NA,NA,"5","Literature--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=221); ARCHS4--Coexpression(rank=262); Enrichr--Queries(rank=628); GTEx--Coexpression(rank=868)","586","0.16089999999999999","ARCHS4 Coexpression,0.1609"
"NR2F1","1.86637777723929577","1.86637777723929577","1.86637777723929577","Activated","82","viper","82","1.86637777723929577",NA,NA,"4","ReMap--ChIP-seq(rank=148); Enrichr--Queries(rank=362); ARCHS4--Coexpression(rank=611); GTEx--Coexpression(rank=976)","880","0.25779999999999997","Enrichr Queries,0.2578"
"USF1","1.84294568443035689","1.84294568443035689","1.84294568443035689","Activated","83","viper","83","1.84294568443035689",NA,NA,"5","ReMap--ChIP-seq(rank=32); ENCODE--ChIP-seq(rank=77); GTEx--Coexpression(rank=400); ARCHS4--Coexpression(rank=552); Enrichr--Queries(rank=857)","411","0.10770000000000000","ReMap ChIP-seq,0.1077"
"IRF4","1.82513077718233285","1.82513077718233285","1.82513077718233285","Activated","84","viper","84","1.82513077718233285",NA,NA,"5","GTEx--Coexpression(rank=39); ReMap--ChIP-seq(rank=105); ENCODE--ChIP-seq(rank=116); ARCHS4--Coexpression(rank=757); Enrichr--Queries(rank=799)","87","0.02427000000000000","GTEx Coexpression,0.02427"
"ETV1","1.81568057499749602","1.81568057499749602","1.81568057499749602","Activated","85","viper","85","1.81568057499749602",NA,NA,"4","ReMap--ChIP-seq(rank=143); Enrichr--Queries(rank=535); GTEx--Coexpression(rank=560); ARCHS4--Coexpression(rank=871)","1083","0.34849999999999992","GTEx Coexpression,0.3485"
"MEIS1","1.81449907575767333","1.81449907575767333","1.81449907575767333","Activated","86","viper","86","1.81449907575767333",NA,NA,"5","Literature--ChIP-seq(rank=131); ReMap--ChIP-seq(rank=205); Enrichr--Queries(rank=1088); GTEx--Coexpression(rank=1102); ARCHS4--Coexpression(rank=1416)","1532","0.68569999999999998","GTEx Coexpression,0.6857"
"ZNF384","-1.77140379639477219","-1.77140379639477219","1.77140379639477219","Repressed","87","viper","87","1.77140379639477219",NA,NA,"5","ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=98); ARCHS4--Coexpression(rank=906); Enrichr--Queries(rank=1328); GTEx--Coexpression(rank=1569)","1048","0.33000000000000002","ReMap ChIP-seq,0.33"
"NFKB1","1.76085919868657448","1.76085919868657448","1.76085919868657448","Activated","88","viper","88","1.76085919868657448",NA,NA,"4","ReMap--ChIP-seq(rank=41); GTEx--Coexpression(rank=108); ARCHS4--Coexpression(rank=161); Enrichr--Queries(rank=541)","259","0.06721000000000001","GTEx Coexpression,0.06721"
"ARID2","-1.75785130443815807","-1.75785130443815807","1.75785130443815807","Repressed","89","viper","89","1.75785130443815807",NA,NA,"4","ReMap--ChIP-seq(rank=150); GTEx--Coexpression(rank=508); ARCHS4--Coexpression(rank=961); Enrichr--Queries(rank=1399)","1017","0.31609999999999999","GTEx Coexpression,0.3161"
"TAL1","1.71995005474000418","1.71995005474000418","1.71995005474000418","Activated","90","viper","90","1.71995005474000418",NA,NA,"6","ENCODE--ChIP-seq(rank=22); Literature--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=277); ARCHS4--Coexpression(rank=721); Enrichr--Queries(rank=789); GTEx--Coexpression(rank=871)","672","0.18640000000000001","ENCODE ChIP-seq,0.1864"
"LEF1","1.71620632714988508","1.71620632714988508","1.71620632714988508","Activated","91","viper","91","1.71620632714988508",NA,NA,"4","ARCHS4--Coexpression(rank=176); ReMap--ChIP-seq(rank=280); Enrichr--Queries(rank=514); GTEx--Coexpression(rank=537)","412","0.10810000000000000","ARCHS4 Coexpression,0.1081"
"ATF7","1.70851747634273110","1.70851747634273110","1.70851747634273110","Activated","92","viper","92","1.70851747634273110",NA,NA,"4","ReMap--ChIP-seq(rank=86); GTEx--Coexpression(rank=729); ARCHS4--Coexpression(rank=1129); Enrichr--Queries(rank=1363)","956","0.28960000000000002","ReMap ChIP-seq,0.2896"
"MBD1","1.70516718163534997","1.70516718163534997","1.70516718163534997","Activated","93","viper","93","1.70516718163534997",NA,NA,"3","GTEx--Coexpression(rank=324); Enrichr--Queries(rank=650); ARCHS4--Coexpression(rank=1407)","718","0.20160000000000000","GTEx Coexpression,0.2016"
"NFKB2","1.69490064066283486","1.69490064066283486","1.69490064066283486","Activated","94","viper","94","1.69490064066283486",NA,NA,"4","ReMap--ChIP-seq(rank=127); ARCHS4--Coexpression(rank=189); Enrichr--Queries(rank=244); GTEx--Coexpression(rank=248)","440","0.11609999999999999","ARCHS4 Coexpression,0.1161"
"ZBTB7A","1.65022499229000252","1.65022499229000252","1.65022499229000252","Activated","95","viper","95","1.65022499229000252",NA,NA,"5","ReMap--ChIP-seq(rank=47); ENCODE--ChIP-seq(rank=62); ARCHS4--Coexpression(rank=867); GTEx--Coexpression(rank=1219); Enrichr--Queries(rank=1343)","574","0.15820000000000001","ReMap ChIP-seq,0.1582"
"NR4A1","1.64146736533269055","1.64146736533269055","1.64146736533269055","Activated","96","viper","96","1.64146736533269055",NA,NA,"4","GTEx--Coexpression(rank=110); ARCHS4--Coexpression(rank=139); Enrichr--Queries(rank=149); ReMap--ChIP-seq(rank=266)","265","0.06845000000000000","GTEx Coexpression,0.06845"
"SPI1","1.63686101029470432","1.63686101029470432","1.63686101029470432","Activated","97","viper","97","1.63686101029470432",NA,NA,"6","Literature--ChIP-seq(rank=72); ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=243); Enrichr--Queries(rank=602); GTEx--Coexpression(rank=745); ARCHS4--Coexpression(rank=933)","1232","0.42880000000000001","Enrichr Queries,0.4288"
"ESR2","1.62270189490031558","1.62270189490031558","1.62270189490031558","Activated","98","viper","98","1.62270189490031558",NA,NA,"5","Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=83); Enrichr--Queries(rank=528); ARCHS4--Coexpression(rank=681); GTEx--Coexpression(rank=955)","483","0.12800000000000000","Literature ChIP-seq,0.128"
"ELK1","-1.60228580434030055","-1.60228580434030055","1.60228580434030055","Repressed","99","viper","99","1.60228580434030055",NA,NA,"5","Literature--ChIP-seq(rank=45); ENCODE--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=152); GTEx--Coexpression(rank=389); ARCHS4--Coexpression(rank=1469)","833","0.24210000000000001","GTEx Coexpression,0.2421"
"ASCL1","1.59909185484795779","1.59909185484795779","1.59909185484795779","Activated","100","viper","100","1.59909185484795779",NA,NA,"4","ReMap--ChIP-seq(rank=184); GTEx--Coexpression(rank=718); Enrichr--Queries(rank=1017); ARCHS4--Coexpression(rank=1432)","1262","0.44679999999999997","GTEx Coexpression,0.4468"
"KLF13","1.58082816086739042","1.58082816086739042","1.58082816086739042","Activated","101","viper","101","1.58082816086739042",NA,NA,"4","ReMap--ChIP-seq(rank=124); ARCHS4--Coexpression(rank=380); GTEx--Coexpression(rank=591); Enrichr--Queries(rank=856)","810","0.23340000000000000","ARCHS4 Coexpression,0.2334"
"FOXP1","-1.56451830221246468","-1.56451830221246468","1.56451830221246468","Repressed","102","viper","102","1.56451830221246468",NA,NA,"5","ReMap--ChIP-seq(rank=14); Literature--ChIP-seq(rank=47); ARCHS4--Coexpression(rank=613); GTEx--Coexpression(rank=751); Enrichr--Queries(rank=1324)","177","0.04714000000000000","ReMap ChIP-seq,0.04714"
"BATF","1.52219278813226677","1.52219278813226677","1.52219278813226677","Activated","103","viper","103","1.52219278813226677",NA,NA,"5","ENCODE--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=125); ReMap--ChIP-seq(rank=239); GTEx--Coexpression(rank=347); Enrichr--Queries(rank=554)","297","0.07678000000000000","ARCHS4 Coexpression,0.07678"
"E2F7","-1.51780253353657857","-1.51780253353657857","1.51780253353657857","Repressed","104","viper","104","1.51780253353657857",NA,NA,"5","ARCHS4--Coexpression(rank=3); Enrichr--Queries(rank=4); GTEx--Coexpression(rank=8); Literature--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=34)","6","0.00184300000000000","ARCHS4 Coexpression,0.001843"
"TFAP4","1.49632183300479493","1.49632183300479493","1.49632183300479493","Activated","105","viper","105","1.49632183300479493",NA,NA,"4","Enrichr--Queries(rank=55); ReMap--ChIP-seq(rank=69); ARCHS4--Coexpression(rank=388); GTEx--Coexpression(rank=1099)","144","0.03917000000000000","Enrichr Queries,0.03917"
"RELA","1.48041096224144342","1.48041096224144342","1.48041096224144342","Activated","106","viper","106","1.48041096224144342",NA,NA,"6","Literature--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=128); GTEx--Coexpression(rank=352); Enrichr--Queries(rank=853); ARCHS4--Coexpression(rank=1098)","282","0.07317000000000000","Literature ChIP-seq,0.07317"
"RXRA","-1.47767042448575614","-1.47767042448575614","1.47767042448575614","Repressed","107","viper","107","1.47767042448575614",NA,NA,"6","ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=168); GTEx--Coexpression(rank=903); Enrichr--Queries(rank=961); ARCHS4--Coexpression(rank=1022)","1211","0.41530000000000000","ENCODE ChIP-seq,0.4153"
"EPAS1","1.47079479552078340","1.47079479552078340","1.47079479552078340","Activated","108","viper","108","1.47079479552078340",NA,NA,"4","ReMap--ChIP-seq(rank=191); ARCHS4--Coexpression(rank=329); Enrichr--Queries(rank=520); GTEx--Coexpression(rank=580)","719","0.20210000000000000","ARCHS4 Coexpression,0.2021"
"SIX2","1.44234387489304128","1.44234387489304128","1.44234387489304128","Activated","109","viper","109","1.44234387489304128",NA,NA,"4","ARCHS4--Coexpression(rank=232); ReMap--ChIP-seq(rank=290); Enrichr--Queries(rank=1042); GTEx--Coexpression(rank=1344)","524","0.14249999999999999","ARCHS4 Coexpression,0.1425"
"PROX1","1.43295813060444455","1.43295813060444455","1.43295813060444455","Activated","110","viper","110","1.43295813060444455",NA,NA,"4","ReMap--ChIP-seq(rank=133); GTEx--Coexpression(rank=586); ARCHS4--Coexpression(rank=830); Enrichr--Queries(rank=1036)","1113","0.36470000000000002","GTEx Coexpression,0.3647"
"PBX3","1.41445940788026614","1.41445940788026614","1.41445940788026614","Activated","111","viper","111","1.41445940788026614",NA,NA,"5","ENCODE--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=72); Enrichr--Queries(rank=406); ARCHS4--Coexpression(rank=835); GTEx--Coexpression(rank=999)","698","0.19489999999999999","ENCODE ChIP-seq,0.1949"
"NR3C1","-1.40408355787166772","-1.40408355787166772","1.40408355787166772","Repressed","112","viper","112","1.40408355787166772",NA,NA,"6","Literature--ChIP-seq(rank=28); ENCODE--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=93); Enrichr--Queries(rank=828); GTEx--Coexpression(rank=981); ARCHS4--Coexpression(rank=1151)","621","0.17069999999999999","Literature ChIP-seq,0.1707"
"SOX13","1.39779301488543806","1.39779301488543806","1.39779301488543806","Activated","113","viper","113","1.39779301488543806",NA,NA,"4","GTEx--Coexpression(rank=125); ReMap--ChIP-seq(rank=242); Enrichr--Queries(rank=717); ARCHS4--Coexpression(rank=1290)","301","0.07778000000000000","GTEx Coexpression,0.07778"
"IRF2","-1.39746145574450309","-1.39746145574450309","1.39746145574450309","Repressed","114","viper","114","1.39746145574450309",NA,NA,"4","ReMap--ChIP-seq(rank=60); ARCHS4--Coexpression(rank=104); GTEx--Coexpression(rank=613); Enrichr--Queries(rank=657)","243","0.06388000000000001","ARCHS4 Coexpression,0.06388"
"STAT5B","1.38323113594181324","1.38323113594181324","1.38323113594181324","Activated","115","viper","115","1.38323113594181324",NA,NA,"4","ReMap--ChIP-seq(rank=233); ARCHS4--Coexpression(rank=281); Enrichr--Queries(rank=1008); GTEx--Coexpression(rank=1211)","627","0.17260000000000000","ARCHS4 Coexpression,0.1726"
"FOXA2","1.37461401574236142","1.37461401574236142","1.37461401574236142","Activated","116","viper","116","1.37461401574236142",NA,NA,"6","ENCODE--ChIP-seq(rank=28); Literature--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=186); Enrichr--Queries(rank=608); GTEx--Coexpression(rank=733); ARCHS4--Coexpression(rank=921)","819","0.23730000000000001","ENCODE ChIP-seq,0.2373"
"NCOA3","-1.35602861782286710","-1.35602861782286710","1.35602861782286710","Repressed","117","viper","117","1.35602861782286710",NA,NA,"4","GTEx--Coexpression(rank=99); ReMap--ChIP-seq(rank=212); Enrichr--Queries(rank=564); ARCHS4--Coexpression(rank=1415)","239","0.06161000000000000","GTEx Coexpression,0.06161"
"MEF2A","1.34453068810231047","1.34453068810231047","1.34453068810231047","Activated","118","viper","118","1.34453068810231047",NA,NA,"6","ENCODE--ChIP-seq(rank=96); Literature--ChIP-seq(rank=127); ReMap--ChIP-seq(rank=279); ARCHS4--Coexpression(rank=1198); Enrichr--Queries(rank=1323); GTEx--Coexpression(rank=1495)","1555","0.73590000000000000","ARCHS4 Coexpression,0.7359"
"EGR1","-1.32522369396869366","-1.32522369396869366","1.32522369396869366","Repressed","119","viper","119","1.32522369396869366",NA,NA,"6","ReMap--ChIP-seq(rank=39); Literature--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=63); GTEx--Coexpression(rank=104); Enrichr--Queries(rank=191); ARCHS4--Coexpression(rank=1121)","247","0.06472000000000000","GTEx Coexpression,0.06472"
"NFE2L1","1.31782299911261980","1.31782299911261980","1.31782299911261980","Activated","120","viper","120","1.31782299911261980",NA,NA,"4","ReMap--ChIP-seq(rank=262); Enrichr--Queries(rank=1044); GTEx--Coexpression(rank=1350); ARCHS4--Coexpression(rank=1604)","1560","0.74360000000000004","Enrichr Queries,0.7436"
"PAX8","1.31490633028225568","1.31490633028225568","1.31490633028225568","Activated","121","viper","121","1.31490633028225568",NA,NA,"4","ReMap--ChIP-seq(rank=265); GTEx--Coexpression(rank=675); Enrichr--Queries(rank=732); ARCHS4--Coexpression(rank=801)","1221","0.41999999999999998","GTEx Coexpression,0.42"
"ZNF592","-1.29746759022001013","-1.29746759022001013","1.29746759022001013","Repressed","122","viper","122","1.29746759022001013",NA,NA,"4","ReMap--ChIP-seq(rank=174); GTEx--Coexpression(rank=642); Enrichr--Queries(rank=1361); ARCHS4--Coexpression(rank=1427)","1180","0.39950000000000002","GTEx Coexpression,0.3995"
"YY1","-1.28428212362901628","-1.28428212362901628","1.28428212362901628","Repressed","123","viper","123","1.28428212362901628",NA,NA,"6","ReMap--ChIP-seq(rank=42); Literature--ChIP-seq(rank=86); ENCODE--ChIP-seq(rank=98); ARCHS4--Coexpression(rank=129); GTEx--Coexpression(rank=727); Enrichr--Queries(rank=1169)","307","0.07924000000000000","ARCHS4 Coexpression,0.07924"
"KMT2A","1.27623515377418295","1.27623515377418295","1.27623515377418295","Activated","124","viper","124","1.27623515377418295",NA,NA,"3","ReMap--ChIP-seq(rank=195); GTEx--Coexpression(rank=1263); ARCHS4--Coexpression(rank=1491)","1509","0.65659999999999996","ReMap ChIP-seq,0.6566"
"HOXA9","-1.25900584010218886","-1.25900584010218886","1.25900584010218886","Repressed","125","viper","125","1.25900584010218886",NA,NA,"4","ReMap--ChIP-seq(rank=159); GTEx--Coexpression(rank=290); Enrichr--Queries(rank=400); ARCHS4--Coexpression(rank=968)","656","0.18049999999999999","GTEx Coexpression,0.1805"
"E2F5","1.23817574565991362","1.23817574565991362","1.23817574565991362","Activated","126","viper","126","1.23817574565991362",NA,NA,"4","ReMap--ChIP-seq(rank=6); Enrichr--Queries(rank=60); ARCHS4--Coexpression(rank=718); GTEx--Coexpression(rank=1360)","74","0.02020000000000000","ReMap ChIP-seq,0.0202"
"BACH2","1.23724479279847333","1.23724479279847333","1.23724479279847333","Activated","127","viper","127","1.23724479279847333",NA,NA,"4","ReMap--ChIP-seq(rank=166); Enrichr--Queries(rank=765); ARCHS4--Coexpression(rank=918); GTEx--Coexpression(rank=1195)","1399","0.54490000000000005","Enrichr Queries,0.5449"
"ZNF217","1.23695157753881069","1.23695157753881069","1.23695157753881069","Activated","128","viper","128","1.23695157753881069",NA,NA,"6","ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=222); Enrichr--Queries(rank=458); GTEx--Coexpression(rank=933); ARCHS4--Coexpression(rank=1566)","1038","0.32619999999999999","Enrichr Queries,0.3262"
"PRDM1","1.20396419776778796","1.20396419776778796","1.20396419776778796","Activated","129","viper","129","1.20396419776778796",NA,NA,"5","ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=95); Enrichr--Queries(rank=165); GTEx--Coexpression(rank=587); ARCHS4--Coexpression(rank=958)","446","0.11749999999999999","Enrichr Queries,0.1175"
"NR2C2","-1.19745958371873429","-1.19745958371873429","1.19745958371873429","Repressed","130","viper","130","1.19745958371873429",NA,NA,"5","ENCODE--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=244); GTEx--Coexpression(rank=851); Enrichr--Queries(rank=1356); ARCHS4--Coexpression(rank=1623)","1383","0.52959999999999996","GTEx Coexpression,0.5296"
"ELK4","-1.15565661122595120","-1.15565661122595120","1.15565661122595120","Repressed","131","viper","131","1.15565661122595120",NA,NA,"5","ReMap--ChIP-seq(rank=45); ENCODE--ChIP-seq(rank=103); GTEx--Coexpression(rank=1114); Enrichr--Queries(rank=1355); ARCHS4--Coexpression(rank=1464)","554","0.15150000000000000","ReMap ChIP-seq,0.1515"
"BCL11A","1.15201799068558985","1.15201799068558985","1.15201799068558985","Activated","132","viper","132","1.15201799068558985",NA,NA,"5","ENCODE--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=272); GTEx--Coexpression(rank=399); Enrichr--Queries(rank=639); ARCHS4--Coexpression(rank=813)","850","0.24829999999999999","GTEx Coexpression,0.2483"
"RELB","-1.14491487859080077","-1.14491487859080077","1.14491487859080077","Repressed","133","viper","133","1.14491487859080077",NA,NA,"4","ReMap--ChIP-seq(rank=125); GTEx--Coexpression(rank=153); ARCHS4--Coexpression(rank=214); Enrichr--Queries(rank=221)","364","0.09521000000000000","GTEx Coexpression,0.09521"
"SP4","-1.14409429263384488","-1.14409429263384488","1.14409429263384488","Repressed","134","viper","134","1.14409429263384488",NA,NA,"5","ENCODE--ChIP-seq(rank=56); ReMap--ChIP-seq(rank=103); Enrichr--Queries(rank=345); ARCHS4--Coexpression(rank=1210); GTEx--Coexpression(rank=1385)","843","0.24570000000000000","Enrichr Queries,0.2457"
"ATF2","1.13820074451984787","1.13820074451984787","1.13820074451984787","Activated","135","viper","135","1.13820074451984787",NA,NA,"5","ENCODE--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=230); ARCHS4--Coexpression(rank=1271); GTEx--Coexpression(rank=1375); Enrichr--Queries(rank=1379)","1572","0.77439999999999998","ReMap ChIP-seq,0.7744"
"XBP1","1.13491078394835898","1.13491078394835898","1.13491078394835898","Activated","136","viper","136","1.13491078394835898",NA,NA,"4","ReMap--ChIP-seq(rank=226); Enrichr--Queries(rank=540); ARCHS4--Coexpression(rank=1221); GTEx--Coexpression(rank=1365)","1152","0.38460000000000000","Enrichr Queries,0.3846"
"ZEB2","-1.13369404550507813","-1.13369404550507813","1.13369404550507813","Repressed","137","viper","137","1.13369404550507813",NA,NA,"4","ReMap--ChIP-seq(rank=225); Enrichr--Queries(rank=938); GTEx--Coexpression(rank=1067); ARCHS4--Coexpression(rank=1528)","1514","0.66400000000000003","GTEx Coexpression,0.664"
"RFX1","1.12897211249090690","1.12897211249090690","1.12897211249090690","Activated","138","viper","138","1.12897211249090690",NA,NA,"4","ReMap--ChIP-seq(rank=56); GTEx--Coexpression(rank=455); ARCHS4--Coexpression(rank=1027); Enrichr--Queries(rank=1257)","679","0.18859999999999999","ReMap ChIP-seq,0.1886"
"GATA6","1.07230631802848331","1.07230631802848331","1.07230631802848331","Activated","139","viper","139","1.07230631802848331",NA,NA,"5","Literature--ChIP-seq(rank=56); ReMap--ChIP-seq(rank=180); Enrichr--Queries(rank=215); ARCHS4--Coexpression(rank=351); GTEx--Coexpression(rank=1393)","559","0.15310000000000001","Enrichr Queries,0.1531"
"MEF2C","1.07038865554405027","1.07038865554405027","1.07038865554405027","Activated","140","viper","140","1.07038865554405027",NA,NA,"5","ENCODE--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=286); Enrichr--Queries(rank=807); GTEx--Coexpression(rank=972); ARCHS4--Coexpression(rank=1106)","1429","0.57479999999999998","Enrichr Queries,0.5748"
"NR1H2","-1.05120706381881157","-1.05120706381881157","1.05120706381881157","Repressed","141","viper","141","1.05120706381881157",NA,NA,"4","ReMap--ChIP-seq(rank=19); ARCHS4--Coexpression(rank=271); Enrichr--Queries(rank=1121); GTEx--Coexpression(rank=1177)","244","0.06397000000000000","ReMap ChIP-seq,0.06397"
"GABPA","-1.02934398476600597","-1.02934398476600597","1.02934398476600597","Repressed","142","viper","142","1.02934398476600597",NA,NA,"6","ENCODE--ChIP-seq(rank=114); Literature--ChIP-seq(rank=156); ReMap--ChIP-seq(rank=172); ARCHS4--Coexpression(rank=795); Enrichr--Queries(rank=1200); GTEx--Coexpression(rank=1311)","1327","0.48830000000000001","ARCHS4 Coexpression,0.4883"
"TEAD2","-1.00224921799591105","-1.00224921799591105","1.00224921799591105","Repressed","143","viper","143","1.00224921799591105",NA,NA,"4","Enrichr--Queries(rank=61); GTEx--Coexpression(rank=174); ReMap--ChIP-seq(rank=256); ARCHS4--Coexpression(rank=651)","161","0.04345000000000000","Enrichr Queries,0.04345"
"HHEX","-0.99579108257722715","-0.99579108257722715","0.99579108257722715","Repressed","144","viper","144","0.99579108257722715",NA,NA,"4","Enrichr--Queries(rank=175); ReMap--ChIP-seq(rank=240); ARCHS4--Coexpression(rank=889); GTEx--Coexpression(rank=926)","471","0.12460000000000000","Enrichr Queries,0.1246"
"NRF1","-0.97971847846532867","-0.97971847846532867","0.97971847846532867","Repressed","145","viper","145","0.97971847846532867",NA,NA,"5","ENCODE--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=81); ARCHS4--Coexpression(rank=116); Enrichr--Queries(rank=324); GTEx--Coexpression(rank=1518)","274","0.07124999999999999","ARCHS4 Coexpression,0.07125"
"MITF","0.95783499036860220","0.95783499036860220","0.95783499036860220","Activated","146","viper","146","0.95783499036860220",NA,NA,"5","Literature--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=196); Enrichr--Queries(rank=459); ARCHS4--Coexpression(rank=1190); GTEx--Coexpression(rank=1201)","1041","0.32690000000000002","Enrichr Queries,0.3269"
"FOXK2","-0.95621098442120622","-0.95621098442120622","0.95621098442120622","Repressed","147","viper","147","0.95621098442120622",NA,NA,"4","ReMap--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=765); Enrichr--Queries(rank=1011); GTEx--Coexpression(rank=1558)","1175","0.39729999999999999","ReMap ChIP-seq,0.3973"
"MBD2","0.95324862104558716","0.95324862104558716","0.95324862104558716","Activated","148","viper","148","0.95324862104558716",NA,NA,"4","ReMap--ChIP-seq(rank=220); ARCHS4--Coexpression(rank=999); Enrichr--Queries(rank=1053); GTEx--Coexpression(rank=1280)","1462","0.61360000000000003","ARCHS4 Coexpression,0.6136"
"MAFF","0.95224636247737249","0.95224636247737249","0.95224636247737249","Activated","149","viper","149","0.95224636247737249",NA,NA,"5","ENCODE--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=38); Enrichr--Queries(rank=131); GTEx--Coexpression(rank=264); ARCHS4--Coexpression(rank=1245)","358","0.09329999999999999","Enrichr Queries,0.0933"
"NR5A2","0.94706006595585923","0.94706006595585923","0.94706006595585923","Activated","150","viper","150","0.94706006595585923",NA,NA,"4","ReMap--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=470); Enrichr--Queries(rank=940); GTEx--Coexpression(rank=1440)","875","0.25590000000000002","ReMap ChIP-seq,0.2559"
"ARID3A","-0.94663177389610287","-0.94663177389610287","0.94663177389610287","Repressed","151","viper","151","0.94663177389610287",NA,NA,"5","ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=170); GTEx--Coexpression(rank=255); Enrichr--Queries(rank=346); ARCHS4--Coexpression(rank=1368)","577","0.15870000000000001","GTEx Coexpression,0.1587"
"EOMES","-0.94045750455744770","-0.94045750455744770","0.94045750455744770","Repressed","152","viper","152","0.94045750455744770",NA,NA,"5","Literature--ChIP-seq(rank=61); ReMap--ChIP-seq(rank=267); Enrichr--Queries(rank=370); GTEx--Coexpression(rank=859); ARCHS4--Coexpression(rank=1057)","897","0.26350000000000001","Enrichr Queries,0.2635"
"JUND","0.93937004979066430","0.93937004979066430","0.93937004979066430","Activated","153","viper","153","0.93937004979066430",NA,NA,"6","Literature--ChIP-seq(rank=38); ENCODE--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=73); Enrichr--Queries(rank=521); ARCHS4--Coexpression(rank=535); GTEx--Coexpression(rank=1087)","806","0.23169999999999999","Literature ChIP-seq,0.2317"
"BHLHE40","0.93355135256852373","0.93355135256852373","0.93355135256852373","Activated","154","viper","154","0.93355135256852373",NA,NA,"4","ReMap--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=70); GTEx--Coexpression(rank=431); ARCHS4--Coexpression(rank=484)","234","0.06061000000000000","ReMap ChIP-seq,0.06061"
"KLF9","-0.93137635871365199","-0.93137635871365199","0.93137635871365199","Repressed","155","viper","155","0.93137635871365199",NA,NA,"4","ReMap--ChIP-seq(rank=25); Enrichr--Queries(rank=286); ARCHS4--Coexpression(rank=768); GTEx--Coexpression(rank=860)","326","0.08418000000000000","ReMap ChIP-seq,0.08418"
"MEF2B","-0.91608871091101807","-0.91608871091101807","0.91608871091101807","Repressed","156","viper","156","0.91608871091101807",NA,NA,"4","Enrichr--Queries(rank=128); GTEx--Coexpression(rank=178); ReMap--ChIP-seq(rank=281); ARCHS4--Coexpression(rank=399)","351","0.09117000000000000","Enrichr Queries,0.09117"
"ZNF143","-0.91320518692501262","-0.91320518692501262","0.91320518692501262","Repressed","157","viper","157","0.91320518692501262",NA,NA,"5","ReMap--ChIP-seq(rank=20); ENCODE--ChIP-seq(rank=76); Enrichr--Queries(rank=330); GTEx--Coexpression(rank=681); ARCHS4--Coexpression(rank=1500)","260","0.06734000000000000","ReMap ChIP-seq,0.06734"
"HOXB13","0.90938841545024462","0.90938841545024462","0.90938841545024462","Activated","158","viper","158","0.90938841545024462",NA,NA,"4","ReMap--ChIP-seq(rank=268); Enrichr--Queries(rank=310); GTEx--Coexpression(rank=435); ARCHS4--Coexpression(rank=638)","770","0.22080000000000000","Enrichr Queries,0.2208"
