Pathway ID	Name	pvalue	DEG number	DEG Density	Intersecton size	DEGs in Intersection	Result	Reciprocal pvalue	Filtered	Versus	Versus Name	Is Reciprocal	Top Genes
CSR_LATE_UP.V1_DN	CSR_LATE_UP.V1_DN	1.13e-05	77	0.5238	0	0	1	0	keep	itself		True	LDLR,L1CAM,IL1B,BTG2,KLHL29,ANKRD29,TMEM119,MAMDC2,PDP1,GAS1,SGIP1,FDFT1,ADORA2B,MSMO1,ERG28,CCN3,MVD,CCL2,LPAR3,TMEM258
RAF_UP.V1_UP	RAF_UP.V1_UP	1.17e-05	100	0.5181	0	0	1	0	keep	itself		True	SPRR3,L1CAM,SOCS2,MPZL2,HBEGF,DUSP4,SCG2,ITGA6,TCIM,CAPN6,SAT1,GABBR2,CRISPLD2,PYGL,MICAL2,LRP5,ALPP,KLF6,CABYR,ARHGAP26
KRAS.300_UP.V1_UP	KRAS.300_UP.V1_UP	2.19e-05	48	0.3357	0	0	1	0	keep	itself		True	CTNNA2,DCBLD2,MMP1,NME5,ASIC4,CXCL5,CEACAM1,CALB1,ITGBL1,ANO1,FNDC8,STC1,HEY1,SPP1,SIGLEC15,HAS2,DNAJA4,CEACAM3,GPR4,RCAN2
IL2_UP.V1_UP	IL2_UP.V1_UP	3.35e-05	72	0.3789	108	46	0.0833	0.3273	keep	IL15_UP.V1_UP	IL15_UP.V1_UP	False	JUNB,TMEM158,TRIB1,GADD45B,MAFF,FOS,FOSL2,RGCC,SOCS2,EGR3,OSM,SLC2A3,DUSP4,EGR2,TNFRSF12A,HOXA11,INHBB,IL1A,RGS16,RHOB
E2F1_UP.V1_DN	E2F1_UP.V1_DN	4.99e-05	101	0.5401	0	0	1	0	keep	itself		True	ACKR3,SERTAD1,RGS2,SEMA4B,SGK1,PPP3CA,A4GALT,MCL1,KLF2,CXCL5,ST3GAL4,PHLDA1,SIX5,TGFB1I1,RUNX2,CCL2,ZC3H12A,HMGCS1,DTX2,SNAI1
CAMP_UP.V1_DN	CAMP_UP.V1_DN	5.13e-05	80	0.402	0	0	1	0	keep	itself		True	ZFP36,FOSB,DEDD2,MPZL3,SERPINB2,RAP2A,NUDT11,IL4R,EZR,SLC2A3,PAM,PELI1,TANC2,RGS1,AKAP12,TMBIM1,ACAT2,GEM,AK5,IQCK
ESC_J1_UP_EARLY.V1_DN	ESC_J1_UP_EARLY.V1_DN	6.61e-05	108	0.6279	0	0	1	0	keep	itself		True	ZFP36,JUNB,ID1,GSPT2,SOCS3,CCN1,VAX2,NUDT11,TLE4,ZFP36L1,TNFRSF12A,INHBB,BCL3,SPRY4,ANXA3,RELB,ID3,SERPINE1,TGM1,EGR1
TBK1.DF_UP	TBK1.DF_UP	1.03e-04	145	0.5052	0	0	1	0	keep	itself		True	ATF3,SPRR1B,MICA,BTG1,ISL1,PLAUR,HBEGF,LRP12,ADGRE5,IGF1R,SLC2A3,NFIL3,IL1A,GALNT10,MTCL1,TGFA,PELI1,CHIC2,BTG3,IQCK
ESC_J1_UP_LATE.V1_UP	ESC_J1_UP_LATE.V1_UP	2.17e-04	73	0.3925	0	0	1	0	keep	itself		True	ATF3,GADD45B,CCN1,FOXA2,TNFRSF12A,HTRA1,PHLDA1,UNC5B,FOXQ1,APP,ARHGEF28,S100G,CAPN6,CRYAB,TAX1BP3,LPAR3,PLXNB2,CD55,RAB6B,PCDH1
MTOR_UP.N4.V1_UP	MTOR_UP.N4.V1_UP	2.57e-04	102	0.5204	0	0	1	0	keep	itself		True	ATF3,ADM,ULBP1,LDLR,DDIT3,TFPT,CEBPB,BHLHE40,VLDLR,NFIL3,PDXK,ANXA3,CLIC4,ARL4A,MSMO1,PJA1,CHAC1,NME7,DDIT4,TSC22D3
CSR_EARLY_UP.V1_UP	CSR_EARLY_UP.V1_UP	3.31e-04	91	0.5948	0	0	1	0	keep	itself		True	PLAUR,HBEGF,TNFRSF12A,SOX9,SPRY4,FJX1,ID3,CSRNP2,FOXD1,EHD4,CRISPLD2,KLF10,BDKRB1,DDIT4L,SHB,STC1,HPCAL1,DLX2,VTA1,RFK
RB_DN.V1_DN	RB_DN.V1_DN	4.44e-04	79	0.6423	0	0	1	0	keep	itself		True	ACKR3,DDIT3,BHLHE40,TMCC3,NFIL3,NEDD9,MYADM,MSMO1,MICAL2,LRRC4,CHAC1,MMP9,BASP1,DDIT4,CDIPT,DUSP14,S100A16,LAMB3,ST8SIA2,TRAPPC12
