"TF","RKO","SW948","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"HOXA9","2.31670818604689321","2.29950465528590753","2.30810642066640037","2.30810642066640037","Activated","76","viper","76","2.30810642066640037",NA,NA,"4","ReMap--ChIP-seq(rank=156); GTEx--Coexpression(rank=441); Enrichr--Queries(rank=456); ARCHS4--Coexpression(rank=464)","893","0.274399999999999977","GTEx Coexpression,0.2744"
"NANOG","2.06349879333288300","2.47474097753839306","2.26911988543563803","2.26911988543563803","Activated","77","viper","77","2.26911988543563803",NA,NA,"6","Literature--ChIP-seq(rank=60); ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=76); GTEx--Coexpression(rank=552); ARCHS4--Coexpression(rank=590); Enrichr--Queries(rank=833)","846","0.255900000000000016","ReMap ChIP-seq,0.2559"
"PPARG","1.24445513630758997","3.27592150584784836","2.26018832107771939","2.26018832107771939","Activated","78","viper","78","2.26018832107771939",NA,NA,"5","Literature--ChIP-seq(rank=23); Enrichr--Queries(rank=33); ARCHS4--Coexpression(rank=42); GTEx--Coexpression(rank=42); ReMap--ChIP-seq(rank=47)","105","0.023500000000000000","Enrichr Queries,0.0235"
"IRF3","-1.82253496457934405","-2.66766694596161713","-2.24510095527048037","2.24510095527048037","Repressed","79","viper","79","2.24510095527048037",NA,NA,"5","ENCODE--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=183); ARCHS4--Coexpression(rank=571); Enrichr--Queries(rank=832); GTEx--Coexpression(rank=1551)","1073","0.350700000000000012","ARCHS4 Coexpression,0.3507"
"JUN","1.67189574493321591","2.81463841848583662","2.24326708170952616","2.24326708170952616","Activated","80","viper","80","2.24326708170952616",NA,NA,"6","GTEx--Coexpression(rank=8); Literature--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=54); Enrichr--Queries(rank=74); ARCHS4--Coexpression(rank=120)","22","0.004978000000000000","GTEx Coexpression,0.004978"
"SOX13","3.76623187912492741","0.69547004885223485","2.23085096398858118","2.23085096398858118","Activated","81","viper","81","2.23085096398858118",NA,NA,"4","GTEx--Coexpression(rank=67); ReMap--ChIP-seq(rank=111); Enrichr--Queries(rank=234); ARCHS4--Coexpression(rank=925)","187","0.041689999999999998","GTEx Coexpression,0.04169"
"LYL1","1.29083768947739497","-3.15994039876774524","-0.93455135464517514","2.22538904412257033","Repressed","82","viper","82","2.22538904412257033",NA,NA,"5","Literature--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=150); ARCHS4--Coexpression(rank=327); Enrichr--Queries(rank=440); GTEx--Coexpression(rank=1095)","707","0.200899999999999995","ARCHS4 Coexpression,0.2009"
"HMBOX1","-2.47263415429464173","-1.96380773621495397","-2.21822094525479763","2.21822094525479763","Repressed","83","viper","83","2.21822094525479763",NA,NA,"4","ReMap--ChIP-seq(rank=187); GTEx--Coexpression(rank=652); Enrichr--Queries(rank=715); ARCHS4--Coexpression(rank=1358)","1188","0.405700000000000005","GTEx Coexpression,0.4057"
"RELA","1.74056697764386237","2.68450479287988175","2.21253588526187217","2.21253588526187217","Activated","84","viper","84","2.21253588526187217",NA,NA,"6","ReMap--ChIP-seq(rank=13); Literature--ChIP-seq(rank=22); ENCODE--ChIP-seq(rank=26); GTEx--Coexpression(rank=427); ARCHS4--Coexpression(rank=488); Enrichr--Queries(rank=521)","197","0.043770000000000003","ReMap ChIP-seq,0.04377"
"ESRRA","1.75890143157866485","-2.65321298576905118","-0.44715577709519316","2.20605720867385813","Repressed","85","viper","85","2.20605720867385813",NA,NA,"5","ReMap--ChIP-seq(rank=105); ENCODE--ChIP-seq(rank=114); Enrichr--Queries(rank=1003); GTEx--Coexpression(rank=1215); ARCHS4--Coexpression(rank=1285)","1080","0.353499999999999981","ReMap ChIP-seq,0.3535"
"CEBPG","2.67817482767525705","1.72119404842939305","2.19968443805232505","2.19968443805232505","Activated","86","viper","86","2.19968443805232505",NA,NA,"4","ReMap--ChIP-seq(rank=57); Enrichr--Queries(rank=110); ARCHS4--Coexpression(rank=432); GTEx--Coexpression(rank=879)","321","0.078350000000000003","Enrichr Queries,0.07835"
"FOS","1.73788462214864348","2.65513985664284435","2.19651223939574392","2.19651223939574392","Activated","87","viper","87","2.19651223939574392",NA,NA,"5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=18); Enrichr--Queries(rank=92); ARCHS4--Coexpression(rank=204)","14","0.003367000000000000","ReMap ChIP-seq,0.003367"
"SOX6","3.44678376724246638","0.91990459345339726","2.18334418034793165","2.18334418034793165","Activated","88","viper","88","2.18334418034793165",NA,NA,"4","ReMap--ChIP-seq(rank=136); GTEx--Coexpression(rank=214); ARCHS4--Coexpression(rank=557); Enrichr--Queries(rank=621)","497","0.133200000000000013","GTEx Coexpression,0.1332"
"PBX2","3.04189466214709636","1.31702706844624462","2.17946086529667049","2.17946086529667049","Activated","89","viper","89","2.17946086529667049",NA,NA,"4","ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=946); Enrichr--Queries(rank=967); GTEx--Coexpression(rank=1271)","291","0.070709999999999995","ReMap ChIP-seq,0.07071"
"NFE2","3.29103495960961467","-1.04220293100520522","1.12441601430220484","2.16661894530740984","Activated","90","viper","90","2.16661894530740984",NA,NA,"5","ENCODE--ChIP-seq(rank=45); Enrichr--Queries(rank=197); ReMap--ChIP-seq(rank=249); ARCHS4--Coexpression(rank=672); GTEx--Coexpression(rank=1164)","524","0.140300000000000008","Enrichr Queries,0.1403"
"SIX5","-1.60276440059062075","-2.73029293912573401","-2.16652866985817738","2.16652866985817738","Repressed","91","viper","91","2.16652866985817738",NA,NA,"5","ENCODE--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=106); GTEx--Coexpression(rank=199); Enrichr--Queries(rank=480); ARCHS4--Coexpression(rank=1006)","467","0.123799999999999993","GTEx Coexpression,0.1238"
"NR2C2","-3.22791540842908331","-1.07860051581985705","-2.15325796212447029","2.15325796212447029","Repressed","92","viper","92","2.15325796212447029",NA,NA,"5","ENCODE--ChIP-seq(rank=109); ReMap--ChIP-seq(rank=285); ARCHS4--Coexpression(rank=905); Enrichr--Queries(rank=969); GTEx--Coexpression(rank=1125)","1410","0.555899999999999950","ARCHS4 Coexpression,0.5559"
"TAL1","3.71684242090585615","0.54754101997177484","2.13219172043881544","2.13219172043881544","Activated","93","viper","93","2.13219172043881544",NA,NA,"6","ARCHS4--Coexpression(rank=60); ENCODE--ChIP-seq(rank=102); Literature--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=176); Enrichr--Queries(rank=336); GTEx--Coexpression(rank=464)","165","0.036859999999999997","ARCHS4 Coexpression,0.03686"
"BACH2","1.59136837547721366","2.65618173898891019","2.12377505723306204","2.12377505723306204","Activated","94","viper","94","2.12377505723306204",NA,NA,"4","ReMap--ChIP-seq(rank=27); GTEx--Coexpression(rank=122); Enrichr--Queries(rank=297); ARCHS4--Coexpression(rank=664)","311","0.075920000000000001","GTEx Coexpression,0.07592"
"MAFG","2.77093099799646803","1.46128569807459163","2.11610834803552983","2.11610834803552983","Activated","95","viper","95","2.11610834803552983",NA,NA,"4","ReMap--ChIP-seq(rank=65); Enrichr--Queries(rank=77); GTEx--Coexpression(rank=299); ARCHS4--Coexpression(rank=786)","238","0.054840000000000000","Enrichr Queries,0.05484"
"TFAP2A","2.00276651354713220","2.21070011249212728","2.10673331301962996","2.10673331301962996","Activated","96","viper","96","2.10673331301962996",NA,NA,"6","ENCODE--ChIP-seq(rank=33); Literature--ChIP-seq(rank=123); ReMap--ChIP-seq(rank=259); Enrichr--Queries(rank=313); GTEx--Coexpression(rank=319); ARCHS4--Coexpression(rank=651)","701","0.198500000000000010","GTEx Coexpression,0.1985"
"ESR2","2.66655445414725234","1.54197011680766183","2.10426228547745708","2.10426228547745708","Activated","97","viper","97","2.10426228547745708",NA,NA,"5","Literature--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=177); ARCHS4--Coexpression(rank=443); Enrichr--Queries(rank=492); GTEx--Coexpression(rank=1454)","887","0.272100000000000009","ARCHS4 Coexpression,0.2721"
"KLF4","1.55506260831136456","2.63102377839152801","2.09304319335144617","2.09304319335144617","Activated","98","viper","98","2.09304319335144617",NA,NA,"5","Enrichr--Queries(rank=30); GTEx--Coexpression(rank=98); Literature--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=247); ARCHS4--Coexpression(rank=343)","97","0.021370000000000000","Enrichr Queries,0.02137"
"IRF9","3.28748012574077508","0.89649869506131163","2.09198941040104325","2.09198941040104325","Activated","99","viper","99","2.09198941040104325",NA,NA,"4","ReMap--ChIP-seq(rank=93); Enrichr--Queries(rank=106); ARCHS4--Coexpression(rank=164); GTEx--Coexpression(rank=267)","309","0.075499999999999998","Enrichr Queries,0.0755"
"SOX11","2.57879575261251714","1.57224003480357610","2.07551789370804673","2.07551789370804673","Activated","100","viper","100","2.07551789370804673",NA,NA,"5","Literature--ChIP-seq(rank=58); GTEx--Coexpression(rank=178); ReMap--ChIP-seq(rank=263); Enrichr--Queries(rank=692); ARCHS4--Coexpression(rank=1200)","423","0.110799999999999996","GTEx Coexpression,0.1108"
"TFAP4","2.76725086361043315","-1.36079424650234349","0.70322830855404483","2.06402255505638843","Activated","101","viper","101","2.06402255505638843",NA,NA,"4","ReMap--ChIP-seq(rank=82); Enrichr--Queries(rank=850); GTEx--Coexpression(rank=1085); ARCHS4--Coexpression(rank=1257)","898","0.276100000000000012","ReMap ChIP-seq,0.2761"
"TFDP1","-3.54299345479076422","0.54359200769800742","-1.49970072354637840","2.04329273124438604","Repressed","102","viper","102","2.04329273124438604",NA,NA,"4","ReMap--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=868); GTEx--Coexpression(rank=1224); Enrichr--Queries(rank=1331)","1036","0.333299999999999985","ReMap ChIP-seq,0.3333"
"SNAI2","-1.14757169002946058","2.93200911862159819","0.89221871429606880","2.03979040432552949","Activated","103","viper","103","2.03979040432552949",NA,NA,"4","ARCHS4--Coexpression(rank=95); Enrichr--Queries(rank=203); ReMap--ChIP-seq(rank=234); GTEx--Coexpression(rank=1506)","251","0.058349999999999999","ARCHS4 Coexpression,0.05835"
"PROX1","1.90733680121167160","2.16864606130315174","2.03799143125741189","2.03799143125741189","Activated","104","viper","104","2.03799143125741189",NA,NA,"4","ReMap--ChIP-seq(rank=62); Enrichr--Queries(rank=476); ARCHS4--Coexpression(rank=619); GTEx--Coexpression(rank=1120)","730","0.208800000000000013","ReMap ChIP-seq,0.2088"
"SPI1","3.25192837727715123","0.81013159180467076","2.03102998454091122","2.03102998454091122","Activated","105","viper","105","2.03102998454091122",NA,NA,"6","ReMap--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=28); Literature--ChIP-seq(rank=65); ARCHS4--Coexpression(rank=390); Enrichr--Queries(rank=648); GTEx--Coexpression(rank=1034)","136","0.030300000000000001","ReMap ChIP-seq,0.0303"
"STAT3","1.19986643888486721","2.77682677399152444","1.98834660643819583","1.98834660643819583","Activated","106","viper","106","1.98834660643819583",NA,NA,"6","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=14); Literature--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=192); Enrichr--Queries(rank=209); GTEx--Coexpression(rank=418)","208","0.047140000000000001","ReMap ChIP-seq,0.04714"
"PAX6",NA,"1.98532093113727526","1.98532093113727526","1.98532093113727526","Activated","107","viper","107","1.98532093113727526",NA,NA,"5","Literature--ChIP-seq(rank=148); ReMap--ChIP-seq(rank=181); GTEx--Coexpression(rank=460); ARCHS4--Coexpression(rank=648); Enrichr--Queries(rank=670)","930","0.286200000000000010","GTEx Coexpression,0.2862"
"CREB1","2.09794305732297293","1.86775694530778691","1.98285000131537981","1.98285000131537981","Activated","108","viper","108","1.98285000131537981",NA,NA,"6","Literature--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=85); ReMap--ChIP-seq(rank=133); GTEx--Coexpression(rank=514); Enrichr--Queries(rank=1096); ARCHS4--Coexpression(rank=1503)","709","0.201199999999999990","Literature ChIP-seq,0.2012"
"ELF1","1.69792429970478076","2.22408639302426714","1.96100534636452384","1.96100534636452384","Activated","109","viper","109","1.96100534636452384",NA,NA,"5","ARCHS4--Coexpression(rank=67); ENCODE--ChIP-seq(rank=101); Literature--ChIP-seq(rank=143); ReMap--ChIP-seq(rank=197); GTEx--Coexpression(rank=1105)","185","0.041149999999999999","ARCHS4 Coexpression,0.04115"
"STAT2","2.28654066246918086","1.62621802179128361","1.95637934213023224","1.95637934213023224","Activated","110","viper","110","1.95637934213023224",NA,NA,"5","ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=139); ARCHS4--Coexpression(rank=201); Enrichr--Queries(rank=272); GTEx--Coexpression(rank=1447)","466","0.123500000000000013","ARCHS4 Coexpression,0.1235"
"REL","0.62701416928413634","3.25766800303576698","1.94234108615995171","1.94234108615995171","Activated","111","viper","111","1.94234108615995171",NA,NA,"3","Enrichr--Queries(rank=149); ARCHS4--Coexpression(rank=307); GTEx--Coexpression(rank=318)","407","0.106100000000000000","Enrichr Queries,0.1061"
"KMT2A","-2.83451321588002703","1.04519987335161502","-0.89465667126420600","1.93985654461582113","Repressed","112","viper","112","1.93985654461582113",NA,NA,"3","ReMap--ChIP-seq(rank=229); GTEx--Coexpression(rank=617); ARCHS4--Coexpression(rank=1086)","1144","0.383900000000000019","GTEx Coexpression,0.3839"
"THAP11","3.12694101585984363","-0.73153811345751363","1.19770145120116500","1.92923956465867863","Activated","113","viper","113","1.92923956465867863",NA,NA,"5","ReMap--ChIP-seq(rank=86); Literature--ChIP-seq(rank=118); GTEx--Coexpression(rank=231); ARCHS4--Coexpression(rank=483); Enrichr--Queries(rank=1358)","532","0.143699999999999994","GTEx Coexpression,0.1437"
"NFATC1","1.93792437799432515","1.85562208008486595","1.89677322903959555","1.89677322903959555","Activated","114","viper","114","1.89677322903959555",NA,NA,"5","ENCODE--ChIP-seq(rank=81); ARCHS4--Coexpression(rank=87); Enrichr--Queries(rank=171); ReMap--ChIP-seq(rank=290); GTEx--Coexpression(rank=1033)","234","0.053440000000000001","ARCHS4 Coexpression,0.05344"
"ARID3A","3.06278970036511344","0.71270181631953244","1.88774575834232294","1.88774575834232294","Activated","115","viper","115","1.88774575834232294",NA,NA,"5","ENCODE--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=119); Enrichr--Queries(rank=510); GTEx--Coexpression(rank=924); ARCHS4--Coexpression(rank=959)","1100","0.363200000000000023","Enrichr Queries,0.3632"
"KLF6","2.17067341124255853","1.56934414228469921","1.87000877676362887","1.87000877676362887","Activated","116","viper","116","1.87000877676362887",NA,NA,"4","ARCHS4--Coexpression(rank=82); ReMap--ChIP-seq(rank=108); Enrichr--Queries(rank=124); GTEx--Coexpression(rank=870)","221","0.050369999999999998","ARCHS4 Coexpression,0.05037"
"ARID2","-0.09433867961257468","3.64409234121023573","1.77487683079883052","1.86921551041140521","Activated","117","viper","117","1.86921551041140521",NA,NA,"4","ReMap--ChIP-seq(rank=198); Enrichr--Queries(rank=1335); GTEx--Coexpression(rank=1446); ARCHS4--Coexpression(rank=1454)","1521","0.666699999999999848","ReMap ChIP-seq,0.6667"
"TBX21","3.38163927981033208","-0.35417982036219348","1.51372972972406927","1.86790955008626280","Activated","118","viper","118","1.86790955008626280",NA,NA,"4","ReMap--ChIP-seq(rank=80); ARCHS4--Coexpression(rank=301); Enrichr--Queries(rank=656); GTEx--Coexpression(rank=1166)","667","0.184900000000000009","ARCHS4 Coexpression,0.1849"
"EOMES","2.51032732748545095","1.20529025896475495","1.85780879322510284","1.85780879322510284","Activated","119","viper","119","1.85780879322510284",NA,NA,"5","ReMap--ChIP-seq(rank=95); Literature--ChIP-seq(rank=115); Enrichr--Queries(rank=491); ARCHS4--Coexpression(rank=1081); GTEx--Coexpression(rank=1172)","1006","0.319900000000000018","ReMap ChIP-seq,0.3199"
"ETS1","1.10052406406415515","2.57168428817246575","1.83610417611831034","1.83610417611831034","Activated","120","viper","120","1.83610417611831034",NA,NA,"6","GTEx--Coexpression(rank=12); ENCODE--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=120); Literature--ChIP-seq(rank=147); Enrichr--Queries(rank=185); ARCHS4--Coexpression(rank=316)","36","0.007467000000000000","GTEx Coexpression,0.007467"
"AHR","3.34145131377815252","0.31318211191637380","1.82731671284726316","1.82731671284726316","Activated","121","viper","121","1.82731671284726316",NA,NA,"5","Enrichr--Queries(rank=27); Literature--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=154); ARCHS4--Coexpression(rank=183); GTEx--Coexpression(rank=436)","87","0.019230000000000001","Enrichr Queries,0.01923"
"HOXB13","2.09699576804280463","1.50502494211519933","1.80101035507900198","1.80101035507900198","Activated","122","viper","122","1.80101035507900198",NA,NA,"4","ReMap--ChIP-seq(rank=186); Enrichr--Queries(rank=553); ARCHS4--Coexpression(rank=614); GTEx--Coexpression(rank=1590)","1129","0.377099999999999991","ARCHS4 Coexpression,0.3771"
"NFYB","-1.76621740400793725","1.80827712631567783","0.02102986115387029","1.78724726516180743","Activated","123","viper","123","1.78724726516180743",NA,NA,"5","GTEx--Coexpression(rank=38); ENCODE--ChIP-seq(rank=76); ReMap--ChIP-seq(rank=204); Enrichr--Queries(rank=1226); ARCHS4--Coexpression(rank=1337)","107","0.023650000000000001","GTEx Coexpression,0.02365"
"KLF13","1.19311905486538028","2.37269925120680369","1.78290915303609188","1.78290915303609188","Activated","124","viper","124","1.78290915303609188",NA,NA,"4","ReMap--ChIP-seq(rank=185); ARCHS4--Coexpression(rank=258); GTEx--Coexpression(rank=386); Enrichr--Queries(rank=424)","586","0.158500000000000002","ARCHS4 Coexpression,0.1585"
"SREBF1","-3.34380084027821356","0.16898965494718271","-1.58740559266551551","1.75639524761269805","Repressed","125","viper","125","1.75639524761269805",NA,NA,"6","Literature--ChIP-seq(rank=93); ENCODE--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=270); Enrichr--Queries(rank=338); GTEx--Coexpression(rank=529); ARCHS4--Coexpression(rank=776)","803","0.240699999999999997","Enrichr Queries,0.2407"
"BHLHE22","-2.25822377037896693","-1.25080982823526710","-1.75451679930711713","1.75451679930711713","Repressed","126","viper","126","1.75451679930711713",NA,NA,"3","ARCHS4--Coexpression(rank=146); ReMap--ChIP-seq(rank=178); GTEx--Coexpression(rank=342)","353","0.089679999999999996","ARCHS4 Coexpression,0.08968"
"E2F3","-2.92948275406959402","-0.57847578885540674","-1.75397927146250043","1.75397927146250043","Repressed","127","viper","127","1.75397927146250043",NA,NA,"3","GTEx--Coexpression(rank=824); ARCHS4--Coexpression(rank=864); Enrichr--Queries(rank=1067)","1361","0.512800000000000034","GTEx Coexpression,0.5128"
"ETV1","3.04971758165587437","-0.44187267250703666","1.30392245457441880","1.74579512708145557","Activated","128","viper","128","1.74579512708145557",NA,NA,"4","ReMap--ChIP-seq(rank=165); ARCHS4--Coexpression(rank=228); Enrichr--Queries(rank=327); GTEx--Coexpression(rank=736)","523","0.140000000000000013","ARCHS4 Coexpression,0.14"
"EPAS1","-0.46100675975803979","3.01519002167179284","1.27709163095687650","1.73809839071491634","Activated","129","viper","129","1.73809839071491634",NA,NA,"4","GTEx--Coexpression(rank=1); ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=72); ARCHS4--Coexpression(rank=139)","2","0.000622300000000000","GTEx Coexpression,6.223E-4"
"PAX5","1.16885800707180532","-2.29713839712150003","-0.56414019502484736","1.73299820209665256","Repressed","130","viper","130","1.73299820209665256",NA,NA,"5","ARCHS4--Coexpression(rank=32); ENCODE--ChIP-seq(rank=41); GTEx--Coexpression(rank=135); ReMap--ChIP-seq(rank=169); Enrichr--Queries(rank=615)","89","0.019660000000000000","ARCHS4 Coexpression,0.01966"
"STAT5A","0.88685878715934341","2.56707912086989554","1.72696895401461958","1.72696895401461958","Activated","131","viper","131","1.72696895401461958",NA,NA,"6","Literature--ChIP-seq(rank=59); ENCODE--ChIP-seq(rank=84); Enrichr--Queries(rank=136); ReMap--ChIP-seq(rank=167); ARCHS4--Coexpression(rank=185); GTEx--Coexpression(rank=420)","377","0.096869999999999998","Enrichr Queries,0.09687"
"ZBTB33","-1.15839036893880287","2.29063444051055631","0.56612203578587672","1.72451240472467959","Activated","132","viper","132","1.72451240472467959",NA,NA,"5","ENCODE--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=227); GTEx--Coexpression(rank=707); Enrichr--Queries(rank=1084); ARCHS4--Coexpression(rank=1345)","1243","0.440000000000000002","GTEx Coexpression,0.44"
"IKZF1","2.38032587376645077","1.03594145008038341","1.70813366192341709","1.70813366192341709","Activated","133","viper","133","1.70813366192341709",NA,NA,"6","ReMap--ChIP-seq(rank=11); ENCODE--ChIP-seq(rank=14); Literature--ChIP-seq(rank=62); ARCHS4--Coexpression(rank=126); Enrichr--Queries(rank=756); GTEx--Coexpression(rank=858)","166","0.037039999999999997","ReMap ChIP-seq,0.03704"
"RUNX1","3.08216647667233490","0.31912973171494091","1.70064810419363788","1.70064810419363788","Activated","134","viper","134","1.70064810419363788",NA,NA,"5","Literature--ChIP-seq(rank=37); Enrichr--Queries(rank=68); ReMap--ChIP-seq(rank=172); ARCHS4--Coexpression(rank=663); GTEx--Coexpression(rank=1158)","212","0.048430000000000001","Enrichr Queries,0.04843"
"MEF2B","1.46022492323379782","1.93069463150889753","1.69545977737134779","1.69545977737134779","Activated","135","viper","135","1.69545977737134779",NA,NA,"4","ReMap--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=62); Enrichr--Queries(rank=226); GTEx--Coexpression(rank=453)","171","0.038080000000000003","ARCHS4 Coexpression,0.03808"
"NFYA","-2.34045420202856169","0.99823397721224372","-0.67111011240815899","1.66934408962040282","Repressed","136","viper","136","1.66934408962040282",NA,NA,"5","ENCODE--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=191); Enrichr--Queries(rank=827); ARCHS4--Coexpression(rank=991); GTEx--Coexpression(rank=1097)","1449","0.588999999999999968","Enrichr Queries,0.589"
"FOXP2","-1.92648341393538969","-1.37821010273639333","-1.65234675833589151","1.65234675833589151","Repressed","137","viper","137","1.65234675833589151",NA,NA,"6","Literature--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=123); ARCHS4--Coexpression(rank=670); GTEx--Coexpression(rank=795); Enrichr--Queries(rank=811)","302","0.073169999999999999","Literature ChIP-seq,0.07317"
"ATF2","2.75505413769684138","0.52759382387304565","1.64132398078494357","1.64132398078494357","Activated","138","viper","138","1.64132398078494357",NA,NA,"5","ENCODE--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=241); ARCHS4--Coexpression(rank=278); GTEx--Coexpression(rank=352); Enrichr--Queries(rank=853)","621","0.170800000000000007","ARCHS4 Coexpression,0.1708"
"KLF5","1.60414518141384987","-1.66981136357455684","-0.03283309108035348","1.63697827249420325","Repressed","139","viper","139","1.63697827249420325",NA,NA,"5","Literature--ChIP-seq(rank=98); Enrichr--Queries(rank=129); ReMap--ChIP-seq(rank=271); ARCHS4--Coexpression(rank=326); GTEx--Coexpression(rank=865)","361","0.091880000000000003","Enrichr Queries,0.09188"
"IRF2","1.25883407263805247","2.00661698357887630","1.63272552810846427","1.63272552810846427","Activated","140","viper","140","1.63272552810846427",NA,NA,"4","ARCHS4--Coexpression(rank=195); ReMap--ChIP-seq(rank=272); Enrichr--Queries(rank=518); GTEx--Coexpression(rank=977)","454","0.119800000000000004","ARCHS4 Coexpression,0.1198"
"MYOD1","2.47579878619988980","-0.76701880242145148","0.85438999188921916","1.62140879431067075","Activated","141","viper","141","1.62140879431067075",NA,NA,"5","ENCODE--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=67); GTEx--Coexpression(rank=286); ARCHS4--Coexpression(rank=636); Enrichr--Queries(rank=888)","644","0.177999999999999992","GTEx Coexpression,0.178"
"SRF","-2.31710465847851133","0.92476383291935005","-0.69617041277958069","1.62093424569893063","Repressed","142","viper","142","1.62093424569893063",NA,NA,"6","GTEx--Coexpression(rank=49); ENCODE--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=116); Literature--ChIP-seq(rank=140); Enrichr--Queries(rank=719); ARCHS4--Coexpression(rank=1028)","138","0.030490000000000000","GTEx Coexpression,0.03049"
"ASCL1","0.98293552179810562","-2.22297102068990560","-0.62001774944590005","1.60295327124400555","Repressed","143","viper","143","1.60295327124400555",NA,NA,"4","ReMap--ChIP-seq(rank=268); ARCHS4--Coexpression(rank=384); GTEx--Coexpression(rank=622); Enrichr--Queries(rank=1173)","793","0.235899999999999999","ARCHS4 Coexpression,0.2359"
"CTCFL","1.72519605760251338","-1.46606748125128772","0.12956428817561283","1.59563176942690044","Activated","144","viper","144","1.59563176942690044",NA,NA,"5","ENCODE--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=237); Enrichr--Queries(rank=907); ARCHS4--Coexpression(rank=1208); GTEx--Coexpression(rank=1377)","1507","0.646000000000000019","Enrichr Queries,0.646"
"CTCF","2.96978524642488528","-0.21615868104441352","1.37681328269023595","1.59297196373464933","Activated","145","viper","145","1.59297196373464933",NA,NA,"6","ENCODE--ChIP-seq(rank=9); Literature--ChIP-seq(rank=121); ReMap--ChIP-seq(rank=168); ARCHS4--Coexpression(rank=1049); GTEx--Coexpression(rank=1211); Enrichr--Queries(rank=1310)","314","0.076270000000000004","ENCODE ChIP-seq,0.07627"
"GABPA","1.01744245181736348","2.16705684599840431","1.59224964890788390","1.59224964890788390","Activated","146","viper","146","1.59224964890788390",NA,NA,"6","GTEx--Coexpression(rank=35); Literature--ChIP-seq(rank=81); ENCODE--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=210); ARCHS4--Coexpression(rank=1189); Enrichr--Queries(rank=1220)","99","0.021780000000000001","GTEx Coexpression,0.02178"
"ETV4","-0.84115904777219874","2.33249622446808802","0.74566858834794458","1.58682763612014344","Activated","147","viper","147","1.58682763612014344",NA,NA,"4","ReMap--ChIP-seq(rank=158); Enrichr--Queries(rank=232); ARCHS4--Coexpression(rank=807); GTEx--Coexpression(rank=1433)","604","0.165200000000000014","Enrichr Queries,0.1652"
"GFI1B","2.68652581756457387","-0.47442399576286409","1.10605091090085494","1.58047490666371893","Activated","148","viper","148","1.58047490666371893",NA,NA,"5","ARCHS4--Coexpression(rank=107); Literature--ChIP-seq(rank=149); ReMap--ChIP-seq(rank=242); Enrichr--Queries(rank=757); GTEx--Coexpression(rank=807)","273","0.065720000000000001","ARCHS4 Coexpression,0.06572"
"FOXM1","-2.77067967053790509","-0.38507418144862265","-1.57787692599326390","1.57787692599326390","Repressed","149","viper","149","1.57787692599326390",NA,NA,"6","Literature--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=79); ReMap--ChIP-seq(rank=161); ARCHS4--Coexpression(rank=862); GTEx--Coexpression(rank=1228); Enrichr--Queries(rank=1378)","983","0.310999999999999999","Literature ChIP-seq,0.311"
"FOSL2","-0.95891647164873373","2.16909037709685792","0.60508695272406210","1.56400342437279583","Activated","150","viper","150","1.56400342437279583",NA,NA,"5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=5); Enrichr--Queries(rank=55); ARCHS4--Coexpression(rank=344); GTEx--Coexpression(rank=1018)","77","0.016840000000000001","ReMap ChIP-seq,0.01684"
