"Query Name","Rank","TF","Score","Library","Overlapping_Genes","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"DEG_DLD1_HCT15","31","FOSL2","0.008475000000000000","ENCODE ChIP-seq,0.008475","SLC22A4,LAMB3,ATG9B,GREB1,TNFAIP3,NR1D1,MCC,PRSS22,GPNMB,ADGRF4,NOCT,CLCF1,NEU1,UPP1","chea3","31","0.008475000000000000",NA,NA,"","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=93); ARCHS4--Coexpression(rank=114); GTEx--Coexpression(rank=851)","31","0.008475000000000000","ENCODE ChIP-seq,0.008475"
"DEG_DLD1_HCT15","32","ZNF165","0.008547000000000001","Enrichr Queries,0.008547","CXCL8,TNFAIP3,IFIT1,RND3,HERPUD1,RELB,LAMP3,NOCT,UPP1,DUSP5,EDN1,LAMB3,GDF15,IGFBP3,IFRD1,HSPA6,NR4A3,GPRC5A,SLPI,DDIT3,BHLHE40,LCN2,MXD1,ATF3,DDR2,HBEGF","chea3","32","0.008547000000000001",NA,NA,"","4","Enrichr--Queries(rank=12); ARCHS4--Coexpression(rank=107); ReMap--ChIP-seq(rank=180); GTEx--Coexpression(rank=1021)","32","0.008547000000000001","Enrichr Queries,0.008547"
"DEG_DLD1_HCT15","33","PAX2","0.008711999999999999","GTEx Coexpression,0.008712","UNC5CL,GDF15,CLEC18C,WNK4,SFXN2,CLDN2,HOXD8,SLC22A11","chea3","33","0.008711999999999999",NA,NA,"","3","GTEx--Coexpression(rank=14); ARCHS4--Coexpression(rank=212); Enrichr--Queries(rank=853)","33","0.008711999999999999","GTEx Coexpression,0.008712"
"DEG_DLD1_HCT15","34","ZNF425","0.009259000000000000","Enrichr Queries,0.009259","OSER1,CXCL8,TNFAIP3,PRDM1,IFIT1,RND3,HERPUD1,RND1,SESN2,DUSP5,EDN1,LAMB3,GDF15,IGFBP3,IFRD1,FBXO32,DHRS3,IQCN,DDIT3,BHLHE40,NUPR1,SERPINI1,MXD1,ATF3,DDR2,HBEGF","chea3","34","0.009259000000000000",NA,NA,"","3","Enrichr--Queries(rank=13); ARCHS4--Coexpression(rank=387); GTEx--Coexpression(rank=1387)","34","0.009259000000000000","Enrichr Queries,0.009259"
"DEG_DLD1_HCT15","35","ELF3","0.009334000000000000","GTEx Coexpression,0.009334","CDKN2B,LAMB3,CEACAM6,WNK4,PRDM1,PRSS22,SDCBP2,BCL2L15","chea3","35","0.009334000000000000",NA,NA,"","4","GTEx--Coexpression(rank=15); Enrichr--Queries(rank=28); ARCHS4--Coexpression(rank=39); ReMap--ChIP-seq(rank=63)","35","0.009334000000000000","GTEx Coexpression,0.009334"
"DEG_DLD1_HCT15","36","BHLHE41","0.009828000000000000","ARCHS4 Coexpression,0.009828","TTYH2,PYGM,NPL,NR4A3,GPNMB,TP53INP2,CAPN3,ABL2,APOE,CD68,OTUD1,HBEGF","chea3","36","0.009828000000000000",NA,NA,"","2","ARCHS4--Coexpression(rank=16); GTEx--Coexpression(rank=99)","36","0.009828000000000000","ARCHS4 Coexpression,0.009828"
"DEG_DLD1_HCT15","37","TCF21","0.009956000000000000","GTEx Coexpression,0.009956","AOC3,GPRC5A,TNXB,CEACAM6,CASS4,DCHS1,PCDH12,ETS1","chea3","37","0.009956000000000000",NA,NA,"","4","Literature--ChIP-seq(rank=7); GTEx--Coexpression(rank=16); ARCHS4--Coexpression(rank=251); Enrichr--Queries(rank=475)","37","0.009956000000000000","GTEx Coexpression,0.009956"
"DEG_DLD1_HCT15","38","ZNF318","0.010100000000000000","ReMap ChIP-seq,0.0101","SELPLG,PHF1,GUCA1B,TNFAIP3,NPL,PRSS22,PPP1R18,SOCS1,TP53INP2,NEU1,LY6G6C,DUSP5,GDF15,NOS3,ATG9B,MAP1LC3B2,NR1D1,DHRS3,IQCN,PER1,NR4A3,IL23A,DDIT3,BHLHE40,ABCG1,ATF3","chea3","38","0.010100000000000000",NA,NA,"","4","ReMap--ChIP-seq(rank=3); ARCHS4--Coexpression(rank=1014); Enrichr--Queries(rank=1302); GTEx--Coexpression(rank=1435)","38","0.010100000000000000","ReMap ChIP-seq,0.0101"
"DEG_DLD1_HCT15","39","EHF","0.010440000000000000","ARCHS4 Coexpression,0.01044","CCDC17,DNAH12,FGFBP1,LAMB3,KRT7,PRSS22,SDCBP2,GPRC5A,SLPI,CEACAM6,ADGRF4,LCN2","chea3","39","0.010440000000000000",NA,NA,"","4","ARCHS4--Coexpression(rank=17); Enrichr--Queries(rank=32); GTEx--Coexpression(rank=40); ReMap--ChIP-seq(rank=267)","39","0.010440000000000000","ARCHS4 Coexpression,0.01044"
"DEG_DLD1_HCT15","40","EGR1","0.010580000000000001","GTEx Coexpression,0.01058","DUSP5,PER1,NR4A3,CLCF1,BHLHE40,ATF3,HBEGF","chea3","40","0.010580000000000001",NA,NA,"","6","Enrichr--Queries(rank=15); GTEx--Coexpression(rank=17); Literature--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=57); ARCHS4--Coexpression(rank=70); ENCODE--ChIP-seq(rank=76)","40","0.010580000000000001","GTEx Coexpression,0.01058"
"DEG_DLD1_HCT15","41","FOXP3","0.011060000000000000","ARCHS4 Coexpression,0.01106","FCMR,SOCS1,SELPLG,NFATC1,HAPLN3,GBP2,ETS1,CORO1A,PPP1R18,APOL3,RELB","chea3","41","0.011060000000000000",NA,NA,"","4","ARCHS4--Coexpression(rank=18); Literature--ChIP-seq(rank=102); Enrichr--Queries(rank=309); GTEx--Coexpression(rank=973)","41","0.011060000000000000","ARCHS4 Coexpression,0.01106"
"DEG_DLD1_HCT15","42","ERG","0.011200000000000000","GTEx Coexpression,0.0112","AOC3,FAM241A,PCDH12,HAPLN3,ETS1,RIMKLB,APOL3","chea3","42","0.011200000000000000",NA,NA,"","5","GTEx--Coexpression(rank=18); Literature--ChIP-seq(rank=138); ReMap--ChIP-seq(rank=196); ARCHS4--Coexpression(rank=367); Enrichr--Queries(rank=630)","42","0.011200000000000000","GTEx Coexpression,0.0112"
"DEG_DLD1_HCT15","43","ZNF222","0.011400000000000000","Enrichr Queries,0.0114","OSER1,CXCL8,TNFAIP3,IFIT1,CLU,RND3,CLGN,HERPUD1,GPNMB,LAMP3,SESN2,UPP1,GBP2,DUSP5,EDN1,ZNF461,GDF15,IFRD1,DDIT3,BHLHE40,SERPINI1,MXD1,ATF3,CPEB4,DDR2","chea3","43","0.011400000000000000",NA,NA,"","3","Enrichr--Queries(rank=16); GTEx--Coexpression(rank=343); ARCHS4--Coexpression(rank=562)","43","0.011400000000000000","Enrichr Queries,0.0114"
