"TF","HVL_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"HNF1B","1.97680479735286552","1.97680479735286552","1.97680479735286552","Activated","80","viper","80","1.97680479735286552",NA,NA,"3","ReMap--ChIP-seq(rank=276); Enrichr--Queries(rank=1116); ARCHS4--Coexpression(rank=1285)","1578","0.78930000000000000","ARCHS4 Coexpression,0.7893"
"RFX2","1.95028385990828035","1.95028385990828035","1.95028385990828035","Activated","81","viper","81","1.95028385990828035",NA,NA,"4","ReMap--ChIP-seq(rank=54); ARCHS4--Coexpression(rank=169); Enrichr--Queries(rank=676); GTEx--Coexpression(rank=1037)","382","0.10380000000000000","ARCHS4 Coexpression,0.1038"
"MYOD1","1.91750569849675134","1.91750569849675134","1.91750569849675134","Activated","82","viper","82","1.91750569849675134",NA,NA,"5","ENCODE--ChIP-seq(rank=109); ReMap--ChIP-seq(rank=226); GTEx--Coexpression(rank=690); Enrichr--Queries(rank=1193); ARCHS4--Coexpression(rank=1375)","1227","0.42940000000000000","GTEx Coexpression,0.4294"
"STAT1","1.91584943242883132","1.91584943242883132","1.91584943242883132","Activated","83","viper","83","1.91584943242883132",NA,NA,"6","GTEx--Coexpression(rank=27); ENCODE--ChIP-seq(rank=52); Literature--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=143); Enrichr--Queries(rank=549); ARCHS4--Coexpression(rank=1089)","61","0.01680000000000000","GTEx Coexpression,0.0168"
"MYBL2","-1.91011848644108162","-1.91011848644108162","1.91011848644108162","Repressed","84","viper","84","1.91011848644108162",NA,NA,"6","Enrichr--Queries(rank=3); Literature--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=6); GTEx--Coexpression(rank=10); ReMap--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=20)","7","0.00213700000000000","Enrichr Queries,0.002137"
"NFE2L2","1.89856921443949123","1.89856921443949123","1.89856921443949123","Activated","85","viper","85","1.89856921443949123",NA,NA,"5","ReMap--ChIP-seq(rank=67); Literature--ChIP-seq(rank=131); ARCHS4--Coexpression(rank=702); GTEx--Coexpression(rank=951); Enrichr--Queries(rank=1049)","775","0.22559999999999999","ReMap ChIP-seq,0.2256"
"IRF4","1.88602825590924184","1.88602825590924184","1.88602825590924184","Activated","86","viper","86","1.88602825590924184",NA,NA,"5","GTEx--Coexpression(rank=41); ENCODE--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=118); Enrichr--Queries(rank=1093); ARCHS4--Coexpression(rank=1307)","92","0.02551000000000000","GTEx Coexpression,0.02551"
"HNF4A","1.82469070898918817","1.82469070898918817","1.82469070898918817","Activated","87","viper","87","1.82469070898918817",NA,NA,"6","Literature--ChIP-seq(rank=47); ENCODE--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=116); GTEx--Coexpression(rank=402); ARCHS4--Coexpression(rank=955); Enrichr--Queries(rank=975)","839","0.25019999999999998","GTEx Coexpression,0.2502"
"PPARA","1.80990892607338005","1.80990892607338005","1.80990892607338005","Activated","88","viper","88","1.80990892607338005",NA,NA,"3","Enrichr--Queries(rank=619); GTEx--Coexpression(rank=682); ARCHS4--Coexpression(rank=904)","1216","0.42440000000000000","GTEx Coexpression,0.4244"
"YY1","-1.80936164890770756","-1.80936164890770756","1.80936164890770756","Repressed","89","viper","89","1.80936164890770756",NA,NA,"6","ReMap--ChIP-seq(rank=36); Literature--ChIP-seq(rank=63); ARCHS4--Coexpression(rank=66); ENCODE--ChIP-seq(rank=70); Enrichr--Queries(rank=187); GTEx--Coexpression(rank=934)","149","0.04054000000000000","ARCHS4 Coexpression,0.04054"
"SPI1","1.79883192413240423","1.79883192413240423","1.79883192413240423","Activated","90","viper","90","1.79883192413240423",NA,NA,"6","Literature--ChIP-seq(rank=21); ENCODE--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=252); Enrichr--Queries(rank=1175); ARCHS4--Coexpression(rank=1297); GTEx--Coexpression(rank=1516)","470","0.12800000000000000","Literature ChIP-seq,0.128"
"ARID3A","1.79357062407210810","1.79357062407210810","1.79357062407210810","Activated","91","viper","91","1.79357062407210810",NA,NA,"5","ENCODE--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=129); GTEx--Coexpression(rank=502); Enrichr--Queries(rank=629); ARCHS4--Coexpression(rank=1186)","1001","0.31240000000000001","GTEx Coexpression,0.3124"
"SP3","1.76658135118458182","1.76658135118458182","1.76658135118458182","Activated","92","viper","92","1.76658135118458182",NA,NA,"3","Enrichr--Queries(rank=254); GTEx--Coexpression(rank=915); ARCHS4--Coexpression(rank=1018)","642","0.18090000000000001","Enrichr Queries,0.1809"
"MEIS2","1.76513814999745988","1.76513814999745988","1.76513814999745988","Activated","93","viper","93","1.76513814999745988",NA,NA,"4","ReMap--ChIP-seq(rank=105); ARCHS4--Coexpression(rank=1046); Enrichr--Queries(rank=1144); GTEx--Coexpression(rank=1545)","1082","0.35349999999999998","ReMap ChIP-seq,0.3535"
"IRF1","1.72052428250094058","1.72052428250094058","1.72052428250094058","Activated","94","viper","94","1.72052428250094058",NA,NA,"6","ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=112); Literature--ChIP-seq(rank=125); Enrichr--Queries(rank=863); GTEx--Coexpression(rank=993); ARCHS4--Coexpression(rank=1293)","523","0.14410000000000001","ENCODE ChIP-seq,0.1441"
"TFAP4","1.69115820709233611","1.69115820709233611","1.69115820709233611","Activated","95","viper","95","1.69115820709233611",NA,NA,"4","Enrichr--Queries(rank=35); ReMap--ChIP-seq(rank=69); GTEx--Coexpression(rank=155); ARCHS4--Coexpression(rank=394)","89","0.02493000000000000","Enrichr Queries,0.02493"
"REST","-1.63887177523259875","-1.63887177523259875","1.63887177523259875","Repressed","96","viper","96","1.63887177523259875",NA,NA,"6","ENCODE--ChIP-seq(rank=66); Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=137); ARCHS4--Coexpression(rank=239); Enrichr--Queries(rank=397); GTEx--Coexpression(rank=1156)","531","0.14680000000000001","ARCHS4 Coexpression,0.1468"
"TCF3","-1.60833110851329786","-1.60833110851329786","1.60833110851329786","Repressed","97","viper","97","1.60833110851329786",NA,NA,"6","GTEx--Coexpression(rank=28); ReMap--ChIP-seq(rank=32); Literature--ChIP-seq(rank=43); ARCHS4--Coexpression(rank=59); Enrichr--Queries(rank=68); ENCODE--ChIP-seq(rank=83)","65","0.01742000000000000","GTEx Coexpression,0.01742"
"RUNX1","1.60346234066901894","1.60346234066901894","1.60346234066901894","Activated","98","viper","98","1.60346234066901894",NA,NA,"5","Literature--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=701); Enrichr--Queries(rank=962); GTEx--Coexpression(rank=997)","789","0.23169999999999999","Literature ChIP-seq,0.2317"
"ESR2","1.60197992122492416","1.60197992122492416","1.60197992122492416","Activated","99","viper","99","1.60197992122492416",NA,NA,"5","Literature--ChIP-seq(rank=134); ReMap--ChIP-seq(rank=190); GTEx--Coexpression(rank=203); Enrichr--Queries(rank=669); ARCHS4--Coexpression(rank=737)","461","0.12630000000000000","GTEx Coexpression,0.1263"
"TCF4","1.58797326962014429","1.58797326962014429","1.58797326962014429","Activated","100","viper","100","1.58797326962014429",NA,NA,"5","Literature--ChIP-seq(rank=147); ReMap--ChIP-seq(rank=179); ARCHS4--Coexpression(rank=1135); Enrichr--Queries(rank=1150); GTEx--Coexpression(rank=1508)","1447","0.60270000000000001","ReMap ChIP-seq,0.6027"
"KLF1","1.58101960798620444","1.58101960798620444","1.58101960798620444","Activated","101","viper","101","1.58101960798620444",NA,NA,"5","Literature--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=39); Enrichr--Queries(rank=175); ARCHS4--Coexpression(rank=220); GTEx--Coexpression(rank=1005)","340","0.09146000000000000","Literature ChIP-seq,0.09146"
"IRF3","-1.54096059601531832","-1.54096059601531832","1.54096059601531832","Repressed","102","viper","102","1.54096059601531832",NA,NA,"5","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=4); GTEx--Coexpression(rank=359); Enrichr--Queries(rank=513); ARCHS4--Coexpression(rank=683)","32","0.01010000000000000","ReMap ChIP-seq,0.0101"
"ASCL1","1.51997389568688068","1.51997389568688068","1.51997389568688068","Activated","103","viper","103","1.51997389568688068",NA,NA,"4","ReMap--ChIP-seq(rank=204); Enrichr--Queries(rank=1020); GTEx--Coexpression(rank=1073); ARCHS4--Coexpression(rank=1188)","1502","0.66769999999999996","GTEx Coexpression,0.6677"
"BHLHE40","-1.50970065212874460","-1.50970065212874460","1.50970065212874460","Repressed","104","viper","104","1.50970065212874460",NA,NA,"4","ReMap--ChIP-seq(rank=20); ENCODE--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=1075); GTEx--Coexpression(rank=1178)","253","0.06734000000000000","ReMap ChIP-seq,0.06734"
"SMAD4","1.50509690941782104","1.50509690941782104","1.50509690941782104","Activated","105","viper","105","1.50509690941782104",NA,NA,"5","Literature--ChIP-seq(rank=100); ReMap--ChIP-seq(rank=282); Enrichr--Queries(rank=466); GTEx--Coexpression(rank=870); ARCHS4--Coexpression(rank=923)","1044","0.33189999999999992","Enrichr Queries,0.3319"
"ATF3","-1.48649439998359689","-1.48649439998359689","1.48649439998359689","Repressed","106","viper","106","1.48649439998359689",NA,NA,"6","ENCODE--ChIP-seq(rank=65); Literature--ChIP-seq(rank=84); ReMap--ChIP-seq(rank=220); GTEx--Coexpression(rank=676); Enrichr--Queries(rank=923); ARCHS4--Coexpression(rank=1000)","1209","0.42070000000000002","GTEx Coexpression,0.4207"
"ZEB2","-1.47012030352933820","-1.47012030352933820","1.47012030352933820","Repressed","107","viper","107","1.47012030352933820",NA,NA,"4","ReMap--ChIP-seq(rank=268); ARCHS4--Coexpression(rank=942); Enrichr--Queries(rank=1124); GTEx--Coexpression(rank=1206)","1426","0.57860000000000000","ARCHS4 Coexpression,0.5786"
"POU2F1","1.45089384163688639","1.45089384163688639","1.45089384163688639","Activated","108","viper","108","1.45089384163688639",NA,NA,"4","ReMap--ChIP-seq(rank=213); ARCHS4--Coexpression(rank=249); Enrichr--Queries(rank=377); GTEx--Coexpression(rank=485)","550","0.15290000000000001","ARCHS4 Coexpression,0.1529"
"BCL11A","1.43477950646519781","1.43477950646519781","1.43477950646519781","Activated","109","viper","109","1.43477950646519781",NA,NA,"5","ReMap--ChIP-seq(rank=78); ENCODE--ChIP-seq(rank=116); ARCHS4--Coexpression(rank=787); Enrichr--Queries(rank=822); GTEx--Coexpression(rank=1133)","867","0.26260000000000000","ReMap ChIP-seq,0.2626"
"BATF","1.42289740858196057","1.42289740858196057","1.42289740858196057","Activated","110","viper","110","1.42289740858196057",NA,NA,"5","ENCODE--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=230); GTEx--Coexpression(rank=417); Enrichr--Queries(rank=1279); ARCHS4--Coexpression(rank=1291)","860","0.25950000000000001","GTEx Coexpression,0.2595"
"ONECUT1","1.41359406411105670","1.41359406411105670","1.41359406411105670","Activated","111","viper","111","1.41359406411105670",NA,NA,"4","ReMap--ChIP-seq(rank=281); GTEx--Coexpression(rank=999); Enrichr--Queries(rank=1030); ARCHS4--Coexpression(rank=1455)","1463","0.62170000000000003","GTEx Coexpression,0.6217"
"HMBOX1","-1.41256376413926876","-1.41256376413926876","1.41256376413926876","Repressed","112","viper","112","1.41256376413926876",NA,NA,"4","ReMap--ChIP-seq(rank=146); ARCHS4--Coexpression(rank=463); Enrichr--Queries(rank=572); GTEx--Coexpression(rank=681)","930","0.28439999999999999","ARCHS4 Coexpression,0.2844"
"TBX21","1.39015035986841484","1.39015035986841484","1.39015035986841484","Activated","113","viper","113","1.39015035986841484",NA,NA,"4","ReMap--ChIP-seq(rank=186); Enrichr--Queries(rank=1017); ARCHS4--Coexpression(rank=1361); GTEx--Coexpression(rank=1373)","1468","0.62629999999999997","ReMap ChIP-seq,0.6263"
"KLF5","1.38342354916091415","1.38342354916091415","1.38342354916091415","Activated","114","viper","114","1.38342354916091415",NA,NA,"5","ReMap--ChIP-seq(rank=86); Literature--ChIP-seq(rank=111); Enrichr--Queries(rank=568); GTEx--Coexpression(rank=984); ARCHS4--Coexpression(rank=1572)","943","0.28960000000000002","ReMap ChIP-seq,0.2896"
"NFATC1","1.38037763997734664","1.38037763997734664","1.38037763997734664","Activated","115","viper","115","1.38037763997734664",NA,NA,"5","ENCODE--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=150); GTEx--Coexpression(rank=589); ARCHS4--Coexpression(rank=1097); Enrichr--Queries(rank=1141)","1116","0.36649999999999999","GTEx Coexpression,0.3665"
"MYB","-1.37931716946825178","-1.37931716946825178","1.37931716946825178","Repressed","116","viper","116","1.37931716946825178",NA,NA,"6","Enrichr--Queries(rank=23); Literature--ChIP-seq(rank=40); ENCODE--ChIP-seq(rank=42); ARCHS4--Coexpression(rank=107); GTEx--Coexpression(rank=112); ReMap--ChIP-seq(rank=178)","59","0.01638000000000000","Enrichr Queries,0.01638"
"ZKSCAN1","1.36879190383978844","1.36879190383978844","1.36879190383978844","Activated","117","viper","117","1.36879190383978844",NA,NA,"5","ReMap--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=279); Enrichr--Queries(rank=521); GTEx--Coexpression(rank=620)","431","0.11780000000000000","ReMap ChIP-seq,0.1178"
"MAZ","-1.34718177670957284","-1.34718177670957284","1.34718177670957284","Repressed","118","viper","118","1.34718177670957284",NA,NA,"5","ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=57); Enrichr--Queries(rank=67); ARCHS4--Coexpression(rank=143); GTEx--Coexpression(rank=386)","178","0.04772000000000000","Enrichr Queries,0.04772"
"SREBF2","-1.34655961524152024","-1.34655961524152024","1.34655961524152024","Repressed","119","viper","119","1.34655961524152024",NA,NA,"6","Literature--ChIP-seq(rank=71); ENCODE--ChIP-seq(rank=85); ReMap--ChIP-seq(rank=110); Enrichr--Queries(rank=460); ARCHS4--Coexpression(rank=565); GTEx--Coexpression(rank=1112)","1037","0.32760000000000000","Enrichr Queries,0.3276"
"RFX5","1.33148570627525253","1.33148570627525253","1.33148570627525253","Activated","120","viper","120","1.33148570627525253",NA,NA,"5","ReMap--ChIP-seq(rank=11); ENCODE--ChIP-seq(rank=18); Enrichr--Queries(rank=117); GTEx--Coexpression(rank=120); ARCHS4--Coexpression(rank=419)","137","0.03704000000000000","ReMap ChIP-seq,0.03704"
"AR","1.30227691048522742","1.30227691048522742","1.30227691048522742","Activated","121","viper","121","1.30227691048522742",NA,NA,"5","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=263); ARCHS4--Coexpression(rank=650); Enrichr--Queries(rank=951); GTEx--Coexpression(rank=1403)","134","0.03659000000000000","Literature ChIP-seq,0.03659"
"NR1H2","1.29986550686469782","1.29986550686469782","1.29986550686469782","Activated","122","viper","122","1.29986550686469782",NA,NA,"4","ReMap--ChIP-seq(rank=127); GTEx--Coexpression(rank=468); ARCHS4--Coexpression(rank=574); Enrichr--Queries(rank=935)","945","0.29120000000000001","GTEx Coexpression,0.2912"
"GATA6","1.28156166928803494","1.28156166928803494","1.28156166928803494","Activated","123","viper","123","1.28156166928803494",NA,NA,"5","Literature--ChIP-seq(rank=79); ReMap--ChIP-seq(rank=261); GTEx--Coexpression(rank=432); Enrichr--Queries(rank=1061); ARCHS4--Coexpression(rank=1458)","882","0.26879999999999998","GTEx Coexpression,0.2688"
"NEUROD1","1.27215195106411971","1.27215195106411971","1.27215195106411971","Activated","124","viper","124","1.27215195106411971",NA,NA,"4","ReMap--ChIP-seq(rank=93); GTEx--Coexpression(rank=592); Enrichr--Queries(rank=1128); ARCHS4--Coexpression(rank=1204)","1003","0.31309999999999999","ReMap ChIP-seq,0.3131"
"CUX1","1.26395550556208569","1.26395550556208569","1.26395550556208569","Activated","125","viper","125","1.26395550556208569",NA,NA,"6","Literature--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=58); GTEx--Coexpression(rank=101); ARCHS4--Coexpression(rank=1067); Enrichr--Queries(rank=1169)","235","0.06285000000000000","GTEx Coexpression,0.06285"
"SOX11","1.26027419920296024","1.26027419920296024","1.26027419920296024","Activated","126","viper","126","1.26027419920296024",NA,NA,"5","Literature--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=135); Enrichr--Queries(rank=351); ARCHS4--Coexpression(rank=1001); GTEx--Coexpression(rank=1574)","837","0.25000000000000000","Enrichr Queries,0.25"
"CEBPG","1.25101695754550235","1.25101695754550235","1.25101695754550235","Activated","127","viper","127","1.25101695754550235",NA,NA,"4","ARCHS4--Coexpression(rank=105); ReMap--ChIP-seq(rank=189); Enrichr--Queries(rank=199); GTEx--Coexpression(rank=1457)","241","0.06450000000000000","ARCHS4 Coexpression,0.0645"
"SOX6","1.24906689024097162","1.24906689024097162","1.24906689024097162","Activated","128","viper","128","1.24906689024097162",NA,NA,"4","ReMap--ChIP-seq(rank=151); GTEx--Coexpression(rank=899); Enrichr--Queries(rank=991); ARCHS4--Coexpression(rank=1145)","1347","0.50839999999999996","ReMap ChIP-seq,0.5084"
"PKNOX1","1.24754846600970626","1.24754846600970626","1.24754846600970626","Activated","129","viper","129","1.24754846600970626",NA,NA,"4","ReMap--ChIP-seq(rank=108); GTEx--Coexpression(rank=221); Enrichr--Queries(rank=330); ARCHS4--Coexpression(rank=728)","498","0.13750000000000001","GTEx Coexpression,0.1375"
"ZBTB7A","-1.20235415956915670","-1.20235415956915670","1.20235415956915670","Repressed","130","viper","130","1.20235415956915670",NA,NA,"5","ENCODE--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=679); ARCHS4--Coexpression(rank=857); GTEx--Coexpression(rank=1570)","1274","0.45789999999999997","ReMap ChIP-seq,0.4579"
"CEBPB","1.18798000083251210","1.18798000083251210","1.18798000083251210","Activated","131","viper","131","1.18798000083251210",NA,NA,"6","ENCODE--ChIP-seq(rank=23); Literature--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=227); Enrichr--Queries(rank=874); ARCHS4--Coexpression(rank=1316); GTEx--Coexpression(rank=1382)","681","0.19489999999999999","ENCODE ChIP-seq,0.1949"
"SP1","-1.18732650077905522","-1.18732650077905522","1.18732650077905522","Repressed","132","viper","132","1.18732650077905522",NA,NA,"5","ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=65); Enrichr--Queries(rank=283); ARCHS4--Coexpression(rank=1187); GTEx--Coexpression(rank=1263)","285","0.07627000000000000","ENCODE ChIP-seq,0.07627"
"TEAD2","1.18292733308701514","1.18292733308701514","1.18292733308701514","Activated","133","viper","133","1.18292733308701514",NA,NA,"4","Enrichr--Queries(rank=120); ARCHS4--Coexpression(rank=161); ReMap--ChIP-seq(rank=182); GTEx--Coexpression(rank=495)","318","0.08547000000000000","Enrichr Queries,0.08547"
"ZBTB11","-1.17778724989509165","-1.17778724989509165","1.17778724989509165","Repressed","134","viper","134","1.17778724989509165",NA,NA,"4","ReMap--ChIP-seq(rank=134); GTEx--Coexpression(rank=241); Enrichr--Queries(rank=772); ARCHS4--Coexpression(rank=789)","537","0.14999999999999999","GTEx Coexpression,0.15"
"HOXB13","1.16850190112359220","1.16850190112359220","1.16850190112359220","Activated","135","viper","135","1.16850190112359220",NA,NA,"4","ReMap--ChIP-seq(rank=279); GTEx--Coexpression(rank=646); Enrichr--Queries(rank=783); ARCHS4--Coexpression(rank=801)","1182","0.40200000000000002","GTEx Coexpression,0.402"
"TP63","1.16627516539646536","1.16627516539646536","1.16627516539646536","Activated","136","viper","136","1.16627516539646536",NA,NA,"5","Literature--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=197); Enrichr--Queries(rank=401); GTEx--Coexpression(rank=836); ARCHS4--Coexpression(rank=1563)","932","0.28560000000000002","Enrichr Queries,0.2856"
"MAX","1.16292960974274706","1.16292960974274706","1.16292960974274706","Activated","137","viper","137","1.16292960974274706",NA,NA,"5","ENCODE--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=45); Enrichr--Queries(rank=586); GTEx--Coexpression(rank=1157); ARCHS4--Coexpression(rank=1422)","542","0.15150000000000000","ReMap ChIP-seq,0.1515"
"ZNF217","1.14695511426540708","1.14695511426540708","1.14695511426540708","Activated","138","viper","138","1.14695511426540708",NA,NA,"6","ENCODE--ChIP-seq(rank=112); Literature--ChIP-seq(rank=127); GTEx--Coexpression(rank=144); Enrichr--Queries(rank=226); ReMap--ChIP-seq(rank=284); ARCHS4--Coexpression(rank=1391)","331","0.08961000000000000","GTEx Coexpression,0.08961"
"ATF6","-1.13651479172589975","-1.13651479172589975","1.13651479172589975","Repressed","139","viper","139","1.13651479172589975",NA,NA,"3","Enrichr--Queries(rank=602); GTEx--Coexpression(rank=961); ARCHS4--Coexpression(rank=1278)","1226","0.42880000000000001","Enrichr Queries,0.4288"
"CREB3","-1.13572860927479025","-1.13572860927479025","1.13572860927479025","Repressed","140","viper","140","1.13572860927479025",NA,NA,"4","ReMap--ChIP-seq(rank=191); Enrichr--Queries(rank=730); GTEx--Coexpression(rank=1008); ARCHS4--Coexpression(rank=1066)","1362","0.51990000000000003","Enrichr Queries,0.5199"
"ETS2","-1.12863889084227309","-1.12863889084227309","1.12863889084227309","Repressed","141","viper","141","1.12863889084227309",NA,NA,"4","Literature--ChIP-seq(rank=117); GTEx--Coexpression(rank=625); Enrichr--Queries(rank=1059); ARCHS4--Coexpression(rank=1412)","1162","0.38890000000000002","GTEx Coexpression,0.3889"
"ELK4","-1.12591941823706465","-1.12591941823706465","1.12591941823706465","Repressed","142","viper","142","1.12591941823706465",NA,NA,"5","ENCODE--ChIP-seq(rank=40); ReMap--ChIP-seq(rank=73); GTEx--Coexpression(rank=630); Enrichr--Queries(rank=757); ARCHS4--Coexpression(rank=779)","822","0.24579999999999999","ReMap ChIP-seq,0.2458"
"ZBED1","-1.12237763817455005","-1.12237763817455005","1.12237763817455005","Repressed","143","viper","143","1.12237763817455005",NA,NA,"4","ReMap--ChIP-seq(rank=38); Enrichr--Queries(rank=473); GTEx--Coexpression(rank=904); ARCHS4--Coexpression(rank=1043)","469","0.12790000000000001","ReMap ChIP-seq,0.1279"
"JUN","1.11831969076739290","1.11831969076739290","1.11831969076739290","Activated","144","viper","144","1.11831969076739290",NA,NA,"6","ENCODE--ChIP-seq(rank=54); Literature--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=256); ARCHS4--Coexpression(rank=356); Enrichr--Queries(rank=970); GTEx--Coexpression(rank=1194)","759","0.21870000000000001","ARCHS4 Coexpression,0.2187"
"LHX2","1.11174711129954296","1.11174711129954296","1.11174711129954296","Activated","145","viper","145","1.11174711129954296",NA,NA,"4","ReMap--ChIP-seq(rank=288); Enrichr--Queries(rank=790); ARCHS4--Coexpression(rank=1359); GTEx--Coexpression(rank=1485)","1410","0.56269999999999998","Enrichr Queries,0.5627"
"HINFP","-1.10691679038817825","-1.10691679038817825","1.10691679038817825","Repressed","146","viper","146","1.10691679038817825",NA,NA,"3","ReMap--ChIP-seq(rank=125); GTEx--Coexpression(rank=191); ARCHS4--Coexpression(rank=691)","435","0.11890000000000001","GTEx Coexpression,0.1189"
"MITF","1.10482339107341310","1.10482339107341310","1.10482339107341310","Activated","147","viper","147","1.10482339107341310",NA,NA,"5","Literature--ChIP-seq(rank=98); ReMap--ChIP-seq(rank=113); Enrichr--Queries(rank=869); ARCHS4--Coexpression(rank=1239); GTEx--Coexpression(rank=1274)","1146","0.38050000000000000","ReMap ChIP-seq,0.3805"
"ZNF740","-1.10475194008931510","-1.10475194008931510","1.10475194008931510","Repressed","148","viper","148","1.10475194008931510",NA,NA,"4","ReMap--ChIP-seq(rank=158); Enrichr--Queries(rank=515); ARCHS4--Coexpression(rank=607); GTEx--Coexpression(rank=898)","1117","0.36680000000000001","Enrichr Queries,0.3668"
"TP73","1.10371199563102551","1.10371199563102551","1.10371199563102551","Activated","149","viper","149","1.10371199563102551",NA,NA,"3","Enrichr--Queries(rank=92); ARCHS4--Coexpression(rank=96); GTEx--Coexpression(rank=150)","220","0.05897000000000000","ARCHS4 Coexpression,0.05897"
"AHR","1.07680073513033547","1.07680073513033547","1.07680073513033547","Activated","150","viper","150","1.07680073513033547",NA,NA,"5","Literature--ChIP-seq(rank=144); ReMap--ChIP-seq(rank=231); GTEx--Coexpression(rank=343); Enrichr--Queries(rank=981); ARCHS4--Coexpression(rank=1299)","746","0.21340000000000001","GTEx Coexpression,0.2134"
"ATF2","1.07243212216197459","1.07243212216197459","1.07243212216197459","Activated","151","viper","151","1.07243212216197459",NA,NA,"5","ENCODE--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=64); GTEx--Coexpression(rank=835); Enrichr--Queries(rank=855); ARCHS4--Coexpression(rank=1139)","752","0.21550000000000000","ReMap ChIP-seq,0.2155"
"ELF5","1.05401401717303322","1.05401401717303322","1.05401401717303322","Activated","152","viper","152","1.05401401717303322",NA,NA,"5","Literature--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=152); ARCHS4--Coexpression(rank=323); Enrichr--Queries(rank=1133); GTEx--Coexpression(rank=1171)","689","0.19839999999999999","ARCHS4 Coexpression,0.1984"
"KLF6","1.05125058890074419","1.05125058890074419","1.05125058890074419","Activated","153","viper","153","1.05125058890074419",NA,NA,"4","ReMap--ChIP-seq(rank=111); ARCHS4--Coexpression(rank=237); Enrichr--Queries(rank=895); GTEx--Coexpression(rank=1526)","526","0.14560000000000001","ARCHS4 Coexpression,0.1456"
"MAFF","1.04495395372812960","1.04495395372812960","1.04495395372812960","Activated","154","viper","154","1.04495395372812960",NA,NA,"5","ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=66); Enrichr--Queries(rank=987); ARCHS4--Coexpression(rank=1326); GTEx--Coexpression(rank=1409)","767","0.22220000000000001","ReMap ChIP-seq,0.2222"
"JUNB","1.03155380950631281","1.03155380950631281","1.03155380950631281","Activated","155","viper","155","1.03155380950631281",NA,NA,"4","ReMap--ChIP-seq(rank=235); ARCHS4--Coexpression(rank=586); GTEx--Coexpression(rank=869); Enrichr--Queries(rank=1072)","1100","0.35999999999999999","ARCHS4 Coexpression,0.36"
"RELB","1.02040956330868471","1.02040956330868471","1.02040956330868471","Activated","156","viper","156","1.02040956330868471",NA,NA,"4","ReMap--ChIP-seq(rank=154); GTEx--Coexpression(rank=285); Enrichr--Queries(rank=1073); ARCHS4--Coexpression(rank=1178)","629","0.17730000000000001","GTEx Coexpression,0.1773"
"ATF1","-1.01707860314461129","-1.01707860314461129","1.01707860314461129","Repressed","157","viper","157","1.01707860314461129",NA,NA,"5","ENCODE--ChIP-seq(rank=78); Enrichr--Queries(rank=99); ReMap--ChIP-seq(rank=176); ARCHS4--Coexpression(rank=194); GTEx--Coexpression(rank=868)","264","0.07051000000000000","Enrichr Queries,0.07051"
"STAT5B","0.97622121150555041","0.97622121150555041","0.97622121150555041","Activated","158","viper","158","0.97622121150555041",NA,NA,"4","ReMap--ChIP-seq(rank=132); Enrichr--Queries(rank=705); ARCHS4--Coexpression(rank=1365); GTEx--Coexpression(rank=1591)","1253","0.44440000000000002","ReMap ChIP-seq,0.4444"
"GLI2","-0.97500912357060610","-0.97500912357060610","0.97500912357060610","Repressed","159","viper","159","0.97500912357060610",NA,NA,"3","ARCHS4--Coexpression(rank=186); GTEx--Coexpression(rank=653); Enrichr--Queries(rank=722)","416","0.11430000000000001","ARCHS4 Coexpression,0.1143"
