"TF","HVL_CRC29","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TFAP4","1.87301404214113609","1.87301404214113609","1.87301404214113609","Activated","79","viper","79","1.87301404214113609",NA,NA,"4","Enrichr--Queries(rank=33); ReMap--ChIP-seq(rank=62); GTEx--Coexpression(rank=554); ARCHS4--Coexpression(rank=729)","89","0.02350000000000000","Enrichr Queries,0.0235"
"BCL6","-1.87043455470133924","-1.87043455470133924","1.87043455470133924","Repressed","80","viper","80","1.87043455470133924",NA,NA,"5","Literature--ChIP-seq(rank=133); ReMap--ChIP-seq(rank=155); Enrichr--Queries(rank=184); ARCHS4--Coexpression(rank=602); GTEx--Coexpression(rank=1462)","489","0.13109999999999999","Enrichr Queries,0.1311"
"MEIS1","1.85761655849064677","1.85761655849064677","1.85761655849064677","Activated","81","viper","81","1.85761655849064677",NA,NA,"5","Literature--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=227); Enrichr--Queries(rank=496); GTEx--Coexpression(rank=557); ARCHS4--Coexpression(rank=1356)","1087","0.34660000000000002","GTEx Coexpression,0.3466"
"CEBPB","1.84263341714537066","1.84263341714537066","1.84263341714537066","Activated","82","viper","82","1.84263341714537066",NA,NA,"6","Literature--ChIP-seq(rank=20); ENCODE--ChIP-seq(rank=36); Enrichr--Queries(rank=147); ReMap--ChIP-seq(rank=223); ARCHS4--Coexpression(rank=365); GTEx--Coexpression(rank=1214)","397","0.10470000000000000","Enrichr Queries,0.1047"
"MBD2","1.83781666555642520","1.83781666555642520","1.83781666555642520","Activated","83","viper","83","1.83781666555642520",NA,NA,"4","ReMap--ChIP-seq(rank=166); GTEx--Coexpression(rank=421); Enrichr--Queries(rank=849); ARCHS4--Coexpression(rank=1023)","882","0.26200000000000001","GTEx Coexpression,0.262"
"LHX2","1.83454406274707393","1.83454406274707393","1.83454406274707393","Activated","84","viper","84","1.83454406274707393",NA,NA,"4","ReMap--ChIP-seq(rank=283); Enrichr--Queries(rank=537); GTEx--Coexpression(rank=1025); ARCHS4--Coexpression(rank=1147)","1145","0.38250000000000001","Enrichr Queries,0.3825"
"KLF4","1.83295532058358401","1.83295532058358401","1.83295532058358401","Activated","85","viper","85","1.83295532058358401",NA,NA,"5","Literature--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=13); ARCHS4--Coexpression(rank=123); Enrichr--Queries(rank=143); GTEx--Coexpression(rank=1241)","170","0.04377000000000000","ReMap ChIP-seq,0.04377"
"PROX1","1.82873272226976002","1.82873272226976002","1.82873272226976002","Activated","86","viper","86","1.82873272226976002",NA,NA,"4","ReMap--ChIP-seq(rank=192); Enrichr--Queries(rank=781); ARCHS4--Coexpression(rank=902); GTEx--Coexpression(rank=1426)","1398","0.55410000000000004","ARCHS4 Coexpression,0.5541"
"ZBTB11","-1.81339592373361125","-1.81339592373361125","1.81339592373361125","Repressed","87","viper","87","1.81339592373361125",NA,NA,"4","ReMap--ChIP-seq(rank=161); GTEx--Coexpression(rank=740); Enrichr--Queries(rank=1330); ARCHS4--Coexpression(rank=1416)","1286","0.46050000000000002","GTEx Coexpression,0.4605"
"MAFB","1.77705309269726230","1.77705309269726230","1.77705309269726230","Activated","88","viper","88","1.77705309269726230",NA,NA,"4","Enrichr--Queries(rank=252); ReMap--ChIP-seq(rank=275); ARCHS4--Coexpression(rank=413); GTEx--Coexpression(rank=1422)","647","0.17949999999999999","Enrichr Queries,0.1795"
"ATF3","-1.72938251004041788","-1.72938251004041788","1.72938251004041788","Repressed","89","viper","89","1.72938251004041788",NA,NA,"6","ENCODE--ChIP-seq(rank=94); Literature--ChIP-seq(rank=99); Enrichr--Queries(rank=124); ReMap--ChIP-seq(rank=124); ARCHS4--Coexpression(rank=141); GTEx--Coexpression(rank=926)","332","0.08661000000000001","ARCHS4 Coexpression,0.08661"
"FOXA2","1.71445004150825442","1.71445004150825442","1.71445004150825442","Activated","90","viper","90","1.71445004150825442",NA,NA,"6","Literature--ChIP-seq(rank=43); ENCODE--ChIP-seq(rank=77); ReMap--ChIP-seq(rank=258); GTEx--Coexpression(rank=293); Enrichr--Queries(rank=659); ARCHS4--Coexpression(rank=1037)","657","0.18229999999999999","GTEx Coexpression,0.1823"
"ZNF143","1.67093338652101475","1.67093338652101475","1.67093338652101475","Activated","91","viper","91","1.67093338652101475",NA,NA,"5","ReMap--ChIP-seq(rank=42); ENCODE--ChIP-seq(rank=44); Enrichr--Queries(rank=241); ARCHS4--Coexpression(rank=1094); GTEx--Coexpression(rank=1161)","524","0.14140000000000000","ReMap ChIP-seq,0.1414"
"KLF9","1.66775081751232634","1.66775081751232634","1.66775081751232634","Activated","92","viper","92","1.66775081751232634",NA,NA,"4","ReMap--ChIP-seq(rank=52); ARCHS4--Coexpression(rank=150); Enrichr--Queries(rank=316); GTEx--Coexpression(rank=897)","352","0.09214000000000000","ARCHS4 Coexpression,0.09214"
"NEUROD1","1.64120533027673154","1.64120533027673154","1.64120533027673154","Activated","93","viper","93","1.64120533027673154",NA,NA,"4","ReMap--ChIP-seq(rank=21); GTEx--Coexpression(rank=430); ARCHS4--Coexpression(rank=991); Enrichr--Queries(rank=1259)","274","0.07071000000000000","ReMap ChIP-seq,0.07071"
"ATF4","-1.64056204514715787","-1.64056204514715787","1.64056204514715787","Repressed","94","viper","94","1.64056204514715787",NA,NA,"4","ReMap--ChIP-seq(rank=246); GTEx--Coexpression(rank=539); Enrichr--Queries(rank=846); ARCHS4--Coexpression(rank=1030)","1065","0.33539999999999992","GTEx Coexpression,0.3354"
"SP4","-1.60679328212896633","-1.60679328212896633","1.60679328212896633","Repressed","95","viper","95","1.60679328212896633",NA,NA,"5","ENCODE--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=91); Enrichr--Queries(rank=588); ARCHS4--Coexpression(rank=1025); GTEx--Coexpression(rank=1109)","992","0.30640000000000001","ReMap ChIP-seq,0.3064"
"ATF2","1.59271482109581886","1.59271482109581886","1.59271482109581886","Activated","96","viper","96","1.59271482109581886",NA,NA,"5","ENCODE--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=167); GTEx--Coexpression(rank=1246); Enrichr--Queries(rank=1267); ARCHS4--Coexpression(rank=1381)","1410","0.56230000000000002","ReMap ChIP-seq,0.5623"
"TCF4","1.58784135278290406","1.58784135278290406","1.58784135278290406","Activated","97","viper","97","1.58784135278290406",NA,NA,"5","ReMap--ChIP-seq(rank=70); Literature--ChIP-seq(rank=139); Enrichr--Queries(rank=757); ARCHS4--Coexpression(rank=890); GTEx--Coexpression(rank=1284)","814","0.23569999999999999","ReMap ChIP-seq,0.2357"
"GATA4","1.57767239225776423","1.57767239225776423","1.57767239225776423","Activated","98","viper","98","1.57767239225776423",NA,NA,"5","ReMap--ChIP-seq(rank=24); Literature--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=761); Enrichr--Queries(rank=1062); GTEx--Coexpression(rank=1131)","313","0.08081000000000001","ReMap ChIP-seq,0.08081"
"GFI1B","1.55946724725007813","1.55946724725007813","1.55946724725007813","Activated","99","viper","99","1.55946724725007813",NA,NA,"5","ReMap--ChIP-seq(rank=46); Literature--ChIP-seq(rank=75); Enrichr--Queries(rank=495); ARCHS4--Coexpression(rank=836); GTEx--Coexpression(rank=1386)","573","0.15490000000000001","ReMap ChIP-seq,0.1549"
"ZEB1","-1.55144331879502140","-1.55144331879502140","1.55144331879502140","Repressed","100","viper","100","1.55144331879502140",NA,NA,"5","ReMap--ChIP-seq(rank=25); ENCODE--ChIP-seq(rank=93); GTEx--Coexpression(rank=309); ARCHS4--Coexpression(rank=464); Enrichr--Queries(rank=675)","325","0.08418000000000000","ReMap ChIP-seq,0.08418"
"NCOA1","1.51000396555705385","1.51000396555705385","1.51000396555705385","Activated","101","viper","101","1.51000396555705385",NA,NA,"4","ReMap--ChIP-seq(rank=182); ARCHS4--Coexpression(rank=308); Enrichr--Queries(rank=1187); GTEx--Coexpression(rank=1414)","681","0.18920000000000001","ARCHS4 Coexpression,0.1892"
"CLOCK","1.50585391245111455","1.50585391245111455","1.50585391245111455","Activated","102","viper","102","1.50585391245111455",NA,NA,"5","Literature--ChIP-seq(rank=79); ReMap--ChIP-seq(rank=149); GTEx--Coexpression(rank=1269); Enrichr--Queries(rank=1303); ARCHS4--Coexpression(rank=1469)","1313","0.48170000000000002","Literature ChIP-seq,0.4817"
"FLI1","-1.49111748506708097","-1.49111748506708097","1.49111748506708097","Repressed","103","viper","103","1.49111748506708097",NA,NA,"6","ENCODE--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=28); Literature--ChIP-seq(rank=97); GTEx--Coexpression(rank=319); ARCHS4--Coexpression(rank=456); Enrichr--Queries(rank=930)","360","0.09428000000000000","ReMap ChIP-seq,0.09428"
"GLI2","-1.44933427538445381","-1.44933427538445381","1.44933427538445381","Repressed","104","viper","104","1.44933427538445381",NA,NA,"3","ARCHS4--Coexpression(rank=74); Enrichr--Queries(rank=494); GTEx--Coexpression(rank=575)","177","0.04545000000000000","ARCHS4 Coexpression,0.04545"
"ELK4","-1.43798917690730343","-1.43798917690730343","1.43798917690730343","Repressed","105","viper","105","1.43798917690730343",NA,NA,"5","ENCODE--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=165); GTEx--Coexpression(rank=800); Enrichr--Queries(rank=1086); ARCHS4--Coexpression(rank=1145)","1335","0.49780000000000002","GTEx Coexpression,0.4978"
"IRF1","1.42615696192943719","1.42615696192943719","1.42615696192943719","Activated","106","viper","106","1.42615696192943719",NA,NA,"6","ENCODE--ChIP-seq(rank=18); Literature--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=82); Enrichr--Queries(rank=125); GTEx--Coexpression(rank=133); ARCHS4--Coexpression(rank=218)","319","0.08276000000000000","GTEx Coexpression,0.08276"
"MAFG","1.42368301712639389","1.42368301712639389","1.42368301712639389","Activated","107","viper","107","1.42368301712639389",NA,NA,"4","ReMap--ChIP-seq(rank=289); Enrichr--Queries(rank=550); ARCHS4--Coexpression(rank=1278); GTEx--Coexpression(rank=1289)","1162","0.39169999999999999","Enrichr Queries,0.3917"
"POU4F2","1.39906732598982630","1.39906732598982630","1.39906732598982630","Activated","108","viper","108","1.39906732598982630",NA,NA,"4","ReMap--ChIP-seq(rank=180); GTEx--Coexpression(rank=1164); ARCHS4--Coexpression(rank=1226); Enrichr--Queries(rank=1365)","1453","0.60609999999999997","ReMap ChIP-seq,0.6061"
"OTX2","1.39281472296835007","1.39281472296835007","1.39281472296835007","Activated","109","viper","109","1.39281472296835007",NA,NA,"4","ReMap--ChIP-seq(rank=293); GTEx--Coexpression(rank=399); ARCHS4--Coexpression(rank=859); Enrichr--Queries(rank=1268)","848","0.24829999999999999","GTEx Coexpression,0.2483"
"SP2","-1.38289111780903173","-1.38289111780903173","1.38289111780903173","Repressed","110","viper","110","1.38289111780903173",NA,NA,"5","ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=96); ARCHS4--Coexpression(rank=706); GTEx--Coexpression(rank=1139); Enrichr--Queries(rank=1143)","617","0.16950000000000001","ENCODE ChIP-seq,0.1695"
"CDX2","1.37342840287141654","1.37342840287141654","1.37342840287141654","Activated","111","viper","111","1.37342840287141654",NA,NA,"5","Literature--ChIP-seq(rank=91); GTEx--Coexpression(rank=124); ARCHS4--Coexpression(rank=174); ReMap--ChIP-seq(rank=178); Enrichr--Queries(rank=1094)","296","0.07716000000000001","GTEx Coexpression,0.07716"
"EOMES","1.37103709318065259","1.37103709318065259","1.37103709318065259","Activated","112","viper","112","1.37103709318065259",NA,NA,"5","Literature--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=290); Enrichr--Queries(rank=581); GTEx--Coexpression(rank=694); ARCHS4--Coexpression(rank=1333)","1089","0.34760000000000002","Literature ChIP-seq,0.3476"
"ESR1","1.35472367527600634","1.35472367527600634","1.35472367527600634","Activated","113","viper","113","1.35472367527600634",NA,NA,"6","Literature--ChIP-seq(rank=36); ENCODE--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=121); Enrichr--Queries(rank=611); ARCHS4--Coexpression(rank=847); GTEx--Coexpression(rank=966)","768","0.21950000000000000","Literature ChIP-seq,0.2195"
"ELF5","1.32202496425487670","1.32202496425487670","1.32202496425487670","Activated","114","viper","114","1.32202496425487670",NA,NA,"5","ARCHS4--Coexpression(rank=110); Literature--ChIP-seq(rank=142); Enrichr--Queries(rank=227); ReMap--ChIP-seq(rank=243); GTEx--Coexpression(rank=253)","261","0.06757000000000001","ARCHS4 Coexpression,0.06757"
"NFYA","-1.31543482749029272","-1.31543482749029272","1.31543482749029272","Repressed","115","viper","115","1.31543482749029272",NA,NA,"5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=17); GTEx--Coexpression(rank=190); Enrichr--Queries(rank=458); ARCHS4--Coexpression(rank=1309)","163","0.04237000000000000","ENCODE ChIP-seq,0.04237"
"PAX8","-1.31079336575671412","-1.31079336575671412","1.31079336575671412","Repressed","116","viper","116","1.31079336575671412",NA,NA,"4","ARCHS4--Coexpression(rank=166); GTEx--Coexpression(rank=208); ReMap--ChIP-seq(rank=266); Enrichr--Queries(rank=369)","385","0.10199999999999999","ARCHS4 Coexpression,0.102"
"KDM5B","1.30204084230977779","1.30204084230977779","1.30204084230977779","Activated","117","viper","117","1.30204084230977779",NA,NA,"5","Literature--ChIP-seq(rank=22); ENCODE--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=85); ARCHS4--Coexpression(rank=470); GTEx--Coexpression(rank=934)","497","0.13410000000000000","Literature ChIP-seq,0.1341"
"TCF3","-1.29261629896588603","-1.29261629896588603","1.29261629896588603","Repressed","118","viper","118","1.29261629896588603",NA,NA,"6","ReMap--ChIP-seq(rank=30); GTEx--Coexpression(rank=33); Literature--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=41); ARCHS4--Coexpression(rank=133); Enrichr--Queries(rank=141)","76","0.02054000000000000","GTEx Coexpression,0.02054"
"FOXL2","1.27119711807922697","1.27119711807922697","1.27119711807922697","Activated","119","viper","119","1.27119711807922697",NA,NA,"3","ARCHS4--Coexpression(rank=518); GTEx--Coexpression(rank=973); Enrichr--Queries(rank=1167)","1026","0.31819999999999998","ARCHS4 Coexpression,0.3182"
"SIX5","1.26154864147086188","1.26154864147086188","1.26154864147086188","Activated","120","viper","120","1.26154864147086188",NA,NA,"5","ENCODE--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=89); GTEx--Coexpression(rank=336); Enrichr--Queries(rank=479); ARCHS4--Coexpression(rank=828)","734","0.20910000000000001","GTEx Coexpression,0.2091"
"CUX1","1.24774742527767657","1.24774742527767657","1.24774742527767657","Activated","121","viper","121","1.24774742527767657",NA,NA,"6","Literature--ChIP-seq(rank=46); ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=58); GTEx--Coexpression(rank=103); Enrichr--Queries(rank=1124); ARCHS4--Coexpression(rank=1481)","248","0.06408999999999999","GTEx Coexpression,0.06409"
"JUND","-1.24439519676922838","-1.24439519676922838","1.24439519676922838","Repressed","122","viper","122","1.24439519676922838",NA,NA,"6","ReMap--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=53); Literature--ChIP-seq(rank=115); Enrichr--Queries(rank=643); ARCHS4--Coexpression(rank=653); GTEx--Coexpression(rank=1502)","622","0.17169999999999999","ReMap ChIP-seq,0.1717"
"KLF6","1.24297874930420660","1.24297874930420660","1.24297874930420660","Activated","123","viper","123","1.24297874930420660",NA,NA,"4","ReMap--ChIP-seq(rank=36); ARCHS4--Coexpression(rank=67); Enrichr--Queries(rank=140); GTEx--Coexpression(rank=743)","158","0.04115000000000000","ARCHS4 Coexpression,0.04115"
"STAT3","1.24046469916161706","1.24046469916161706","1.24046469916161706","Activated","124","viper","124","1.24046469916161706",NA,NA,"6","ENCODE--ChIP-seq(rank=51); Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=83); ARCHS4--Coexpression(rank=295); Enrichr--Queries(rank=542); GTEx--Coexpression(rank=562)","654","0.18120000000000000","ARCHS4 Coexpression,0.1812"
"SIX2","1.23690943615737270","1.23690943615737270","1.23690943615737270","Activated","125","viper","125","1.23690943615737270",NA,NA,"4","ARCHS4--Coexpression(rank=286); ReMap--ChIP-seq(rank=292); Enrichr--Queries(rank=785); GTEx--Coexpression(rank=1480)","633","0.17570000000000000","ARCHS4 Coexpression,0.1757"
"SOX10","1.23316479502862886","1.23316479502862886","1.23316479502862886","Activated","126","viper","126","1.23316479502862886",NA,NA,"4","ReMap--ChIP-seq(rank=294); ARCHS4--Coexpression(rank=684); GTEx--Coexpression(rank=804); Enrichr--Queries(rank=814)","1211","0.42009999999999997","ARCHS4 Coexpression,0.4201"
"ASCL1","1.23167446050405349","1.23167446050405349","1.23167446050405349","Activated","127","viper","127","1.23167446050405349",NA,NA,"4","ReMap--ChIP-seq(rank=72); GTEx--Coexpression(rank=288); Enrichr--Queries(rank=1135); ARCHS4--Coexpression(rank=1424)","645","0.17920000000000000","GTEx Coexpression,0.1792"
"MAX","1.23153018506327117","1.23153018506327117","1.23153018506327117","Activated","128","viper","128","1.23153018506327117",NA,NA,"5","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=22); GTEx--Coexpression(rank=608); Enrichr--Queries(rank=901); ARCHS4--Coexpression(rank=1138)","288","0.07407000000000000","ReMap ChIP-seq,0.07407"
"FOSL2","-1.22554370251745004","-1.22554370251745004","1.22554370251745004","Repressed","129","viper","129","1.22554370251745004",NA,NA,"5","ENCODE--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=108); GTEx--Coexpression(rank=389); Enrichr--Queries(rank=392); ARCHS4--Coexpression(rank=407)","831","0.24210000000000001","GTEx Coexpression,0.2421"
"SREBF1","-1.22381375320138042","-1.22381375320138042","1.22381375320138042","Repressed","130","viper","130","1.22381375320138042",NA,NA,"6","ReMap--ChIP-seq(rank=48); ENCODE--ChIP-seq(rank=85); Literature--ChIP-seq(rank=119); GTEx--Coexpression(rank=371); Enrichr--Queries(rank=462); ARCHS4--Coexpression(rank=916)","591","0.16159999999999999","ReMap ChIP-seq,0.1616"
"SRF","-1.22240450555101399","-1.22240450555101399","1.22240450555101399","Repressed","131","viper","131","1.22240450555101399",NA,NA,"6","Literature--ChIP-seq(rank=60); ENCODE--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=186); GTEx--Coexpression(rank=284); Enrichr--Queries(rank=679); ARCHS4--Coexpression(rank=1522)","636","0.17670000000000000","GTEx Coexpression,0.1767"
"NFE2L1","1.22180619650820166","1.22180619650820166","1.22180619650820166","Activated","132","viper","132","1.22180619650820166",NA,NA,"4","ReMap--ChIP-seq(rank=268); Enrichr--Queries(rank=786); GTEx--Coexpression(rank=1279); ARCHS4--Coexpression(rank=1295)","1408","0.55979999999999996","Enrichr Queries,0.5598"
"FOXO3","1.21929795275303365","1.21929795275303365","1.21929795275303365","Activated","133","viper","133","1.21929795275303365",NA,NA,"4","Literature--ChIP-seq(rank=111); Enrichr--Queries(rank=621); ARCHS4--Coexpression(rank=953); GTEx--Coexpression(rank=1158)","1252","0.44230000000000003","Enrichr Queries,0.4423"
"ZNF217","1.21857918441149593","1.21857918441149593","1.21857918441149593","Activated","134","viper","134","1.21857918441149593",NA,NA,"6","ENCODE--ChIP-seq(rank=60); Literature--ChIP-seq(rank=68); GTEx--Coexpression(rank=141); ReMap--ChIP-seq(rank=277); Enrichr--Queries(rank=293); ARCHS4--Coexpression(rank=1520)","336","0.08774000000000000","GTEx Coexpression,0.08774"
"GATA2","-1.21692247980496693","-1.21692247980496693","1.21692247980496693","Repressed","135","viper","135","1.21692247980496693",NA,NA,"6","ENCODE--ChIP-seq(rank=56); Literature--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=272); Enrichr--Queries(rank=362); ARCHS4--Coexpression(rank=554); GTEx--Coexpression(rank=970)","870","0.25779999999999997","Enrichr Queries,0.2578"
"PGR","-1.21661481231923463","-1.21661481231923463","1.21661481231923463","Repressed","136","viper","136","1.21661481231923463",NA,NA,"4","ReMap--ChIP-seq(rank=152); GTEx--Coexpression(rank=534); ARCHS4--Coexpression(rank=770); Enrichr--Queries(rank=959)","1055","0.33229999999999998","GTEx Coexpression,0.3323"
"ETV1","1.21464196166583527","1.21464196166583527","1.21464196166583527","Activated","137","viper","137","1.21464196166583527",NA,NA,"4","ReMap--ChIP-seq(rank=122); Enrichr--Queries(rank=436); GTEx--Coexpression(rank=514); ARCHS4--Coexpression(rank=803)","1002","0.31050000000000000","Enrichr Queries,0.3105"
"POU2F1","1.18152058105788060","1.18152058105788060","1.18152058105788060","Activated","138","viper","138","1.18152058105788060",NA,NA,"4","ReMap--ChIP-seq(rank=241); ARCHS4--Coexpression(rank=280); Enrichr--Queries(rank=972); GTEx--Coexpression(rank=999)","623","0.17199999999999999","ARCHS4 Coexpression,0.172"
"ONECUT1","1.17689340230489381","1.17689340230489381","1.17689340230489381","Activated","139","viper","139","1.17689340230489381",NA,NA,"4","ReMap--ChIP-seq(rank=269); ARCHS4--Coexpression(rank=750); Enrichr--Queries(rank=1179); GTEx--Coexpression(rank=1208)","1287","0.46070000000000000","ARCHS4 Coexpression,0.4607"
"ZBED1","-1.17521305330319725","-1.17521305330319725","1.17521305330319725","Repressed","140","viper","140","1.17521305330319725",NA,NA,"4","ReMap--ChIP-seq(rank=138); Enrichr--Queries(rank=271); GTEx--Coexpression(rank=1227); ARCHS4--Coexpression(rank=1321)","690","0.19300000000000000","Enrichr Queries,0.193"
"MYOD1","1.17131809122894981","1.17131809122894981","1.17131809122894981","Activated","141","viper","141","1.17131809122894981",NA,NA,"5","ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=132); ARCHS4--Coexpression(rank=275); GTEx--Coexpression(rank=933); Enrichr--Queries(rank=1076)","615","0.16889999999999999","ARCHS4 Coexpression,0.1689"
"ETS2","-1.17122742985574235","-1.17122742985574235","1.17122742985574235","Repressed","142","viper","142","1.17122742985574235",NA,NA,"4","Literature--ChIP-seq(rank=140); Enrichr--Queries(rank=183); ARCHS4--Coexpression(rank=214); GTEx--Coexpression(rank=798)","486","0.13030000000000003","Enrichr Queries,0.1303"
"MAFK","1.12652331897270197","1.12652331897270197","1.12652331897270197","Activated","143","viper","143","1.12652331897270197",NA,NA,"5","ENCODE--ChIP-seq(rank=67); GTEx--Coexpression(rank=223); ReMap--ChIP-seq(rank=254); Enrichr--Queries(rank=488); ARCHS4--Coexpression(rank=974)","512","0.13880000000000001","GTEx Coexpression,0.1388"
"TFAP2C","-1.11137480195399996","-1.11137480195399996","1.11137480195399996","Repressed","144","viper","144","1.11137480195399996",NA,NA,"6","ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=40); Literature--ChIP-seq(rank=66); Enrichr--Queries(rank=214); ARCHS4--Coexpression(rank=863); GTEx--Coexpression(rank=886)","371","0.09764000000000000","ReMap ChIP-seq,0.09764"
"ERG","1.11134228796554058","1.11134228796554058","1.11134228796554058","Activated","145","viper","145","1.11134228796554058",NA,NA,"5","ReMap--ChIP-seq(rank=54); Literature--ChIP-seq(rank=117); GTEx--Coexpression(rank=760); ARCHS4--Coexpression(rank=805); Enrichr--Queries(rank=1036)","655","0.18179999999999999","ReMap ChIP-seq,0.1818"
"AHR","1.10826304056740743","1.10826304056740743","1.10826304056740743","Activated","146","viper","146","1.10826304056740743",NA,NA,"5","Literature--ChIP-seq(rank=80); Enrichr--Queries(rank=206); ReMap--ChIP-seq(rank=273); ARCHS4--Coexpression(rank=334); GTEx--Coexpression(rank=397)","543","0.14670000000000000","Enrichr Queries,0.1467"
"FOS","1.10440309684134430","1.10440309684134430","1.10440309684134430","Activated","147","viper","147","1.10440309684134430",NA,NA,"5","ENCODE--ChIP-seq(rank=6); Enrichr--Queries(rank=82); ReMap--ChIP-seq(rank=207); GTEx--Coexpression(rank=720); ARCHS4--Coexpression(rank=759)","199","0.05085000000000000","ENCODE ChIP-seq,0.05085"
"NFATC1","1.08822719161470127","1.08822719161470127","1.08822719161470127","Activated","148","viper","148","1.08822719161470127",NA,NA,"5","ENCODE--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=208); ARCHS4--Coexpression(rank=268); Enrichr--Queries(rank=578); GTEx--Coexpression(rank=1052)","601","0.16460000000000000","ARCHS4 Coexpression,0.1646"
"NR5A2","1.06639711103782941","1.06639711103782941","1.06639711103782941","Activated","149","viper","149","1.06639711103782941",NA,NA,"4","ReMap--ChIP-seq(rank=233); Enrichr--Queries(rank=540); GTEx--Coexpression(rank=742); ARCHS4--Coexpression(rank=980)","1150","0.38460000000000000","Enrichr Queries,0.3846"
"SOX9","1.06340931558380869","1.06340931558380869","1.06340931558380869","Activated","150","viper","150","1.06340931558380869",NA,NA,"5","ReMap--ChIP-seq(rank=23); Literature--ChIP-seq(rank=35); Enrichr--Queries(rank=284); ARCHS4--Coexpression(rank=897); GTEx--Coexpression(rank=1224)","298","0.07743999999999999","ReMap ChIP-seq,0.07744"
"HNF1B","1.06199081457848488","1.06199081457848488","1.06199081457848488","Activated","151","viper","151","1.06199081457848488",NA,NA,"3","ReMap--ChIP-seq(rank=256); ARCHS4--Coexpression(rank=291); Enrichr--Queries(rank=401)","643","0.17870000000000000","ARCHS4 Coexpression,0.1787"
"HOXA9","1.02083210685757941","1.02083210685757941","1.02083210685757941","Activated","152","viper","152","1.02083210685757941",NA,NA,"4","ReMap--ChIP-seq(rank=271); ARCHS4--Coexpression(rank=344); Enrichr--Queries(rank=691); GTEx--Coexpression(rank=1162)","740","0.21129999999999999","ARCHS4 Coexpression,0.2113"
"SNAPC4","-1.01929205225789654","-1.01929205225789654","1.01929205225789654","Repressed","153","viper","153","1.01929205225789654",NA,NA,"4","GTEx--Coexpression(rank=176); ReMap--ChIP-seq(rank=200); Enrichr--Queries(rank=909); ARCHS4--Coexpression(rank=1171)","413","0.10950000000000000","GTEx Coexpression,0.1095"
"IRF3","1.01571644285457574","1.01571644285457574","1.01571644285457574","Activated","154","viper","154","1.01571644285457574",NA,NA,"5","ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=287); GTEx--Coexpression(rank=377); Enrichr--Queries(rank=831)","293","0.07627000000000000","ENCODE ChIP-seq,0.07627"
"ARID3A","1.01124322923822363","1.01124322923822363","1.01124322923822363","Activated","155","viper","155","1.01124322923822363",NA,NA,"5","ENCODE--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=185); Enrichr--Queries(rank=391); GTEx--Coexpression(rank=521); ARCHS4--Coexpression(rank=1203)","934","0.27850000000000003","Enrichr Queries,0.2785"
"HINFP","-1.00889046327192533","-1.00889046327192533","1.00889046327192533","Repressed","156","viper","156","1.00889046327192533",NA,NA,"3","ReMap--ChIP-seq(rank=253); GTEx--Coexpression(rank=347); ARCHS4--Coexpression(rank=589)","755","0.21590000000000001","GTEx Coexpression,0.2159"
"JUNB","0.98865002685986725","0.98865002685986725","0.98865002685986725","Activated","157","viper","157","0.98865002685986725",NA,NA,"4","ARCHS4--Coexpression(rank=106); Enrichr--Queries(rank=191); ReMap--ChIP-seq(rank=219); GTEx--Coexpression(rank=396)","250","0.06511000000000000","ARCHS4 Coexpression,0.06511"
"ARNTL","-0.98477298911777533","-0.98477298911777533","0.98477298911777533","Repressed","158","viper","158","0.98477298911777533",NA,NA,"4","ReMap--ChIP-seq(rank=230); Enrichr--Queries(rank=237); ARCHS4--Coexpression(rank=348); GTEx--Coexpression(rank=1275)","614","0.16880000000000001","Enrichr Queries,0.1688"
