"TF","DLD1","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"SNAI2","-2.12228734914256956","-2.12228734914256956","2.12228734914256956","Repressed","80","viper","80","2.12228734914256956",NA,NA,"4","ReMap--ChIP-seq(rank=35); ARCHS4--Coexpression(rank=70); Enrichr--Queries(rank=166); GTEx--Coexpression(rank=261)","167","0.04300000000000000","ARCHS4 Coexpression,0.043"
"POU4F2","2.11363369623667596","2.11363369623667596","2.11363369623667596","Activated","81","viper","81","2.11363369623667596",NA,NA,"4","ARCHS4--Coexpression(rank=198); ReMap--ChIP-seq(rank=235); GTEx--Coexpression(rank=822); Enrichr--Queries(rank=1280)","472","0.12160000000000000","ARCHS4 Coexpression,0.1216"
"NFE2","2.07638917331544670","2.07638917331544670","2.07638917331544670","Activated","82","viper","82","2.07638917331544670",NA,NA,"5","ENCODE--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=153); Enrichr--Queries(rank=189); ARCHS4--Coexpression(rank=432); GTEx--Coexpression(rank=444)","517","0.13460000000000000","Enrichr Queries,0.1346"
"E2F5","-2.07482950686622125","-2.07482950686622125","2.07482950686622125","Repressed","83","viper","83","2.07482950686622125",NA,NA,"4","Enrichr--Queries(rank=38); ReMap--ChIP-seq(rank=48); ARCHS4--Coexpression(rank=677); GTEx--Coexpression(rank=1252)","105","0.02707000000000000","Enrichr Queries,0.02707"
"TCF12","2.07046754012205358","2.07046754012205358","2.07046754012205358","Activated","84","viper","84","2.07046754012205358",NA,NA,"5","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=79); ARCHS4--Coexpression(rank=189); GTEx--Coexpression(rank=701); Enrichr--Queries(rank=1128)","382","0.09322000000000000","ENCODE ChIP-seq,0.09322"
"RUNX1","2.06868419844515916","2.06868419844515916","2.06868419844515916","Activated","85","viper","85","2.06868419844515916",NA,NA,"5","ReMap--ChIP-seq(rank=81); Literature--ChIP-seq(rank=93); GTEx--Coexpression(rank=290); Enrichr--Queries(rank=466); ARCHS4--Coexpression(rank=559)","665","0.18049999999999999","GTEx Coexpression,0.1805"
"ZBTB33","-2.06727205670471603","-2.06727205670471603","2.06727205670471603","Repressed","86","viper","86","2.06727205670471603",NA,NA,"5","ENCODE--ChIP-seq(rank=101); ReMap--ChIP-seq(rank=280); GTEx--Coexpression(rank=776); ARCHS4--Coexpression(rank=951); Enrichr--Queries(rank=1232)","1273","0.48290000000000000","GTEx Coexpression,0.4829"
"ELK1","2.01790542944289042","2.01790542944289042","2.01790542944289042","Activated","87","viper","87","2.01790542944289042",NA,NA,"5","ENCODE--ChIP-seq(rank=107); Literature--ChIP-seq(rank=155); GTEx--Coexpression(rank=181); ReMap--ChIP-seq(rank=287); ARCHS4--Coexpression(rank=1603)","437","0.11260000000000001","GTEx Coexpression,0.1126"
"ZNF384","2.00822612897194697","2.00822612897194697","2.00822612897194697","Activated","88","viper","88","2.00822612897194697",NA,NA,"5","ENCODE--ChIP-seq(rank=79); ReMap--ChIP-seq(rank=134); Enrichr--Queries(rank=1246); GTEx--Coexpression(rank=1411); ARCHS4--Coexpression(rank=1415)","1223","0.45119999999999999","ReMap ChIP-seq,0.4512"
"CTCFL","1.99734028058641688","1.99734028058641688","1.99734028058641688","Activated","89","viper","89","1.99734028058641688",NA,NA,"5","ReMap--ChIP-seq(rank=45); ENCODE--ChIP-seq(rank=106); Enrichr--Queries(rank=171); ARCHS4--Coexpression(rank=840); GTEx--Coexpression(rank=976)","473","0.12180000000000001","Enrichr Queries,0.1218"
"SIX2","1.93772387189006556","1.93772387189006556","1.93772387189006556","Activated","90","viper","90","1.93772387189006556",NA,NA,"4","ReMap--ChIP-seq(rank=248); ARCHS4--Coexpression(rank=406); GTEx--Coexpression(rank=750); Enrichr--Queries(rank=812)","862","0.24940000000000001","ARCHS4 Coexpression,0.2494"
"IRF4","1.92790382252746983","1.92790382252746983","1.92790382252746983","Activated","91","viper","91","1.92790382252746983",NA,NA,"5","GTEx--Coexpression(rank=37); ReMap--ChIP-seq(rank=53); ENCODE--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=575); Enrichr--Queries(rank=753)","86","0.02302000000000000","GTEx Coexpression,0.02302"
"NR1H3","1.90746772477969206","1.90746772477969206","1.90746772477969206","Activated","92","viper","92","1.90746772477969206",NA,NA,"5","Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=87); Enrichr--Queries(rank=140); ARCHS4--Coexpression(rank=295); GTEx--Coexpression(rank=388)","225","0.05488000000000000","Literature ChIP-seq,0.05488"
"KLF6","1.89956954821220636","1.89956954821220636","1.89956954821220636","Activated","93","viper","93","1.89956954821220636",NA,NA,"4","ReMap--ChIP-seq(rank=3); ARCHS4--Coexpression(rank=119); Enrichr--Queries(rank=303); GTEx--Coexpression(rank=1273)","35","0.01010000000000000","ReMap ChIP-seq,0.0101"
"FOS","1.88148617922413375","1.88148617922413375","1.88148617922413375","Activated","94","viper","94","1.88148617922413375",NA,NA,"5","ENCODE--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=88); Enrichr--Queries(rank=123); GTEx--Coexpression(rank=508); ARCHS4--Coexpression(rank=725)","279","0.06780000000000000","ENCODE ChIP-seq,0.0678"
"ESR2","1.87900843177335997","1.87900843177335997","1.87900843177335997","Activated","95","viper","95","1.87900843177335997",NA,NA,"5","Literature--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=124); ARCHS4--Coexpression(rank=654); Enrichr--Queries(rank=815); GTEx--Coexpression(rank=1213)","376","0.09146000000000000","Literature ChIP-seq,0.09146"
"PBX2","1.87776342104524163","1.87776342104524163","1.87776342104524163","Activated","96","viper","96","1.87776342104524163",NA,NA,"4","ReMap--ChIP-seq(rank=9); Enrichr--Queries(rank=914); GTEx--Coexpression(rank=1068); ARCHS4--Coexpression(rank=1216)","116","0.03030000000000000","ReMap ChIP-seq,0.0303"
"RBPJ","1.85308949943551493","1.85308949943551493","1.85308949943551493","Activated","97","viper","97","1.85308949943551493",NA,NA,"5","Literature--ChIP-seq(rank=149); ReMap--ChIP-seq(rank=151); Enrichr--Queries(rank=673); GTEx--Coexpression(rank=1061); ARCHS4--Coexpression(rank=1150)","1268","0.47930000000000000","Enrichr Queries,0.4793"
"EPAS1","1.84482594541932121","1.84482594541932121","1.84482594541932121","Activated","98","viper","98","1.84482594541932121",NA,NA,"4","ReMap--ChIP-seq(rank=43); GTEx--Coexpression(rank=79); Enrichr--Queries(rank=174); ARCHS4--Coexpression(rank=343)","197","0.04916000000000000","GTEx Coexpression,0.04916"
"REL","1.83386415372079448","1.83386415372079448","1.83386415372079448","Activated","99","viper","99","1.83386415372079448",NA,NA,"3","Enrichr--Queries(rank=634); GTEx--Coexpression(rank=640); ARCHS4--Coexpression(rank=1092)","1141","0.39829999999999999","GTEx Coexpression,0.3983"
"ZNF143","1.82014491726359640","1.82014491726359640","1.82014491726359640","Activated","100","viper","100","1.82014491726359640",NA,NA,"5","ENCODE--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=150); Enrichr--Queries(rank=426); GTEx--Coexpression(rank=1026); ARCHS4--Coexpression(rank=1147)","970","0.30340000000000000","Enrichr Queries,0.3034"
"CEBPG","1.80241094079697017","1.80241094079697017","1.80241094079697017","Activated","101","viper","101","1.80241094079697017",NA,NA,"4","ReMap--ChIP-seq(rank=94); Enrichr--Queries(rank=144); ARCHS4--Coexpression(rank=589); GTEx--Coexpression(rank=1352)","411","0.10260000000000000","Enrichr Queries,0.1026"
"KDM5B","1.76774600940452742","1.76774600940452742","1.76774600940452742","Activated","102","viper","102","1.76774600940452742",NA,NA,"5","Literature--ChIP-seq(rank=38); ENCODE--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=138); ARCHS4--Coexpression(rank=453); GTEx--Coexpression(rank=526)","810","0.23169999999999999","Literature ChIP-seq,0.2317"
"SOX11","1.76018632349766402","1.76018632349766402","1.76018632349766402","Activated","103","viper","103","1.76018632349766402",NA,NA,"5","Literature--ChIP-seq(rank=94); Enrichr--Queries(rank=130); ReMap--ChIP-seq(rank=143); ARCHS4--Coexpression(rank=186); GTEx--Coexpression(rank=834)","381","0.09259000000000001","Enrichr Queries,0.09259"
"MEIS1","1.74952111218624795","1.74952111218624795","1.74952111218624795","Activated","104","viper","104","1.74952111218624795",NA,NA,"5","Literature--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=145); Enrichr--Queries(rank=417); GTEx--Coexpression(rank=422); ARCHS4--Coexpression(rank=1082)","893","0.26260000000000000","GTEx Coexpression,0.2626"
"ATF3","-1.74805428991407741","-1.74805428991407741","1.74805428991407741","Repressed","105","viper","105","1.74805428991407741",NA,NA,"6","Literature--ChIP-seq(rank=62); Enrichr--Queries(rank=83); ENCODE--ChIP-seq(rank=89); ARCHS4--Coexpression(rank=102); ReMap--ChIP-seq(rank=121); GTEx--Coexpression(rank=613)","244","0.05912000000000000","Enrichr Queries,0.05912"
"ZNF740","1.74655984821928123","1.74655984821928123","1.74655984821928123","Activated","106","viper","106","1.74655984821928123",NA,NA,"4","ReMap--ChIP-seq(rank=155); Enrichr--Queries(rank=1240); ARCHS4--Coexpression(rank=1303); GTEx--Coexpression(rank=1606)","1320","0.52190000000000003","ReMap ChIP-seq,0.5219"
"STAT5A","1.71532910585733145","1.71532910585733145","1.71532910585733145","Activated","107","viper","107","1.71532910585733145",NA,NA,"6","Literature--ChIP-seq(rank=45); ENCODE--ChIP-seq(rank=93); GTEx--Coexpression(rank=190); ReMap--ChIP-seq(rank=201); ARCHS4--Coexpression(rank=262); Enrichr--Queries(rank=786)","456","0.11820000000000000","GTEx Coexpression,0.1182"
"ARNT","1.70724026021838249","1.70724026021838249","1.70724026021838249","Activated","108","viper","108","1.70724026021838249",NA,NA,"5","Literature--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=177); GTEx--Coexpression(rank=804); ARCHS4--Coexpression(rank=1208); Enrichr--Queries(rank=1290)","1291","0.50029999999999997","GTEx Coexpression,0.5003"
"TBX21","1.69100680335116960","1.69100680335116960","1.69100680335116960","Activated","109","viper","109","1.69100680335116960",NA,NA,"4","ReMap--ChIP-seq(rank=218); ARCHS4--Coexpression(rank=243); GTEx--Coexpression(rank=677); Enrichr--Queries(rank=976)","568","0.14929999999999999","ARCHS4 Coexpression,0.1493"
"POU5F1","1.67367422142558042","1.67367422142558042","1.67367422142558042","Activated","110","viper","110","1.67367422142558042",NA,NA,"5","Literature--ChIP-seq(rank=41); ARCHS4--Coexpression(rank=73); ReMap--ChIP-seq(rank=167); Enrichr--Queries(rank=234); GTEx--Coexpression(rank=1161)","176","0.04484000000000000","ARCHS4 Coexpression,0.04484"
"ZNF639","1.65399355647199653","1.65399355647199653","1.65399355647199653","Activated","111","viper","111","1.65399355647199653",NA,NA,"4","Enrichr--Queries(rank=242); ReMap--ChIP-seq(rank=265); ARCHS4--Coexpression(rank=945); GTEx--Coexpression(rank=1368)","643","0.17240000000000000","Enrichr Queries,0.1724"
"USF2","1.64896257556984871","1.64896257556984871","1.64896257556984871","Activated","112","viper","112","1.64896257556984871",NA,NA,"5","ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=89); GTEx--Coexpression(rank=475); Enrichr--Queries(rank=1163); ARCHS4--Coexpression(rank=1284)","953","0.29559999999999992","GTEx Coexpression,0.2956"
"YY1","-1.63740273868134656","-1.63740273868134656","1.63740273868134656","Repressed","113","viper","113","1.63740273868134656",NA,NA,"6","ENCODE--ChIP-seq(rank=102); Literature--ChIP-seq(rank=143); ReMap--ChIP-seq(rank=243); ARCHS4--Coexpression(rank=387); GTEx--Coexpression(rank=978); Enrichr--Queries(rank=1350)","830","0.23769999999999999","ARCHS4 Coexpression,0.2377"
"PAX5","1.63439512608116355","1.63439512608116355","1.63439512608116355","Activated","114","viper","114","1.63439512608116355",NA,NA,"5","GTEx--Coexpression(rank=47); ReMap--ChIP-seq(rank=68); ENCODE--ChIP-seq(rank=74); ARCHS4--Coexpression(rank=371); Enrichr--Queries(rank=728)","112","0.02925000000000000","GTEx Coexpression,0.02925"
"MAZ","1.63051633030538201","1.63051633030538201","1.63051633030538201","Activated","115","viper","115","1.63051633030538201",NA,NA,"5","ENCODE--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=69); Enrichr--Queries(rank=810); ARCHS4--Coexpression(rank=999); GTEx--Coexpression(rank=1181)","812","0.23230000000000001","ReMap ChIP-seq,0.2323"
"JUN","1.62917822369168164","1.62917822369168164","1.62917822369168164","Activated","116","viper","116","1.62917822369168164",NA,NA,"6","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=38); Literature--ChIP-seq(rank=40); ARCHS4--Coexpression(rank=182); GTEx--Coexpression(rank=204); Enrichr--Queries(rank=300)","130","0.03390000000000000","ENCODE ChIP-seq,0.0339"
"WT1","1.62032597465482664","1.62032597465482664","1.62032597465482664","Activated","117","viper","117","1.62032597465482664",NA,NA,"4","Literature--ChIP-seq(rank=13); Enrichr--Queries(rank=175); ARCHS4--Coexpression(rank=678); GTEx--Coexpression(rank=880)","330","0.07926999999999999","Literature ChIP-seq,0.07927"
"HOXA9","1.61854597397380617","1.61854597397380617","1.61854597397380617","Activated","118","viper","118","1.61854597397380617",NA,NA,"4","ReMap--ChIP-seq(rank=270); ARCHS4--Coexpression(rank=326); Enrichr--Queries(rank=490); GTEx--Coexpression(rank=690)","726","0.20019999999999999","ARCHS4 Coexpression,0.2002"
"RFX2","1.61016798693557317","1.61016798693557317","1.61016798693557317","Activated","119","viper","119","1.61016798693557317",NA,NA,"4","ReMap--ChIP-seq(rank=107); Enrichr--Queries(rank=278); GTEx--Coexpression(rank=377); ARCHS4--Coexpression(rank=494)","720","0.19800000000000001","Enrichr Queries,0.198"
"ATF6","1.59221994164729952","1.59221994164729952","1.59221994164729952","Activated","120","viper","120","1.59221994164729952",NA,NA,"3","GTEx--Coexpression(rank=896); Enrichr--Queries(rank=1062); ARCHS4--Coexpression(rank=1433)","1357","0.55759999999999998","GTEx Coexpression,0.5576"
"CDX2","1.57932482494907522","1.57932482494907522","1.57932482494907522","Activated","121","viper","121","1.57932482494907522",NA,NA,"5","Literature--ChIP-seq(rank=26); ARCHS4--Coexpression(rank=116); ReMap--ChIP-seq(rank=165); GTEx--Coexpression(rank=228); Enrichr--Queries(rank=932)","296","0.07124999999999999","ARCHS4 Coexpression,0.07125"
"AHR","1.56977611742686851","1.56977611742686851","1.56977611742686851","Activated","122","viper","122","1.56977611742686851",NA,NA,"5","Literature--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=147); GTEx--Coexpression(rank=356); Enrichr--Queries(rank=438); ARCHS4--Coexpression(rank=887)","783","0.22150000000000000","GTEx Coexpression,0.2215"
"BACH2","1.52804424125398408","1.52804424125398408","1.52804424125398408","Activated","123","viper","123","1.52804424125398408",NA,NA,"4","ReMap--ChIP-seq(rank=198); Enrichr--Queries(rank=503); ARCHS4--Coexpression(rank=1104); GTEx--Coexpression(rank=1111)","1076","0.35830000000000001","Enrichr Queries,0.3583"
"STAT5B","1.52738396603196036","1.52738396603196036","1.52738396603196036","Activated","124","viper","124","1.52738396603196036",NA,NA,"4","ReMap--ChIP-seq(rank=91); ARCHS4--Coexpression(rank=417); GTEx--Coexpression(rank=445); Enrichr--Queries(rank=1018)","881","0.25609999999999999","ARCHS4 Coexpression,0.2561"
"SOX13","1.51994065588935068","1.51994065588935068","1.51994065588935068","Activated","125","viper","125","1.51994065588935068",NA,NA,"4","ReMap--ChIP-seq(rank=62); Enrichr--Queries(rank=440); GTEx--Coexpression(rank=615); ARCHS4--Coexpression(rank=988)","756","0.20880000000000001","ReMap ChIP-seq,0.2088"
"LHX2","1.50403555245684939","1.50403555245684939","1.50403555245684939","Activated","126","viper","126","1.50403555245684939",NA,NA,"4","ReMap--ChIP-seq(rank=246); GTEx--Coexpression(rank=306); Enrichr--Queries(rank=491); ARCHS4--Coexpression(rank=762)","695","0.19040000000000001","GTEx Coexpression,0.1904"
"GATA4","1.49322881997085366","1.49322881997085366","1.49322881997085366","Activated","127","viper","127","1.49322881997085366",NA,NA,"5","Literature--ChIP-seq(rank=109); ReMap--ChIP-seq(rank=256); ARCHS4--Coexpression(rank=391); Enrichr--Queries(rank=648); GTEx--Coexpression(rank=870)","837","0.24020000000000000","ARCHS4 Coexpression,0.2402"
"FOXP1","-1.49291057597364585","-1.49291057597364585","1.49291057597364585","Repressed","128","viper","128","1.49291057597364585",NA,NA,"5","Literature--ChIP-seq(rank=56); ReMap--ChIP-seq(rank=217); GTEx--Coexpression(rank=792); Enrichr--Queries(rank=1087); ARCHS4--Coexpression(rank=1283)","1040","0.34150000000000003","Literature ChIP-seq,0.3415"
"EGR1","1.48514528213304731","1.48514528213304731","1.48514528213304731","Activated","129","viper","129","1.48514528213304731",NA,NA,"6","ReMap--ChIP-seq(rank=20); Literature--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=98); Enrichr--Queries(rank=153); ARCHS4--Coexpression(rank=413); GTEx--Coexpression(rank=467)","276","0.06734000000000000","ReMap ChIP-seq,0.06734"
"SNAPC4","-1.46799961831939840","-1.46799961831939840","1.46799961831939840","Repressed","130","viper","130","1.46799961831939840",NA,NA,"4","ReMap--ChIP-seq(rank=266); GTEx--Coexpression(rank=649); Enrichr--Queries(rank=1288); ARCHS4--Coexpression(rank=1579)","1150","0.40389999999999998","GTEx Coexpression,0.4039"
"HHEX","-1.45191948077071298","-1.45191948077071298","1.45191948077071298","Repressed","131","viper","131","1.45191948077071298",NA,NA,"4","ReMap--ChIP-seq(rank=129); Enrichr--Queries(rank=310); ARCHS4--Coexpression(rank=405); GTEx--Coexpression(rank=888)","781","0.22080000000000000","Enrichr Queries,0.2208"
"RARA","1.44079140861055754","1.44079140861055754","1.44079140861055754","Activated","132","viper","132","1.44079140861055754",NA,NA,"5","Literature--ChIP-seq(rank=147); ReMap--ChIP-seq(rank=178); GTEx--Coexpression(rank=432); ARCHS4--Coexpression(rank=437); Enrichr--Queries(rank=947)","906","0.26840000000000003","ARCHS4 Coexpression,0.2684"
"PROX1","1.43863768634755140","1.43863768634755140","1.43863768634755140","Activated","133","viper","133","1.43863768634755140",NA,NA,"4","ReMap--ChIP-seq(rank=127); Enrichr--Queries(rank=265); ARCHS4--Coexpression(rank=420); GTEx--Coexpression(rank=431)","690","0.18870000000000001","Enrichr Queries,0.1887"
"SIX5","1.43320376453322340","1.43320376453322340","1.43320376453322340","Activated","134","viper","134","1.43320376453322340",NA,NA,"5","ENCODE--ChIP-seq(rank=115); Enrichr--Queries(rank=202); ReMap--ChIP-seq(rank=281); ARCHS4--Coexpression(rank=888); GTEx--Coexpression(rank=1222)","549","0.14390000000000000","Enrichr Queries,0.1439"
"ZBTB11","-1.42812112276862502","-1.42812112276862502","1.42812112276862502","Repressed","135","viper","135","1.42812112276862502",NA,NA,"4","ReMap--ChIP-seq(rank=278); Enrichr--Queries(rank=1323); GTEx--Coexpression(rank=1514); ARCHS4--Coexpression(rank=1600)","1627","0.93600000000000005","ReMap ChIP-seq,0.936"
"PGR","-1.41999471873252459","-1.41999471873252459","1.41999471873252459","Repressed","136","viper","136","1.41999471873252459",NA,NA,"4","ReMap--ChIP-seq(rank=118); GTEx--Coexpression(rank=384); Enrichr--Queries(rank=650); ARCHS4--Coexpression(rank=665)","833","0.23899999999999999","GTEx Coexpression,0.239"
"JUNB","1.41877809370658525","1.41877809370658525","1.41877809370658525","Activated","137","viper","137","1.41877809370658525",NA,NA,"4","ReMap--ChIP-seq(rank=60); Enrichr--Queries(rank=307); ARCHS4--Coexpression(rank=338); GTEx--Coexpression(rank=924)","733","0.20200000000000001","ReMap ChIP-seq,0.202"
"ETV4","1.40505100827174090","1.40505100827174090","1.40505100827174090","Activated","138","viper","138","1.40505100827174090",NA,NA,"4","GTEx--Coexpression(rank=27); Enrichr--Queries(rank=34); ARCHS4--Coexpression(rank=165); ReMap--ChIP-seq(rank=237)","62","0.01680000000000000","GTEx Coexpression,0.0168"
"GABPA","1.40465507688949254","1.40465507688949254","1.40465507688949254","Activated","139","viper","139","1.40465507688949254",NA,NA,"6","ENCODE--ChIP-seq(rank=27); Literature--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=285); ARCHS4--Coexpression(rank=660); Enrichr--Queries(rank=1165); GTEx--Coexpression(rank=1289)","802","0.22880000000000000","ENCODE ChIP-seq,0.2288"
"CEBPA","-1.39898264179101250","-1.39898264179101250","1.39898264179101250","Repressed","140","viper","140","1.39898264179101250",NA,NA,"5","Literature--ChIP-seq(rank=120); ReMap--ChIP-seq(rank=132); ARCHS4--Coexpression(rank=410); Enrichr--Queries(rank=410); GTEx--Coexpression(rank=442)","868","0.25180000000000002","ARCHS4 Coexpression,0.2518"
"MEIS2","1.39873950182127338","1.39873950182127338","1.39873950182127338","Activated","141","viper","141","1.39873950182127338",NA,NA,"4","ReMap--ChIP-seq(rank=49); Enrichr--Queries(rank=348); ARCHS4--Coexpression(rank=352); GTEx--Coexpression(rank=722)","617","0.16500000000000001","ReMap ChIP-seq,0.165"
"TCF4","1.39809474929839750","1.39809474929839750","1.39809474929839750","Activated","142","viper","142","1.39809474929839750",NA,NA,"5","Literature--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=169); GTEx--Coexpression(rank=394); ARCHS4--Coexpression(rank=475); Enrichr--Queries(rank=566)","852","0.24520000000000000","GTEx Coexpression,0.2452"
"FOXO4","1.39087543786717149","1.39087543786717149","1.39087543786717149","Activated","143","viper","143","1.39087543786717149",NA,NA,"3","Enrichr--Queries(rank=399); GTEx--Coexpression(rank=838); ARCHS4--Coexpression(rank=858)","940","0.28420000000000001","Enrichr Queries,0.2842"
"NCOA1","1.39067625448923726","1.39067625448923726","1.39067625448923726","Activated","144","viper","144","1.39067625448923726",NA,NA,"4","ReMap--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=692); GTEx--Coexpression(rank=867); Enrichr--Queries(rank=1212)","1177","0.42509999999999998","ARCHS4 Coexpression,0.4251"
"SOX9","1.38638461051669282","1.38638461051669282","1.38638461051669282","Activated","145","viper","145","1.38638461051669282",NA,NA,"5","Literature--ChIP-seq(rank=37); Enrichr--Queries(rank=155); ReMap--ChIP-seq(rank=211); ARCHS4--Coexpression(rank=351); GTEx--Coexpression(rank=845)","430","0.11040000000000000","Enrichr Queries,0.1104"
"THAP1","1.33699347056790629","1.33699347056790629","1.33699347056790629","Activated","146","viper","146","1.33699347056790629",NA,NA,"5","ReMap--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=117); Enrichr--Queries(rank=900); ARCHS4--Coexpression(rank=1351); GTEx--Coexpression(rank=1531)","63","0.01684000000000000","ReMap ChIP-seq,0.01684"
"NFYB","-1.32642440859613386","-1.32642440859613386","1.32642440859613386","Repressed","147","viper","147","1.32642440859613386",NA,NA,"5","ENCODE--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=45); ReMap--ChIP-seq(rank=65); Enrichr--Queries(rank=139); GTEx--Coexpression(rank=1135)","106","0.02764000000000000","ARCHS4 Coexpression,0.02764"
"ELF3","1.31956323627733974","1.31956323627733974","1.31956323627733974","Activated","148","viper","148","1.31956323627733974",NA,NA,"4","ReMap--ChIP-seq(rank=86); ARCHS4--Coexpression(rank=212); Enrichr--Queries(rank=238); GTEx--Coexpression(rank=239)","501","0.13020000000000001","ARCHS4 Coexpression,0.1302"
"NRF1","1.30447503780426710","1.30447503780426710","1.30447503780426710","Activated","149","viper","149","1.30447503780426710",NA,NA,"5","ENCODE--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=203); ARCHS4--Coexpression(rank=278); Enrichr--Queries(rank=500); GTEx--Coexpression(rank=1125)","638","0.17080000000000001","ARCHS4 Coexpression,0.1708"
"MEF2C","1.29771385227293434","1.29771385227293434","1.29771385227293434","Activated","150","viper","150","1.29771385227293434",NA,NA,"5","ENCODE--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=233); GTEx--Coexpression(rank=315); Enrichr--Queries(rank=325); ARCHS4--Coexpression(rank=339)","715","0.19600000000000001","GTEx Coexpression,0.196"
"ETS1","1.28908232983009019","1.28908232983009019","1.28908232983009019","Activated","151","viper","151","1.28908232983009019",NA,NA,"6","ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=163); ReMap--ChIP-seq(rank=238); GTEx--Coexpression(rank=387); ARCHS4--Coexpression(rank=418); Enrichr--Queries(rank=525)","840","0.24079999999999999","GTEx Coexpression,0.2408"
"REST","-1.27962184538582724","-1.27962184538582724","1.27962184538582724","Repressed","152","viper","152","1.27962184538582724",NA,NA,"6","ReMap--ChIP-seq(rank=26); ENCODE--ChIP-seq(rank=44); ARCHS4--Coexpression(rank=60); Literature--ChIP-seq(rank=61); GTEx--Coexpression(rank=105); Enrichr--Queries(rank=1080)","144","0.03686000000000000","ARCHS4 Coexpression,0.03686"
"NFIC","-1.27610465091339065","-1.27610465091339065","1.27610465091339065","Repressed","153","viper","153","1.27610465091339065",NA,NA,"5","ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=141); ARCHS4--Coexpression(rank=594); GTEx--Coexpression(rank=864); Enrichr--Queries(rank=1226)","550","0.14410000000000001","ENCODE ChIP-seq,0.1441"
"CEBPB","1.26665035230685219","1.26665035230685219","1.26665035230685219","Activated","154","viper","154","1.26665035230685219",NA,NA,"6","ENCODE--ChIP-seq(rank=25); Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=175); Enrichr--Queries(rank=195); ARCHS4--Coexpression(rank=812); GTEx--Coexpression(rank=1123)","532","0.13890000000000000","Enrichr Queries,0.1389"
"ZNF592","1.25097587943701738","1.25097587943701738","1.25097587943701738","Activated","155","viper","155","1.25097587943701738",NA,NA,"4","ReMap--ChIP-seq(rank=142); GTEx--Coexpression(rank=974); ARCHS4--Coexpression(rank=1211); Enrichr--Queries(rank=1394)","1267","0.47810000000000002","ReMap ChIP-seq,0.4781"
"RELA","1.24731340464919405","1.24731340464919405","1.24731340464919405","Activated","156","viper","156","1.24731340464919405",NA,NA,"6","Literature--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=179); GTEx--Coexpression(rank=447); Enrichr--Queries(rank=1200); ARCHS4--Coexpression(rank=1623)","354","0.08537000000000000","Literature ChIP-seq,0.08537"
"PDX1","1.23856072260938088","1.23856072260938088","1.23856072260938088","Activated","157","viper","157","1.23856072260938088",NA,NA,"5","ARCHS4--Coexpression(rank=78); Literature--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=195); Enrichr--Queries(rank=756); GTEx--Coexpression(rank=1010)","189","0.04791000000000000","ARCHS4 Coexpression,0.04791"
"FOSL2","1.23834352794983271","1.23834352794983271","1.23834352794983271","Activated","158","viper","158","1.23834352794983271",NA,NA,"5","ENCODE--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=36); Enrichr--Queries(rank=363); GTEx--Coexpression(rank=783); ARCHS4--Coexpression(rank=1210)","471","0.12120000000000000","ReMap ChIP-seq,0.1212"
"ETS2","-1.23408822715548872","-1.23408822715548872","1.23408822715548872","Repressed","159","viper","159","1.23408822715548872",NA,NA,"4","Literature--ChIP-seq(rank=135); Enrichr--Queries(rank=349); ARCHS4--Coexpression(rank=459); GTEx--Coexpression(rank=681)","860","0.24859999999999999","Enrichr Queries,0.2486"
