"statistic","source","condition","score","p_value"
"ora","CLOCK","HVL_CRC29","1.040933156902388079","0.09100533299091606576070034861913882195949554443"
"ora","CREB1","HVL_CRC29","1.125891526936089404","0.07483563929940321990397222862156922928988933563"
"ora","CREB3","HVL_CRC29","0.374459111831118296","0.42222202874558578677977038751123473048210144043"
"ora","CREB3L1","HVL_CRC29","1.284026061688736675","0.05199647928969126225995367462928697932511568069"
"ora","CREM","HVL_CRC29","0.047856887679195950","0.89565986219421489522574120201170444488525390625"
"ora","CTCF","HVL_CRC29","0.599680430346613669","0.25137354489814284219661999486561398953199386597"
"ora","CTCFL","HVL_CRC29","1.497286192415449246","0.03182099882863929918297429821905097924172878265"
"ora","CUX1","HVL_CRC29","1.449908568214130389","0.03548880957710431188756317055776889901608228683"
"ora","DUX4","HVL_CRC29","0.354590039449041272","0.44198747298916984949102015889366157352924346924"
"ora","E2F1","HVL_CRC29","17.662047789483430904","0.00000000000000000217747015176472731685552847729"
"ora","E2F2","HVL_CRC29","8.952161906559938487","0.00000000111644695470864877741865793222067471113"
"ora","E2F3","HVL_CRC29","5.470189480650716973","0.00000338696352264490246387635546954086862569966"
"ora","E2F4","HVL_CRC29","31.539647802904745788","0.00000000000000000000000000000002886371296835593"
"ora","E2F5","HVL_CRC29","3.409447044223270495","0.00038954080353669818560791160422240864136256278"
"ora","E2F6","HVL_CRC29","2.759545341367649840","0.00173962106801693475524595022818630241090431809"
"ora","E2F7","HVL_CRC29","5.225514118544480446","0.00000594957414884711214116347691160946453692304"
"ora","EBF1","HVL_CRC29","0.906615864648050551","0.12398927922093205822307027119677513837814331055"
"ora","EGR1","HVL_CRC29","1.192458362564362107","0.06420097704344417122168664491255185566842556000"
"ora","EHF","HVL_CRC29","0.164891425700860489","0.68408264763627268933987579657696187496185302734"
"ora","ELF1","HVL_CRC29","0.105146707815290841","0.78497042113464998713823206344386562705039978027"
"ora","ELF3","HVL_CRC29","0.752156262690835020","0.17694721732681853443303054973512189462780952454"
"ora","ELF5","HVL_CRC29","0.348789403509394191","0.44793046032017685975645804319356102496385574341"
"ora","ELK1","HVL_CRC29","0.847153922813740579","0.14218247741402476047589686913852347061038017273"
"ora","ELK4","HVL_CRC29","0.033390692537869866","0.92599641958487310944292403291910886764526367188"
"ora","EOMES","HVL_CRC29","0.041847156139980933","0.90814008112595867583394237954053096473217010498"
"ora","EPAS1","HVL_CRC29","2.575579327345240532","0.00265717815047737974595842835867642861558124423"
"ora","ERG","HVL_CRC29","1.409983888592626800","0.03890595780146071519522976700500294100493192673"
"ora","ESR1","HVL_CRC29","2.170358017287183916","0.00675525865730919761881212437515387136954814196"
"ora","ESR2","HVL_CRC29","0.490015192963599577","0.32358233682112552687115680782881099730730056763"
"ora","ESRRA","HVL_CRC29","0.943622083554640834","0.11386176626083557850144245549017796292901039124"
"ora","ETS1","HVL_CRC29","1.362086196249661096","0.04344239936601852758446540292425197549164295197"
"ora","ETS2","HVL_CRC29","0.624777669060086027","0.23725880078086852842389475881645921617746353149"
"ora","ETV1","HVL_CRC29","0.125254623931084025","0.74945468026484385326568826712900772690773010254"
"ora","ETV4","HVL_CRC29","0.318347555501403146","0.48045469813703978179120213098940439522266387939"
"ora","FLI1","HVL_CRC29","0.416338595465543193","0.38340820669334796377825114177539944648742675781"
"ora","FOS","HVL_CRC29","0.166096582033467277","0.68218696683680624115453383637941442430019378662"
"ora","FOSL1","HVL_CRC29","0.000000000000000000","1.00000000000000000000000000000000000000000000000"
"ora","FOSL2","HVL_CRC29","0.279113577590418493","0.52587971925472420942071494209812954068183898926"
"ora","FOXA1","HVL_CRC29","0.205165530693484838","0.62349714518148380282269727103994227945804595947"
"ora","FOXA2","HVL_CRC29","0.060135979041056054","0.87069093105808381682919616650906391441822052002"
"ora","FOXJ2","HVL_CRC29","0.546201186462289434","0.28431437189924441133470622844470199197530746460"
"ora","FOXK2","HVL_CRC29","0.184636957219921710","0.65367675683703019284820356915588490664958953857"
"ora","FOXL2","HVL_CRC29","0.737673368467333224","0.18294756418064272995849250946776010096073150635"
"ora","FOXM1","HVL_CRC29","5.747516171518441297","0.00000178847893153465590292887192613857649803322"
"ora","FOXO1","HVL_CRC29","2.926513860358973762","0.00118436656774245792876631977463830480701290071"
"ora","FOXO3","HVL_CRC29","2.118762692340928844","0.00760741848772498834019284430496554705314338207"
"ora","FOXO4","HVL_CRC29","2.342881514713070601","0.00454065479012124954827367417919958825223147869"
"ora","FOXP1","HVL_CRC29","0.307376277015419863","0.49274669836609436002206052762630861252546310425"
"ora","FOXP2","HVL_CRC29","0.588038945440637395","0.25820286363411487640107111474208068102598190308"
"ora","GABPA","HVL_CRC29","0.005368382694742947","0.98771492732330157249265312202624045312404632568"
"ora","GATA1","HVL_CRC29","0.027537995044864809","0.93855992145360744860482782314647920429706573486"
"ora","GATA2","HVL_CRC29","1.188771445123017134","0.06474832752166961857831495308346347883343696594"
"ora","GATA3","HVL_CRC29","0.605156175629570803","0.24822403121063021935732706424460047855973243713"
"ora","GATA4","HVL_CRC29","0.073526002911228142","0.84425569150154200492863765248330309987068176270"
"ora","GATA6","HVL_CRC29","1.566968170585250064","0.02710390268940839064715220274592866189777851105"
"ora","GFI1B","HVL_CRC29","0.434081269163922645","0.36806009241998965952902267417812254279851913452"
"ora","GLI2","HVL_CRC29","0.920164243325350850","0.12018098431299373274327990657184273004531860352"
"ora","GRHL2","HVL_CRC29","2.638799199555785346","0.00229721054112233405777865336006016150349751115"
"ora","HBP1","HVL_CRC29","0.088913538476136172","0.81486649558264168113907999213552102446556091309"
"ora","HHEX","HVL_CRC29","0.060135979041056054","0.87069093105808381682919616650906391441822052002"
"ora","HIF1A","HVL_CRC29","2.589793801783553562","0.00257161646801737668252552104775077168596908450"
"ora","HINFP","HVL_CRC29","0.106741639311104169","0.78209293133008239706782660505268722772598266602"
"ora","HMBOX1","HVL_CRC29","0.065349233134231119","0.86030167182378569634693121770396828651428222656"
"ora","HNF1A","HVL_CRC29","0.002868873082303373","0.99341594610122085917680578859290108084678649902"
