"TF","DLD1_HCT15","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"MAFB","1.678431693849560258","1.678431693849560258","1.678431693849560258","Activated","80","viper","80","1.678431693849560258",NA,NA,"4","Enrichr--Queries(rank=86); ReMap--ChIP-seq(rank=123); ARCHS4--Coexpression(rank=209); GTEx--Coexpression(rank=529)","223","0.06125000000000000","Enrichr Queries,0.06125"
"NRF1","1.671603619820313025","1.671603619820313025","1.671603619820313025","Activated","81","viper","81","1.671603619820313025",NA,NA,"5","ARCHS4--Coexpression(rank=34); ENCODE--ChIP-seq(rank=74); GTEx--Coexpression(rank=178); ReMap--ChIP-seq(rank=283); Enrichr--Queries(rank=1251)","82","0.02088000000000000","ARCHS4 Coexpression,0.02088"
"KDM5B","1.667393928848463380","1.667393928848463380","1.667393928848463380","Activated","82","viper","82","1.667393928848463380",NA,NA,"5","ENCODE--ChIP-seq(rank=39); Literature--ChIP-seq(rank=154); ReMap--ChIP-seq(rank=201); GTEx--Coexpression(rank=498); ARCHS4--Coexpression(rank=1139)","942","0.30990000000000001","GTEx Coexpression,0.3099"
"FOXJ2","1.665086546796256339","1.665086546796256339","1.665086546796256339","Activated","83","viper","83","1.665086546796256339",NA,NA,"4","ReMap--ChIP-seq(rank=104); ARCHS4--Coexpression(rank=692); Enrichr--Queries(rank=822); GTEx--Coexpression(rank=962)","1033","0.35020000000000001","ReMap ChIP-seq,0.3502"
"POU2F1","1.661225478068435013","1.661225478068435013","1.661225478068435013","Activated","84","viper","84","1.661225478068435013",NA,NA,"4","ReMap--ChIP-seq(rank=279); Enrichr--Queries(rank=1025); GTEx--Coexpression(rank=1212); ARCHS4--Coexpression(rank=1358)","1552","0.73009999999999997","Enrichr Queries,0.7301"
"HBP1","-1.660770451295618733","-1.660770451295618733","1.660770451295618733","Repressed","85","viper","85","1.660770451295618733",NA,NA,"4","ReMap--ChIP-seq(rank=35); Enrichr--Queries(rank=108); ARCHS4--Coexpression(rank=182); GTEx--Coexpression(rank=1298)","277","0.07692000000000000","Enrichr Queries,0.07692"
"ERG","1.647698971562565839","1.647698971562565839","1.647698971562565839","Activated","86","viper","86","1.647698971562565839",NA,NA,"5","GTEx--Coexpression(rank=18); Literature--ChIP-seq(rank=138); ReMap--ChIP-seq(rank=196); ARCHS4--Coexpression(rank=367); Enrichr--Queries(rank=630)","42","0.01120000000000000","GTEx Coexpression,0.0112"
"SMAD4","1.626114031371529878","1.626114031371529878","1.626114031371529878","Activated","87","viper","87","1.626114031371529878",NA,NA,"5","Literature--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=223); ARCHS4--Coexpression(rank=1170); GTEx--Coexpression(rank=1276); Enrichr--Queries(rank=1359)","221","0.06098000000000000","Literature ChIP-seq,0.06098"
"YY1","-1.580950535018822656","-1.580950535018822656","1.580950535018822656","Repressed","88","viper","88","1.580950535018822656",NA,NA,"6","Literature--ChIP-seq(rank=65); ENCODE--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=266); GTEx--Coexpression(rank=1131); Enrichr--Queries(rank=1363); ARCHS4--Coexpression(rank=1369)","1142","0.39629999999999999","Literature ChIP-seq,0.3963"
"E2F5","-1.578161181847869132","-1.578161181847869132","1.578161181847869132","Repressed","89","viper","89","1.578161181847869132",NA,NA,"4","ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=553); GTEx--Coexpression(rank=1318); ARCHS4--Coexpression(rank=1485)","1137","0.39389999999999997","Enrichr Queries,0.3939"
"CREM","1.561099365763999769","1.561099365763999769","1.561099365763999769","Activated","90","viper","90","1.561099365763999769",NA,NA,"5","ARCHS4--Coexpression(rank=33); Enrichr--Queries(rank=46); Literature--ChIP-seq(rank=149); ReMap--ChIP-seq(rank=165); GTEx--Coexpression(rank=690)","80","0.02027000000000000","ARCHS4 Coexpression,0.02027"
"SMAD3","1.538153930143221215","1.538153930143221215","1.538153930143221215","Activated","91","viper","91","1.538153930143221215",NA,NA,"5","Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=17); Enrichr--Queries(rank=216); ARCHS4--Coexpression(rank=386); GTEx--Coexpression(rank=1171)","209","0.05724000000000000","ReMap ChIP-seq,0.05724"
"MAFG","1.513109100010944674","1.513109100010944674","1.513109100010944674","Activated","92","viper","92","1.513109100010944674",NA,NA,"4","GTEx--Coexpression(rank=55); Enrichr--Queries(rank=83); ReMap--ChIP-seq(rank=113); ARCHS4--Coexpression(rank=820)","130","0.03423000000000000","GTEx Coexpression,0.03423"
"EOMES","-1.499834878452938947","-1.499834878452938947","1.499834878452938947","Repressed","93","viper","93","1.499834878452938947",NA,NA,"5","Literature--ChIP-seq(rank=126); ReMap--ChIP-seq(rank=249); Enrichr--Queries(rank=347); GTEx--Coexpression(rank=609); ARCHS4--Coexpression(rank=800)","783","0.24720000000000000","Enrichr Queries,0.2472"
"GATA6","1.481283927525280930","1.481283927525280930","1.481283927525280930","Activated","94","viper","94","1.481283927525280930",NA,NA,"5","Literature--ChIP-seq(rank=54); Enrichr--Queries(rank=67); ReMap--ChIP-seq(rank=135); ARCHS4--Coexpression(rank=325); GTEx--Coexpression(rank=987)","175","0.04772000000000000","Enrichr Queries,0.04772"
"MAZ","-1.479925698665189859","-1.479925698665189859","1.479925698665189859","Repressed","95","viper","95","1.479925698665189859",NA,NA,"5","ENCODE--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=125); GTEx--Coexpression(rank=496); ARCHS4--Coexpression(rank=1295); Enrichr--Queries(rank=1325)","938","0.30859999999999999","GTEx Coexpression,0.3086"
"MYB","-1.478847399109921579","-1.478847399109921579","1.478847399109921579","Repressed","96","viper","96","1.478847399109921579",NA,NA,"6","ReMap--ChIP-seq(rank=70); ENCODE--ChIP-seq(rank=79); Literature--ChIP-seq(rank=96); GTEx--Coexpression(rank=588); Enrichr--Queries(rank=783); ARCHS4--Coexpression(rank=1024)","751","0.23569999999999999","ReMap ChIP-seq,0.2357"
"SIX5","-1.417338899328840496","-1.417338899328840496","1.417338899328840496","Repressed","97","viper","97","1.417338899328840496",NA,NA,"5","ENCODE--ChIP-seq(rank=84); ReMap--ChIP-seq(rank=230); Enrichr--Queries(rank=416); ARCHS4--Coexpression(rank=1291); GTEx--Coexpression(rank=1556)","907","0.29630000000000001","Enrichr Queries,0.2963"
"NR2F6","1.399640431139424601","1.399640431139424601","1.399640431139424601","Activated","98","viper","98","1.399640431139424601",NA,NA,"4","ReMap--ChIP-seq(rank=61); Enrichr--Queries(rank=588); GTEx--Coexpression(rank=946); ARCHS4--Coexpression(rank=1298)","674","0.20540000000000000","ReMap ChIP-seq,0.2054"
"IRF2","1.396216502539959325","1.396216502539959325","1.396216502539959325","Activated","99","viper","99","1.396216502539959325",NA,NA,"4","ARCHS4--Coexpression(rank=96); ReMap--ChIP-seq(rank=174); Enrichr--Queries(rank=300); GTEx--Coexpression(rank=366)","213","0.05897000000000000","ARCHS4 Coexpression,0.05897"
"FOXK2","1.386208877212389723","1.386208877212389723","1.386208877212389723","Activated","100","viper","100","1.386208877212389723",NA,NA,"4","ReMap--ChIP-seq(rank=25); GTEx--Coexpression(rank=741); ARCHS4--Coexpression(rank=1347); Enrichr--Queries(rank=1400)","301","0.08418000000000000","ReMap ChIP-seq,0.08418"
"FOXM1","-1.379389418612952278","-1.379389418612952278","1.379389418612952278","Repressed","101","viper","101","1.379389418612952278",NA,NA,"6","Literature--ChIP-seq(rank=43); ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=198); ARCHS4--Coexpression(rank=1200); Enrichr--Queries(rank=1362); GTEx--Coexpression(rank=1425)","825","0.26219999999999999","Literature ChIP-seq,0.2622"
"POU5F1","1.379236986884063043","1.379236986884063043","1.379236986884063043","Activated","102","viper","102","1.379236986884063043",NA,NA,"5","Literature--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=245); GTEx--Coexpression(rank=746); Enrichr--Queries(rank=784); ARCHS4--Coexpression(rank=1096)","1201","0.42680000000000001","Literature ChIP-seq,0.4268"
"STAT4","1.364168473791580682","1.364168473791580682","1.364168473791580682","Activated","103","viper","103","1.364168473791580682",NA,NA,"4","Literature--ChIP-seq(rank=27); Enrichr--Queries(rank=69); ARCHS4--Coexpression(rank=133); GTEx--Coexpression(rank=1399)","180","0.04915000000000000","Enrichr Queries,0.04915"
"ZNF263","1.351944163081602035","1.351944163081602035","1.351944163081602035","Activated","104","viper","104","1.351944163081602035",NA,NA,"6","Literature--ChIP-seq(rank=57); ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=211); Enrichr--Queries(rank=529); GTEx--Coexpression(rank=1106); ARCHS4--Coexpression(rank=1169)","1029","0.34760000000000002","Literature ChIP-seq,0.3476"
"PDX1","1.339040941297217291","1.339040941297217291","1.339040941297217291","Activated","105","viper","105","1.339040941297217291",NA,NA,"5","ARCHS4--Coexpression(rank=110); Literature--ChIP-seq(rank=128); ReMap--ChIP-seq(rank=264); GTEx--Coexpression(rank=569); Enrichr--Queries(rank=839)","238","0.06757000000000001","ARCHS4 Coexpression,0.06757"
"NCOA1","1.332313273523939356","1.332313273523939356","1.332313273523939356","Activated","106","viper","106","1.332313273523939356",NA,NA,"4","ReMap--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=466); GTEx--Coexpression(rank=1109); Enrichr--Queries(rank=1298)","657","0.19869999999999999","ReMap ChIP-seq,0.1987"
"HNF4A","-1.328323445991109297","-1.328323445991109297","1.328323445991109297","Repressed","107","viper","107","1.328323445991109297",NA,NA,"6","ENCODE--ChIP-seq(rank=24); Literature--ChIP-seq(rank=48); GTEx--Coexpression(rank=64); ReMap--ChIP-seq(rank=148); Enrichr--Queries(rank=219); ARCHS4--Coexpression(rank=322)","149","0.03983000000000000","GTEx Coexpression,0.03983"
"ZNF274","-1.304435497091547047","-1.304435497091547047","1.304435497091547047","Repressed","108","viper","108","1.304435497091547047",NA,NA,"6","ENCODE--ChIP-seq(rank=83); Literature--ChIP-seq(rank=145); Enrichr--Queries(rank=159); ARCHS4--Coexpression(rank=198); ReMap--ChIP-seq(rank=205); GTEx--Coexpression(rank=1079)","397","0.11320000000000000","Enrichr Queries,0.1132"
"NR1H3","1.301325054243711810","1.301325054243711810","1.301325054243711810","Activated","109","viper","109","1.301325054243711810",NA,NA,"5","Literature--ChIP-seq(rank=13); GTEx--Coexpression(rank=21); ARCHS4--Coexpression(rank=55); Enrichr--Queries(rank=94); ReMap--ChIP-seq(rank=274)","51","0.01307000000000000","GTEx Coexpression,0.01307"
"ZKSCAN1","1.280208446462061334","1.280208446462061334","1.280208446462061334","Activated","110","viper","110","1.280208446462061334",NA,NA,"5","ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=121); GTEx--Coexpression(rank=952); ARCHS4--Coexpression(rank=1072); Enrichr--Queries(rank=1282)","1162","0.40679999999999999","ENCODE ChIP-seq,0.4068"
"GFI1B","1.275631877082454624","1.275631877082454624","1.275631877082454624","Activated","111","viper","111","1.275631877082454624",NA,NA,"5","ReMap--ChIP-seq(rank=26); Literature--ChIP-seq(rank=89); Enrichr--Queries(rank=453); ARCHS4--Coexpression(rank=565); GTEx--Coexpression(rank=887)","313","0.08754000000000001","ReMap ChIP-seq,0.08754"
"HNF4G","1.272718810875064666","1.272718810875064666","1.272718810875064666","Activated","112","viper","112","1.272718810875064666",NA,NA,"5","ReMap--ChIP-seq(rank=81); ARCHS4--Coexpression(rank=85); ENCODE--ChIP-seq(rank=85); GTEx--Coexpression(rank=116); Enrichr--Queries(rank=494)","191","0.05221000000000000","ARCHS4 Coexpression,0.05221"
"VDR","1.250873005563240881","1.250873005563240881","1.250873005563240881","Activated","113","viper","113","1.250873005563240881",NA,NA,"5","GTEx--Coexpression(rank=36); Enrichr--Queries(rank=39); Literature--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=54); ARCHS4--Coexpression(rank=88)","87","0.02240000000000000","GTEx Coexpression,0.0224"
"MITF","1.233567628758125867","1.233567628758125867","1.233567628758125867","Activated","114","viper","114","1.233567628758125867",NA,NA,"5","Literature--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=65); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=168); GTEx--Coexpression(rank=579)","150","0.03993000000000000","ARCHS4 Coexpression,0.03993"
"OTX2","1.228867509022312232","1.228867509022312232","1.228867509022312232","Activated","115","viper","115","1.228867509022312232",NA,NA,"4","ReMap--ChIP-seq(rank=269); Enrichr--Queries(rank=1238); GTEx--Coexpression(rank=1302); ARCHS4--Coexpression(rank=1503)","1597","0.81020000000000003","GTEx Coexpression,0.8102"
"TCF12","1.211470312135145111","1.211470312135145111","1.211470312135145111","Activated","116","viper","116","1.211470312135145111",NA,NA,"5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=95); ARCHS4--Coexpression(rank=671); GTEx--Coexpression(rank=989); Enrichr--Queries(rank=1353)","97","0.02542000000000000","ENCODE ChIP-seq,0.02542"
"DUX4","-1.210501554516415723","-1.210501554516415723","1.210501554516415723","Repressed","117","viper","117","1.210501554516415723",NA,NA,"2","ReMap--ChIP-seq(rank=287); ARCHS4--Coexpression(rank=468)","883","0.28749999999999998","ARCHS4 Coexpression,0.2875"
"SOX13","-1.198794328595177427","-1.198794328595177427","1.198794328595177427","Repressed","118","viper","118","1.198794328595177427",NA,NA,"4","ReMap--ChIP-seq(rank=24); Enrichr--Queries(rank=432); GTEx--Coexpression(rank=456); ARCHS4--Coexpression(rank=1061)","290","0.08081000000000001","ReMap ChIP-seq,0.08081"
"AHR","1.175683712792231495","1.175683712792231495","1.175683712792231495","Activated","119","viper","119","1.175683712792231495",NA,NA,"5","Literature--ChIP-seq(rank=39); Enrichr--Queries(rank=113); ReMap--ChIP-seq(rank=194); ARCHS4--Coexpression(rank=197); GTEx--Coexpression(rank=1278)","289","0.08048000000000000","Enrichr Queries,0.08048"
"TBP","1.142234643711156572","1.142234643711156572","1.142234643711156572","Activated","120","viper","120","1.142234643711156572",NA,NA,"5","ENCODE--ChIP-seq(rank=33); Literature--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=202); GTEx--Coexpression(rank=623); ARCHS4--Coexpression(rank=1541)","737","0.23169999999999999","Literature ChIP-seq,0.2317"
"SOX9","1.141628052237626312","1.141628052237626312","1.141628052237626312","Activated","121","viper","121","1.141628052237626312",NA,NA,"5","Literature--ChIP-seq(rank=50); Enrichr--Queries(rank=112); ReMap--ChIP-seq(rank=190); ARCHS4--Coexpression(rank=707); GTEx--Coexpression(rank=1046)","286","0.07976999999999999","Enrichr Queries,0.07977"
"STAT2","1.132514054064023057","1.132514054064023057","1.132514054064023057","Activated","122","viper","122","1.132514054064023057",NA,NA,"5","ENCODE--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=31); ARCHS4--Coexpression(rank=61); Enrichr--Queries(rank=131); GTEx--Coexpression(rank=1534)","141","0.03747000000000000","ARCHS4 Coexpression,0.03747"
"BCL6","-1.101214079603258122","-1.101214079603258122","1.101214079603258122","Repressed","123","viper","123","1.101214079603258122",NA,NA,"5","Enrichr--Queries(rank=35); Literature--ChIP-seq(rank=122); ARCHS4--Coexpression(rank=129); GTEx--Coexpression(rank=143); ReMap--ChIP-seq(rank=197)","96","0.02493000000000000","Enrichr Queries,0.02493"
"NR4A1","1.098951641223123277","1.098951641223123277","1.098951641223123277","Activated","124","viper","124","1.098951641223123277",NA,NA,"4","GTEx--Coexpression(rank=2); ARCHS4--Coexpression(rank=10); Enrichr--Queries(rank=24); ReMap--ChIP-seq(rank=67)","3","0.00124500000000000","GTEx Coexpression,0.001245"
"TCF3","-1.097968028013377007","-1.097968028013377007","1.097968028013377007","Repressed","125","viper","125","1.097968028013377007",NA,NA,"6","ENCODE--ChIP-seq(rank=53); Literature--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=186); ARCHS4--Coexpression(rank=1289); Enrichr--Queries(rank=1330); GTEx--Coexpression(rank=1400)","1114","0.38410000000000000","Literature ChIP-seq,0.3841"
"ELK4","1.085741115816709845","1.085741115816709845","1.085741115816709845","Activated","126","viper","126","1.085741115816709845",NA,NA,"5","ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=187); Enrichr--Queries(rank=911); ARCHS4--Coexpression(rank=951); GTEx--Coexpression(rank=1417)","1435","0.58420000000000016","ARCHS4 Coexpression,0.5842"
"ELK1","1.084814308021696538","1.084814308021696538","1.084814308021696538","Activated","127","viper","127","1.084814308021696538",NA,NA,"5","Literature--ChIP-seq(rank=47); ENCODE--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=242); GTEx--Coexpression(rank=1209); ARCHS4--Coexpression(rank=1518)","881","0.28660000000000002","Literature ChIP-seq,0.2866"
"SP1","1.082554772851498148","1.082554772851498148","1.082554772851498148","Activated","128","viper","128","1.082554772851498148",NA,NA,"5","ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=178); ARCHS4--Coexpression(rank=761); Enrichr--Queries(rank=1199); GTEx--Coexpression(rank=1225)","909","0.29659999999999992","ENCODE ChIP-seq,0.2966"
"PBX3","1.076543995118283359","1.076543995118283359","1.076543995118283359","Activated","129","viper","129","1.076543995118283359",NA,NA,"5","ENCODE--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=208); Enrichr--Queries(rank=562); ARCHS4--Coexpression(rank=1048); GTEx--Coexpression(rank=1121)","1150","0.40029999999999999","Enrichr Queries,0.4003"
"ESRRA","1.073989887652011088","1.073989887652011088","1.073989887652011088","Activated","130","viper","130","1.073989887652011088",NA,NA,"5","ReMap--ChIP-seq(rank=23); ENCODE--ChIP-seq(rank=77); Enrichr--Queries(rank=706); GTEx--Coexpression(rank=1282); ARCHS4--Coexpression(rank=1443)","279","0.07743999999999999","ReMap ChIP-seq,0.07744"
"ZBTB11","1.072594292779587288","1.072594292779587288","1.072594292779587288","Activated","131","viper","131","1.072594292779587288",NA,NA,"4","ReMap--ChIP-seq(rank=225); ARCHS4--Coexpression(rank=984); Enrichr--Queries(rank=1128); GTEx--Coexpression(rank=1360)","1452","0.60440000000000005","ARCHS4 Coexpression,0.6044"
"ETV1","1.062143473919238135","1.062143473919238135","1.062143473919238135","Activated","132","viper","132","1.062143473919238135",NA,NA,"4","ReMap--ChIP-seq(rank=261); Enrichr--Queries(rank=504); ARCHS4--Coexpression(rank=863); GTEx--Coexpression(rank=1175)","1054","0.35899999999999999","Enrichr Queries,0.359"
"SP2","1.048385986626112487","1.048385986626112487","1.048385986626112487","Activated","133","viper","133","1.048385986626112487",NA,NA,"5","ENCODE--ChIP-seq(rank=101); ReMap--ChIP-seq(rank=195); ARCHS4--Coexpression(rank=503); Enrichr--Queries(rank=677); GTEx--Coexpression(rank=1179)","939","0.30900000000000000","ARCHS4 Coexpression,0.309"
"JUND","1.047682222694949150","1.047682222694949150","1.047682222694949150","Activated","134","viper","134","1.047682222694949150",NA,NA,"6","ENCODE--ChIP-seq(rank=4); Literature--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=153); GTEx--Coexpression(rank=255); Enrichr--Queries(rank=572)","115","0.03049000000000000","Literature ChIP-seq,0.03049"
"PPARG","1.045907713280438189","1.045907713280438189","1.045907713280438189","Activated","135","viper","135","1.045907713280438189",NA,NA,"5","ReMap--ChIP-seq(rank=16); Enrichr--Queries(rank=38); GTEx--Coexpression(rank=42); Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=145)","100","0.02614000000000000","GTEx Coexpression,0.02614"
"BHLHE40","-1.037006648641288553","-1.037006648641288553","1.037006648641288553","Repressed","136","viper","136","1.037006648641288553",NA,NA,"4","ENCODE--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=57); GTEx--Coexpression(rank=80); ReMap--ChIP-seq(rank=85)","133","0.03501000000000000","ARCHS4 Coexpression,0.03501"
"SOX6","-1.028801007143457014","-1.028801007143457014","1.028801007143457014","Repressed","137","viper","137","1.028801007143457014",NA,NA,"4","ReMap--ChIP-seq(rank=42); GTEx--Coexpression(rank=214); ARCHS4--Coexpression(rank=668); Enrichr--Queries(rank=1273)","463","0.13320000000000001","GTEx Coexpression,0.1332"
"LHX2","1.018696178415237741","1.018696178415237741","1.018696178415237741","Activated","138","viper","138","1.018696178415237741",NA,NA,"4","ReMap--ChIP-seq(rank=250); Enrichr--Queries(rank=555); ARCHS4--Coexpression(rank=674); GTEx--Coexpression(rank=1011)","1141","0.39529999999999998","Enrichr Queries,0.3953"
"IKZF1","0.994716153627832500","0.994716153627832500","0.994716153627832500","Activated","139","viper","139","0.994716153627832500",NA,NA,"6","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=13); ARCHS4--Coexpression(rank=46); Literature--ChIP-seq(rank=101); GTEx--Coexpression(rank=572); Enrichr--Queries(rank=617)","24","0.00673400000000000","ReMap ChIP-seq,0.006734"
"KLF4","0.991748098759488106","0.991748098759488106","0.991748098759488106","Activated","140","viper","140","0.991748098759488106",NA,NA,"5","Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=73); ARCHS4--Coexpression(rank=78); ReMap--ChIP-seq(rank=152); GTEx--Coexpression(rank=275)","20","0.00498600000000000","Enrichr Queries,0.004986"
"EHF","0.984228198098392459","0.984228198098392459","0.984228198098392459","Activated","141","viper","141","0.984228198098392459",NA,NA,"4","ARCHS4--Coexpression(rank=17); Enrichr--Queries(rank=32); GTEx--Coexpression(rank=40); ReMap--ChIP-seq(rank=267)","39","0.01044000000000000","ARCHS4 Coexpression,0.01044"
"HMBOX1","-0.974680753556509294","-0.974680753556509294","0.974680753556509294","Repressed","142","viper","142","0.974680753556509294",NA,NA,"4","ReMap--ChIP-seq(rank=157); GTEx--Coexpression(rank=240); ARCHS4--Coexpression(rank=980); Enrichr--Queries(rank=1087)","518","0.14929999999999999","GTEx Coexpression,0.1493"
"NCOA3","0.972851939730365545","0.972851939730365545","0.972851939730365545","Activated","143","viper","143","0.972851939730365545",NA,NA,"4","ReMap--ChIP-seq(rank=258); Enrichr--Queries(rank=648); ARCHS4--Coexpression(rank=978); GTEx--Coexpression(rank=1319)","1261","0.46150000000000002","Enrichr Queries,0.4615"
"GATA4","0.966320962272561257","0.966320962272561257","0.966320962272561257","Activated","144","viper","144","0.966320962272561257",NA,NA,"5","Literature--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=232); ARCHS4--Coexpression(rank=353); Enrichr--Queries(rank=404); GTEx--Coexpression(rank=462)","697","0.21679999999999999","ARCHS4 Coexpression,0.2168"
"RUNX1","0.959343878961846364","0.959343878961846364","0.959343878961846364","Activated","145","viper","145","0.959343878961846364",NA,NA,"5","ReMap--ChIP-seq(rank=71); Literature--ChIP-seq(rank=95); ARCHS4--Coexpression(rank=177); Enrichr--Queries(rank=330); GTEx--Coexpression(rank=596)","386","0.10870000000000000","ARCHS4 Coexpression,0.1087"
"CEBPD","0.945781942016782118","0.945781942016782118","0.945781942016782118","Activated","146","viper","146","0.945781942016782118",NA,NA,"5","ENCODE--ChIP-seq(rank=69); ARCHS4--Coexpression(rank=93); Literature--ChIP-seq(rank=152); ReMap--ChIP-seq(rank=153); GTEx--Coexpression(rank=311)","208","0.05713000000000000","ARCHS4 Coexpression,0.05713"
"TGIF2","-0.944270995183734918","-0.944270995183734918","0.944270995183734918","Repressed","147","viper","147","0.944270995183734918",NA,NA,"4","ReMap--ChIP-seq(rank=143); GTEx--Coexpression(rank=355); Enrichr--Queries(rank=728); ARCHS4--Coexpression(rank=1283)","711","0.22090000000000001","GTEx Coexpression,0.2209"
"TP63","0.943597948148993226","0.943597948148993226","0.943597948148993226","Activated","148","viper","148","0.943597948148993226",NA,NA,"5","Literature--ChIP-seq(rank=61); ARCHS4--Coexpression(rank=210); Enrichr--Queries(rank=218); ReMap--ChIP-seq(rank=275); GTEx--Coexpression(rank=541)","448","0.12900000000000000","ARCHS4 Coexpression,0.129"
"PBX2","0.932699379710280718","0.932699379710280718","0.932699379710280718","Activated","149","viper","149","0.932699379710280718",NA,NA,"4","ReMap--ChIP-seq(rank=8); GTEx--Coexpression(rank=736); ARCHS4--Coexpression(rank=755); Enrichr--Queries(rank=1008)","102","0.02694000000000000","ReMap ChIP-seq,0.02694"
"BCL11A","-0.921564824558745554","-0.921564824558745554","0.921564824558745554","Repressed","150","viper","150","0.921564824558745554",NA,NA,"5","ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=170); ARCHS4--Coexpression(rank=679); GTEx--Coexpression(rank=916); Enrichr--Queries(rank=992)","828","0.26269999999999999","ENCODE ChIP-seq,0.2627"
"EBF1","0.919730058860771971","0.919730058860771971","0.919730058860771971","Activated","151","viper","151","0.919730058860771971",NA,NA,"5","GTEx--Coexpression(rank=83); ENCODE--ChIP-seq(rank=108); ReMap--ChIP-seq(rank=149); ARCHS4--Coexpression(rank=302); Enrichr--Queries(rank=556)","190","0.05165000000000000","GTEx Coexpression,0.05165"
"ELF5","-0.905089616210976278","-0.905089616210976278","0.905089616210976278","Repressed","152","viper","152","0.905089616210976278",NA,NA,"5","ReMap--ChIP-seq(rank=102); Literature--ChIP-seq(rank=103); Enrichr--Queries(rank=105); GTEx--Coexpression(rank=176); ARCHS4--Coexpression(rank=368)","268","0.07479000000000000","Enrichr Queries,0.07479"
"ZBTB7A","-0.904193464480250619","-0.904193464480250619","0.904193464480250619","Repressed","153","viper","153","0.904193464480250619",NA,NA,"5","ENCODE--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=116); ARCHS4--Coexpression(rank=851); Enrichr--Queries(rank=1099); GTEx--Coexpression(rank=1279)","885","0.28810000000000002","ENCODE ChIP-seq,0.2881"
"NANOG","0.898583684243077219","0.898583684243077219","0.898583684243077219","Activated","154","viper","154","0.898583684243077219",NA,NA,"6","Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=277); GTEx--Coexpression(rank=416); Enrichr--Queries(rank=688); ARCHS4--Coexpression(rank=1498)","390","0.10979999999999999","Literature ChIP-seq,0.1098"
"SOX11","0.871874429170998444","0.871874429170998444","0.871874429170998444","Activated","155","viper","155","0.871874429170998444",NA,NA,"5","Literature--ChIP-seq(rank=133); ReMap--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=615); GTEx--Coexpression(rank=669); Enrichr--Queries(rank=1070)","1100","0.37780000000000002","ARCHS4 Coexpression,0.3778"
"NFIC","-0.847349831072863879","-0.847349831072863879","0.847349831072863879","Repressed","156","viper","156","0.847349831072863879",NA,NA,"5","ENCODE--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=92); GTEx--Coexpression(rank=457); Enrichr--Queries(rank=1167); ARCHS4--Coexpression(rank=1542)","185","0.05085000000000000","ENCODE ChIP-seq,0.05085"
"ONECUT1","-0.841788904299087481","-0.841788904299087481","0.841788904299087481","Repressed","157","viper","157","0.841788904299087481",NA,NA,"4","ReMap--ChIP-seq(rank=217); GTEx--Coexpression(rank=600); ARCHS4--Coexpression(rank=773); Enrichr--Queries(rank=858)","1091","0.37340000000000001","GTEx Coexpression,0.3734"
"RFX1","0.832507541629599945","0.832507541629599945","0.832507541629599945","Activated","158","viper","158","0.832507541629599945",NA,NA,"4","ReMap--ChIP-seq(rank=137); GTEx--Coexpression(rank=232); ARCHS4--Coexpression(rank=309); Enrichr--Queries(rank=1202)","504","0.14440000000000000","GTEx Coexpression,0.1444"
