"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PLEKHB1",-0.211192177408417,4.38040859700799,-1.7092970662154,0.088053128972247,0.338979797771682,-4.95025170390822
"MFAP3",0.0858585098199123,2.69323751055965,1.70928905398133,0.088054613689515,0.338979797771682,-4.95026494745936
"CLEC7A",0.155121729851969,2.11483549294012,1.709273489605,0.0880574979240321,0.338979797771682,-4.95029067389326
"HLCS",-0.0625489538489726,3.33852817471137,-1.70900770504359,0.0881067622562525,0.339102742205923,-4.95072995479948
"LLGL2",-0.115691547982079,6.74302468611579,-1.70887732945239,0.0881309360918728,0.339118459798649,-4.9509454110851
"HOXD9",-0.209877887434741,3.20667019027484,-1.70879878983736,0.0881455012516339,0.339118459798649,-4.95107519636423
"PCM1",0.115681531288596,4.3173970741388,1.70858435508529,0.088185278059327,0.339204810711299,-4.95142951588294
"PELI3",-0.10709698079471,2.49677238981089,-1.70796887911552,0.088299527087709,0.339577528912076,-4.95244624874676
"ZC3H7B",-0.0802859858596038,5.06502849429444,-1.70780696598358,0.0883296024348734,0.339626453684265,-4.952713660354
"MAP7D1",0.0968716936406773,5.20619479370131,1.70707751378323,0.0884652008550823,0.340081014719076,-4.95391809462673
"TMPRSS5",-0.171820349014863,1.25194181353334,-1.70650946001659,0.0885709133370737,0.340420531209715,-4.95485568415955
"PCDHAC1",0.0325205376235322,0.123017802788195,1.7060520338327,0.0886561126955372,0.340681088074683,-4.95561045564951
"GPR135",-0.0752398691918104,0.676220449740534,-1.70586860498262,0.0886902964223982,0.340745542065716,-4.95591306446364
"PTPRN2",-0.207668542018479,4.45300468423852,-1.70554760065626,0.0887501443000236,0.340908552324978,-4.95644255891394
"RSPO3",0.136302289596896,1.16732415109351,1.70539451577643,0.0887786968593639,0.340951310093134,-4.95669503673108
"TRAF3",-0.067705720393791,4.00663275659391,-1.70522032346036,0.0888111952945182,0.341009202101043,-4.9569822991252
"RXYLT1",-0.0704229267221038,2.37870977834791,-1.70504392168154,0.0888441157408023,0.341068691479647,-4.95727317564077
"MMP10",0.215475630405328,2.41987509442227,1.70490187431894,0.0888706320674086,0.341103577209503,-4.95750738207832
"PKDREJ",-0.0408130928087094,0.420537391218841,-1.70480201528007,0.0888892768260075,0.341108242502312,-4.95767201724694
"KIAA0513",-0.111744561389025,2.53343844561948,-1.7043140478085,0.0889804310896415,0.341391103088683,-4.95847638040097
"HERC4",0.0902807773679877,3.17329572831417,1.70409507187214,0.08902136121661,0.341481195682139,-4.95883726533637
"SCO2",-0.166930569497028,1.29664645620371,-1.7039484321503,0.0890487790465487,0.341519430672155,-4.95907891043304
"ARNTL2",0.125981842153844,3.62734205221496,1.70369130587472,0.0890968714748723,0.341613396640004,-4.9595025748693
"CLEC18A",-0.0185552571462871,0.107525823652723,-1.70363080674358,0.0891081901715406,0.341613396640004,-4.95960224951825
"IGSF11",0.0259671858413394,0.104108407939963,1.70349649127916,0.0891333232150134,0.341642825820804,-4.95982352692641
"RRP12",-0.090043478497523,4.55878714873798,-1.7027796841102,0.0892675486971959,0.342090306550386,-4.96100413638635
"ADH4",0.133834996180048,0.854298124069745,1.70237831030912,0.0893427791124544,0.342265145344409,-4.96166500045835
"MTRNR2L4",-0.049711235547423,0.167763946560347,-1.70228348035436,0.0893605607879759,0.342265145344409,-4.96182111601012
"FBXO3",0.0670883403571143,3.23953510720559,1.70206244476346,0.0894020185293349,0.342265145344409,-4.96218496656925
"WNT6",-0.136243508048658,0.746059652526047,-1.70200152329961,0.0894134477746532,0.342265145344409,-4.96228524225682
"SARS2",-0.0993642671129346,1.93433535661447,-1.70198333878696,0.0894168595310172,0.342265145344409,-4.96231517296677
"CNST",0.0650611061771017,3.77499065834112,1.7019767128342,0.0894181027104371,0.342265145344409,-4.96232607884294
"OR2W1",-0.0107023342600097,0.00986063496462238,-1.701858214319,0.0894403380847091,0.342282203209325,-4.9625211124134
"IRF2BPL",-0.0856202546387117,4.38368041246329,-1.70176656934067,0.0894575376534514,0.342282203209325,-4.9626719392628
"ZC3H11B",-0.0205529917860089,0.146427329492377,-1.70146084824553,0.089514933510315,0.342434863903513,-4.96317502884389
"ZDHHC2",0.171069290155866,3.35260057927224,1.70096944879669,0.0896072508188996,0.342721029074982,-4.96398348062703
"BTD",-0.0614997662519526,2.24866838898846,-1.69993614122482,0.0898016251839084,0.343397343976997,-4.96568272894607
"WNK2",-0.158613504407874,4.608095016739,-1.6995723023657,0.0898701475200025,0.343557995841482,-4.96628081007817
"CBX5",-0.114402205433992,4.4906589668751,-1.69952666190719,0.089878746037933,0.343557995841482,-4.96635582529329
"SPRY4",0.0914803117542756,4.75329512490558,1.69936925219467,0.0899084066265297,0.343604262075339,-4.96661453055809
"ZNF561",0.0676787605577837,3.85185384997027,1.69903316091232,0.0899717624981303,0.34377518088973,-4.96716682251198
"NR2E3",0.0295414108251955,0.167410952536327,1.69894480835791,0.0899884236378667,0.34377518088973,-4.96731199255735
"LSP1",0.144661320662858,3.32549466095142,1.69885253758002,0.0900058263184802,0.34377518088973,-4.96746359258732
"SYNE4",-0.24092194024789,2.83485851186033,-1.69875800128102,0.0900236591047136,0.343776201431873,-4.9676189064147
"FAM71B",0.0025641096731927,0.00385108769985116,1.69832386680718,0.0901055883812402,0.344021941125488,-4.96833203699963
"CATSPERZ",-0.00909357750025361,0.0195688086926594,-1.69816344669703,0.0901358778776751,0.344025538792169,-4.96859550539905
"OR10H1",-0.0205328463254761,0.0603037603529269,-1.69813268342981,0.0901416873397498,0.344025538792169,-4.96864602710886
"CCL23",0.10962269874972,0.972100577037398,1.69774323917812,0.0902152577356083,0.344172934145646,-4.96928552308281
"DDX47",0.0744668592215341,0.69885991534401,1.69755927195798,0.0902500280645581,0.344172934145646,-4.96958756035515
"DYNLT3",0.12339478083399,5.16241810404552,1.69745676490161,0.0902694068831894,0.344172934145646,-4.96975584235677
"HSFX3",-0.00934113970165218,0.0138535907280683,-1.69745635219666,0.0902694849112826,0.344172934145646,-4.9697565198588
"ZNF629",-0.078486523351596,4.44132886215019,-1.69743255931928,0.0902739834055872,0.344172934145646,-4.96979557829164
"TOE1",-0.089430068284366,4.37535907280684,-1.69736994284842,0.0902858231006973,0.344172934145646,-4.96989836702581
"PDE2A",0.0801513526164885,1.14283490294061,1.69717223286453,0.0903232148775359,0.344248420324879,-4.97022289537689
"THAP12",0.0913416368698382,4.36341620889558,1.69695226721427,0.0903648304322855,0.344334681205539,-4.97058391111591
"ORM1",-0.244190889866416,0.883214156412446,-1.69686663173685,0.0903810360918122,0.344334681205539,-4.97072444672347
"XPO5",-0.0663539256517916,4.83769442048192,-1.69653996124762,0.0904428767650925,0.344503219379063,-4.97126047839269
"KDM5B",0.0910186361149199,3.35932074071756,1.69601554592238,0.0905422231291304,0.344814525950615,-4.97212077526137
"OR2T4",-0.00301711293493049,0.00353843265736673,-1.69588060243752,0.0905678013540128,0.344844832743071,-4.97234210589427
"CCNG1",0.110367111060108,6.82695879836767,1.69556878277774,0.0906269283541189,0.345002842796822,-4.97285347749291
"SLC17A3",0.0170371157426285,0.0303909417196697,1.69539969463291,0.0906590037391088,0.345057830061863,-4.97313073636336
"NSMAF",-0.0655145482834105,4.55652340554868,-1.69528192194962,0.0906813501860262,0.345075773768369,-4.97332383560896
"RTN4IP1",-0.0902122416392355,3.60861057350634,-1.69511116170634,0.0907137585025721,0.345131992156656,-4.97360378934917
"TAB2",0.0774113430019751,5.29572404560875,1.69492421918316,0.0907492487440439,0.345199911986333,-4.9739102412766
"VIM",0.155420022069988,6.41794999754168,1.69481197626527,0.0907705629659606,0.345213891917376,-4.97409422328371
"CYP4F12",-0.170947803161464,3.60754745696803,-1.69449507801245,0.0908307617459263,0.345284617625169,-4.97461359936832
"DEPDC1B",0.106106993557111,3.78073515279646,1.69439833402202,0.090849145891298,0.345284617625169,-4.97477213750653
"PRR36",-0.190060442429413,2.2808428500552,-1.69429267025862,0.0908692284804099,0.345284617625169,-4.97494528261021
"PCSK1N",-0.300643993068296,1.99897538986899,-1.69427956920686,0.0908717187324998,0.345284617625169,-4.97496674980366
"COX6A2",0.0374870064586126,0.0491469143472683,1.69424982398341,0.0908773729184633,0.345284617625169,-4.97501548928695
"SLITRK3",0.0356743890081568,0.116479602554877,1.69401926019758,0.0909212097682086,0.345294645353534,-4.97539325438475
"LRRC37A3",-0.110926099254621,1.61180302955808,-1.69396970930504,0.0909306330539405,0.345294645353534,-4.97547443395705
"ACBD6",-0.0697238178373947,4.0685197493396,-1.69389731624795,0.0909444017392623,0.345294645353534,-4.97559303179071
"BTN2A1",0.0770391963799595,4.83306060010102,1.69379122143035,0.0909645833173146,0.345294645353534,-4.97576683244749
"ADGRB1",-0.0500519662277917,0.363323149882223,-1.6936986963341,0.0909821865837513,0.345294645353534,-4.97591839490598
"AC011448.1",-0.0551731147335504,0.418318590795114,-1.69367933110795,0.0909858712425617,0.345294645353534,-4.97595011544096
"DAGLA",-0.124790789639004,3.6222370144237,-1.6934429478172,0.0910308580494017,0.345398395285933,-4.97633728599521
"COL24A1",0.078107743221571,0.580908219318908,1.69317408109944,0.0910820486826659,0.345525639613967,-4.97677759605606
"MYL3",-0.0803699369016346,0.47532215314063,-1.69276385612426,0.091160197831289,0.345751360832189,-4.97744926868105
"OR5AK2",-0.00397477271177519,0.00419878513737603,-1.6925714470089,0.0911968710007012,0.345751360832189,-4.97776425003865
"BTC",0.116155855176906,3.22196317866705,1.69256390702036,0.0911983083644528,0.345751360832189,-4.97777659257914
"WNT16",-0.0571712640265835,0.224278479767934,-1.69249095749478,0.0912122158283478,0.345751360832189,-4.97789600407755
"TRNAU1AP",-0.0790280732387359,3.48509220977165,-1.69210526507098,0.0912857746007325,0.345963186427369,-4.97852726174756
"IARS2",0.0714847013339507,6.86269477805739,1.69186932819067,0.0913307957639862,0.346066796495058,-4.97891334646469
"ZNF577",-0.107092502009764,1.63602400672242,-1.69144959209078,0.0914109335130255,0.346244010174917,-4.9796000669271
"UGT2B7",0.231531147796652,2.10820363028486,1.69138408223146,0.0914234460396973,0.346244010174917,-4.97970723090159
"SPATA18",0.151080569141719,2.27721307921637,1.69120124352475,0.0914583759399591,0.346244010174917,-4.98000630499647
"NR3C2",0.153868853170998,3.17512767678754,1.69110803625315,0.0914761865985433,0.346244010174917,-4.98015875430105
"DHX34",-0.0990490308074175,4.43692223627693,-1.69101574219378,0.0914938255101659,0.346244010174917,-4.98030970178416
"VBP1",0.0946624455564357,6.31826598250562,1.69095401678253,0.0915056237810433,0.346244010174917,-4.98041064952109
"ZNF34",-0.0818393106156234,2.50138976172065,-1.69089478978994,0.0915169456543224,0.346244010174917,-4.98050750784204
"ZFYVE16",0.101763903246149,2.51382087257351,1.69088353172674,0.0915190978812961,0.346244010174917,-4.98052591861397
"NCOA4",0.0860482078510002,7.04900998529471,1.69074287757475,0.0915459904634265,0.346278813173506,-4.98075592590603
"ASPG",-0.101092325526965,0.687194708777137,-1.69038272236083,0.0916148799263325,0.346472428026716,-4.98134479020983
"EIF2D",-0.0673979656133337,4.58046294847784,-1.68993674318177,0.0917002434667233,0.346728258285789,-4.9820738075035
"NCAM1",0.0791947092505408,0.765860371252721,1.68958197240321,0.0917681948616715,0.346918165276757,-4.9826535958353
"CFAP53",0.0746863285665964,0.924633105229989,1.68944959746215,0.0917935598313497,0.346947037361789,-4.98286990034683
"SHLD3",0.100786868160204,2.35964528514408,1.68933897312782,0.0918147614020615,0.346960165166971,-4.98305065089443
"DPPA3",0.0102376536126093,0.0146720586066178,1.68886552300413,0.0919055445042705,0.347183680833062,-4.98382409517674
"RETREG1",0.156366805607655,4.16167302853005,1.68884548205087,0.0919093889119664,0.347183680833062,-4.98385683003855
"TOP1MT",-0.135820732143939,5.01625712357361,-1.68828692844254,0.0920165870587964,0.347452960960686,-4.9847690162802
"MRTFB",-0.0714049522003383,2.97529900012962,-1.68822133554974,0.092029182318645,0.347452960960686,-4.98487611792987
"SLC27A1",-0.113667782412924,2.79014204685133,-1.68815276375364,0.0920423510780838,0.347452960960686,-4.98498807921046
"TMEM191B",-0.0792393527084153,0.528211519293431,-1.68801746522116,0.0920683387196487,0.347452960960686,-4.98520897605785
"MKRN3",0.0902906978634125,0.257407242690934,1.68801172029453,0.0920694423147574,0.347452960960686,-4.98521835519745
"LUC7L2",-0.0661931444918236,3.96043358259323,-1.68758578113334,0.0921512945350502,0.347645972936732,-4.98591365360299
"PSMF1",-0.0829544840314248,5.60835010213249,-1.68751104446642,0.0921656626364133,0.347645972936732,-4.98603563504484
"RFNG",-0.110369051274736,4.71240263890689,-1.6874683193,0.0921738773475398,0.347645972936732,-4.98610536652303
"MUCL3",0.0877389232757563,0.191631952049131,1.68713876238453,0.0922372606472101,0.347818001565809,-4.98664317571557
"RPEL1",-0.0368496652307641,0.190780229652839,-1.6869336967999,0.0922767183955299,0.347837116863987,-4.98697777315448
"FAM183A",-0.134545434890055,0.928191271583032,-1.68692768180511,0.0922778759776108,0.347837116863987,-4.98698758697822
"SH3TC2",-0.0976744469537831,1.18179844812251,-1.68676764038978,0.0923086801478362,0.347837795807271,-4.98724869142495
"CDC20B",-0.0414311519016067,0.0703290141197608,-1.68672475645725,0.0923169356933081,0.347837795807271,-4.98731865156774
"HES2",-0.180398197206846,3.10113333541919,-1.68664975561562,0.0923313754646554,0.347837795807271,-4.98744100248547
"SEPTIN6",0.106072038509764,3.70438164028802,1.68640591510429,0.0923783341966264,0.347947724896493,-4.98783874902545
"C1orf94",0.0459491565490501,0.0534174380612259,1.68619544098333,0.0924188827092947,0.348033471907563,-4.98818202347277
"SPRED3",0.0721023591921266,0.807554563780288,1.68604715703062,0.0924474586956245,0.348074108143914,-4.9884238429598
"PLA2G1B",-0.0843106245064413,0.410816702349718,-1.68524639864706,0.0926018968747746,0.348588521588039,-4.98972934604128
"CDV3",0.0863702071255653,7.04515190252493,1.68497537227196,0.0926542153938974,0.348718394129609,-4.99017107062786
"CTPS2",-0.0900078173677815,4.6884577546943,-1.68471488855809,0.0927045212079871,0.348840643061241,-4.99059554642965
"ARSB",0.0864104349225626,2.61279469804987,1.68367623062075,0.0929053303853143,0.349490883014482,-4.99228746515294
"JPH4",0.0355675936681795,0.231782871241547,1.68363640070854,0.0929130378787161,0.349490883014482,-4.99235232545049
"PPP1R13B",-0.0712169309259401,3.69208084334172,-1.68334060906846,0.0929702926829866,0.349639046521662,-4.99283395455805
"GGA3",-0.0724516755017676,4.51084729739998,-1.68313360931751,0.0930103774108842,0.349722592950704,-4.99317095664607
"FLACC1",-0.0490885818161254,0.327949014209155,-1.68287958346655,0.0930595875825792,0.349840412711997,-4.99358446275966
"ATP9A",-0.156402933931099,6.28373614953806,-1.68276360797232,0.0930820614537704,0.349857696314911,-4.99377322846557
"MOB3A",0.0810300065739745,4.80526565621802,1.68250418631317,0.093132348315207,0.349979490951789,-4.99419542556813
"GAP43",0.124394548333305,0.815363117879219,1.68215474403154,0.0932001195410167,0.350166930224081,-4.9947640255612
"RTN2",0.127039178425508,2.63874345748651,1.68177363134307,0.0932740782159856,0.350359847608625,-4.99538402551244
"FASTKD5",-0.087868478811253,4.72377481238463,-1.68170567775574,0.0932872702410988,0.350359847608625,-4.9954945588711
"MRPL54",0.125704826148755,6.62491474060135,1.68149608774562,0.0933279680118692,0.350445445502742,-4.99583545035978
"RCSD1",0.0992409986590478,2.10159635094244,1.68089141267579,0.0934454627100192,0.350819326817147,-4.9968186999437
"KRBOX4",-0.0917554640873936,2.84316440872663,-1.68071638599732,0.0934794944349598,0.350879782429344,-4.99710324200451
"JAML",0.105989851917739,1.8626718708795,1.68056474810968,0.0935089865690445,0.350904248011991,-4.99734973708682
"UBQLN4",0.0728092752389296,5.58722360534397,1.68045871044602,0.0935296143398191,0.350904248011991,-4.99752209363868
"RIPK2",0.0857875825583434,4.91071275963331,1.68034021992411,0.0935526689283709,0.350904248011991,-4.99771467870204
"BRMS1L",0.0830417430392292,2.50530981678727,1.68019387668587,0.0935811491054945,0.350904248011991,-4.99795251483986
"ARMH4",0.086426151303629,1.11552851887775,1.68009982060574,0.0935994572475496,0.350904248011991,-4.99810536340622
"CFH",0.150742925303891,3.05056362831819,1.68002778939364,0.0936134801683826,0.350904248011991,-4.99822241410576
"ZNF16",-0.0776239316345929,2.85593342838881,-1.67996252680374,0.0936261868444385,0.350904248011991,-4.99832846151595
"EIF4H",0.0669505333341195,6.9275569997631,1.67994576359883,0.0936294508772479,0.350904248011991,-4.99835569996299
"FRAT2",-0.0815967166941919,5.53080313683072,-1.67950813319742,0.0937146961033052,0.351070658899562,-4.99906670839983
"NGF",0.0889320775952796,0.777268346973347,1.67946595227447,0.0937229157467968,0.351070658899562,-4.99913522914454
"DDX53",-0.0517785767571283,0.0591782021999829,-1.67944156578262,0.0937276681186557,0.351070658899562,-4.99917484297363
"GTF3C6",0.105163178551605,6.99976491648378,1.67904844365712,0.0938043054276445,0.351238579038244,-4.99981335878495
"AC027796.3",-0.00729450337536108,0.022172673189439,-1.67894296928375,0.0938248757363137,0.351238579038244,-4.99998464697928
"SPACA3",-0.186925859383161,1.23623819442272,-1.67893546431168,0.0938263395438117,0.351238579038244,-4.99999683449313
"ADAMTS8",0.104040149024207,1.04435989523039,1.67862808223382,0.0938863086792359,0.351395859086121,-5.00049595378335
"TCEAL8",0.127301849580561,6.33811649361504,1.67810899669014,0.0939876504009318,0.351557532106114,-5.00133862689676
"CDC5L",0.0725801898681252,4.96325657380134,1.67810767017421,0.0939879094909805,0.351557532106114,-5.00134078000645
"CDKN2AIPNL",0.0788059553287217,5.273931050512,1.67805404177126,0.0939983844678726,0.351557532106114,-5.00142782454525
"AC073610.2",-0.0110915555645264,0.0251357892807817,-1.67790971470939,0.094026579840338,0.351557532106114,-5.00166206889891
"PALB2",-0.0606743143554411,3.69876004004845,-1.67789307231387,0.0940298314943642,0.351557532106114,-5.00168907840377
"USP22",-0.0833498988654145,5.93340785056922,-1.6778549323502,0.0940372837655464,0.351557532106114,-5.00175097603868
"RENBP",-0.155274554922399,3.32313359019171,-1.67772374344528,0.0940629207499611,0.351586215049177,-5.00196387289056
"DDA1",0.0768196208201465,4.92891133916479,1.67760186509118,0.0940867433004826,0.351608106384141,-5.00216164559778
"SLC45A4",-0.0874468434866313,3.77049957761399,-1.67738784653241,0.0941285874750969,0.351697324451149,-5.00250890040334
"MBD2",0.0763750056887257,5.1947539880838,1.67719122386732,0.0941670436558043,0.351747321457459,-5.00282789101128
"PKMYT1",-0.147152834633537,4.19157570095964,-1.6770003514179,0.0942043872748734,0.351747321457459,-5.00313751742819
"PRICKLE4",-0.017410030815129,0.103085228110795,-1.6769974830743,0.0942049485484719,0.351747321457459,-5.00314217008646
"GREM1",0.249066594984939,4.00011750823541,1.67684125167079,0.0942355237614316,0.351747321457459,-5.00339557671093
"STAU2",0.0949996263584334,3.59829429801233,1.67679131649634,0.0942452979904678,0.351747321457459,-5.00347656641807
"EXTL2",0.095441964109544,3.27781157114187,1.67675226127008,0.0942529431645179,0.351747321457459,-5.00353990831008
"SIX5",-0.112353049058816,2.34617023273693,-1.67667648041559,0.0942677789098345,0.351747321457459,-5.00366280966778
"ATG4A",0.0796133879496379,3.93820725073638,1.67617288796786,0.0943664157637222,0.352023280913216,-5.00447939629868
"ZNF688",-0.104622685520125,3.56715202320665,-1.67611525397457,0.0943777096189077,0.352023280913216,-5.00457283567961
"SAR1A",0.0661425700174437,5.46625254213804,1.67578011151953,0.0944434050791094,0.3522011967994,-5.0051161240629
"MED24",-0.0948359284507204,5.57947928073696,-1.67525454994414,0.0945465010100959,0.352518493287976,-5.0059678784955
"SYS1-DBNDD2",-0.0173762923235538,0.0683476438012058,-1.67435586789011,0.0947229991420554,0.353069432971262,-5.00742372131788
"MMACHC",-0.0813532458395944,3.41463109386803,-1.67431849116442,0.0947303455384036,0.353069432971262,-5.00748425397904
"ADGRL2",0.0796726622057981,1.2034729069544,1.67417601193917,0.0947583540344418,0.353106577838549,-5.00771499085903
"ZNF821",-0.0506961293908835,1.33264943301941,-1.67401353637745,0.0947903015238287,0.353112505766293,-5.00797808697965
"CD248",0.185186727797979,5.26424549343179,1.67398440711903,0.0947960301106793,0.353112505766293,-5.00802525322152
"CDK2",0.0659746609405948,4.75085511936316,1.67387631985117,0.0948172890847135,0.353124484239187,-5.00820026158393
"ALOX15",-0.144213395486727,1.16942437055545,-1.67377932026701,0.094836370557678,0.353128350111171,-5.00835730793566
"OR3A3",0.0109459708625348,0.0154652950667996,1.67319083876363,0.094952201084425,0.353492396314111,-5.00930989118189
"HOXD1",-0.0856725497164404,0.530667861564661,-1.67303172627325,0.0949835386378489,0.353541809562826,-5.00956739196595
"STRIT1",-0.115780140911064,0.278330480179146,-1.67274322958826,0.0950403798901914,0.353668669363276,-5.01003422084756
"GINS3",-0.0890223344293483,2.88758051034957,-1.67267532269726,0.0950537632645665,0.353668669363276,-5.01014409234243
"SLC41A2",0.127188675685773,3.50803174823112,1.67254188366585,0.0950800663996377,0.353699292816443,-5.01035998021394
"SPAG11B",-0.00731826694117696,0.00630948602997377,-1.67222174359349,0.0951431953810683,0.353850984873777,-5.01087785793278
"CARS1",0.0621474029397518,4.21179087199245,1.67206264049109,0.0951745817269827,0.353850984873777,-5.01113519619208
"CD53",0.195331243548682,4.93703853769516,1.67205513774232,0.0951760620032516,0.353850984873777,-5.01114733077188
"FLI1",0.0955382428663373,1.95256871035941,1.67194186060879,0.0951984135874606,0.353850984873777,-5.01133053314365
"SHISA5",-0.0837573242818708,7.22808811106294,-1.67187683835889,0.0952112455339692,0.353850984873777,-5.01143568766667
"METTL2B",-0.0666106083360961,3.81363828560446,-1.6713753458225,0.095310260286947,0.354151719019525,-5.01224656982504
"SMARCAL1",-0.0507215226538294,4.0422570609979,-1.67116587799246,0.0953516421300783,0.354238228573987,-5.01258519509031
"MS4A4A",0.166620935736069,2.70543204054906,1.67106862303275,0.0953708604377335,0.354242381785326,-5.0127424030065
"RHBDL3",0.0969851746510671,0.461267605004269,1.67086389843975,0.0954113257190517,0.354325437504281,-5.013073300824
"CSRNP2",0.0592456700291005,4.11417046963067,1.67068695181373,0.0954463115981204,0.354388116920283,-5.01335926864776
"CDHR4",-0.0357376183462884,0.106304569367404,-1.67038476529765,0.0955060837307878,0.354542785412604,-5.01384757058011
"EFHC2",0.072863694044671,0.461837781423061,1.67023806336139,0.0955351120389073,0.354583288016965,-5.01408459416341
"EML3",-0.0889002303688304,4.49262078228571,-1.67002400394272,0.0955774812687656,0.354645280673575,-5.01443040907748
"ENO3",-0.101162054187212,1.95125363721288,-1.66985090606333,0.0956117539314219,0.354645280673575,-5.0147100182364
"SLCO4A1",-0.148329821631793,5.56151761729593,-1.66984899331938,0.0956121327019288,0.354645280673575,-5.01471310777766
"RNF123",-0.0726272730523425,3.81177109359984,-1.66978756074531,0.0956242985087352,0.354645280673575,-5.01481233429256
"JADE3",-0.0950150390257934,3.8980289099759,-1.66912517771713,0.0957555525999865,0.355064782101996,-5.01588199297732
"CDH8",-0.00934436526594736,0.0614628412052081,-1.66867880999418,0.0958440838899146,0.355289436915313,-5.01660257979067
"SPRING1",-0.0609169341690808,4.69165555202946,-1.66863666440812,0.0958524463191893,0.355289436915313,-5.01667060702658
"ZNF135",-0.0445363049574391,0.465022795435549,-1.66816761186474,0.0959455541872199,0.355538216989007,-5.01742759067205
"TMEM187",-0.128424996473368,4.736440157512,-1.66804057166661,0.0959707844149587,0.355538216989007,-5.0176325791778
"MRPS27",0.0707824447505643,5.37289090819698,1.66802406173801,0.0959740636836607,0.355538216989007,-5.01765921800379
"SULT1A1",-0.132843663114633,2.23265638339241,-1.66762420030246,0.0960535132576245,0.355765198327965,-5.01830431623726
"SAMD14",-0.0547923637718345,0.887805537055992,-1.66741182849626,0.0960957314646708,0.355854221474943,-5.01864687448988
"SPATA31D1",-0.00288930408398358,0.00416678213374216,-1.6667987432575,0.0962176926210121,0.356086426734169,-5.01963554646319
"R3HDM2",-0.0738940483680046,4.19518218469667,-1.66675267987328,0.096226861034743,0.356086426734169,-5.01970981457356
"P3H4",-0.122101148306181,4.79382060439192,-1.6667241411829,0.0962325417013324,0.356086426734169,-5.01975582655857
"ZNF576",-0.072270667235766,3.50674224172995,-1.66656243449204,0.0962647347307656,0.356086426734169,-5.02001652619881
"DNAJC22",0.0932410973518273,4.2914632434776,1.66655761055344,0.0962656952270045,0.356086426734169,-5.02002430285281
"BRD8",-0.0588560318033419,4.49846481680962,-1.66654802263022,0.0962676043048638,0.356086426734169,-5.02003975944319
"CFAP58",0.0258978799611548,0.200888887895624,1.66641834139039,0.0962934284799764,0.356114642626912,-5.02024880857864
"KCNG3",0.0489521695704493,0.254091959468822,1.66581419753469,0.0964138084432251,0.356492470251721,-5.02122249049808
"ALPK1",-0.0767274128097859,2.57373085295156,-1.66528492702663,0.0965193685921578,0.356778572823513,-5.02207521446579
"POU5F2",-0.0895104851345461,0.139680953296175,-1.66522675069266,0.0965309772040081,0.356778572823513,-5.02216892781311
"FAM209A",0.0300820499492058,0.189129884816005,1.6651520983772,0.0965458751046613,0.356778572823513,-5.02228917675679
"CDIN1",0.0776690294345638,1.81943617054562,1.66482233905776,0.0966117052099481,0.356874036455189,-5.0228202848987
"SCFD1",0.0838113526255603,2.52576775920868,1.66478473556315,0.0966192143117368,0.356874036455189,-5.02288084223302
"KERA",0.0399244688393138,0.183891717211448,1.66469573264251,0.0966369893130034,0.356874036455189,-5.0230241687296
"WASHC2A",0.0751891461679753,4.10734386244072,1.66465739141602,0.0966446473462012,0.356874036455189,-5.02308590946768
"KRTAP19-6",-0.00365639796829704,0.00362726781061016,-1.66453436164498,0.0966692238201118,0.356897449421507,-5.02328401437494
"CFAP77",-0.0337385027258256,0.111218036106182,-1.6644385750017,0.0966883616684084,0.356900778236971,-5.02343824185741
"USP41",-0.0690036037795212,0.371968005935753,-1.663955524881,0.0967849197817637,0.357189829351103,-5.02421587434427
"BMS1",0.0678657733590425,4.73983482248614,1.66384258038265,0.0968075076999853,0.357205832050606,-5.02439766453341
"PRKRIP1",-0.0717499721044531,4.26424126957167,-1.66344456937651,0.0968871401586137,0.357410172205861,-5.02503818727697
"CCDC9",0.0991355217427257,4.54950529435164,1.66338326155439,0.0968994110533083,0.357410172205861,-5.0251368370578
"RPIA",-0.0860655760415199,6.73816152577448,-1.66301891075704,0.0969723623872324,0.357581043363341,-5.02572303603464
"DEFB116",-0.0196522967559973,0.016755762552016,-1.6629129000885,0.0969935964117481,0.357581043363341,-5.02589357130997
"TMEM231",-0.0811076213958989,2.66336583545271,-1.66287466552489,0.0970012557415803,0.357581043363341,-5.02595507514282
"TNNI1",-0.0873488339208025,1.53254765810422,-1.66278699216986,0.0970188207173542,0.357581043363341,-5.02609610057029
"C3orf49",-0.0756018961184969,0.472842479070661,-1.66261877130891,0.0970525301801938,0.357629707991299,-5.02636666869543
"PDRG1",-0.122567036626625,5.79617550697495,-1.66247228072985,0.0970818928049952,0.357629707991299,-5.02660226358524
"LRRC59",0.0672814964153849,7.27943406978979,1.66244757891501,0.0970868447477273,0.357629707991299,-5.0266419884969
"HORMAD1",0.117344310344228,0.4251668759973,1.66213297857703,0.0971499300177047,0.357794746024934,-5.02714787078305
"TAC4",-0.0614516228101805,0.457284706050624,-1.66195144937944,0.0971863461377985,0.357796420274815,-5.0274397295457
"MECOM",0.111848042715414,4.67329693513134,1.66185784352318,0.0972051284532389,0.357796420274815,-5.02759021473243
"COX6A1",-0.101304120194879,6.7039025338691,-1.66185733486635,0.0972052305248169,0.357796420274815,-5.02759103245027
"CCDC85C",-0.0841839792928862,2.53935167099482,-1.66111221120661,0.097354845947805,0.358213781880939,-5.02878862934555
