"Cancer","Target_Gene","Target_Feature_ID","Sample_ID","Patient_ID","Expression_Assay","Expression_Log2_Transformed","Target_Expression_Value","Median_Cutoff","Median_Group_For_GSEA_Heatmap"
"COAD","ATF3","ENSG00000162772.16","TCGA-NH-A6GB-01A","TCGA-NH-A6GB","tpm",TRUE,"5.222136898878075","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-2681-01A","TCGA-A6-2681","tpm",TRUE,"5.121472016054844","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-F4-6704-01A","TCGA-F4-6704","tpm",TRUE,"2.079972451409082","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AZ-6607-01A","TCGA-AZ-6607","tpm",TRUE,"7.378778703761657","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-G4-6627-01A","TCGA-G4-6627","tpm",TRUE,"6.698438444974166","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3712-01A","TCGA-AA-3712","tpm",TRUE,"3.088296687185971","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-D5-6924-01A","TCGA-D5-6924","tpm",TRUE,"5.031795540296609","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-CM-6164-01A","TCGA-CM-6164","tpm",TRUE,"5.164191023051091","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A02W-01A","TCGA-AA-A02W","tpm",TRUE,"3.182262342239492","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-6652-01A","TCGA-A6-6652","tpm",TRUE,"2.515526116485030","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3956-01A","TCGA-AA-3956","tpm",TRUE,"3.705728710529729","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-5666-01A","TCGA-A6-5666","tpm",TRUE,"4.319731759790952","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3509-01A","TCGA-AA-3509","tpm",TRUE,"3.302745912154774","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-CM-5864-01A","TCGA-CM-5864","tpm",TRUE,"3.219828602456625","4.167970022842355","Low"
