"GeneID","Symbol","Ensembl","Entrez","Target_Gene","Target_Feature_ID","Correlation_Method","Correlation","P.Value","adj.P.Val","Samples_Used"
"ENSG00000198835.3","GJC2","ENSG00000198835.3","57165","ATF3","ENSG00000162772.16","spearman","0.37533911464649605260746","0.00000000000000000000000000009900777972322071732083776600651650949047154915500143490724622649329172106857921420441925874911248683929443359375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000007833262572219521827902583261996775470764280397194188122695274955309883665229703231247526673541869968175888061523437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000170290.3","SLN","ENSG00000170290.3","6588","ATF3","ENSG00000162772.16","spearman","0.37524257682043365980107","0.00000000000000000000000000010249551770689266212569542747048051662179864082543104262072995158400398314855334058748326242493931204080581665039062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000008106025361570204662058370171844225383938129568943864321810521306302770570308136033332857550703920423984527587890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000160886.13","LY6K","ENSG00000160886.13","54742","ATF3","ENSG00000162772.16","spearman","0.37523239178389750092535","0.00000000000000000000000000010287050563893896426404514562211400849969740573855952953907234833797386825684702649219559589255368337035179138183593750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000008132493931291511208524141917542276863057498402671095733418985771275930437250456517261909539229236543178558349609375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000184343.10","SRPK3","ENSG00000184343.10","26576","ATF3","ENSG00000162772.16","spearman","0.37521927697439061422102","0.00000000000000000000000000010335536215761518486622566797388526597108901907520664668205087423651765155549822616798394392390036955475807189941406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000008167624095299202729524388884544447771867185024193729184163083015363343401815665600906868348829448223114013671875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000128272.14","ATF4","ENSG00000128272.14","468","ATF3","ENSG00000162772.16","spearman","0.37515748773765311696593","0.00000000000000000000000000010567034005548675800769130738073919700881177093823223197185162201328364686573127451119091801956528797745704650878906250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000008344027830213094466461912397065030404089248674190514774433450588592327008125026921447897620964795351028442382812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000157827.19","FMNL2","ENSG00000157827.19","114793","ATF3","ENSG00000162772.16","spearman","0.37513473486344139917747","0.00000000000000000000000000010653566549226236356780678602122325138544607286506319970546503495238371790132872463097157833544770255684852600097656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000008409065145956154224244781765909831847575909175168627524995245316962353093574733531312404011259786784648895263671875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000141568.20","FOXK2","ENSG00000141568.20","3607","ATF3","ENSG00000162772.16","spearman","0.37509730484503317482492","0.00000000000000000000000000010797447611382989553669560775620158157245952605058459449574654191388126009366540958289704121852992102503776550292968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000008519300178320368528865778809443757194060360351728490406740166939305106130753131310484604910016059875488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000185219.16","ZNF445","ENSG00000185219.16","353274","ATF3","ENSG00000162772.16","spearman","0.37506249338758351763445","0.00000000000000000000000000010932989175595716473567028210777059831692884351486118037862530172438141519300827675387211002089316025376319885253906250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000008622871642597480914904163256679577845711061050971414961456384509476698189446575160133079407387413084506988525390625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000188859.6","FAM78B","ENSG00000188859.6","149297","ATF3","ENSG00000162772.16","spearman","0.37499474087336887029309","0.00000000000000000000000000011201638622783243520005663564436824974553503157404878952308199995759440260705008807207150312024168670177459716796875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000008827853875572341151840532254480631665473551289360722522070755420685458318003080435687479621265083551406860351562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000214946.14","TBC1D26","ENSG00000214946.14","353149","ATF3","ENSG00000162772.16","spearman","0.37498989846045277518627","0.00000000000000000000000000011221087954398113878588456046315399318900140962593214639211057038311772593398504827000294881145237013697624206542968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000008839728601326901517259368608303266071917499020276172164927048565455900992066107235700656019616872072219848632812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
