"TF","SW48","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"NANOG","2.09008604703162071","2.09008604703162071","2.09008604703162071","Activated","79","viper","79","2.09008604703162071",NA,NA,"6","Literature--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=220); ARCHS4--Coexpression(rank=723); Enrichr--Queries(rank=746); GTEx--Coexpression(rank=761)","929","0.31100000000000000","Literature ChIP-seq,0.311"
"OTX2","2.08888345806768472","2.08888345806768472","2.08888345806768472","Activated","80","viper","80","2.08888345806768472",NA,NA,"4","ReMap--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=351); GTEx--Coexpression(rank=920); Enrichr--Queries(rank=1060)","696","0.21560000000000001","ARCHS4 Coexpression,0.2156"
"HMBOX1","-2.08718308353256399","-2.08718308353256399","2.08718308353256399","Repressed","81","viper","81","2.08718308353256399",NA,NA,"4","ReMap--ChIP-seq(rank=77); GTEx--Coexpression(rank=633); Enrichr--Queries(rank=1031); ARCHS4--Coexpression(rank=1244)","807","0.25929999999999997","ReMap ChIP-seq,0.2593"
"TFAP4","2.07440808578843061","2.07440808578843061","2.07440808578843061","Activated","82","viper","82","2.07440808578843061",NA,NA,"4","ReMap--ChIP-seq(rank=35); ARCHS4--Coexpression(rank=560); Enrichr--Queries(rank=806); GTEx--Coexpression(rank=858)","409","0.11780000000000000","ReMap ChIP-seq,0.1178"
"ZNF384","2.07329764662953853","2.07329764662953853","2.07329764662953853","Activated","83","viper","83","2.07329764662953853",NA,NA,"5","ENCODE--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=239); GTEx--Coexpression(rank=813); Enrichr--Queries(rank=1363); ARCHS4--Coexpression(rank=1458)","1295","0.50590000000000002","GTEx Coexpression,0.5059"
"TBX21","2.06962844212228303","2.06962844212228303","2.06962844212228303","Activated","84","viper","84","2.06962844212228303",NA,NA,"4","ReMap--ChIP-seq(rank=164); GTEx--Coexpression(rank=289); ARCHS4--Coexpression(rank=346); Enrichr--Queries(rank=707)","607","0.17979999999999999","GTEx Coexpression,0.1798"
"FOXA1","2.05722377389323219","2.05722377389323219","2.05722377389323219","Activated","85","viper","85","2.05722377389323219",NA,NA,"6","ReMap--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=36); Literature--ChIP-seq(rank=60); Enrichr--Queries(rank=72); ARCHS4--Coexpression(rank=110); GTEx--Coexpression(rank=329)","177","0.04714000000000000","ReMap ChIP-seq,0.04714"
"FOXP2","-2.05128418820267822","-2.05128418820267822","2.05128418820267822","Repressed","86","viper","86","2.05128418820267822",NA,NA,"6","ENCODE--ChIP-seq(rank=62); Literature--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=139); GTEx--Coexpression(rank=339); Enrichr--Queries(rank=573); ARCHS4--Coexpression(rank=1488)","681","0.21099999999999999","GTEx Coexpression,0.211"
"TFDP1","-2.04235160361186185","-2.04235160361186185","2.04235160361186185","Repressed","87","viper","87","2.04235160361186185",NA,NA,"4","GTEx--Coexpression(rank=144); ReMap--ChIP-seq(rank=207); ARCHS4--Coexpression(rank=596); Enrichr--Queries(rank=1268)","325","0.08961000000000000","GTEx Coexpression,0.08961"
"ZNF24","-2.00621378277099449","-2.00621378277099449","2.00621378277099449","Repressed","88","viper","88","2.00621378277099449",NA,NA,"4","ReMap--ChIP-seq(rank=208); GTEx--Coexpression(rank=451); ARCHS4--Coexpression(rank=1077); Enrichr--Queries(rank=1360)","858","0.28060000000000002","GTEx Coexpression,0.2806"
"STAT3","2.00079010378817612","2.00079010378817612","2.00079010378817612","Activated","89","viper","89","2.00079010378817612",NA,NA,"6","ENCODE--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=8); Literature--ChIP-seq(rank=43); ARCHS4--Coexpression(rank=509); GTEx--Coexpression(rank=549); Enrichr--Queries(rank=926)","100","0.02694000000000000","ReMap ChIP-seq,0.02694"
"PBX2","1.99445911608923554","1.99445911608923554","1.99445911608923554","Activated","90","viper","90","1.99445911608923554",NA,NA,"4","ReMap--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=955); GTEx--Coexpression(rank=981); Enrichr--Queries(rank=1139)","989","0.33670000000000000","ReMap ChIP-seq,0.3367"
"LHX2","1.98696287417898243","1.98696287417898243","1.98696287417898243","Activated","91","viper","91","1.98696287417898243",NA,NA,"4","ReMap--ChIP-seq(rank=66); ARCHS4--Coexpression(rank=267); Enrichr--Queries(rank=417); GTEx--Coexpression(rank=447)","557","0.16400000000000001","ARCHS4 Coexpression,0.164"
"ZBTB11","1.97453449871527420","1.97453449871527420","1.97453449871527420","Activated","92","viper","92","1.97453449871527420",NA,NA,"4","ReMap--ChIP-seq(rank=273); GTEx--Coexpression(rank=1097); Enrichr--Queries(rank=1375); ARCHS4--Coexpression(rank=1449)","1498","0.68259999999999998","GTEx Coexpression,0.6826"
"ZFX","-1.96413377862391947","-1.96413377862391947","1.96413377862391947","Repressed","93","viper","93","1.96413377862391947",NA,NA,"5","Literature--ChIP-seq(rank=159); ReMap--ChIP-seq(rank=283); ARCHS4--Coexpression(rank=824); Enrichr--Queries(rank=1376); GTEx--Coexpression(rank=1488)","1296","0.50609999999999999","ARCHS4 Coexpression,0.5061"
"MEIS1","1.94482833183730075","1.94482833183730075","1.94482833183730075","Activated","94","viper","94","1.94482833183730075",NA,NA,"5","Literature--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=221); Enrichr--Queries(rank=222); ARCHS4--Coexpression(rank=574); GTEx--Coexpression(rank=1095)","542","0.15809999999999999","Enrichr Queries,0.1581"
"ZEB2","-1.93560412553135031","-1.93560412553135031","1.93560412553135031","Repressed","95","viper","95","1.93560412553135031",NA,NA,"4","ReMap--ChIP-seq(rank=85); Enrichr--Queries(rank=299); GTEx--Coexpression(rank=605); ARCHS4--Coexpression(rank=609)","687","0.21299999999999999","Enrichr Queries,0.213"
"JUNB","1.92083082930562976","1.92083082930562976","1.92083082930562976","Activated","96","viper","96","1.92083082930562976",NA,NA,"4","ReMap--ChIP-seq(rank=87); ARCHS4--Coexpression(rank=119); GTEx--Coexpression(rank=161); Enrichr--Queries(rank=235)","272","0.07310000000000000","ARCHS4 Coexpression,0.0731"
"ATF6","-1.91917157371681446","-1.91917157371681446","1.91917157371681446","Repressed","97","viper","97","1.91917157371681446",NA,NA,"3","ARCHS4--Coexpression(rank=224); GTEx--Coexpression(rank=840); Enrichr--Queries(rank=905)","476","0.13760000000000000","ARCHS4 Coexpression,0.1376"
"STAT5B","1.89836769259084459","1.89836769259084459","1.89836769259084459","Activated","98","viper","98","1.89836769259084459",NA,NA,"4","ReMap--ChIP-seq(rank=151); ARCHS4--Coexpression(rank=274); Enrichr--Queries(rank=1050); GTEx--Coexpression(rank=1496)","570","0.16830000000000001","ARCHS4 Coexpression,0.1683"
"ETS1","1.89820098728142006","1.89820098728142006","1.89820098728142006","Activated","99","viper","99","1.89820098728142006",NA,NA,"6","ENCODE--ChIP-seq(rank=69); Enrichr--Queries(rank=153); Literature--ChIP-seq(rank=160); ARCHS4--Coexpression(rank=174); ReMap--ChIP-seq(rank=222); GTEx--Coexpression(rank=312)","376","0.10690000000000000","ARCHS4 Coexpression,0.1069"
"NR4A1","1.89809285080508006","1.89809285080508006","1.89809285080508006","Activated","100","viper","100","1.89809285080508006",NA,NA,"4","ARCHS4--Coexpression(rank=82); Enrichr--Queries(rank=183); ReMap--ChIP-seq(rank=231); GTEx--Coexpression(rank=300)","191","0.05037000000000000","ARCHS4 Coexpression,0.05037"
"FOXA2","1.85639679695536919","1.85639679695536919","1.85639679695536919","Activated","101","viper","101","1.85639679695536919",NA,NA,"6","ENCODE--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=68); Literature--ChIP-seq(rank=84); Enrichr--Queries(rank=413); GTEx--Coexpression(rank=504); ARCHS4--Coexpression(rank=768)","735","0.22900000000000001","ReMap ChIP-seq,0.229"
"FOXM1","-1.85514578992354551","-1.85514578992354551","1.85514578992354551","Repressed","102","viper","102","1.85514578992354551",NA,NA,"6","ENCODE--ChIP-seq(rank=3); Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=50); GTEx--Coexpression(rank=134); ARCHS4--Coexpression(rank=281); Enrichr--Queries(rank=902)","88","0.02439000000000000","Literature ChIP-seq,0.02439"
"PPARG","1.85146327130247457","1.85146327130247457","1.85146327130247457","Activated","103","viper","103","1.85146327130247457",NA,NA,"5","ReMap--ChIP-seq(rank=26); Literature--ChIP-seq(rank=61); Enrichr--Queries(rank=157); GTEx--Coexpression(rank=262); ARCHS4--Coexpression(rank=324)","319","0.08754000000000001","ReMap ChIP-seq,0.08754"
"ONECUT1","1.84797156048860001","1.84797156048860001","1.84797156048860001","Activated","104","viper","104","1.84797156048860001",NA,NA,"4","ReMap--ChIP-seq(rank=125); GTEx--Coexpression(rank=543); Enrichr--Queries(rank=919); ARCHS4--Coexpression(rank=962)","991","0.33789999999999998","GTEx Coexpression,0.3379"
"ELF3","1.84686195904843808","1.84686195904843808","1.84686195904843808","Activated","105","viper","105","1.84686195904843808",NA,NA,"4","Enrichr--Queries(rank=9); ReMap--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=13); GTEx--Coexpression(rank=75)","20","0.00641000000000000","Enrichr Queries,0.00641"
"KLF5","1.84022237760354335","1.84022237760354335","1.84022237760354335","Activated","106","viper","106","1.84022237760354335",NA,NA,"5","ARCHS4--Coexpression(rank=8); Enrichr--Queries(rank=8); Literature--ChIP-seq(rank=55); GTEx--Coexpression(rank=59); ReMap--ChIP-seq(rank=90)","14","0.00491400000000000","ARCHS4 Coexpression,0.004914"
"PROX1","1.83665561002664446","1.83665561002664446","1.83665561002664446","Activated","107","viper","107","1.83665561002664446",NA,NA,"4","ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=343); ARCHS4--Coexpression(rank=745); GTEx--Coexpression(rank=1310)","37","0.01010000000000000","ReMap ChIP-seq,0.0101"
"GFI1B","1.80424397597969577","1.80424397597969577","1.80424397597969577","Activated","108","viper","108","1.80424397597969577",NA,NA,"5","Literature--ChIP-seq(rank=124); ReMap--ChIP-seq(rank=149); ARCHS4--Coexpression(rank=320); Enrichr--Queries(rank=956); GTEx--Coexpression(rank=1299)","641","0.19660000000000000","ARCHS4 Coexpression,0.1966"
"USF2","1.78797707677571016","1.78797707677571016","1.78797707677571016","Activated","109","viper","109","1.78797707677571016",NA,NA,"5","ENCODE--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=148); GTEx--Coexpression(rank=939); Enrichr--Queries(rank=1257); ARCHS4--Coexpression(rank=1425)","1279","0.49830000000000002","ReMap ChIP-seq,0.4983"
"ELK1","1.77224457641137434","1.77224457641137434","1.77224457641137434","Activated","110","viper","110","1.77224457641137434",NA,NA,"5","Literature--ChIP-seq(rank=91); ENCODE--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=282); GTEx--Coexpression(rank=669); ARCHS4--Coexpression(rank=1461)","1138","0.41630000000000000","GTEx Coexpression,0.4163"
"MYOD1","1.73136434371650250","1.73136434371650250","1.73136434371650250","Activated","111","viper","111","1.73136434371650250",NA,NA,"5","ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=134); ARCHS4--Coexpression(rank=753); GTEx--Coexpression(rank=808); Enrichr--Queries(rank=1161)","467","0.13560000000000000","ENCODE ChIP-seq,0.1356"
"MEIS2","1.72575407068280118","1.72575407068280118","1.72575407068280118","Activated","112","viper","112","1.72575407068280118",NA,NA,"4","ReMap--ChIP-seq(rank=246); Enrichr--Queries(rank=347); ARCHS4--Coexpression(rank=459); GTEx--Coexpression(rank=1178)","772","0.24720000000000000","Enrichr Queries,0.2472"
"PPARA","1.69469683970643192","1.69469683970643192","1.69469683970643192","Activated","113","viper","113","1.69469683970643192",NA,NA,"3","ARCHS4--Coexpression(rank=568); Enrichr--Queries(rank=779); GTEx--Coexpression(rank=1222)","1019","0.34889999999999999","ARCHS4 Coexpression,0.3489"
"WT1","1.67846979386176232","1.67846979386176232","1.67846979386176232","Activated","114","viper","114","1.67846979386176232",NA,NA,"4","Literature--ChIP-seq(rank=30); Enrichr--Queries(rank=175); ARCHS4--Coexpression(rank=450); GTEx--Coexpression(rank=501)","431","0.12460000000000000","Enrichr Queries,0.1246"
"ZBED1","-1.67775799463606390","-1.67775799463606390","1.67775799463606390","Repressed","115","viper","115","1.67775799463606390",NA,NA,"4","ReMap--ChIP-seq(rank=119); Enrichr--Queries(rank=290); GTEx--Coexpression(rank=604); ARCHS4--Coexpression(rank=1267)","669","0.20660000000000001","Enrichr Queries,0.2066"
"JUND","-1.67686337053498269","-1.67686337053498269","1.67686337053498269","Repressed","116","viper","116","1.67686337053498269",NA,NA,"6","ENCODE--ChIP-seq(rank=4); Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=41); ARCHS4--Coexpression(rank=706); Enrichr--Queries(rank=777); GTEx--Coexpression(rank=815)","128","0.03390000000000000","ENCODE ChIP-seq,0.0339"
"NR3C1","-1.67300129350772986","-1.67300129350772986","1.67300129350772986","Repressed","117","viper","117","1.67300129350772986",NA,NA,"6","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=36); Literature--ChIP-seq(rank=44); ARCHS4--Coexpression(rank=85); Enrichr--Queries(rank=340); GTEx--Coexpression(rank=992)","199","0.05221000000000000","ARCHS4 Coexpression,0.05221"
"HNF4A","1.65786095699900282","1.65786095699900282","1.65786095699900282","Activated","118","viper","118","1.65786095699900282",NA,NA,"6","ENCODE--ChIP-seq(rank=39); ARCHS4--Coexpression(rank=56); Literature--ChIP-seq(rank=72); ReMap--ChIP-seq(rank=82); GTEx--Coexpression(rank=283); Enrichr--Queries(rank=986)","131","0.03440000000000000","ARCHS4 Coexpression,0.0344"
"SP1","1.65696872351311209","1.65696872351311209","1.65696872351311209","Activated","119","viper","119","1.65696872351311209",NA,NA,"5","ENCODE--ChIP-seq(rank=61); ReMap--ChIP-seq(rank=101); GTEx--Coexpression(rank=869); ARCHS4--Coexpression(rank=958); Enrichr--Queries(rank=1299)","995","0.34010000000000001","ReMap ChIP-seq,0.3401"
"RARA","1.64386380756381945","1.64386380756381945","1.64386380756381945","Activated","120","viper","120","1.64386380756381945",NA,NA,"5","Literature--ChIP-seq(rank=136); ReMap--ChIP-seq(rank=230); ARCHS4--Coexpression(rank=382); Enrichr--Queries(rank=520); GTEx--Coexpression(rank=1312)","745","0.23460000000000000","ARCHS4 Coexpression,0.2346"
"NFE2","1.63826303662117945","1.63826303662117945","1.63826303662117945","Activated","121","viper","121","1.63826303662117945",NA,NA,"5","ENCODE--ChIP-seq(rank=85); ReMap--ChIP-seq(rank=129); Enrichr--Queries(rank=192); ARCHS4--Coexpression(rank=290); GTEx--Coexpression(rank=1119)","472","0.13680000000000000","Enrichr Queries,0.1368"
"NR2C2","-1.63749072983812449","-1.63749072983812449","1.63749072983812449","Repressed","122","viper","122","1.63749072983812449",NA,NA,"5","ENCODE--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=261); Enrichr--Queries(rank=1343); GTEx--Coexpression(rank=1484); ARCHS4--Coexpression(rank=1550)","1596","0.78810000000000002","ENCODE ChIP-seq,0.7881"
"ESR2","1.59632010008373237","1.59632010008373237","1.59632010008373237","Activated","123","viper","123","1.59632010008373237",NA,NA,"5","Literature--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=263); ARCHS4--Coexpression(rank=318); Enrichr--Queries(rank=680); GTEx--Coexpression(rank=1373)","638","0.19530000000000000","ARCHS4 Coexpression,0.1953"
"NFYB","-1.58480362671293307","-1.58480362671293307","1.58480362671293307","Repressed","124","viper","124","1.58480362671293307",NA,NA,"5","ENCODE--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=242); ARCHS4--Coexpression(rank=447); GTEx--Coexpression(rank=567); Enrichr--Queries(rank=1136)","844","0.27460000000000001","ARCHS4 Coexpression,0.2746"
"E2F1","-1.57664571466513115","-1.57664571466513115","1.57664571466513115","Repressed","125","viper","125","1.57664571466513115",NA,NA,"6","ENCODE--ChIP-seq(rank=97); Literature--ChIP-seq(rank=128); GTEx--Coexpression(rank=132); ReMap--ChIP-seq(rank=179); ARCHS4--Coexpression(rank=618); Enrichr--Queries(rank=757)","301","0.08214000000000000","GTEx Coexpression,0.08214"
"SOX13","1.57390861779776792","1.57390861779776792","1.57390861779776792","Activated","126","viper","126","1.57390861779776792",NA,NA,"4","ReMap--ChIP-seq(rank=145); Enrichr--Queries(rank=437); ARCHS4--Coexpression(rank=480); GTEx--Coexpression(rank=625)","891","0.29480000000000001","ARCHS4 Coexpression,0.2948"
"TCF7","1.56713302559994827","1.56713302559994827","1.56713302559994827","Activated","127","viper","127","1.56713302559994827",NA,NA,"5","ReMap--ChIP-seq(rank=59); Literature--ChIP-seq(rank=122); Enrichr--Queries(rank=213); GTEx--Coexpression(rank=281); ARCHS4--Coexpression(rank=334)","520","0.15170000000000000","Enrichr Queries,0.1517"
"CREM","1.56305851157582976","1.56305851157582976","1.56305851157582976","Activated","128","viper","128","1.56305851157582976",NA,NA,"5","Enrichr--Queries(rank=48); ReMap--ChIP-seq(rank=78); Literature--ChIP-seq(rank=156); ARCHS4--Coexpression(rank=312); GTEx--Coexpression(rank=746)","129","0.03419000000000000","Enrichr Queries,0.03419"
"NR1H2","-1.55738742940301567","-1.55738742940301567","1.55738742940301567","Repressed","129","viper","129","1.55738742940301567",NA,NA,"4","ReMap--ChIP-seq(rank=29); GTEx--Coexpression(rank=816); ARCHS4--Coexpression(rank=859); Enrichr--Queries(rank=1084)","351","0.09764000000000000","ReMap ChIP-seq,0.09764"
"CLOCK","1.55122023328592329","1.55122023328592329","1.55122023328592329","Activated","130","viper","130","1.55122023328592329",NA,NA,"5","Literature--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=160); ARCHS4--Coexpression(rank=685); GTEx--Coexpression(rank=762); Enrichr--Queries(rank=1229)","1146","0.42080000000000001","ARCHS4 Coexpression,0.4208"
"SP4","-1.54658654395496797","-1.54658654395496797","1.54658654395496797","Repressed","131","viper","131","1.54658654395496797",NA,NA,"5","ENCODE--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=166); Enrichr--Queries(rank=587); GTEx--Coexpression(rank=1127); ARCHS4--Coexpression(rank=1462)","1142","0.41810000000000003","Enrichr Queries,0.4181"
"KLF1","1.53878590466706333","1.53878590466706333","1.53878590466706333","Activated","132","viper","132","1.53878590466706333",NA,NA,"5","Literature--ChIP-seq(rank=40); ReMap--ChIP-seq(rank=240); ARCHS4--Coexpression(rank=779); Enrichr--Queries(rank=903); GTEx--Coexpression(rank=1533)","766","0.24390000000000001","Literature ChIP-seq,0.2439"
"ASCL1","1.52560613346345897","1.52560613346345897","1.52560613346345897","Activated","133","viper","133","1.52560613346345897",NA,NA,"4","ReMap--ChIP-seq(rank=187); ARCHS4--Coexpression(rank=490); GTEx--Coexpression(rank=491); Enrichr--Queries(rank=863)","907","0.30099999999999999","ARCHS4 Coexpression,0.301"
"POU2F1","1.50102971805840735","1.50102971805840735","1.50102971805840735","Activated","134","viper","134","1.50102971805840735",NA,NA,"4","ReMap--ChIP-seq(rank=281); ARCHS4--Coexpression(rank=810); Enrichr--Queries(rank=1111); GTEx--Coexpression(rank=1472)","1276","0.49750000000000000","ARCHS4 Coexpression,0.4975"
"BHLHE40","-1.49918715153764248","-1.49918715153764248","1.49918715153764248","Repressed","135","viper","135","1.49918715153764248",NA,NA,"4","ENCODE--ChIP-seq(rank=40); ReMap--ChIP-seq(rank=71); GTEx--Coexpression(rank=95); ARCHS4--Coexpression(rank=108)","223","0.05912000000000000","GTEx Coexpression,0.05912"
"ZNF639","-1.49647476197369889","-1.49647476197369889","1.49647476197369889","Repressed","136","viper","136","1.49647476197369889",NA,NA,"4","ReMap--ChIP-seq(rank=260); GTEx--Coexpression(rank=1161); Enrichr--Queries(rank=1179); ARCHS4--Coexpression(rank=1427)","1545","0.72250000000000003","GTEx Coexpression,0.7225"
"STAT5A","1.49520546759862727","1.49520546759862727","1.49520546759862727","Activated","137","viper","137","1.49520546759862727",NA,NA,"6","Literature--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=178); ARCHS4--Coexpression(rank=230); GTEx--Coexpression(rank=352); Enrichr--Queries(rank=535)","312","0.08537000000000000","Literature ChIP-seq,0.08537"
"PRDM1","1.48891725736675862","1.48891725736675862","1.48891725736675862","Activated","138","viper","138","1.48891725736675862",NA,NA,"5","GTEx--Coexpression(rank=4); ENCODE--ChIP-seq(rank=23); Enrichr--Queries(rank=87); ReMap--ChIP-seq(rank=96); ARCHS4--Coexpression(rank=144)","8","0.00248900000000000","GTEx Coexpression,0.002489"
"SMAD1","1.45798146593711109","1.45798146593711109","1.45798146593711109","Activated","139","viper","139","1.45798146593711109",NA,NA,"5","Literature--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=201); Enrichr--Queries(rank=303); ARCHS4--Coexpression(rank=554); GTEx--Coexpression(rank=1342)","697","0.21579999999999999","Enrichr Queries,0.2158"
"ELK4","1.44141415974861276","1.44141415974861276","1.44141415974861276","Activated","140","viper","140","1.44141415974861276",NA,NA,"5","ENCODE--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=265); ARCHS4--Coexpression(rank=1053); GTEx--Coexpression(rank=1135); Enrichr--Queries(rank=1178)","1461","0.64680000000000004","ARCHS4 Coexpression,0.6468"
"HNF4G","1.43750547649658267","1.43750547649658267","1.43750547649658267","Activated","141","viper","141","1.43750547649658267",NA,NA,"5","ARCHS4--Coexpression(rank=25); ReMap--ChIP-seq(rank=48); ENCODE--ChIP-seq(rank=83); Enrichr--Queries(rank=150); GTEx--Coexpression(rank=158)","53","0.01536000000000000","ARCHS4 Coexpression,0.01536"
"EGR1","1.41963857248425529","1.41963857248425529","1.41963857248425529","Activated","142","viper","142","1.41963857248425529",NA,NA,"6","ENCODE--ChIP-seq(rank=73); Literature--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=122); GTEx--Coexpression(rank=152); Enrichr--Queries(rank=177); ReMap--ChIP-seq(rank=182)","277","0.07494000000000001","ARCHS4 Coexpression,0.07494"
"EOMES","1.40791302437719335","1.40791302437719335","1.40791302437719335","Activated","143","viper","143","1.40791302437719335",NA,NA,"5","Literature--ChIP-seq(rank=81); Enrichr--Queries(rank=128); ReMap--ChIP-seq(rank=130); GTEx--Coexpression(rank=350); ARCHS4--Coexpression(rank=401)","331","0.09117000000000000","Enrichr Queries,0.09117"
"HNF1B","1.39753303032969112","1.39753303032969112","1.39753303032969112","Activated","144","viper","144","1.39753303032969112",NA,NA,"3","ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=54); Enrichr--Queries(rank=253)","57","0.01684000000000000","ReMap ChIP-seq,0.01684"
"ZNF143","1.39546088782149225","1.39546088782149225","1.39546088782149225","Activated","145","viper","145","1.39546088782149225",NA,NA,"5","ENCODE--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=168); Enrichr--Queries(rank=725); GTEx--Coexpression(rank=1502); ARCHS4--Coexpression(rank=1602)","1251","0.48309999999999997","ENCODE ChIP-seq,0.4831"
"ERG","1.38888415640091334","1.38888415640091334","1.38888415640091334","Activated","146","viper","146","1.38888415640091334",NA,NA,"5","Literature--ChIP-seq(rank=110); ARCHS4--Coexpression(rank=199); ReMap--ChIP-seq(rank=253); Enrichr--Queries(rank=412); GTEx--Coexpression(rank=448)","427","0.12220000000000000","ARCHS4 Coexpression,0.1222"
"MYCN","-1.38327948356353381","-1.38327948356353381","1.38327948356353381","Repressed","147","viper","147","1.38327948356353381",NA,NA,"5","Literature--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=162); GTEx--Coexpression(rank=272); Enrichr--Queries(rank=338); ARCHS4--Coexpression(rank=1161)","574","0.16930000000000001","GTEx Coexpression,0.1693"
"ZNF274","-1.36992413695814941","-1.36992413695814941","1.36992413695814941","Repressed","148","viper","148","1.36992413695814941",NA,NA,"6","ENCODE--ChIP-seq(rank=95); Literature--ChIP-seq(rank=155); ReMap--ChIP-seq(rank=194); Enrichr--Queries(rank=487); GTEx--Coexpression(rank=783); ARCHS4--Coexpression(rank=1128)","1012","0.34689999999999999","Enrichr Queries,0.3469"
"MYB","-1.34792852972838006","-1.34792852972838006","1.34792852972838006","Repressed","149","viper","149","1.34792852972838006",NA,NA,"6","ReMap--ChIP-seq(rank=70); ENCODE--ChIP-seq(rank=81); GTEx--Coexpression(rank=101); Literature--ChIP-seq(rank=105); ARCHS4--Coexpression(rank=464); Enrichr--Queries(rank=523)","236","0.06285000000000000","GTEx Coexpression,0.06285"
"LEF1","-1.32698396793789963","-1.32698396793789963","1.32698396793789963","Repressed","150","viper","150","1.32698396793789963",NA,NA,"4","ARCHS4--Coexpression(rank=271); ReMap--ChIP-seq(rank=271); Enrichr--Queries(rank=294); GTEx--Coexpression(rank=487)","565","0.16650000000000001","ARCHS4 Coexpression,0.1665"
"MAX","1.27978536879487192","1.27978536879487192","1.27978536879487192","Activated","151","viper","151","1.27978536879487192",NA,NA,"5","ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=167); ARCHS4--Coexpression(rank=539); GTEx--Coexpression(rank=705); Enrichr--Queries(rank=1038)","974","0.33110000000000001","ARCHS4 Coexpression,0.3311"
"ELF5","1.26689684425870785","1.26689684425870785","1.26689684425870785","Activated","152","viper","152","1.26689684425870785",NA,NA,"5","Enrichr--Queries(rank=29); Literature--ChIP-seq(rank=92); ARCHS4--Coexpression(rank=155); ReMap--ChIP-seq(rank=262); GTEx--Coexpression(rank=357)","76","0.02066000000000000","Enrichr Queries,0.02066"
"NR5A2","1.25972384341876120","1.25972384341876120","1.25972384341876120","Activated","153","viper","153","1.25972384341876120",NA,NA,"4","ReMap--ChIP-seq(rank=75); Enrichr--Queries(rank=142); GTEx--Coexpression(rank=683); ARCHS4--Coexpression(rank=740)","363","0.10110000000000000","Enrichr Queries,0.1011"
"RELA","1.24215167503629620","1.24215167503629620","1.24215167503629620","Activated","154","viper","154","1.24215167503629620",NA,NA,"6","Literature--ChIP-seq(rank=28); ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=63); GTEx--Coexpression(rank=709); Enrichr--Queries(rank=891); ARCHS4--Coexpression(rank=1565)","577","0.17069999999999999","Literature ChIP-seq,0.1707"
"ARID3A","1.22973119336401804","1.22973119336401804","1.22973119336401804","Activated","155","viper","155","1.22973119336401804",NA,NA,"5","ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=147); ARCHS4--Coexpression(rank=489); Enrichr--Queries(rank=588); GTEx--Coexpression(rank=901)","904","0.30040000000000000","ARCHS4 Coexpression,0.3004"
"TFAP2C","1.21581980058846861","1.21581980058846861","1.21581980058846861","Activated","156","viper","156","1.21581980058846861",NA,NA,"6","GTEx--Coexpression(rank=3); ARCHS4--Coexpression(rank=21); ENCODE--ChIP-seq(rank=31); Literature--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=39); Enrichr--Queries(rank=61)","5","0.00186700000000000","GTEx Coexpression,0.001867"
"CREB1","1.20812676443603317","1.20812676443603317","1.20812676443603317","Activated","157","viper","157","1.20812676443603317",NA,NA,"6","ENCODE--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=141); Literature--ChIP-seq(rank=152); GTEx--Coexpression(rank=952); Enrichr--Queries(rank=1297); ARCHS4--Coexpression(rank=1381)","1074","0.38140000000000002","ENCODE ChIP-seq,0.3814"
