"TF","MVL_CRC29","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"NCOA3","-2.521734933684714797","-2.521734933684714797","2.521734933684714797","Repressed","54","viper","54","2.521734933684714797",NA,NA,"4","ReMap--ChIP-seq(rank=291); Enrichr--Queries(rank=996); ARCHS4--Coexpression(rank=1223); GTEx--Coexpression(rank=1296)","1535","0.70940000000000003","Enrichr Queries,0.7094"
"EGR1","2.511591231340375430","2.511591231340375430","2.511591231340375430","Activated","55","viper","55","2.511591231340375430",NA,NA,"6","Literature--ChIP-seq(rank=28); ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=64); Enrichr--Queries(rank=702); GTEx--Coexpression(rank=1156); ARCHS4--Coexpression(rank=1229)","648","0.17069999999999999","Literature ChIP-seq,0.1707"
"HOXB13","-2.502652691015764042","-2.502652691015764042","2.502652691015764042","Repressed","56","viper","56","2.502652691015764042",NA,NA,"4","ReMap--ChIP-seq(rank=243); Enrichr--Queries(rank=653); ARCHS4--Coexpression(rank=723); GTEx--Coexpression(rank=832)","1236","0.44409999999999999","ARCHS4 Coexpression,0.4441"
"SOX13","2.469882813169918645","2.469882813169918645","2.469882813169918645","Activated","57","viper","57","2.469882813169918645",NA,NA,"4","ReMap--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=202); Enrichr--Queries(rank=405); GTEx--Coexpression(rank=590)","496","0.12410000000000000","ARCHS4 Coexpression,0.1241"
"MEF2B","2.454581178287982723","2.454581178287982723","2.454581178287982723","Activated","58","viper","58","2.454581178287982723",NA,NA,"4","ReMap--ChIP-seq(rank=277); ARCHS4--Coexpression(rank=731); GTEx--Coexpression(rank=804); Enrichr--Queries(rank=1042)","1252","0.44900000000000001","ARCHS4 Coexpression,0.449"
"HBP1","2.441596343349494713","2.441596343349494713","2.441596343349494713","Activated","59","viper","59","2.441596343349494713",NA,NA,"4","ReMap--ChIP-seq(rank=31); ARCHS4--Coexpression(rank=770); Enrichr--Queries(rank=863); GTEx--Coexpression(rank=1418)","421","0.10440000000000001","ReMap ChIP-seq,0.1044"
"ZEB2","2.411895324984712374","2.411895324984712374","2.411895324984712374","Activated","60","viper","60","2.411895324984712374",NA,NA,"4","Enrichr--Queries(rank=52); ReMap--ChIP-seq(rank=226); GTEx--Coexpression(rank=1209); ARCHS4--Coexpression(rank=1295)","158","0.03704000000000000","Enrichr Queries,0.03704"
"RFX2","2.362824512084197082","2.362824512084197082","2.362824512084197082","Activated","61","viper","61","2.362824512084197082",NA,NA,"4","ARCHS4--Coexpression(rank=2); ReMap--ChIP-seq(rank=186); GTEx--Coexpression(rank=260); Enrichr--Queries(rank=736)","4","0.00122900000000000","ARCHS4 Coexpression,0.001229"
"ARID3A","2.353314702392718338","2.353314702392718338","2.353314702392718338","Activated","62","viper","62","2.353314702392718338",NA,NA,"5","ENCODE--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=165); GTEx--Coexpression(rank=444); Enrichr--Queries(rank=577); ARCHS4--Coexpression(rank=1302)","917","0.27629999999999999","GTEx Coexpression,0.2763"
"LYL1","2.351099490825679705","2.351099490825679705","2.351099490825679705","Activated","63","viper","63","2.351099490825679705",NA,NA,"5","Literature--ChIP-seq(rank=131); ReMap--ChIP-seq(rank=139); Enrichr--Queries(rank=280); ARCHS4--Coexpression(rank=529); GTEx--Coexpression(rank=1041)","735","0.19939999999999999","Enrichr Queries,0.1994"
