Pathway ID	Name	pvalue	DEG number	DEG Density	Intersecton size	DEGs in Intersection	Result	Reciprocal pvalue	Filtered	Versus	Versus Name	Is Reciprocal	Top Genes
REACTOME_VITAMIN_C_ASCORBATE_METABOLISM	REACTOME_VITAMIN_C_ASCORBATE_METABOLISM	0.0285	2	0.25	0	0	1	0	keep	itself		True	SLC2A3,SLC2A1
REACTOME_DISEASES_ASSOCIATED_WITH_N_GLYCOSYLATION_OF_PROTEINS	REACTOME_DISEASES_ASSOCIATED_WITH_N_GLYCOSYLATION_OF_PROTEINS	0.0287	11	0.55	0	0	1	0	keep	itself		True	MPDU1,ALG2,ALG1,ALG3,MAN1B1,MOGS,ALG6,ALG8,ALG13,CTSA,ALG14
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM	REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM	0.0287	5	0.4545	0	0	1	0	keep	itself		True	GADL1,GOT2,NAT8L,SLC25A12,ASNS
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.029	4	0.2222	0	0	1	0	keep	itself		True	ABCA2,ABCD1,ABCA3,ABCG1
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	0.0293	27	0.2093	28	10	0.0317	1	exclude	REACTOME_SYNTHESIS_OF_PC	REACTOME_SYNTHESIS_OF_PC	False	SELENOI,AGPAT3,CSNK2A2,STARD10,LIPH,OSBPL8,LPCAT1,CSNK2A1,GPD1L,CDS2,ACHE,PHOSPHO1,PLA2G12A,DDHD2,LPCAT3,BCHE,MBOAT2,SLC44A1,PLAAT3,LPIN1
REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT	REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT	0.0295	9	0.1286	36	8	0.0173	0.2564	exclude	REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS	REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS	False	H2BC12,H3-3B,H2BC5,H2AC6,H2BC11,H2AX,H4C8,H2BC21,H4C15
REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY	REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY	0.0297	25	0.5556	36	24	0.0037	0.4845	exclude	REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	False	PSMC5,RUNX3,PSMD6,PSMC3,PSMB7,PSMD11,PSMA2,PSMB5,PSMC4,PSMC6,PSMB6,ADRM1,PSMD12,SEM1,PSMB4,PSMA3,RPS27A,PSMA4,PSMD13,PSMA5
REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN	REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN	0.0299	22	0.5946	0	0	1	0	keep	itself		True	YAF2,AUTS2,EP300,PCGF5,SMARCD2,SCMH1,SMARCD3,PHC3,RUNX1,CBX6,SMARCC2,CSNK2A2,SMARCC1,HIPK2,ARID1B,CSNK2A1,PHC1,PHC2,CBX4,SMARCA2
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	0.0301	16	0.1311	35	6	0.2876	0.887	keep	REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS	REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS	False	HOXB3,H2BC12,AJUBA,HOXB4,H3-3B,POLR2L,H2BC5,ZNF335,HOXB2,H2AC6,H2BC11,H2AX,WDR5,POLR2A,H4C8,EZH2
REACTOME_FORMATION_OF_PARAXIAL_MESODERM	REACTOME_FORMATION_OF_PARAXIAL_MESODERM	0.0304	28	0.4746	32	23	4.45e-05	0.1367	exclude	REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	False	BMP4,KAT2A,PSMC5,PSMD6,CTNNB1,PSMC3,PSMB7,PSMD11,PSMA2,PSMB5,PSMC4,LEF1,PSMC6,PSMB6,MAMLD1,ADRM1,PSMD12,SEM1,PSMB4,PSMA3
REACTOME_TRANSPORT_OF_NUCLEOTIDE_SUGARS	REACTOME_TRANSPORT_OF_NUCLEOTIDE_SUGARS	0.0305	4	0.4444	0	0	1	0	keep	itself		True	SLC35D1,SLC35B2,SLC35C1,SLC35A2
