"TF","MVL_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"MEIS1","1.113865059590911200","1.113865059590911200","1.113865059590911200","Activated","79","viper","79","1.113865059590911200",NA,NA,"5","Literature--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=12); GTEx--Coexpression(rank=408); Enrichr--Queries(rank=1132); ARCHS4--Coexpression(rank=1190)","192","0.04040000000000000","ReMap ChIP-seq,0.0404"
"HSF1","-1.107919146959563950","-1.107919146959563950","1.107919146959563950","Repressed","80","viper","80","1.107919146959563950",NA,NA,"5","Literature--ChIP-seq(rank=32); ENCODE--ChIP-seq(rank=116); ReMap--ChIP-seq(rank=196); GTEx--Coexpression(rank=345); ARCHS4--Coexpression(rank=1302)","771","0.19510000000000000","Literature ChIP-seq,0.1951"
"TCF7L2","-1.103306256723988632","-1.103306256723988632","1.103306256723988632","Repressed","81","viper","81","1.103306256723988632",NA,NA,"6","ReMap--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=52); Literature--ChIP-seq(rank=136); Enrichr--Queries(rank=1016); GTEx--Coexpression(rank=1352); ARCHS4--Coexpression(rank=1466)","220","0.04714000000000000","ReMap ChIP-seq,0.04714"
"NFKB2","1.099514281419271100","1.099514281419271100","1.099514281419271100","Activated","82","viper","82","1.099514281419271100",NA,NA,"4","ReMap--ChIP-seq(rank=63); GTEx--Coexpression(rank=430); Enrichr--Queries(rank=620); ARCHS4--Coexpression(rank=663)","820","0.21210000000000001","ReMap ChIP-seq,0.2121"
"ARNTL","1.088817961270346357","1.088817961270346357","1.088817961270346357","Activated","83","viper","83","1.088817961270346357",NA,NA,"4","ReMap--ChIP-seq(rank=198); ARCHS4--Coexpression(rank=868); GTEx--Coexpression(rank=1020); Enrichr--Queries(rank=1248)","1424","0.53320000000000001","ARCHS4 Coexpression,0.5332"
"MYCN","1.083161928207275970","1.083161928207275970","1.083161928207275970","Activated","84","viper","84","1.083161928207275970",NA,NA,"5","Literature--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=189); ARCHS4--Coexpression(rank=814); Enrichr--Queries(rank=884); GTEx--Coexpression(rank=1237)","1270","0.40849999999999997","Literature ChIP-seq,0.4085"
"KLF3","-1.074609027029986619","-1.074609027029986619","1.074609027029986619","Repressed","85","viper","85","1.074609027029986619",NA,NA,"4","ReMap--ChIP-seq(rank=35); GTEx--Coexpression(rank=96); Enrichr--Queries(rank=405); ARCHS4--Coexpression(rank=1106)","272","0.05974000000000000","GTEx Coexpression,0.05974"
"HOXB13","-1.053825733661894359","-1.053825733661894359","1.053825733661894359","Repressed","86","viper","86","1.053825733661894359",NA,NA,"4","ReMap--ChIP-seq(rank=29); ARCHS4--Coexpression(rank=139); Enrichr--Queries(rank=1263); GTEx--Coexpression(rank=1575)","374","0.08538000000000000","ARCHS4 Coexpression,0.08538"
"TBP","-1.048828208364062764","-1.048828208364062764","1.048828208364062764","Repressed","87","viper","87","1.048828208364062764",NA,NA,"5","Literature--ChIP-seq(rank=30); ENCODE--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=114); GTEx--Coexpression(rank=697); ARCHS4--Coexpression(rank=1357)","731","0.18290000000000001","Literature ChIP-seq,0.1829"
"E2F3","-1.044196538363327154","-1.044196538363327154","1.044196538363327154","Repressed","88","viper","88","1.044196538363327154",NA,NA,"3","Enrichr--Queries(rank=59); ARCHS4--Coexpression(rank=243); GTEx--Coexpression(rank=373)","200","0.04202000000000000","Enrichr Queries,0.04202"
"OTX2","1.043403872195537874","1.043403872195537874","1.043403872195537874","Activated","89","viper","89","1.043403872195537874",NA,NA,"4","ReMap--ChIP-seq(rank=4); GTEx--Coexpression(rank=801); ARCHS4--Coexpression(rank=1255); Enrichr--Queries(rank=1319)","65","0.01347000000000000","ReMap ChIP-seq,0.01347"
"NR3C1","-1.040540921447838940","-1.040540921447838940","1.040540921447838940","Repressed","90","viper","90","1.040540921447838940",NA,NA,"6","Enrichr--Queries(rank=51); ARCHS4--Coexpression(rank=71); ENCODE--ChIP-seq(rank=90); Literature--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=149); GTEx--Coexpression(rank=933)","174","0.03632000000000000","Enrichr Queries,0.03632"
"NFE2L2","1.033988769625032722","1.033988769625032722","1.033988769625032722","Activated","91","viper","91","1.033988769625032722",NA,NA,"5","GTEx--Coexpression(rank=63); Literature--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=120); ARCHS4--Coexpression(rank=342); Enrichr--Queries(rank=994)","188","0.03920000000000000","GTEx Coexpression,0.0392"
"SNAI2","1.032172158932484818","1.032172158932484818","1.032172158932484818","Activated","92","viper","92","1.032172158932484818",NA,NA,"4","ARCHS4--Coexpression(rank=6); ReMap--ChIP-seq(rank=201); Enrichr--Queries(rank=1183); GTEx--Coexpression(rank=1397)","17","0.00368600000000000","ARCHS4 Coexpression,0.003686"
"E2F2","-1.031253879413477792","-1.031253879413477792","1.031253879413477792","Repressed","93","viper","93","1.031253879413477792",NA,NA,"3","Enrichr--Queries(rank=415); GTEx--Coexpression(rank=446); ARCHS4--Coexpression(rank=586)","1000","0.27750000000000002","GTEx Coexpression,0.2775"
"RUNX2","1.026947900606006936","1.026947900606006936","1.026947900606006936","Activated","94","viper","94","1.026947900606006936",NA,NA,"5","Literature--ChIP-seq(rank=60); ReMap--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=838); Enrichr--Queries(rank=1010); GTEx--Coexpression(rank=1269)","909","0.24240000000000000","ReMap ChIP-seq,0.2424"
"ATF1","-1.019354487637297968","-1.019354487637297968","1.019354487637297968","Repressed","95","viper","95","1.019354487637297968",NA,NA,"5","ReMap--ChIP-seq(rank=54); ENCODE--ChIP-seq(rank=83); Enrichr--Queries(rank=162); GTEx--Coexpression(rank=691); ARCHS4--Coexpression(rank=1285)","488","0.11540000000000000","Enrichr Queries,0.1154"
"ZNF740","-1.005726829884229234","-1.005726829884229234","1.005726829884229234","Repressed","96","viper","96","1.005726829884229234",NA,NA,"4","ARCHS4--Coexpression(rank=57); Enrichr--Queries(rank=121); ReMap--ChIP-seq(rank=255); GTEx--Coexpression(rank=1462)","170","0.03501000000000000","ARCHS4 Coexpression,0.03501"
"ERG","1.004983038932692585","1.004983038932692585","1.004983038932692585","Activated","97","viper","97","1.004983038932692585",NA,NA,"5","Literature--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=168); Enrichr--Queries(rank=1259); GTEx--Coexpression(rank=1308); ARCHS4--Coexpression(rank=1460)","1458","0.56569999999999998","ReMap ChIP-seq,0.5657"
"ZNF384","-1.000169741758180519","-1.000169741758180519","1.000169741758180519","Repressed","98","viper","98","1.000169741758180519",NA,NA,"5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=75); Enrichr--Queries(rank=145); GTEx--Coexpression(rank=1216); ARCHS4--Coexpression(rank=1305)","39","0.00847500000000000","ENCODE ChIP-seq,0.008475"
"NFIC","-0.984962631759395024","-0.984962631759395024","0.984962631759395024","Repressed","99","viper","99","0.984962631759395024",NA,NA,"5","ReMap--ChIP-seq(rank=40); ENCODE--ChIP-seq(rank=96); Enrichr--Queries(rank=911); GTEx--Coexpression(rank=1000); ARCHS4--Coexpression(rank=1359)","565","0.13469999999999999","ReMap ChIP-seq,0.1347"
"TCF12","0.978651116973588531","0.978651116973588531","0.978651116973588531","Activated","100","viper","100","0.978651116973588531",NA,NA,"5","ENCODE--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=197); Enrichr--Queries(rank=413); ARCHS4--Coexpression(rank=1143); GTEx--Coexpression(rank=1600)","941","0.25419999999999998","ENCODE ChIP-seq,0.2542"
"JUN","0.976831690097238359","0.976831690097238359","0.976831690097238359","Activated","101","viper","101","0.976831690097238359",NA,NA,"6","Literature--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=24); ENCODE--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=156); Enrichr--Queries(rank=1044); GTEx--Coexpression(rank=1375)","71","0.01474000000000000","ARCHS4 Coexpression,0.01474"
"TAL1","0.968597201894424886","0.968597201894424886","0.968597201894424886","Activated","102","viper","102","0.968597201894424886",NA,NA,"6","ENCODE--ChIP-seq(rank=53); Literature--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=118); Enrichr--Queries(rank=808); GTEx--Coexpression(rank=824); ARCHS4--Coexpression(rank=1327)","1255","0.39729999999999999","ReMap ChIP-seq,0.3973"
"ZNF217","-0.962078356569473270","-0.962078356569473270","0.962078356569473270","Repressed","103","viper","103","0.962078356569473270",NA,NA,"6","Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=26); Enrichr--Queries(rank=36); ARCHS4--Coexpression(rank=93); ENCODE--ChIP-seq(rank=94); GTEx--Coexpression(rank=429)","127","0.02564000000000000","Enrichr Queries,0.02564"
"ARNT","0.952912422481922428","0.952912422481922428","0.952912422481922428","Activated","104","viper","104","0.952912422481922428",NA,NA,"5","Literature--ChIP-seq(rank=39); Enrichr--Queries(rank=73); ReMap--ChIP-seq(rank=180); ARCHS4--Coexpression(rank=185); GTEx--Coexpression(rank=452)","240","0.05199000000000000","Enrichr Queries,0.05199"
"TFAP2C","-0.951482568471276768","-0.951482568471276768","0.951482568471276768","Repressed","105","viper","105","0.951482568471276768",NA,NA,"6","GTEx--Coexpression(rank=80); ENCODE--ChIP-seq(rank=84); Literature--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=175); ReMap--ChIP-seq(rank=179); Enrichr--Queries(rank=992)","230","0.04978000000000000","GTEx Coexpression,0.04978"
"FOXL2","0.933067210270337233","0.933067210270337233","0.933067210270337233","Activated","106","viper","106","0.933067210270337233",NA,NA,"3","Enrichr--Queries(rank=16); ARCHS4--Coexpression(rank=217); GTEx--Coexpression(rank=1447)","55","0.01140000000000000","Enrichr Queries,0.0114"
"MAFG","0.932961065832393688","0.932961065832393688","0.932961065832393688","Activated","107","viper","107","0.932961065832393688",NA,NA,"4","ReMap--ChIP-seq(rank=231); Enrichr--Queries(rank=522); ARCHS4--Coexpression(rank=803); GTEx--Coexpression(rank=1260)","1209","0.37180000000000002","Enrichr Queries,0.3718"
"CLOCK","0.928211755500049640","0.928211755500049640","0.928211755500049640","Activated","108","viper","108","0.928211755500049640",NA,NA,"5","Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=202); Enrichr--Queries(rank=251); ARCHS4--Coexpression(rank=899); GTEx--Coexpression(rank=1455)","537","0.12800000000000000","Literature ChIP-seq,0.128"
"DUX4","0.927649208924884450","0.927649208924884450","0.927649208924884450","Activated","109","viper","109","0.927649208924884450",NA,NA,"2","ARCHS4--Coexpression(rank=244); ReMap--ChIP-seq(rank=268)","613","0.14990000000000001","ARCHS4 Coexpression,0.1499"
"SOX10","-0.923708275491510800","-0.923708275491510800","0.923708275491510800","Repressed","110","viper","110","0.923708275491510800",NA,NA,"4","ReMap--ChIP-seq(rank=217); Enrichr--Queries(rank=869); GTEx--Coexpression(rank=1345); ARCHS4--Coexpression(rank=1536)","1507","0.61890000000000001","Enrichr Queries,0.6189"
"PRDM1","0.922701101538401014","0.922701101538401014","0.922701101538401014","Activated","111","viper","111","0.922701101538401014",NA,NA,"5","ENCODE--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=238); GTEx--Coexpression(rank=466); ARCHS4--Coexpression(rank=821); Enrichr--Queries(rank=963)","1028","0.28999999999999998","GTEx Coexpression,0.29"
"PGR","-0.921500146390389019","-0.921500146390389019","0.921500146390389019","Repressed","112","viper","112","0.921500146390389019",NA,NA,"4","ARCHS4--Coexpression(rank=31); ReMap--ChIP-seq(rank=91); Enrichr--Queries(rank=914); GTEx--Coexpression(rank=1493)","94","0.01904000000000000","ARCHS4 Coexpression,0.01904"
"RELB","-0.913901616333182454","-0.913901616333182454","0.913901616333182454","Repressed","113","viper","113","0.913901616333182454",NA,NA,"4","ReMap--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=412); Enrichr--Queries(rank=720); GTEx--Coexpression(rank=847)","752","0.18859999999999999","ReMap ChIP-seq,0.1886"
"ELK4","-0.913680451682292838","-0.913680451682292838","0.913680451682292838","Repressed","114","viper","114","0.913680451682292838",NA,NA,"5","ENCODE--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=43); ReMap--ChIP-seq(rank=234); Enrichr--Queries(rank=291); GTEx--Coexpression(rank=731)","131","0.02641000000000000","ARCHS4 Coexpression,0.02641"
"E2F6","-0.913261287092443252","-0.913261287092443252","0.913261287092443252","Repressed","115","viper","115","0.913261287092443252",NA,NA,"5","ENCODE--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=138); Enrichr--Queries(rank=544); ARCHS4--Coexpression(rank=1155); GTEx--Coexpression(rank=1443)","875","0.22880000000000000","ENCODE ChIP-seq,0.2288"
"JUND","-0.901204707383180037","-0.901204707383180037","0.901204707383180037","Repressed","116","viper","116","0.901204707383180037",NA,NA,"6","ENCODE--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=40); Literature--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=172); Enrichr--Queries(rank=997); GTEx--Coexpression(rank=1225)","121","0.02457000000000000","ARCHS4 Coexpression,0.02457"
"TCF4","0.897070874802192497","0.897070874802192497","0.897070874802192497","Activated","117","viper","117","0.897070874802192497",NA,NA,"5","ReMap--ChIP-seq(rank=25); Literature--ChIP-seq(rank=48); GTEx--Coexpression(rank=51); Enrichr--Queries(rank=556); ARCHS4--Coexpression(rank=1007)","155","0.03174000000000000","GTEx Coexpression,0.03174"
"JUNB","-0.886780439418060284","-0.886780439418060284","0.886780439418060284","Repressed","118","viper","118","0.886780439418060284",NA,NA,"4","ReMap--ChIP-seq(rank=46); Enrichr--Queries(rank=670); GTEx--Coexpression(rank=696); ARCHS4--Coexpression(rank=1009)","628","0.15490000000000001","ReMap ChIP-seq,0.1549"
"ARID3A","-0.884041060730212824","-0.884041060730212824","0.884041060730212824","Repressed","119","viper","119","0.884041060730212824",NA,NA,"5","ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=84); ARCHS4--Coexpression(rank=468); GTEx--Coexpression(rank=651); Enrichr--Queries(rank=787)","1012","0.28280000000000000","ReMap ChIP-seq,0.2828"
"TFDP1","-0.874001716367165948","-0.874001716367165948","0.874001716367165948","Repressed","120","viper","120","0.874001716367165948",NA,NA,"4","ReMap--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=252); Enrichr--Queries(rank=391); GTEx--Coexpression(rank=751)","522","0.12460000000000000","ReMap ChIP-seq,0.1246"
"ETV1","0.860855486228299660","0.860855486228299660","0.860855486228299660","Activated","121","viper","121","0.860855486228299660",NA,NA,"4","Enrichr--Queries(rank=101); ReMap--ChIP-seq(rank=148); GTEx--Coexpression(rank=156); ARCHS4--Coexpression(rank=1430)","323","0.07194000000000000","Enrichr Queries,0.07194"
"ZEB1","0.858134669450470455","0.858134669450470455","0.858134669450470455","Activated","122","viper","122","0.858134669450470455",NA,NA,"5","Enrichr--Queries(rank=75); ENCODE--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=588); GTEx--Coexpression(rank=1605)","244","0.05342000000000000","Enrichr Queries,0.05342"
"PKNOX1","-0.849882356178689680","-0.849882356178689680","0.849882356178689680","Repressed","123","viper","123","0.849882356178689680",NA,NA,"4","ReMap--ChIP-seq(rank=249); GTEx--Coexpression(rank=771); ARCHS4--Coexpression(rank=827); Enrichr--Queries(rank=835)","1369","0.47980000000000000","GTEx Coexpression,0.4798"
"KLF4","0.845850126553967963","0.845850126553967963","0.845850126553967963","Activated","124","viper","124","0.845850126553967963",NA,NA,"5","Literature--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=117); GTEx--Coexpression(rank=205); ARCHS4--Coexpression(rank=271); Enrichr--Queries(rank=697)","535","0.12759999999999999","GTEx Coexpression,0.1276"
"KLF5","-0.843859476453267532","-0.843859476453267532","0.843859476453267532","Repressed","125","viper","125","0.843859476453267532",NA,NA,"5","Literature--ChIP-seq(rank=86); GTEx--Coexpression(rank=92); ARCHS4--Coexpression(rank=157); ReMap--ChIP-seq(rank=169); Enrichr--Queries(rank=637)","261","0.05725000000000000","GTEx Coexpression,0.05725"
"FOXJ2","0.840526843841507998","0.840526843841507998","0.840526843841507998","Activated","126","viper","126","0.840526843841507998",NA,NA,"4","ReMap--ChIP-seq(rank=24); GTEx--Coexpression(rank=106); Enrichr--Queries(rank=154); ARCHS4--Coexpression(rank=1224)","298","0.06596000000000000","GTEx Coexpression,0.06596"
"E2F7","-0.829016727092089956","-0.829016727092089956","0.829016727092089956","Repressed","127","viper","127","0.829016727092089956",NA,NA,"5","ReMap--ChIP-seq(rank=30); Literature--ChIP-seq(rank=160); GTEx--Coexpression(rank=199); Enrichr--Queries(rank=517); ARCHS4--Coexpression(rank=1043)","431","0.10100000000000001","ReMap ChIP-seq,0.101"
"FOXA1","0.821407300961201847","0.821407300961201847","0.821407300961201847","Activated","128","viper","128","0.821407300961201847",NA,NA,"6","ReMap--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=66); Literature--ChIP-seq(rank=82); ARCHS4--Coexpression(rank=607); Enrichr--Queries(rank=961); GTEx--Coexpression(rank=1245)","100","0.02020000000000000","ReMap ChIP-seq,0.0202"
"MEF2B","0.818167296949859790","0.818167296949859790","0.818167296949859790","Activated","129","viper","129","0.818167296949859790",NA,NA,"4","ReMap--ChIP-seq(rank=135); ARCHS4--Coexpression(rank=173); Enrichr--Queries(rank=585); GTEx--Coexpression(rank=789)","454","0.10630000000000001","ARCHS4 Coexpression,0.1063"
"E2F5","0.815087634569728658","0.815087634569728658","0.815087634569728658","Activated","130","viper","130","0.815087634569728658",NA,NA,"4","ReMap--ChIP-seq(rank=23); GTEx--Coexpression(rank=131); Enrichr--Queries(rank=1149); ARCHS4--Coexpression(rank=1200)","345","0.07743999999999999","ReMap ChIP-seq,0.07744"
"CREB3L1","-0.814331893354313996","-0.814331893354313996","0.814331893354313996","Repressed","131","viper","131","0.814331893354313996",NA,NA,"4","ARCHS4--Coexpression(rank=4); ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=871); Enrichr--Queries(rank=1196)","10","0.00245700000000000","ARCHS4 Coexpression,0.002457"
"SP1","-0.810588836385848222","-0.810588836385848222","0.810588836385848222","Repressed","132","viper","132","0.810588836385848222",NA,NA,"5","ENCODE--ChIP-seq(rank=40); ARCHS4--Coexpression(rank=91); Enrichr--Queries(rank=120); ReMap--ChIP-seq(rank=129); GTEx--Coexpression(rank=416)","255","0.05590000000000000","ARCHS4 Coexpression,0.0559"
"ELF5","0.810443722611879580","0.810443722611879580","0.810443722611879580","Activated","133","viper","133","0.810443722611879580",NA,NA,"5","ARCHS4--Coexpression(rank=17); Literature--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=288); GTEx--Coexpression(rank=806); Enrichr--Queries(rank=990)","50","0.01044000000000000","ARCHS4 Coexpression,0.01044"
"MAX","-0.809439342124538386","-0.809439342124538386","0.809439342124538386","Repressed","134","viper","134","0.809439342124538386",NA,NA,"5","ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=146); Enrichr--Queries(rank=304); GTEx--Coexpression(rank=629); ARCHS4--Coexpression(rank=1515)","835","0.21650000000000000","Enrichr Queries,0.2165"
"TBX21","0.801282402699042051","0.801282402699042051","0.801282402699042051","Activated","135","viper","135","0.801282402699042051",NA,NA,"4","ReMap--ChIP-seq(rank=86); Enrichr--Queries(rank=277); GTEx--Coexpression(rank=605); ARCHS4--Coexpression(rank=1193)","780","0.19730000000000000","Enrichr Queries,0.1973"
"ATF4","0.793853195895380503","0.793853195895380503","0.793853195895380503","Activated","136","viper","136","0.793853195895380503",NA,NA,"4","GTEx--Coexpression(rank=44); ARCHS4--Coexpression(rank=211); ReMap--ChIP-seq(rank=264); Enrichr--Queries(rank=557)","135","0.02738000000000000","GTEx Coexpression,0.02738"
"GRHL2","0.775724500061370281","0.775724500061370281","0.775724500061370281","Activated","137","viper","137","0.775724500061370281",NA,NA,"5","GTEx--Coexpression(rank=72); ARCHS4--Coexpression(rank=79); Literature--ChIP-seq(rank=121); ReMap--ChIP-seq(rank=186); Enrichr--Queries(rank=678)","210","0.04480000000000000","GTEx Coexpression,0.0448"
"SMAD4","-0.772693614719384025","-0.772693614719384025","0.772693614719384025","Repressed","138","viper","138","0.772693614719384025",NA,NA,"5","ARCHS4--Coexpression(rank=65); Literature--ChIP-seq(rank=78); Enrichr--Queries(rank=149); ReMap--ChIP-seq(rank=274); GTEx--Coexpression(rank=708)","191","0.03993000000000000","ARCHS4 Coexpression,0.03993"
"FOSL2","-0.766989939573428980","-0.766989939573428980","0.766989939573428980","Repressed","139","viper","139","0.766989939573428980",NA,NA,"5","ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=165); GTEx--Coexpression(rank=200); ARCHS4--Coexpression(rank=278); Enrichr--Queries(rank=792)","521","0.12450000000000000","GTEx Coexpression,0.1245"
"BHLHE22","0.755842944489808044","0.755842944489808044","0.755842944489808044","Activated","140","viper","140","0.755842944489808044",NA,NA,"3","ReMap--ChIP-seq(rank=273); GTEx--Coexpression(rank=311); ARCHS4--Coexpression(rank=1260)","766","0.19350000000000001","GTEx Coexpression,0.1935"
"TEAD2","-0.754213363915886115","-0.754213363915886115","0.754213363915886115","Repressed","141","viper","141","0.754213363915886115",NA,NA,"4","ReMap--ChIP-seq(rank=252); ARCHS4--Coexpression(rank=415); GTEx--Coexpression(rank=505); Enrichr--Queries(rank=1091)","943","0.25490000000000002","ARCHS4 Coexpression,0.2549"
"RUNX1","0.747651400186331472","0.747651400186331472","0.747651400186331472","Activated","142","viper","142","0.747651400186331472",NA,NA,"5","Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=335); GTEx--Coexpression(rank=575); Enrichr--Queries(rank=943)","803","0.20580000000000001","ARCHS4 Coexpression,0.2058"
"BCL11A","0.737795824467058159","0.737795824467058159","0.737795824467058159","Activated","143","viper","143","0.737795824467058159",NA,NA,"5","ReMap--ChIP-seq(rank=80); ENCODE--ChIP-seq(rank=102); GTEx--Coexpression(rank=445); Enrichr--Queries(rank=575); ARCHS4--Coexpression(rank=1176)","983","0.26939999999999997","ReMap ChIP-seq,0.2694"
"CEBPD","0.732492620685986640","0.732492620685986640","0.732492620685986640","Activated","144","viper","144","0.732492620685986640",NA,NA,"5","ENCODE--ChIP-seq(rank=101); ReMap--ChIP-seq(rank=121); Literature--ChIP-seq(rank=140); GTEx--Coexpression(rank=453); ARCHS4--Coexpression(rank=662)","1010","0.28189999999999998","GTEx Coexpression,0.2819"
"KLF6","-0.727971930000456680","-0.727971930000456680","0.727971930000456680","Repressed","145","viper","145","0.727971930000456680",NA,NA,"4","ReMap--ChIP-seq(rank=9); GTEx--Coexpression(rank=509); ARCHS4--Coexpression(rank=645); Enrichr--Queries(rank=1084)","147","0.03030000000000000","ReMap ChIP-seq,0.0303"
"FLI1","0.724168776395842095","0.724168776395842095","0.724168776395842095","Activated","146","viper","146","0.724168776395842095",NA,NA,"6","Literature--ChIP-seq(rank=58); ENCODE--ChIP-seq(rank=61); ReMap--ChIP-seq(rank=128); ARCHS4--Coexpression(rank=201); Enrichr--Queries(rank=889); GTEx--Coexpression(rank=1072)","518","0.12350000000000001","ARCHS4 Coexpression,0.1235"
"MEF2A","0.722642317098038833","0.722642317098038833","0.722642317098038833","Activated","147","viper","147","0.722642317098038833",NA,NA,"6","Literature--ChIP-seq(rank=33); ARCHS4--Coexpression(rank=42); ReMap--ChIP-seq(rank=44); ENCODE--ChIP-seq(rank=104); Enrichr--Queries(rank=114); GTEx--Coexpression(rank=139)","128","0.02580000000000000","ARCHS4 Coexpression,0.0258"
"SRF","-0.718802869145355849","-0.718802869145355849","0.718802869145355849","Repressed","148","viper","148","0.718802869145355849",NA,NA,"6","ENCODE--ChIP-seq(rank=8); Literature--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=188); ARCHS4--Coexpression(rank=585); Enrichr--Queries(rank=673); GTEx--Coexpression(rank=1438)","307","0.06780000000000000","ENCODE ChIP-seq,0.0678"
"NFE2","0.716064413565169811","0.716064413565169811","0.716064413565169811","Activated","149","viper","149","0.716064413565169811",NA,NA,"5","ENCODE--ChIP-seq(rank=79); ReMap--ChIP-seq(rank=123); Enrichr--Queries(rank=198); ARCHS4--Coexpression(rank=366); GTEx--Coexpression(rank=602)","584","0.14099999999999999","Enrichr Queries,0.141"
"NCOA3","0.707686780863651332","0.707686780863651332","0.707686780863651332","Activated","150","viper","150","0.707686780863651332",NA,NA,"4","GTEx--Coexpression(rank=133); ReMap--ChIP-seq(rank=192); ARCHS4--Coexpression(rank=1178); Enrichr--Queries(rank=1206)","363","0.08276000000000000","GTEx Coexpression,0.08276"
"AHR","0.697910670262848476","0.697910670262848476","0.697910670262848476","Activated","151","viper","151","0.697910670262848476",NA,NA,"5","ReMap--ChIP-seq(rank=73); Literature--ChIP-seq(rank=131); ARCHS4--Coexpression(rank=518); Enrichr--Queries(rank=633); GTEx--Coexpression(rank=712)","921","0.24579999999999999","ReMap ChIP-seq,0.2458"
"MYB","-0.691167939363257933","-0.691167939363257933","0.691167939363257933","Repressed","152","viper","152","0.691167939363257933",NA,NA,"6","ReMap--ChIP-seq(rank=109); ENCODE--ChIP-seq(rank=110); Literature--ChIP-seq(rank=125); ARCHS4--Coexpression(rank=191); GTEx--Coexpression(rank=546); Enrichr--Queries(rank=604)","495","0.11730000000000000","ARCHS4 Coexpression,0.1173"
"CTCFL","-0.687665084909411584","-0.687665084909411584","0.687665084909411584","Repressed","153","viper","153","0.687665084909411584",NA,NA,"5","ENCODE--ChIP-seq(rank=72); ReMap--ChIP-seq(rank=187); Enrichr--Queries(rank=867); ARCHS4--Coexpression(rank=923); GTEx--Coexpression(rank=1112)","1459","0.56699999999999995","ARCHS4 Coexpression,0.567"
"USF2","0.680545774662960179","0.680545774662960179","0.680545774662960179","Activated","154","viper","154","0.680545774662960179",NA,NA,"5","ENCODE--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=166); Enrichr--Queries(rank=669); ARCHS4--Coexpression(rank=1050); GTEx--Coexpression(rank=1590)","1212","0.37290000000000001","ENCODE ChIP-seq,0.3729"
"BHLHE40","0.678920656887400442","0.678920656887400442","0.678920656887400442","Activated","155","viper","155","0.678920656887400442",NA,NA,"4","ENCODE--ChIP-seq(rank=10); GTEx--Coexpression(rank=122); ReMap--ChIP-seq(rank=127); ARCHS4--Coexpression(rank=528)","338","0.07592000000000000","GTEx Coexpression,0.07592"
"ZNF592","-0.676203200418553418","-0.676203200418553418","0.676203200418553418","Repressed","156","viper","156","0.676203200418553418",NA,NA,"4","ARCHS4--Coexpression(rank=287); ReMap--ChIP-seq(rank=289); Enrichr--Queries(rank=423); GTEx--Coexpression(rank=1102)","708","0.17630000000000001","ARCHS4 Coexpression,0.1763"
"WT1","0.674861951434738261","0.674861951434738261","0.674861951434738261","Activated","157","viper","157","0.674861951434738261",NA,NA,"4","Literature--ChIP-seq(rank=17); Enrichr--Queries(rank=1100); GTEx--Coexpression(rank=1200); ARCHS4--Coexpression(rank=1203)","443","0.10370000000000000","Literature ChIP-seq,0.1037"
