"Dataset","Analysis_Name","Scope_Group_Column","Scope_Group_Value","Target_Gene","Feature_ID","GeneID","Symbol","Ensembl","Entrez","Biotype","Expression_Mean_Log2_TPM_Plus_1","Expression_SD_Log2_TPM_Plus_1","Correlation","Abs_Correlation","P.Value","adj.P.Val","Samples_Used","Correlation_Method"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000185650","ENSG00000185650","ZFP36L1","ENSG00000185650","677","protein_coding","6.6705514263360923266","1.0095403174759833842","0.5706914344685243","0.5706914344685243","0.01338428134882333787880615005860818200744688510894775390625000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000152518","ENSG00000152518","ZFP36L2","ENSG00000152518","678","protein_coding","8.0828341934702265803","1.0153845471884686003","0.5706914344685243","0.5706914344685243","0.01338428134882333787880615005860818200744688510894775390625000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000131969","ENSG00000131969","ABHD12B","ENSG00000131969","145447","protein_coding","0.3606291731777639953","0.6571722660818688500","0.5686274509803922","0.5686274509803922","0.01380043761172547109317143565476726507768034934997558593750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000181004","ENSG00000181004","BBS12","ENSG00000181004","166379","protein_coding","0.8387884038506745465","0.3987688105974357411","0.5686274509803922","0.5686274509803922","0.01380043761172547109317143565476726507768034934997558593750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000104979","ENSG00000104979","C19orf53","ENSG00000104979","28974","protein_coding","5.3041282587153411043","0.7746462903785122922","0.5686274509803922","0.5686274509803922","0.01380043761172547109317143565476726507768034934997558593750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000135535","ENSG00000135535","CD164","ENSG00000135535","8763","protein_coding","6.2170564328818365141","0.9497657037465776497","0.5686274509803922","0.5686274509803922","0.01380043761172547109317143565476726507768034934997558593750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000122877","ENSG00000122877","EGR2","ENSG00000122877","1959","protein_coding","3.0646250397376846308","1.2386086420892732374","0.5686274509803922","0.5686274509803922","0.01380043761172547109317143565476726507768034934997558593750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000185897","ENSG00000185897","FFAR3","ENSG00000185897","2865","protein_coding","0.5510012893484311780","0.4618113198792362373","0.5686274509803922","0.5686274509803922","0.01380043761172547109317143565476726507768034934997558593750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000280680","ENSG00000280680","HHAT","ENSG00000280680","55733","protein_coding","0.0890106346355127309","0.0508019873600093208","0.5686274509803922","0.5686274509803922","0.01380043761172547109317143565476726507768034934997558593750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000111911","ENSG00000111911","HINT3","ENSG00000111911","135114","protein_coding","3.0341353751185042853","0.7324588144378848531","0.5686274509803922","0.5686274509803922","0.01380043761172547109317143565476726507768034934997558593750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000169876","ENSG00000169876","MUC17","ENSG00000169876","140453","protein_coding","1.0256362228496120892","1.1999515422455762081","0.5686274509803922","0.5686274509803922","0.01380043761172547109317143565476726507768034934997558593750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000120708","ENSG00000120708","TGFBI","ENSG00000120708","7045","protein_coding","5.4316927351027848303","1.3165458982659914433","0.5686274509803922","0.5686274509803922","0.01380043761172547109317143565476726507768034934997558593750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000160183","ENSG00000160183","TMPRSS3","ENSG00000160183","64699","protein_coding","1.0159190927852028707","0.5168123673834206233","0.5686274509803922","0.5686274509803922","0.01380043761172547109317143565476726507768034934997558593750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000125753","ENSG00000125753","VASP","ENSG00000125753","7408","protein_coding","4.6752639977412533412","0.9597988460347469664","0.5686274509803922","0.5686274509803922","0.01380043761172547109317143565476726507768034934997558593750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000162552","ENSG00000162552","WNT4","ENSG00000162552","54361","protein_coding","0.6753130435887197969","0.3059281909684788414","0.5686274509803922","0.5686274509803922","0.01380043761172547109317143565476726507768034934997558593750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000128245","ENSG00000128245","YWHAH","ENSG00000128245","7533","protein_coding","5.1125728923614248700","0.8351247628848336158","0.5686274509803922","0.5686274509803922","0.01380043761172547109317143565476726507768034934997558593750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000167754","ENSG00000167754","KLK5","ENSG00000167754","25818","protein_coding","0.0100596008468624293","0.0218891817219223177","0.5681996012349100","0.5681996012349100","0.01388797811332282729213094540909878560341894626617431640625000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000123407","ENSG00000123407","HOXC12","ENSG00000123407","3228","protein_coding","0.1144161331956328742","0.2988131284212983130","0.5681325618953569","0.5681325618953569","0.01390173467767272762196650859323199256323277950286865234375000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
