"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TCF7","2.5038941033367567712","2.5038941033367567712","0.012283479315719023766684259157955239061266183853149414062500","HVL_TOR10=2.504","Activated","49","collectri","49","2.5038941033367567712",NA,"5","Literature--ChIP-seq(rank=91); Enrichr--Queries(rank=163); ARCHS4--Coexpression(rank=192); ReMap--ChIP-seq(rank=251); GTEx--Coexpression(rank=968)","449","0.116099999999999995","Enrichr Queries,0.1161"
"CEBPG","2.5022777848915356280","2.5022777848915356280","0.012339706248667342558533732699288520961999893188476562500000","HVL_TOR10=2.502","Activated","50","collectri","50","2.5022777848915356280",NA,"4","ReMap--ChIP-seq(rank=236); ARCHS4--Coexpression(rank=351); Enrichr--Queries(rank=376); GTEx--Coexpression(rank=1381)","769","0.215600000000000014","ARCHS4 Coexpression,0.2156"
"MSC","2.4915094453226718230","-2.4915094453226718230","0.012720158492901291469312496928978362120687961578369140625000","HVL_TOR10=-2.492","Repressed","51","collectri","51","2.4915094453226718230",NA,"3","GTEx--Coexpression(rank=149); ARCHS4--Coexpression(rank=416); Enrichr--Queries(rank=434)","365","0.092719999999999997","GTEx Coexpression,0.09272"
"TBPL2","2.4895021206437828454","2.4895021206437828454","0.012792215538279565895107836581701121758669614791870117187500","HVL_TOR10=2.49","Activated","52","collectri","52","2.4895021206437828454",NA,"2","GTEx--Coexpression(rank=335); ARCHS4--Coexpression(rank=1580)","749","0.208499999999999991","GTEx Coexpression,0.2085"
"FEZF2","2.4888630210229916173","-2.4888630210229916173","0.012815233023259332487131523237167129991576075553894042968750","HVL_TOR10=-2.489","Repressed","53","collectri","53","2.4888630210229916173",NA,"3","GTEx--Coexpression(rank=353); ARCHS4--Coexpression(rank=1073); Enrichr--Queries(rank=1237)","779","0.219700000000000006","GTEx Coexpression,0.2197"
"IKZF4","2.4789497277706056266","2.4789497277706056266","0.013176987689982495866036771303697605617344379425048828125000","HVL_TOR10=2.479","Activated","54","collectri","54","2.4789497277706056266",NA,"3","ARCHS4--Coexpression(rank=263); Enrichr--Queries(rank=557); GTEx--Coexpression(rank=1072)","604","0.161500000000000005","ARCHS4 Coexpression,0.1615"
"TFDP1","2.4773448868379790433","-2.4773448868379790433","0.013236392908953845820585470960395468864589929580688476562500","HVL_TOR10=-2.477","Repressed","55","collectri","55","2.4773448868379790433",NA,"4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=19); ReMap--ChIP-seq(rank=20)","8","0.002489000000000000","GTEx Coexpression,0.002489"
"FOXQ1","2.4767922580715788783","2.4767922580715788783","0.013256903898624170304310077028731029713526368141174316406250","HVL_TOR10=2.477","Activated","56","collectri","56","2.4767922580715788783",NA,"3","GTEx--Coexpression(rank=258); Enrichr--Queries(rank=437); ARCHS4--Coexpression(rank=466)","600","0.160500000000000004","GTEx Coexpression,0.1605"
"ZFHX3","2.4577820226648494639","2.4577820226648494639","0.013979799744777246170435169858592416858300566673278808593750","HVL_TOR10=2.458","Activated","57","collectri","57","2.4577820226648494639",NA,"3","GTEx--Coexpression(rank=857); ARCHS4--Coexpression(rank=872); Enrichr--Queries(rank=1099)","1375","0.533299999999999996","GTEx Coexpression,0.5333"
"FEV","2.4469952738134317372","2.4469952738134317372","0.014405272798264852004979097443992941407486796379089355468750","HVL_TOR10=2.447","Activated","58","collectri","58","2.4469952738134317372",NA,"3","ARCHS4--Coexpression(rank=62); GTEx--Coexpression(rank=93); Enrichr--Queries(rank=374)","148","0.038080000000000003","ARCHS4 Coexpression,0.03808"
"ARID3B","2.4396445538683129151","-2.4396445538683129151","0.014701719449736652678417669903865316882729530334472656250000","HVL_TOR10=-2.44","Repressed","59","collectri","59","2.4396445538683129151",NA,"2","ARCHS4--Coexpression(rank=259); GTEx--Coexpression(rank=732)","596","0.159099999999999991","ARCHS4 Coexpression,0.1591"
"ZNF202","2.4208965993345068490","2.4208965993345068490","0.015482280451201195503596608205043594352900981903076171875000","HVL_TOR10=2.421","Activated","60","collectri","60","2.4208965993345068490",NA,"3","ARCHS4--Coexpression(rank=77); Enrichr--Queries(rank=272); GTEx--Coexpression(rank=1510)","186","0.047300000000000002","ARCHS4 Coexpression,0.0473"
"ZBED1","2.4044143824483596994","-2.4044143824483596994","0.016198400107423120697358598363280179910361766815185546875000","HVL_TOR10=-2.404","Repressed","61","collectri","61","2.4044143824483596994",NA,"4","ReMap--ChIP-seq(rank=248); Enrichr--Queries(rank=642); GTEx--Coexpression(rank=1131); ARCHS4--Coexpression(rank=1373)","1281","0.457299999999999984","Enrichr Queries,0.4573"
