"TF","HT55","SW948","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"NANOG","-0.218071672572304587","2.47474097753839306","1.1283346524830442092","1.3464063250553489","Activated","130","viper","130","1.3464063250553489",NA,NA,"6","Literature--ChIP-seq(rank=21); ENCODE--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=255); Enrichr--Queries(rank=999); ARCHS4--Coexpression(rank=1313); GTEx--Coexpression(rank=1495)","464","0.12800000000000000","Literature ChIP-seq,0.128"
"BACH2","-0.016504770594194130","2.65618173898891019","1.3198384841973580528","1.3363432547915521","Activated","131","viper","131","1.3363432547915521",NA,NA,"4","ReMap--ChIP-seq(rank=160); Enrichr--Queries(rank=348); GTEx--Coexpression(rank=599); ARCHS4--Coexpression(rank=643)","824","0.24790000000000001","Enrichr Queries,0.2479"
"NFYB","-0.855912116308755744","1.80827712631567783","0.4761825050034610429","1.3320946213122169","Activated","132","viper","132","1.3320946213122169",NA,NA,"5","ENCODE--ChIP-seq(rank=79); ReMap--ChIP-seq(rank=264); GTEx--Coexpression(rank=300); Enrichr--Queries(rank=832); ARCHS4--Coexpression(rank=1238)","664","0.18670000000000000","GTEx Coexpression,0.1867"
"IRF4","-1.606060184217964038","1.05715646156683829","-0.2744518613255628736","1.3316083228924012","Repressed","133","viper","133","1.3316083228924012",NA,NA,"5","ReMap--ChIP-seq(rank=29); ARCHS4--Coexpression(rank=76); ENCODE--ChIP-seq(rank=105); Enrichr--Queries(rank=564); GTEx--Coexpression(rank=724)","166","0.04668000000000000","ARCHS4 Coexpression,0.04668"
"POU5F1","-1.718320393216048236","0.94405369067112588","-0.3871333512724611792","1.3311870419435872","Repressed","134","viper","134","1.3311870419435872",NA,NA,"5","Literature--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=268); GTEx--Coexpression(rank=411); ARCHS4--Coexpression(rank=776); Enrichr--Queries(rank=969)","618","0.17069999999999999","Literature ChIP-seq,0.1707"
"ASCL1","-0.419985659975308179","-2.22297102068990560","-1.3214783403326069156","1.3214783403326069","Repressed","135","viper","135","1.3214783403326069",NA,NA,"4","ReMap--ChIP-seq(rank=171); ARCHS4--Coexpression(rank=739); Enrichr--Queries(rank=895); GTEx--Coexpression(rank=1197)","1256","0.45390000000000003","ARCHS4 Coexpression,0.4539"
"NR3C1","0.730459848114605848","-1.90778701432222086","-0.5886635831038075084","1.3191234312184132","Repressed","136","viper","136","1.3191234312184132",NA,NA,"6","ENCODE--ChIP-seq(rank=34); Literature--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=98); ARCHS4--Coexpression(rank=151); Enrichr--Queries(rank=463); GTEx--Coexpression(rank=1142)","343","0.09275000000000001","ARCHS4 Coexpression,0.09275"
"JUNB","0.462179113836184818","2.16876249257050091","1.3154708032033428644","1.3154708032033429","Activated","137","viper","137","1.3154708032033429",NA,NA,"4","GTEx--Coexpression(rank=11); ARCHS4--Coexpression(rank=13); ReMap--ChIP-seq(rank=39); Enrichr--Queries(rank=127)","28","0.00684500000000000","GTEx Coexpression,0.006845"
"CEBPD","2.263422456202741184","-0.36705666142819926","0.9481828973872710176","1.3152395588154702","Activated","138","viper","138","1.3152395588154702",NA,NA,"5","GTEx--Coexpression(rank=20); ARCHS4--Coexpression(rank=36); ENCODE--ChIP-seq(rank=60); Literature--ChIP-seq(rank=122); ReMap--ChIP-seq(rank=145)","48","0.01245000000000000","GTEx Coexpression,0.01245"
"PAX6","0.635816417176056747","1.98532093113727526","1.3105686741566660025","1.3105686741566660","Activated","139","viper","139","1.3105686741566660",NA,NA,"5","Literature--ChIP-seq(rank=137); ReMap--ChIP-seq(rank=242); GTEx--Coexpression(rank=277); ARCHS4--Coexpression(rank=371); Enrichr--Queries(rank=768)","622","0.17240000000000000","GTEx Coexpression,0.1724"
