"TF","HVL_HUB098","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"IRF1","3.12861648142957316","3.12861648142957316","3.12861648142957316","Activated","80","viper","80","3.12861648142957316",NA,NA,"6","ReMap--ChIP-seq(rank=49); ENCODE--ChIP-seq(rank=83); Literature--ChIP-seq(rank=122); Enrichr--Queries(rank=265); ARCHS4--Coexpression(rank=433); GTEx--Coexpression(rank=548)","595","0.16500000000000001","ReMap ChIP-seq,0.165"
"GATA3","3.09602971121240245","3.09602971121240245","3.09602971121240245","Activated","81","viper","81","3.09602971121240245",NA,NA,"6","ENCODE--ChIP-seq(rank=10); Literature--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=119); Enrichr--Queries(rank=217); ARCHS4--Coexpression(rank=845); GTEx--Coexpression(rank=891)","340","0.08475000000000001","ENCODE ChIP-seq,0.08475"
"TCF7","3.03420384329798409","3.03420384329798409","3.03420384329798409","Activated","82","viper","82","3.03420384329798409",NA,NA,"5","Literature--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=183); Enrichr--Queries(rank=427); ARCHS4--Coexpression(rank=769); GTEx--Coexpression(rank=818)","945","0.30409999999999998","Enrichr Queries,0.3041"
"SPIB","3.02690282768402108","3.02690282768402108","3.02690282768402108","Activated","83","viper","83","3.02690282768402108",NA,NA,"4","GTEx--Coexpression(rank=62); ReMap--ChIP-seq(rank=221); ARCHS4--Coexpression(rank=988); Enrichr--Queries(rank=1121)","149","0.03858000000000000","GTEx Coexpression,0.03858"
"THAP11","2.99887795966660731","2.99887795966660731","2.99887795966660731","Activated","84","viper","84","2.99887795966660731",NA,NA,"5","Literature--ChIP-seq(rank=161); ReMap--ChIP-seq(rank=247); ARCHS4--Coexpression(rank=454); GTEx--Coexpression(rank=922); Enrichr--Queries(rank=1095)","887","0.27889999999999998","ARCHS4 Coexpression,0.2789"
"CLOCK","2.99508079950597317","2.99508079950597317","2.99508079950597317","Activated","85","viper","85","2.99508079950597317",NA,NA,"5","Literature--ChIP-seq(rank=101); ARCHS4--Coexpression(rank=172); ReMap--ChIP-seq(rank=178); Enrichr--Queries(rank=1070); GTEx--Coexpression(rank=1470)","404","0.10570000000000000","ARCHS4 Coexpression,0.1057"
"KLF13","2.99409242764628747","2.99409242764628747","2.99409242764628747","Activated","86","viper","86","2.99409242764628747",NA,NA,"4","ReMap--ChIP-seq(rank=87); Enrichr--Queries(rank=187); GTEx--Coexpression(rank=751); ARCHS4--Coexpression(rank=929)","502","0.13320000000000001","Enrichr Queries,0.1332"
"CEBPD","2.96360578688086029","2.96360578688086029","2.96360578688086029","Activated","87","viper","87","2.96360578688086029",NA,NA,"5","Literature--ChIP-seq(rank=38); ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=176); GTEx--Coexpression(rank=186); ARCHS4--Coexpression(rank=239)","441","0.11570000000000000","GTEx Coexpression,0.1157"
"HIF1A","2.95099674986822036","2.95099674986822036","2.95099674986822036","Activated","88","viper","88","2.95099674986822036",NA,NA,"5","ARCHS4--Coexpression(rank=36); Literature--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=99); GTEx--Coexpression(rank=456); Enrichr--Queries(rank=578)","79","0.02211000000000000","ARCHS4 Coexpression,0.02211"
"E2F2","-2.95046628734004246","-2.95046628734004246","2.95046628734004246","Repressed","89","viper","89","2.95046628734004246",NA,NA,"3","ARCHS4--Coexpression(rank=6); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=823)","12","0.00368600000000000","ARCHS4 Coexpression,0.003686"
"SPI1","2.92118209248190031","2.92118209248190031","2.92118209248190031","Activated","90","viper","90","2.92118209248190031",NA,NA,"6","Literature--ChIP-seq(rank=78); ENCODE--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=151); ARCHS4--Coexpression(rank=802); GTEx--Coexpression(rank=876); Enrichr--Queries(rank=1292)","1267","0.47560000000000002","Literature ChIP-seq,0.4756"
"PROX1","2.89010628629303090","2.89010628629303090","2.89010628629303090","Activated","91","viper","91","2.89010628629303090",NA,NA,"4","ReMap--ChIP-seq(rank=130); Enrichr--Queries(rank=272); ARCHS4--Coexpression(rank=724); GTEx--Coexpression(rank=1240)","670","0.19370000000000001","Enrichr Queries,0.1937"
"RELB","2.88369756744031891","2.88369756744031891","2.88369756744031891","Activated","92","viper","92","2.88369756744031891",NA,NA,"4","ReMap--ChIP-seq(rank=83); ARCHS4--Coexpression(rank=161); Enrichr--Queries(rank=227); GTEx--Coexpression(rank=561)","385","0.09889000000000001","ARCHS4 Coexpression,0.09889"
"AHR","2.86470507962713583","2.86470507962713583","2.86470507962713583","Activated","93","viper","93","2.86470507962713583",NA,NA,"5","Literature--ChIP-seq(rank=44); Enrichr--Queries(rank=60); ARCHS4--Coexpression(rank=69); GTEx--Coexpression(rank=84); ReMap--ChIP-seq(rank=259)","167","0.04238000000000000","ARCHS4 Coexpression,0.04238"
"ETV1","2.84947105330226158","2.84947105330226158","2.84947105330226158","Activated","94","viper","94","2.84947105330226158",NA,NA,"4","ReMap--ChIP-seq(rank=33); ARCHS4--Coexpression(rank=222); Enrichr--Queries(rank=244); GTEx--Coexpression(rank=524)","424","0.11110000000000000","ReMap ChIP-seq,0.1111"
"MITF","2.83536443993394061","2.83536443993394061","2.83536443993394061","Activated","95","viper","95","2.83536443993394061",NA,NA,"5","Literature--ChIP-seq(rank=23); Enrichr--Queries(rank=90); ReMap--ChIP-seq(rank=170); ARCHS4--Coexpression(rank=245); GTEx--Coexpression(rank=1114)","260","0.06410000000000000","Enrichr Queries,0.0641"
"STAT1","2.82989475255813394","2.82989475255813394","2.82989475255813394","Activated","96","viper","96","2.82989475255813394",NA,NA,"6","ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=27); ENCODE--ChIP-seq(rank=38); Literature--ChIP-seq(rank=125); ARCHS4--Coexpression(rank=189); Enrichr--Queries(rank=271)","58","0.01680000000000000","GTEx Coexpression,0.0168"
"MAFF","2.75494614985640096","2.75494614985640096","2.75494614985640096","Activated","97","viper","97","2.75494614985640096",NA,NA,"5","ENCODE--ChIP-seq(rank=88); GTEx--Coexpression(rank=118); Enrichr--Queries(rank=122); ReMap--ChIP-seq(rank=169); ARCHS4--Coexpression(rank=1275)","297","0.07343000000000000","GTEx Coexpression,0.07343"
"E2F3","-2.70201337942137076","-2.70201337942137076","2.70201337942137076","Repressed","98","viper","98","2.70201337942137076",NA,NA,"3","Enrichr--Queries(rank=32); ARCHS4--Coexpression(rank=119); GTEx--Coexpression(rank=1022)","82","0.02279000000000000","Enrichr Queries,0.02279"
"EHF","2.68964283500508961","2.68964283500508961","2.68964283500508961","Activated","99","viper","99","2.68964283500508961",NA,NA,"4","ARCHS4--Coexpression(rank=52); Enrichr--Queries(rank=97); ReMap--ChIP-seq(rank=187); GTEx--Coexpression(rank=192)","122","0.03194000000000000","ARCHS4 Coexpression,0.03194"
"SMAD3","2.65778145367153940","2.65778145367153940","2.65778145367153940","Activated","100","viper","100","2.65778145367153940",NA,NA,"5","Literature--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=26); Enrichr--Queries(rank=222); ARCHS4--Coexpression(rank=244); GTEx--Coexpression(rank=332)","347","0.08754000000000001","ReMap ChIP-seq,0.08754"
"SP3","2.65096108662091412","2.65096108662091412","2.65096108662091412","Activated","101","viper","101","2.65096108662091412",NA,NA,"3","Enrichr--Queries(rank=1027); ARCHS4--Coexpression(rank=1293); GTEx--Coexpression(rank=1327)","1561","0.73150000000000004","Enrichr Queries,0.7315"
"ESRRA","2.60824513266717606","2.60824513266717606","2.60824513266717606","Activated","102","viper","102","2.60824513266717606",NA,NA,"5","ENCODE--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=118); Enrichr--Queries(rank=992); ARCHS4--Coexpression(rank=1239); GTEx--Coexpression(rank=1457)","1125","0.39729999999999999","ReMap ChIP-seq,0.3973"
"ZBTB7A","2.56311725961698444","2.56311725961698444","2.56311725961698444","Activated","103","viper","103","2.56311725961698444",NA,NA,"5","ReMap--ChIP-seq(rank=25); ENCODE--ChIP-seq(rank=56); GTEx--Coexpression(rank=554); ARCHS4--Coexpression(rank=703); Enrichr--Queries(rank=757)","338","0.08418000000000000","ReMap ChIP-seq,0.08418"
"YY1","-2.55086846339255935","-2.55086846339255935","2.55086846339255935","Repressed","104","viper","104","2.55086846339255935",NA,NA,"6","ReMap--ChIP-seq(rank=32); ENCODE--ChIP-seq(rank=112); Literature--ChIP-seq(rank=146); ARCHS4--Coexpression(rank=499); GTEx--Coexpression(rank=1160); Enrichr--Queries(rank=1195)","413","0.10770000000000000","ReMap ChIP-seq,0.1077"
"RUNX1","2.54646134099276944","2.54646134099276944","2.54646134099276944","Activated","105","viper","105","2.54646134099276944",NA,NA,"5","Literature--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=96); GTEx--Coexpression(rank=383); Enrichr--Queries(rank=485); ARCHS4--Coexpression(rank=1075)","792","0.23830000000000001","GTEx Coexpression,0.2383"
"KLF5","-2.52673432792169139","-2.52673432792169139","2.52673432792169139","Repressed","106","viper","106","2.52673432792169139",NA,NA,"5","ReMap--ChIP-seq(rank=30); ARCHS4--Coexpression(rank=49); Enrichr--Queries(rank=49); Literature--ChIP-seq(rank=95); GTEx--Coexpression(rank=440)","114","0.03010000000000000","ARCHS4 Coexpression,0.0301"
"IRF9","2.51433451944969066","2.51433451944969066","2.51433451944969066","Activated","107","viper","107","2.51433451944969066",NA,NA,"4","ReMap--ChIP-seq(rank=256); ARCHS4--Coexpression(rank=341); Enrichr--Queries(rank=353); GTEx--Coexpression(rank=465)","711","0.20949999999999999","ARCHS4 Coexpression,0.2095"
"THAP1","-2.49338989561878499","-2.49338989561878499","2.49338989561878499","Repressed","108","viper","108","2.49338989561878499",NA,NA,"5","ENCODE--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=181); Enrichr--Queries(rank=1054); ARCHS4--Coexpression(rank=1567); GTEx--Coexpression(rank=1604)","1444","0.60940000000000016","ReMap ChIP-seq,0.6094"
"TCF7L2","2.45965839706667211","2.45965839706667211","2.45965839706667211","Activated","109","viper","109","2.45965839706667211",NA,NA,"6","ReMap--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=28); Literature--ChIP-seq(rank=40); Enrichr--Queries(rank=252); GTEx--Coexpression(rank=504); ARCHS4--Coexpression(rank=598)","128","0.03367000000000000","ReMap ChIP-seq,0.03367"
"BACH2","2.45251773127281103","2.45251773127281103","2.45251773127281103","Activated","110","viper","110","2.45251773127281103",NA,NA,"4","Enrichr--Queries(rank=78); ReMap--ChIP-seq(rank=196); GTEx--Coexpression(rank=744); ARCHS4--Coexpression(rank=795)","224","0.05556000000000000","Enrichr Queries,0.05556"
"ASCL1","2.42447328855467470","2.42447328855467470","2.42447328855467470","Activated","111","viper","111","2.42447328855467470",NA,NA,"4","ReMap--ChIP-seq(rank=159); GTEx--Coexpression(rank=797); Enrichr--Queries(rank=1220); ARCHS4--Coexpression(rank=1260)","1305","0.49600000000000000","GTEx Coexpression,0.496"
"MYB","-2.41754527942250874","-2.41754527942250874","2.41754527942250874","Repressed","112","viper","112","2.41754527942250874",NA,NA,"6","Enrichr--Queries(rank=16); ENCODE--ChIP-seq(rank=22); Literature--ChIP-seq(rank=30); GTEx--Coexpression(rank=61); ARCHS4--Coexpression(rank=80); ReMap--ChIP-seq(rank=103)","37","0.01140000000000000","Enrichr Queries,0.0114"
"MNT","2.35996532508223122","2.35996532508223122","2.35996532508223122","Activated","113","viper","113","2.35996532508223122",NA,NA,"4","ReMap--ChIP-seq(rank=129); GTEx--Coexpression(rank=373); Enrichr--Queries(rank=475); ARCHS4--Coexpression(rank=807)","777","0.23210000000000000","GTEx Coexpression,0.2321"
"CEBPB","2.35840953301421674","2.35840953301421674","2.35840953301421674","Activated","114","viper","114","2.35840953301421674",NA,NA,"6","ENCODE--ChIP-seq(rank=14); Literature--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=158); Enrichr--Queries(rank=328); GTEx--Coexpression(rank=555); ARCHS4--Coexpression(rank=691)","453","0.11860000000000000","ENCODE ChIP-seq,0.1186"
"FOS","2.30649013241749268","2.30649013241749268","2.30649013241749268","Activated","115","viper","115","2.30649013241749268",NA,NA,"5","ENCODE--ChIP-seq(rank=12); Enrichr--Queries(rank=149); ReMap--ChIP-seq(rank=179); GTEx--Coexpression(rank=240); ARCHS4--Coexpression(rank=594)","395","0.10170000000000001","ENCODE ChIP-seq,0.1017"
"SREBF1","2.22889066913728762","2.22889066913728762","2.22889066913728762","Activated","116","viper","116","2.22889066913728762",NA,NA,"6","ENCODE--ChIP-seq(rank=68); Literature--ChIP-seq(rank=126); ReMap--ChIP-seq(rank=133); GTEx--Coexpression(rank=508); Enrichr--Queries(rank=671); ARCHS4--Coexpression(rank=1372)","975","0.31609999999999999","GTEx Coexpression,0.3161"
"ELK1","-2.19311545350347625","-2.19311545350347625","2.19311545350347625","Repressed","117","viper","117","2.19311545350347625",NA,NA,"5","ENCODE--ChIP-seq(rank=106); Literature--ChIP-seq(rank=141); ReMap--ChIP-seq(rank=210); GTEx--Coexpression(rank=664); ARCHS4--Coexpression(rank=1252)","1160","0.41320000000000001","GTEx Coexpression,0.4132"
"NFYA","-2.18653047224231978","-2.18653047224231978","2.18653047224231978","Repressed","118","viper","118","2.18653047224231978",NA,NA,"5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=74); GTEx--Coexpression(rank=91); Enrichr--Queries(rank=724); ARCHS4--Coexpression(rank=1503)","166","0.04237000000000000","ENCODE ChIP-seq,0.04237"
"FOSL1","2.16865417102873259","2.16865417102873259","2.16865417102873259","Activated","119","viper","119","2.16865417102873259",NA,NA,"5","ARCHS4--Coexpression(rank=11); ENCODE--ChIP-seq(rank=27); Enrichr--Queries(rank=29); ReMap--ChIP-seq(rank=143); GTEx--Coexpression(rank=366)","19","0.00675700000000000","ARCHS4 Coexpression,0.006757"
"JUN","2.16842356355324561","2.16842356355324561","2.16842356355324561","Activated","120","viper","120","2.16842356355324561",NA,NA,"6","ENCODE--ChIP-seq(rank=16); Literature--ChIP-seq(rank=49); ARCHS4--Coexpression(rank=90); GTEx--Coexpression(rank=104); ReMap--ChIP-seq(rank=153); Enrichr--Queries(rank=253)","222","0.05528000000000000","ARCHS4 Coexpression,0.05528"
"ZNF217","2.13481620605241451","2.13481620605241451","2.13481620605241451","Activated","121","viper","121","2.13481620605241451",NA,NA,"6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=31); Enrichr--Queries(rank=212); ReMap--ChIP-seq(rank=288); GTEx--Coexpression(rank=820); ARCHS4--Coexpression(rank=1504)","116","0.03049000000000000","Literature ChIP-seq,0.03049"
"KLF3","2.10797355548909238","2.10797355548909238","2.10797355548909238","Activated","122","viper","122","2.10797355548909238",NA,NA,"4","Enrichr--Queries(rank=171); ReMap--ChIP-seq(rank=253); ARCHS4--Coexpression(rank=286); GTEx--Coexpression(rank=547)","463","0.12180000000000001","Enrichr Queries,0.1218"
"NR2F1","2.07831718047722003","2.07831718047722003","2.07831718047722003","Activated","123","viper","123","2.07831718047722003",NA,NA,"4","ReMap--ChIP-seq(rank=150); ARCHS4--Coexpression(rank=406); Enrichr--Queries(rank=415); GTEx--Coexpression(rank=1076)","817","0.24940000000000001","ARCHS4 Coexpression,0.2494"
"PPARG","2.07527822110482063","2.07527822110482063","2.07527822110482063","Activated","124","viper","124","2.07527822110482063",NA,NA,"5","Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=107); Enrichr--Queries(rank=123); GTEx--Coexpression(rank=132); ARCHS4--Coexpression(rank=322)","329","0.08214000000000000","GTEx Coexpression,0.08214"
"NFATC1","2.07009737617775080","2.07009737617775080","2.07009737617775080","Activated","125","viper","125","2.07009737617775080",NA,NA,"5","ENCODE--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=289); Enrichr--Queries(rank=439); ARCHS4--Coexpression(rank=591); GTEx--Coexpression(rank=813)","968","0.31269999999999998","Enrichr Queries,0.3127"
"PAX6","2.05809773155812437","2.05809773155812437","2.05809773155812437","Activated","126","viper","126","2.05809773155812437",NA,NA,"5","Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=190); GTEx--Coexpression(rank=394); ARCHS4--Coexpression(rank=624); Enrichr--Queries(rank=998)","806","0.24520000000000000","GTEx Coexpression,0.2452"
"FOXJ2","2.04689718859757397","2.04689718859757397","2.04689718859757397","Activated","127","viper","127","2.04689718859757397",NA,NA,"4","ReMap--ChIP-seq(rank=209); Enrichr--Queries(rank=561); GTEx--Coexpression(rank=680); ARCHS4--Coexpression(rank=1121)","1133","0.39960000000000001","Enrichr Queries,0.3996"
"SMAD1","2.04618516697674258","2.04618516697674258","2.04618516697674258","Activated","128","viper","128","2.04618516697674258",NA,NA,"5","Literature--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=95); Enrichr--Queries(rank=276); ARCHS4--Coexpression(rank=824); GTEx--Coexpression(rank=1302)","676","0.19660000000000000","Enrichr Queries,0.1966"
"CEBPA","2.00400568517181643","2.00400568517181643","2.00400568517181643","Activated","129","viper","129","2.00400568517181643",NA,NA,"5","Literature--ChIP-seq(rank=77); ReMap--ChIP-seq(rank=261); ARCHS4--Coexpression(rank=287); GTEx--Coexpression(rank=312); Enrichr--Queries(rank=446)","621","0.17630000000000001","ARCHS4 Coexpression,0.1763"
"ETS2","-1.95889519804998113","-1.95889519804998113","1.95889519804998113","Repressed","130","viper","130","1.95889519804998113",NA,NA,"4","Enrichr--Queries(rank=118); ARCHS4--Coexpression(rank=128); Literature--ChIP-seq(rank=150); GTEx--Coexpression(rank=616)","317","0.07862000000000000","ARCHS4 Coexpression,0.07862"
"IRF2","1.91592976820220451","1.91592976820220451","1.91592976820220451","Activated","131","viper","131","1.91592976820220451",NA,NA,"4","ReMap--ChIP-seq(rank=89); ARCHS4--Coexpression(rank=310); Enrichr--Queries(rank=379); GTEx--Coexpression(rank=559)","661","0.19040000000000001","ARCHS4 Coexpression,0.1904"
"NR2F6","-1.90612421152747458","-1.90612421152747458","1.90612421152747458","Repressed","132","viper","132","1.90612421152747458",NA,NA,"4","ReMap--ChIP-seq(rank=174); ARCHS4--Coexpression(rank=435); Enrichr--Queries(rank=665); GTEx--Coexpression(rank=675)","860","0.26719999999999999","ARCHS4 Coexpression,0.2672"
"CUX1","1.90221590554989928","1.90221590554989928","1.90221590554989928","Activated","133","viper","133","1.90221590554989928",NA,NA,"6","ENCODE--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=77); Literature--ChIP-seq(rank=90); GTEx--Coexpression(rank=103); Enrichr--Queries(rank=555); ARCHS4--Coexpression(rank=1077)","259","0.06408999999999999","GTEx Coexpression,0.06409"
"NFYB","-1.85840856053302561","-1.85840856053302561","1.85840856053302561","Repressed","134","viper","134","1.85840856053302561",NA,NA,"5","ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=196); GTEx--Coexpression(rank=402); Enrichr--Queries(rank=580)","308","0.07627000000000000","ENCODE ChIP-seq,0.07627"
"ELF1","1.85150622470032311","1.85150622470032311","1.85150622470032311","Activated","135","viper","135","1.85150622470032311",NA,NA,"5","ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=102); Literature--ChIP-seq(rank=110); ARCHS4--Coexpression(rank=122); GTEx--Coexpression(rank=886)","303","0.07494000000000001","ARCHS4 Coexpression,0.07494"
"BHLHE22","-1.85071337288630211","-1.85071337288630211","1.85071337288630211","Repressed","136","viper","136","1.85071337288630211",NA,NA,"3","ReMap--ChIP-seq(rank=127); ARCHS4--Coexpression(rank=565); GTEx--Coexpression(rank=738)","1033","0.34710000000000002","ARCHS4 Coexpression,0.3471"
"BACH1","1.83802416365527366","1.83802416365527366","1.83802416365527366","Activated","137","viper","137","1.83802416365527366",NA,NA,"6","Literature--ChIP-seq(rank=8); ENCODE--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=128); ARCHS4--Coexpression(rank=249); Enrichr--Queries(rank=463); GTEx--Coexpression(rank=1200)","194","0.04878000000000000","Literature ChIP-seq,0.04878"
"TFAP2A","1.83498621995661848","1.83498621995661848","1.83498621995661848","Activated","138","viper","138","1.83498621995661848",NA,NA,"6","ENCODE--ChIP-seq(rank=25); Literature--ChIP-seq(rank=139); Enrichr--Queries(rank=146); ReMap--ChIP-seq(rank=177); ARCHS4--Coexpression(rank=292); GTEx--Coexpression(rank=871)","399","0.10400000000000000","Enrichr Queries,0.104"
"FOXP2","-1.79809255318009820","-1.79809255318009820","1.79809255318009820","Repressed","139","viper","139","1.79809255318009820",NA,NA,"6","ENCODE--ChIP-seq(rank=39); ReMap--ChIP-seq(rank=56); Literature--ChIP-seq(rank=100); GTEx--Coexpression(rank=246); Enrichr--Queries(rank=719); ARCHS4--Coexpression(rank=1134)","562","0.15310000000000001","GTEx Coexpression,0.1531"
"MYC","-1.75778814205609413","-1.75778814205609413","1.75778814205609413","Repressed","140","viper","140","1.75778814205609413",NA,NA,"6","ReMap--ChIP-seq(rank=27); ENCODE--ChIP-seq(rank=51); Literature--ChIP-seq(rank=74); Enrichr--Queries(rank=152); GTEx--Coexpression(rank=527); ARCHS4--Coexpression(rank=692)","358","0.09091000000000000","ReMap ChIP-seq,0.09091"
"BHLHE40","-1.74830944698611801","-1.74830944698611801","1.74830944698611801","Repressed","141","viper","141","1.74830944698611801",NA,NA,"4","ReMap--ChIP-seq(rank=40); ENCODE--ChIP-seq(rank=58); GTEx--Coexpression(rank=193); ARCHS4--Coexpression(rank=346)","458","0.12010000000000000","GTEx Coexpression,0.1201"
"GATA2","-1.74181642870982922","-1.74181642870982922","1.74181642870982922","Repressed","142","viper","142","1.74181642870982922",NA,NA,"6","ENCODE--ChIP-seq(rank=7); Literature--ChIP-seq(rank=36); ARCHS4--Coexpression(rank=153); Enrichr--Queries(rank=226); ReMap--ChIP-seq(rank=231); GTEx--Coexpression(rank=285)","239","0.05932000000000000","ENCODE ChIP-seq,0.05932"
"ETS1","1.74036997485997302","1.74036997485997302","1.74036997485997302","Activated","143","viper","143","1.74036997485997302",NA,NA,"6","ENCODE--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=22); Enrichr--Queries(rank=157); Literature--ChIP-seq(rank=163); GTEx--Coexpression(rank=409); ARCHS4--Coexpression(rank=411)","275","0.06780000000000000","ENCODE ChIP-seq,0.0678"
"NRF1","-1.71443937821337666","-1.71443937821337666","1.71443937821337666","Repressed","144","viper","144","1.71443937821337666",NA,NA,"5","ENCODE--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=122); ARCHS4--Coexpression(rank=607); Enrichr--Queries(rank=689); GTEx--Coexpression(rank=983)","1079","0.37290000000000001","ARCHS4 Coexpression,0.3729"
"ZBTB11","1.69442205075669738","1.69442205075669738","1.69442205075669738","Activated","145","viper","145","1.69442205075669738",NA,NA,"4","ReMap--ChIP-seq(rank=248); ARCHS4--Coexpression(rank=1186); Enrichr--Queries(rank=1354); GTEx--Coexpression(rank=1589)","1558","0.72850000000000004","ARCHS4 Coexpression,0.7285"
"NR2C2","-1.67125441371710215","-1.67125441371710215","1.67125441371710215","Repressed","146","viper","146","1.67125441371710215",NA,NA,"5","ENCODE--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=269); Enrichr--Queries(rank=1059); ARCHS4--Coexpression(rank=1497); GTEx--Coexpression(rank=1541)","1578","0.75429999999999997","Enrichr Queries,0.7543"
"KMT2A","-1.62311184539372988","-1.62311184539372988","1.62311184539372988","Repressed","147","viper","147","1.62311184539372988",NA,NA,"3","ReMap--ChIP-seq(rank=215); ARCHS4--Coexpression(rank=638); GTEx--Coexpression(rank=1272)","1112","0.39190000000000003","ARCHS4 Coexpression,0.3919"
"NFIC","-1.62155742262523783","-1.62155742262523783","1.62155742262523783","Repressed","148","viper","148","1.62155742262523783",NA,NA,"5","ENCODE--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=42); Enrichr--Queries(rank=631); ARCHS4--Coexpression(rank=860); GTEx--Coexpression(rank=928)","529","0.14140000000000000","ReMap ChIP-seq,0.1414"
"ZFX","-1.58961595398343269","-1.58961595398343269","1.58961595398343269","Repressed","149","viper","149","1.58961595398343269",NA,NA,"5","Literature--ChIP-seq(rank=162); ReMap--ChIP-seq(rank=165); ARCHS4--Coexpression(rank=1153); GTEx--Coexpression(rank=1179); Enrichr--Queries(rank=1194)","1393","0.55559999999999998","ReMap ChIP-seq,0.5556"
"ELK4","-1.58721059951605525","-1.58721059951605525","1.58721059951605525","Repressed","150","viper","150","1.58721059951605525",NA,NA,"5","ReMap--ChIP-seq(rank=115); ENCODE--ChIP-seq(rank=117); ARCHS4--Coexpression(rank=772); Enrichr--Queries(rank=860); GTEx--Coexpression(rank=1543)","1105","0.38719999999999999","ReMap ChIP-seq,0.3872"
"ATF4","1.56552783111044280","1.56552783111044280","1.56552783111044280","Activated","151","viper","151","1.56552783111044280",NA,NA,"4","GTEx--Coexpression(rank=156); ReMap--ChIP-seq(rank=252); ARCHS4--Coexpression(rank=1068); Enrichr--Queries(rank=1315)","379","0.09708000000000000","GTEx Coexpression,0.09708"
"CREB1","1.56316376942909918","1.56316376942909918","1.56316376942909918","Activated","152","viper","152","1.56316376942909918",NA,NA,"6","ReMap--ChIP-seq(rank=34); Literature--ChIP-seq(rank=75); ENCODE--ChIP-seq(rank=87); ARCHS4--Coexpression(rank=317); Enrichr--Queries(rank=1031); GTEx--Coexpression(rank=1057)","436","0.11450000000000000","ReMap ChIP-seq,0.1145"
"ETV4","1.55648906418682054","1.55648906418682054","1.55648906418682054","Activated","153","viper","153","1.55648906418682054",NA,NA,"4","Enrichr--Queries(rank=26); GTEx--Coexpression(rank=28); ReMap--ChIP-seq(rank=189); ARCHS4--Coexpression(rank=205)","62","0.01742000000000000","GTEx Coexpression,0.01742"
"HBP1","-1.54924279391216024","-1.54924279391216024","1.54924279391216024","Repressed","154","viper","154","1.54924279391216024",NA,NA,"4","ReMap--ChIP-seq(rank=44); ARCHS4--Coexpression(rank=107); Enrichr--Queries(rank=332); GTEx--Coexpression(rank=907)","266","0.06572000000000000","ARCHS4 Coexpression,0.06572"
"ZNF740","-1.50192528929308322","-1.50192528929308322","1.50192528929308322","Repressed","155","viper","155","1.50192528929308322",NA,NA,"4","ReMap--ChIP-seq(rank=106); Enrichr--Queries(rank=883); GTEx--Coexpression(rank=1399); ARCHS4--Coexpression(rank=1531)","1051","0.35690000000000000","ReMap ChIP-seq,0.3569"
"ZNF143","1.49677982562985434","1.49677982562985434","1.49677982562985434","Activated","156","viper","156","1.49677982562985434",NA,NA,"5","ReMap--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=84); Enrichr--Queries(rank=798); GTEx--Coexpression(rank=901); ARCHS4--Coexpression(rank=1552)","448","0.11780000000000000","ReMap ChIP-seq,0.1178"
"SMAD5","-1.49048955017577822","-1.49048955017577822","1.49048955017577822","Repressed","157","viper","157","1.49048955017577822",NA,NA,"4","ReMap--ChIP-seq(rank=192); ARCHS4--Coexpression(rank=507); Enrichr--Queries(rank=797); GTEx--Coexpression(rank=1001)","963","0.31140000000000001","ARCHS4 Coexpression,0.3114"
"FOXO3","1.48186275721156768","1.48186275721156768","1.48186275721156768","Activated","158","viper","158","1.48186275721156768",NA,NA,"4","Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=214); GTEx--Coexpression(rank=444); Enrichr--Queries(rank=579)","497","0.13139999999999999","ARCHS4 Coexpression,0.1314"
