"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"GLI2","1.689330869426118653","1.689330869426118653","0.09115604081560593763278177448228234","RKO=1.689","Activated","194","collectri","194","1.689330869426118653",NA,"3","GTEx--Coexpression(rank=583); ARCHS4--Coexpression(rank=749); Enrichr--Queries(rank=751)","1133","0.36280000000000001","GTEx Coexpression,0.3628"
"NEUROD1","1.686368420179462202","1.686368420179462202","0.09172486009061218970028761532375938","RKO=1.686","Activated","195","collectri","195","1.686368420179462202",NA,"4","ReMap--ChIP-seq(rank=75); GTEx--Coexpression(rank=338); ARCHS4--Coexpression(rank=490); Enrichr--Queries(rank=1293)","786","0.21029999999999999","GTEx Coexpression,0.2103"
"POU4F1","1.676167541943042627","1.676167541943042627","0.09370537996557705417988159979358898","RKO=1.676","Activated","196","collectri","196","1.676167541943042627",NA,"3","GTEx--Coexpression(rank=56); ARCHS4--Coexpression(rank=688); Enrichr--Queries(rank=1142)","134","0.03485000000000000","GTEx Coexpression,0.03485"
"IRF2","1.669028377807475261","1.669028377807475261","0.09511175598778164042013116841189913","RKO=1.669","Activated","197","collectri","197","1.669028377807475261",NA,"4","ReMap--ChIP-seq(rank=152); ARCHS4--Coexpression(rank=362); Enrichr--Queries(rank=454); GTEx--Coexpression(rank=1176)","819","0.22239999999999999","ARCHS4 Coexpression,0.2224"
"TCF3","1.637251744635550788","1.637251744635550788","0.10157787918118463266203832517931005","RKO=1.637","Activated","198","collectri","198","1.637251744635550788",NA,"6","GTEx--Coexpression(rank=44); Literature--ChIP-seq(rank=48); ENCODE--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=140); Enrichr--Queries(rank=295); ARCHS4--Coexpression(rank=333)","105","0.02738000000000000","GTEx Coexpression,0.02738"
"HDAC1","1.635182021803214036","1.635182021803214036","0.10201089578883833219880017395553296","RKO=1.635","Activated","199","collectri","199","1.635182021803214036",NA,"0","",NA,NA,NA
"FOSB","1.620615412691777557","1.620615412691777557","0.10510014467003717109072624680266017","RKO=1.621","Activated","200","collectri","200","1.620615412691777557",NA,"3","ARCHS4--Coexpression(rank=191); Enrichr--Queries(rank=208); GTEx--Coexpression(rank=529)","476","0.11730000000000000","ARCHS4 Coexpression,0.1173"
"ZEB1","1.617944490203006236","1.617944490203006236","0.10567456105464261006954274080271716","RKO=1.618","Activated","201","collectri","201","1.617944490203006236",NA,"5","ReMap--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=93); GTEx--Coexpression(rank=210); Enrichr--Queries(rank=250); ARCHS4--Coexpression(rank=276)","526","0.13070000000000001","GTEx Coexpression,0.1307"
"FOSL1","1.614597735753862340","1.614597735753862340","0.10639783610462651142203327481183806","RKO=1.615","Activated","202","collectri","202","1.614597735753862340",NA,"5","ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=44); Enrichr--Queries(rank=46); GTEx--Coexpression(rank=82); ARCHS4--Coexpression(rank=213)","124","0.03276000000000000","Enrichr Queries,0.03276"
"MBD1","1.597827880550257929","-1.597827880550257929","0.11008128793231687636566817900529713","RKO=-1.598","Repressed","203","collectri","203","1.597827880550257929",NA,"3","Enrichr--Queries(rank=855); ARCHS4--Coexpression(rank=1505); GTEx--Coexpression(rank=1509)","1456","0.60899999999999999","Enrichr Queries,0.609"
"HIPK2","1.595840683640978863","1.595840683640978863","0.11052436750514760266383973430492915","RKO=1.596","Activated","204","collectri","204","1.595840683640978863",NA,"0","",NA,NA,NA
"NFATC4","1.595823867134544827","1.595823867134544827","0.11052812303451391151565275094981189","RKO=1.596","Activated","205","collectri","205","1.595823867134544827",NA,"3","ARCHS4--Coexpression(rank=344); Enrichr--Queries(rank=380); GTEx--Coexpression(rank=622)","789","0.21129999999999999","ARCHS4 Coexpression,0.2113"
"NRF1","1.593879911290999374","-1.593879911290999374","0.11096293465749297590949851155528449","RKO=-1.594","Repressed","206","collectri","206","1.593879911290999374",NA,"5","ENCODE--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=62); Enrichr--Queries(rank=198); ARCHS4--Coexpression(rank=900); GTEx--Coexpression(rank=1177)","566","0.14099999999999999","Enrichr Queries,0.141"
"NFATC3","1.590932253417938647","1.590932253417938647","0.11162482297063855418706168620701646","RKO=1.591","Activated","207","collectri","207","1.590932253417938647",NA,"3","Enrichr--Queries(rank=898); ARCHS4--Coexpression(rank=1156); GTEx--Coexpression(rank=1270)","1477","0.63959999999999984","Enrichr Queries,0.6396"
"BRCA1","1.590150801206986930","1.590150801206986930","0.11180081725315464680203803027325193","RKO=1.59","Activated","208","collectri","208","1.590150801206986930",NA,"0","",NA,NA,NA
"E2F5","1.588316152060261999","-1.588316152060261999","0.11221486689778893686142424712670618","RKO=-1.588","Repressed","209","collectri","209","1.588316152060261999",NA,"4","ReMap--ChIP-seq(rank=15); Enrichr--Queries(rank=38); GTEx--Coexpression(rank=718); ARCHS4--Coexpression(rank=1170)","104","0.02707000000000000","Enrichr Queries,0.02707"
"TFE3","1.586312770030398500","1.586312770030398500","0.11266837691077784266990846617773059","RKO=1.586","Activated","210","collectri","210","1.586312770030398500",NA,"3","Enrichr--Queries(rank=868); GTEx--Coexpression(rank=1421); ARCHS4--Coexpression(rank=1490)","1464","0.61819999999999997","Enrichr Queries,0.6182"
