"sig_names","p.value","statistic","p.adj","log10pvalue","stars","Method_Source","p.value.label","p.adj.label","Significance","Adjusted_Significance"
"EMT3","0.00001880853009700012601107706189385027073512901552021503448486328125000000000000000000000000000","0.1991188153372247804","0.000108245009946000719813254120627021848122240044176578521728515625000000000000000000000000000","4.725645143615263777","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c10_Tn_LEF1_ANKRD55","0.00002156340860598184063488293171761966959820711053907871246337890625000000000000000000000000000","0.1977262709467671187","0.000121617624537737577250506859627421363256871700286865234375000000000000000000000000000000000","4.666282587559441808","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"DC_05_LILRA4","0.00002316094996738298099673257490760391874573542736470699310302734375000000000000000000000000000","0.1969942647197458208","0.000128066429231411783255106806578282885311637073755264282226562500000000000000000000000000000","4.635243631596957847","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Cytokines_Li_et_al","0.00002607412691084432958049318940219052365137031301856040954589843750000000000000000000000000000","0.1957748488469564230","0.000141401995939578864524069357067048713361145928502082824707031250000000000000000000000000000","4.583790224958988802","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"TIP_Recognition_of_cancer_cells_by_T_cells_2","0.00003370730048818980573643519504933863117912551388144493103027343750000000000000000000000000000","0.1931059434421363297","0.000179348278069236329208824276548739362624473869800567626953125000000000000000000000000000000","4.472276027367132478","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Other_Glycan_Degradation","0.00003698953252957305867960891010426394132082350552082061767578125000000000000000000000000000000","-0.1921311241506001299","0.000193167558765548210385210037287606610334478318691253662109375000000000000000000000000000000","4.431921157225015229","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c1_Tex","0.00004402786229959796760261014902937404258409515023231506347656250000000000000000000000000000000","0.1902905348766698035","0.000225742857608847755741462992595813830121187493205070495605468750000000000000000000000000000","4.356272400482478879","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_04_TXNIP","0.00004648301156347478231903314060957654874073341488838195800781250000000000000000000000000000000","0.1897135672118282768","0.000234075165373212286997611775163363745377864688634872436523437500000000000000000000000000000","4.332705742428623275","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"PPAGs","0.00005237546633621838551445396015004973833129042759537696838378906250000000000000000000000000000","0.1884384801379932195","0.000259120728189712033230629462110528038465417921543121337890625000000000000000000000000000000","4.280872097174197144","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"TIP_Infiltration_of_immune_cells_into_tumors_2","0.00005512885933924537018580025460323668085038661956787109375000000000000000000000000000000000000","0.1878885200123317223","0.000268040316097710223843669785637189306726213544607162475585937500000000000000000000000000000","4.258620993332383087","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Nicotinamide_Adenine_Dinucleotide_Biosynthesis","0.00005616766562741385695415458068069369801378343254327774047851562500000000000000000000000000000","-0.1876877469852197555","0.000268462401812384870557898208787150906573515385389328002929687500000000000000000000000000000","4.250513625370784254","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"EV_Cell_2020","0.00006017403880155934733052480734016853602952323853969573974609375000000000000000000000000000000","0.1869449122637158733","0.000282817982367328962269026337850164054543711245059967041015625000000000000000000000000000000","4.220590838261288447","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_03_ISG15","0.00006454753158416744922634689096696547494502738118171691894531250000000000000000000000000000000","0.1861855163153563197","0.000298400064044839678865234100513248449715320020914077758789062500000000000000000000000000000","4.190120361296442830","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"TMEscoreA_CIR","0.00008169746285809007240331230947916196782898623496294021606445312500000000000000000000000000000","0.1836129208144046954","0.000371591685902925819746933644438513510976918041706085205078125000000000000000000000000000000","4.087791430417897054","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c5_Tisg","0.00008452326189120683112843135376124337199144065380096435546875000000000000000000000000000000000","0.1832387644815189620","0.000378342219893973462970654386694491222442593425512313842773437500000000000000000000000000000","4.073023751160466333","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Alanine__Aspartate_and_Glutamate_Metabolism","0.00010593038092246781435752656097548651814577169716358184814453125000000000000000000000000000000","-0.1807357261333611964","0.000466755740939623796001423094992333062691614031791687011718750000000000000000000000000000000","3.974979466004521012","***","IOBR::batch_cor","<0.001","<0.001","***","***"
"TCR_signaling_Pathway_Li_et_al","0.00011296370664362803454185829599154544666816946119070053100585937500000000000000000000000000000","0.1800168414937717010","0.000490088696515432313029203559295865488820709288120269775390625000000000000000000000000000000","3.947061065686187753","***","IOBR::batch_cor","<0.001","<0.001","***","***"
