"Input_Type","TF_Analysis_Name","Intersection_Name","ATF3_Found_In_Top_Candidates","Consensus_Rank","Required_Methods","Number_Of_Methods","Source_Method_Count","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Integrated_TopRank","Result_File"
"DEG","SW48","CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW48/intersections/CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","SW48","DOROTHEA_CHEA3_VIPER",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW48/intersections/DOROTHEA_CHEA3_VIPER/candidates/top10_tf_candidates.csv"
"DEG","SW48","ENRICHR_TRRUST_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW48/intersections/ENRICHR_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","SW48","LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW48/intersections/LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv"
"DEG","SW48","ORA_METHODS_DOROTHEA_TRRUST",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW48/intersections/ORA_METHODS_DOROTHEA_TRRUST/candidates/top10_tf_candidates.csv"
"DEG","SW48","SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW48/intersections/SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","SW48","WITHOUT_CHEA3",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW48/intersections/WITHOUT_CHEA3/candidates/top10_tf_candidates.csv"
"DEG","SW948","ACTIVITY_METHODS_VIPER_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW948/intersections/ACTIVITY_METHODS_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","SW948","ALL_6_METHODS",TRUE,8,"DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI",6,6,64.3333333333333,2,2,"results/ngs/GSE114012/TF_summary/deg/SW948/intersections/ALL_6_METHODS/candidates/top10_tf_candidates.csv"
"DEG","SW948","API_METHODS_CHEA3_ENRICHR",TRUE,3,"ChEA3;ENRICHR",2,6,18.5,2,2,"results/ngs/GSE114012/TF_summary/deg/SW948/intersections/API_METHODS_CHEA3_ENRICHR/candidates/top10_tf_candidates.csv"
