Pathway,PGM3 TARGET GENES,PSMB5 TARGET GENES,GTF2E2 TARGET GENES,NPM1 TARGET GENES,ZNF830 TARGET GENES,ZZZ3 TARGET GENES,CDC5L TARGET GENES,MCM3 TARGET GENES,ZNF584 TARGET GENES,PRMT5 TARGET GENES,TAFAZZIN TARGET GENES,ZNF623 TARGET GENES,ZNF101 TARGET GENES,ZNF558 TARGET GENES,ZNF547 TARGET GENES,ZSCAN5C TARGET GENES,TSHZ1 TARGET GENES,ZNF524 TARGET GENES,ALKBH3 TARGET GENES,ZNF331 TARGET GENES,CASP3 TARGET GENES,HAND1 TARGET GENES,ZNF33A TARGET GENES,RARB TARGET GENES,FOXR2 TARGET GENES,ZNF354B TARGET GENES,ZNF704 TARGET GENES,ZNF585B TARGET GENES,ZNF223 TARGET GENES,ARID3B TARGET GENES,SRPK1 TARGET GENES,ZNF236 TARGET GENES,MYBL1 TARGET GENES,ZNF581 TARGET GENES,ZFP3 TARGET GENES,ZMYM2 TARGET GENES,FOXQ1 TARGET GENES,EBNA1BP2 TARGET GENES,TASOR TARGET GENES,TERF1 TARGET GENES
CASP3 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.4666666666666667,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
HAND1 TARGET GENES,0.02028397565922921,0.02028397565922921,0.02636916835699797,0.02028397565922921,0.018255578093306288,0.008113590263691683,0.004056795131845842,0.012170385395537525,0.030425963488843813,0.008113590263691683,0.05476673427991886,0.028397565922920892,0.030425963488843813,0.016227180527383367,0.02636916835699797,0.012170385395537525,0.02028397565922921,0.030425963488843813,0.02028397565922921,0.014198782961460446,0.014198782961460446,1.0,0.02028397565922921,0.006085192697768763,0.012170385395537525,0.008113590263691683,0.004056795131845842,0.010141987829614604,0.02636916835699797,0.012170385395537525,0.014198782961460446,0.012170385395537525,0.02636916835699797,0.016227180527383367,0.02434077079107505,0.004056795131845842,0.0,0.02636916835699797,0.008113590263691683,0.014198782961460446
ZNF33A TARGET GENES,0.011450381679389313,0.019083969465648856,0.03816793893129771,0.03435114503816794,0.03816793893129771,0.03435114503816794,0.03435114503816794,0.007633587786259542,0.03816793893129771,0.015267175572519083,0.019083969465648856,0.05343511450381679,0.05343511450381679,0.05343511450381679,0.03435114503816794,0.019083969465648856,0.04580152671755725,0.03816793893129771,0.04198473282442748,0.05343511450381679,0.007633587786259542,0.03816793893129771,1.0,0.007633587786259542,0.022900763358778626,0.011450381679389313,0.003816793893129771,0.003816793893129771,0.015267175572519083,0.015267175572519083,0.026717557251908396,0.026717557251908396,0.03435114503816794,0.061068702290076333,0.030534351145038167,0.007633587786259542,0.003816793893129771,0.015267175572519083,0.011450381679389313,0.022900763358778626
RARB TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,1.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOXR2 TARGET GENES,0.01282051282051282,0.017094017094017096,0.038461538461538464,0.05128205128205128,0.05982905982905983,0.05555555555555555,0.02564102564102564,0.038461538461538464,0.03418803418803419,0.008547008547008548,0.029914529914529916,0.01282051282051282,0.04700854700854701,0.02564102564102564,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.029914529914529916,0.05982905982905983,0.017094017094017096,0.017094017094017096,0.02564102564102564,0.02564102564102564,0.021367521367521368,1.0,0.017094017094017096,0.008547008547008548,0.017094017094017096,0.017094017094017096,0.017094017094017096,0.02564102564102564,0.008547008547008548,0.03418803418803419,0.038461538461538464,0.02564102564102564,0.017094017094017096,0.0,0.008547008547008548,0.042735042735042736,0.021367521367521368
ZNF354B TARGET GENES,0.028708133971291867,0.0,0.04784688995215311,0.019138755980861243,0.019138755980861243,0.023923444976076555,0.03827751196172249,0.023923444976076555,0.0861244019138756,0.004784688995215311,0.03349282296650718,0.05741626794258373,0.11483253588516747,0.05263157894736842,0.019138755980861243,0.019138755980861243,0.03349282296650718,0.028708133971291867,0.004784688995215311,0.028708133971291867,0.0,0.019138755980861243,0.014354066985645933,0.0,0.019138755980861243,1.0,0.03349282296650718,0.009569377990430622,0.014354066985645933,0.014354066985645933,0.028708133971291867,0.014354066985645933,0.028708133971291867,0.03349282296650718,0.014354066985645933,0.0,0.004784688995215311,0.009569377990430622,0.0,0.004784688995215311
ZNF704 TARGET GENES,0.014084507042253521,0.028169014084507043,0.04225352112676056,0.028169014084507043,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.028169014084507043,0.0,0.04225352112676056,0.08450704225352113,0.09859154929577464,0.056338028169014086,0.028169014084507043,0.028169014084507043,0.07042253521126761,0.09859154929577464,0.09859154929577464,0.04225352112676056,0.0,0.028169014084507043,0.014084507042253521,0.0,0.028169014084507043,0.09859154929577464,1.0,0.014084507042253521,0.028169014084507043,0.014084507042253521,0.028169014084507043,0.028169014084507043,0.056338028169014086,0.028169014084507043,0.04225352112676056,0.014084507042253521,0.056338028169014086,0.014084507042253521,0.0,0.014084507042253521
ZNF585B TARGET GENES,0.007194244604316547,0.007194244604316547,0.014388489208633094,0.007194244604316547,0.02158273381294964,0.007194244604316547,0.02158273381294964,0.007194244604316547,0.02158273381294964,0.007194244604316547,0.02877697841726619,0.02158273381294964,0.02877697841726619,0.03597122302158273,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.014388489208633094,0.007194244604316547,0.02158273381294964,0.0,0.03597122302158273,0.007194244604316547,0.0,0.02877697841726619,0.014388489208633094,0.007194244604316547,1.0,0.05755395683453238,0.007194244604316547,0.02158273381294964,0.014388489208633094,0.02877697841726619,0.014388489208633094,0.02877697841726619,0.0,0.0,0.02158273381294964,0.0,0.02158273381294964
ZNF223 TARGET GENES,0.027439024390243903,0.009146341463414634,0.03048780487804878,0.009146341463414634,0.012195121951219513,0.021341463414634148,0.018292682926829267,0.009146341463414634,0.036585365853658534,0.006097560975609756,0.036585365853658534,0.06402439024390244,0.08231707317073171,0.07317073170731707,0.039634146341463415,0.01524390243902439,0.036585365853658534,0.036585365853658534,0.027439024390243903,0.027439024390243903,0.0,0.039634146341463415,0.012195121951219513,0.0,0.012195121951219513,0.009146341463414634,0.006097560975609756,0.024390243902439025,1.0,0.009146341463414634,0.018292682926829267,0.006097560975609756,0.01524390243902439,0.024390243902439025,0.06707317073170732,0.018292682926829267,0.0,0.024390243902439025,0.03048780487804878,0.027439024390243903
ARID3B TARGET GENES,0.015151515151515152,0.010101010101010102,0.005050505050505051,0.010101010101010102,0.015151515151515152,0.015151515151515152,0.010101010101010102,0.005050505050505051,0.005050505050505051,0.015151515151515152,0.030303030303030304,0.05555555555555555,0.020202020202020204,0.005050505050505051,0.010101010101010102,0.020202020202020204,0.010101010101010102,0.03535353535353535,0.010101010101010102,0.025252525252525252,0.0,0.030303030303030304,0.020202020202020204,0.0,0.020202020202020204,0.015151515151515152,0.005050505050505051,0.005050505050505051,0.015151515151515152,1.0,0.025252525252525252,0.005050505050505051,0.025252525252525252,0.010101010101010102,0.020202020202020204,0.0,0.0,0.0,0.020202020202020204,0.005050505050505051
SRPK1 TARGET GENES,0.024752475247524754,0.03217821782178218,0.04950495049504951,0.12623762376237624,0.024752475247524754,0.04455445544554455,0.019801980198019802,0.012376237623762377,0.012376237623762377,0.007425742574257425,0.012376237623762377,0.027227722772277228,0.04702970297029703,0.0297029702970297,0.022277227722772276,0.0024752475247524753,0.022277227722772276,0.022277227722772276,0.027227722772277228,0.024752475247524754,0.0,0.017326732673267328,0.017326732673267328,0.0,0.01485148514851485,0.01485148514851485,0.0049504950495049506,0.007425742574257425,0.01485148514851485,0.012376237623762377,1.0,0.03712871287128713,0.04950495049504951,0.03712871287128713,0.027227722772277228,0.007425742574257425,0.007425742574257425,0.022277227722772276,0.012376237623762377,0.017326732673267328
ZNF236 TARGET GENES,0.015151515151515152,0.06060606060606061,0.07954545454545454,0.06060606060606061,0.022727272727272728,0.015151515151515152,0.04924242424242424,0.015151515151515152,0.041666666666666664,0.0,0.01893939393939394,0.026515151515151516,0.07954545454545454,0.06060606060606061,0.01893939393939394,0.030303030303030304,0.06818181818181818,0.09848484848484848,0.026515151515151516,0.030303030303030304,0.0,0.022727272727272728,0.026515151515151516,0.0,0.007575757575757576,0.011363636363636364,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.003787878787878788,0.056818181818181816,1.0,0.07575757575757576,0.056818181818181816,0.026515151515151516,0.015151515151515152,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364
MYBL1 TARGET GENES,0.026970954356846474,0.04979253112033195,0.058091286307053944,0.03734439834024896,0.02074688796680498,0.022821576763485476,0.04771784232365145,0.01867219917012448,0.006224066390041493,0.006224066390041493,0.03112033195020747,0.01037344398340249,0.035269709543568464,0.02074688796680498,0.026970954356846474,0.01867219917012448,0.024896265560165973,0.026970954356846474,0.04979253112033195,0.03941908713692946,0.0,0.026970954356846474,0.01867219917012448,0.0,0.016597510373443983,0.012448132780082987,0.008298755186721992,0.008298755186721992,0.01037344398340249,0.01037344398340249,0.04149377593360996,0.04149377593360996,1.0,0.07468879668049792,0.03112033195020747,0.004149377593360996,0.004149377593360996,0.02074688796680498,0.026970954356846474,0.014522821576763486
