"TF","MVL_HUB098","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ELK4","-0.637788906361312802","-0.637788906361312802","0.637788906361312802","Repressed","179","viper","179","0.637788906361312802",NA,NA,"5","ENCODE--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=205); Enrichr--Queries(rank=1199); ARCHS4--Coexpression(rank=1393); GTEx--Coexpression(rank=1491)","1498","0.690200000000000036","ReMap ChIP-seq,0.6902"
"E2F5","0.632638111130322645","0.632638111130322645","0.632638111130322645","Activated","180","viper","180","0.632638111130322645",NA,NA,"4","Enrichr--Queries(rank=222); ReMap--ChIP-seq(rank=280); GTEx--Coexpression(rank=619); ARCHS4--Coexpression(rank=1272)","565","0.158099999999999991","Enrichr Queries,0.1581"
"PROX1","-0.629640509031600182","-0.629640509031600182","0.629640509031600182","Repressed","181","viper","181","0.629640509031600182",NA,NA,"4","ReMap--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=211); Enrichr--Queries(rank=308); GTEx--Coexpression(rank=935)","128","0.030300000000000001","ReMap ChIP-seq,0.0303"
"HHEX","0.629453033941362650","0.629453033941362650","0.629453033941362650","Activated","182","viper","182","0.629453033941362650",NA,NA,"4","ReMap--ChIP-seq(rank=187); Enrichr--Queries(rank=492); GTEx--Coexpression(rank=767); ARCHS4--Coexpression(rank=967)","1041","0.350399999999999989","Enrichr Queries,0.3504"
"PBX3","-0.626862007496477358","-0.626862007496477358","0.626862007496477358","Repressed","183","viper","183","0.626862007496477358",NA,NA,"5","ENCODE--ChIP-seq(rank=38); Enrichr--Queries(rank=68); ReMap--ChIP-seq(rank=191); ARCHS4--Coexpression(rank=373); GTEx--Coexpression(rank=748)","203","0.048430000000000001","Enrichr Queries,0.04843"
"POU5F1","0.604344487927578999","0.604344487927578999","0.604344487927578999","Activated","184","viper","184","0.604344487927578999",NA,NA,"5","Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=51); Enrichr--Queries(rank=428); GTEx--Coexpression(rank=485); ARCHS4--Coexpression(rank=622)","477","0.128000000000000003","Literature ChIP-seq,0.128"
"RUNX2","-0.603867510666379892","-0.603867510666379892","0.603867510666379892","Repressed","185","viper","185","0.603867510666379892",NA,NA,"5","ReMap--ChIP-seq(rank=5); Enrichr--Queries(rank=17); Literature--ChIP-seq(rank=42); GTEx--Coexpression(rank=146); ARCHS4--Coexpression(rank=231)","49","0.012109999999999999","Enrichr Queries,0.01211"
"GATA3","0.592552088693964252","0.592552088693964252","0.592552088693964252","Activated","186","viper","186","0.592552088693964252",NA,NA,"6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=31); Literature--ChIP-seq(rank=39); ARCHS4--Coexpression(rank=107); Enrichr--Queries(rank=231); GTEx--Coexpression(rank=359)","33","0.008475000000000000","ENCODE ChIP-seq,0.008475"
"JUN","-0.585943016139465978","-0.585943016139465978","0.585943016139465978","Repressed","187","viper","187","0.585943016139465978",NA,NA,"6","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=23); Literature--ChIP-seq(rank=44); GTEx--Coexpression(rank=180); Enrichr--Queries(rank=194); ARCHS4--Coexpression(rank=540)","145","0.033900000000000000","ENCODE ChIP-seq,0.0339"
"FOSL1","-0.566944289842930105","-0.566944289842930105","0.566944289842930105","Repressed","188","viper","188","0.566944289842930105",NA,NA,"5","ReMap--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=13); Enrichr--Queries(rank=19); GTEx--Coexpression(rank=415)","31","0.007985000000000001","ARCHS4 Coexpression,0.007985"
"ESR2","-0.565579453503245233","-0.565579453503245233","0.565579453503245233","Repressed","189","viper","189","0.565579453503245233",NA,NA,"5","Literature--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=97); ARCHS4--Coexpression(rank=410); Enrichr--Queries(rank=719); GTEx--Coexpression(rank=1092)","817","0.251800000000000024","ARCHS4 Coexpression,0.2518"
"MYBL2","0.557982266526686810","0.557982266526686810","0.557982266526686810","Activated","190","viper","190","0.557982266526686810",NA,NA,"6","ReMap--ChIP-seq(rank=105); ENCODE--ChIP-seq(rank=110); Literature--ChIP-seq(rank=138); Enrichr--Queries(rank=1289); GTEx--Coexpression(rank=1470); ARCHS4--Coexpression(rank=1471)","1046","0.353499999999999981","ReMap ChIP-seq,0.3535"
"MEF2B","0.549096945648943069","0.549096945648943069","0.549096945648943069","Activated","191","viper","191","0.549096945648943069",NA,NA,"4","ReMap--ChIP-seq(rank=198); ARCHS4--Coexpression(rank=867); Enrichr--Queries(rank=960); GTEx--Coexpression(rank=1391)","1324","0.532599999999999962","ARCHS4 Coexpression,0.5326"
"NR2C2","0.547884547807992450","0.547884547807992450","0.547884547807992450","Activated","192","viper","192","0.547884547807992450",NA,NA,"5","ENCODE--ChIP-seq(rank=108); ReMap--ChIP-seq(rank=293); Enrichr--Queries(rank=1242); ARCHS4--Coexpression(rank=1552); GTEx--Coexpression(rank=1587)","1611","0.884600000000000053","Enrichr Queries,0.8846"
"CEBPB","0.542012354244643224","0.542012354244643224","0.542012354244643224","Activated","193","viper","193","0.542012354244643224",NA,NA,"6","ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=27); Literature--ChIP-seq(rank=93); Enrichr--Queries(rank=353); GTEx--Coexpression(rank=954); ARCHS4--Coexpression(rank=1211)","168","0.040399999999999998","ReMap ChIP-seq,0.0404"
"E2F2","-0.538402537689409488","-0.538402537689409488","0.538402537689409488","Repressed","194","viper","194","0.538402537689409488",NA,NA,"3","GTEx--Coexpression(rank=1197); Enrichr--Queries(rank=1291); ARCHS4--Coexpression(rank=1459)","1538","0.744900000000000007","GTEx Coexpression,0.7449"
"E2F4","0.529461891369661153","0.529461891369661153","0.529461891369661153","Activated","195","viper","195","0.529461891369661153",NA,NA,"6","ENCODE--ChIP-seq(rank=36); Literature--ChIP-seq(rank=148); ReMap--ChIP-seq(rank=233); GTEx--Coexpression(rank=1266); Enrichr--Queries(rank=1321); ARCHS4--Coexpression(rank=1539)","938","0.305099999999999982","ENCODE ChIP-seq,0.3051"
"ELK1","-0.514452867171545258","-0.514452867171545258","0.514452867171545258","Repressed","196","viper","196","0.514452867171545258",NA,NA,"5","Literature--ChIP-seq(rank=70); ENCODE--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=284); GTEx--Coexpression(rank=1044); ARCHS4--Coexpression(rank=1534)","1170","0.426800000000000013","Literature ChIP-seq,0.4268"
"USF2","-0.512405646815880411","-0.512405646815880411","0.512405646815880411","Repressed","197","viper","197","0.512405646815880411",NA,NA,"5","ENCODE--ChIP-seq(rank=100); ReMap--ChIP-seq(rank=103); GTEx--Coexpression(rank=1091); Enrichr--Queries(rank=1095); ARCHS4--Coexpression(rank=1512)","1032","0.346799999999999997","ReMap ChIP-seq,0.3468"
"MYOD1","-0.499718119001790362","-0.499718119001790362","0.499718119001790362","Repressed","198","viper","198","0.499718119001790362",NA,NA,"5","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=157); ARCHS4--Coexpression(rank=370); GTEx--Coexpression(rank=1027); Enrichr--Queries(rank=1181)","546","0.152499999999999997","ENCODE ChIP-seq,0.1525"
"SOX10","0.493670078100683529","0.493670078100683529","0.493670078100683529","Activated","199","viper","199","0.493670078100683529",NA,NA,"4","ReMap--ChIP-seq(rank=37); GTEx--Coexpression(rank=392); Enrichr--Queries(rank=635); ARCHS4--Coexpression(rank=818)","465","0.124600000000000002","ReMap ChIP-seq,0.1246"
"STAT4","-0.480178558063892535","-0.480178558063892535","0.480178558063892535","Repressed","200","viper","200","0.480178558063892535",NA,NA,"4","Literature--ChIP-seq(rank=72); Enrichr--Queries(rank=389); ARCHS4--Coexpression(rank=775); GTEx--Coexpression(rank=1216)","877","0.277100000000000013","Enrichr Queries,0.2771"
"SPI1","-0.479451682553485303","-0.479451682553485303","0.479451682553485303","Repressed","201","viper","201","0.479451682553485303",NA,NA,"6","Literature--ChIP-seq(rank=84); ENCODE--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=1325); Enrichr--Queries(rank=1360); GTEx--Coexpression(rank=1464)","1261","0.484800000000000009","ReMap ChIP-seq,0.4848"
"FOS","-0.472704578072076553","-0.472704578072076553","0.472704578072076553","Repressed","202","viper","202","0.472704578072076553",NA,NA,"5","ReMap--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=19); GTEx--Coexpression(rank=194); Enrichr--Queries(rank=209); ARCHS4--Coexpression(rank=406)","81","0.020199999999999999","ReMap ChIP-seq,0.0202"
"RELB","0.467196833534739508","0.467196833534739508","0.467196833534739508","Activated","203","viper","203","0.467196833534739508",NA,NA,"4","ReMap--ChIP-seq(rank=139); Enrichr--Queries(rank=329); ARCHS4--Coexpression(rank=1176); GTEx--Coexpression(rank=1397)","771","0.234300000000000008","Enrichr Queries,0.2343"
"CEBPA","-0.457792638399574903","-0.457792638399574903","0.457792638399574903","Repressed","204","viper","204","0.457792638399574903",NA,NA,"5","Literature--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=161); GTEx--Coexpression(rank=224); ARCHS4--Coexpression(rank=565); Enrichr--Queries(rank=652)","506","0.139399999999999996","GTEx Coexpression,0.1394"
"PPARA","-0.456481849152975239","-0.456481849152975239","0.456481849152975239","Repressed","205","viper","205","0.456481849152975239",NA,NA,"3","Enrichr--Queries(rank=586); GTEx--Coexpression(rank=746); ARCHS4--Coexpression(rank=1124)","1155","0.417399999999999993","Enrichr Queries,0.4174"
"NFKB1","0.422318753209511066","0.422318753209511066","0.422318753209511066","Activated","206","viper","206","0.422318753209511066",NA,NA,"4","ReMap--ChIP-seq(rank=216); ARCHS4--Coexpression(rank=402); Enrichr--Queries(rank=608); GTEx--Coexpression(rank=1370)","806","0.246900000000000008","ARCHS4 Coexpression,0.2469"
"TEAD4","-0.421300768534002945","-0.421300768534002945","0.421300768534002945","Repressed","207","viper","207","0.421300768534002945",NA,NA,"6","ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=35); Literature--ChIP-seq(rank=37); Enrichr--Queries(rank=272); ARCHS4--Coexpression(rank=1173); GTEx--Coexpression(rank=1468)","441","0.117800000000000002","ReMap ChIP-seq,0.1178"
"PAX8","0.420187888471778903","0.420187888471778903","0.420187888471778903","Activated","208","viper","208","0.420187888471778903",NA,NA,"4","Enrichr--Queries(rank=215); ReMap--ChIP-seq(rank=268); ARCHS4--Coexpression(rank=343); GTEx--Coexpression(rank=658)","548","0.153100000000000014","Enrichr Queries,0.1531"
"ZBED1","0.408357336735975851","0.408357336735975851","0.408357336735975851","Activated","209","viper","209","0.408357336735975851",NA,NA,"4","ReMap--ChIP-seq(rank=278); Enrichr--Queries(rank=795); GTEx--Coexpression(rank=1420); ARCHS4--Coexpression(rank=1536)","1363","0.566200000000000037","Enrichr Queries,0.5662"
"SMAD3","-0.407937838363710670","-0.407937838363710670","0.407937838363710670","Repressed","210","viper","210","0.407937838363710670",NA,NA,"5","Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=334); Enrichr--Queries(rank=373); GTEx--Coexpression(rank=1035)","233","0.054879999999999998","Literature ChIP-seq,0.05488"
"KLF4","-0.407318265301177318","-0.407318265301177318","0.407318265301177318","Repressed","211","viper","211","0.407318265301177318",NA,NA,"5","Enrichr--Queries(rank=10); Literature--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=74); ARCHS4--Coexpression(rank=152); GTEx--Coexpression(rank=208)","27","0.007123000000000000","Enrichr Queries,0.007123"
"FLI1","-0.389623932962996855","-0.389623932962996855","0.389623932962996855","Repressed","212","viper","212","0.389623932962996855",NA,NA,"6","ENCODE--ChIP-seq(rank=118); Literature--ChIP-seq(rank=129); ReMap--ChIP-seq(rank=236); Enrichr--Queries(rank=701); ARCHS4--Coexpression(rank=736); GTEx--Coexpression(rank=1018)","1211","0.452100000000000002","ARCHS4 Coexpression,0.4521"
"KLF3","-0.378562406314400191","-0.378562406314400191","0.378562406314400191","Repressed","213","viper","213","0.378562406314400191",NA,NA,"4","GTEx--Coexpression(rank=9); ReMap--ChIP-seq(rank=114); Enrichr--Queries(rank=396); ARCHS4--Coexpression(rank=713)","20","0.005600000000000000","GTEx Coexpression,0.0056"
"NFYA","0.377573008180897840","0.377573008180897840","0.377573008180897840","Activated","214","viper","214","0.377573008180897840",NA,NA,"5","ENCODE--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=115); Enrichr--Queries(rank=779); GTEx--Coexpression(rank=794); ARCHS4--Coexpression(rank=1591)","1107","0.387199999999999989","ReMap ChIP-seq,0.3872"
"HOXB13","0.374643168542632410","0.374643168542632410","0.374643168542632410","Activated","215","viper","215","0.374643168542632410",NA,NA,"4","ReMap--ChIP-seq(rank=29); Enrichr--Queries(rank=217); GTEx--Coexpression(rank=241); ARCHS4--Coexpression(rank=463)","379","0.097640000000000005","ReMap ChIP-seq,0.09764"
"ATF2","0.372571303087282535","0.372571303087282535","0.372571303087282535","Activated","216","viper","216","0.372571303087282535",NA,NA,"5","ENCODE--ChIP-seq(rank=98); ReMap--ChIP-seq(rank=195); GTEx--Coexpression(rank=525); ARCHS4--Coexpression(rank=558); Enrichr--Queries(rank=1332)","985","0.326699999999999990","GTEx Coexpression,0.3267"
"E2F1","0.371330311059371587","0.371330311059371587","0.371330311059371587","Activated","217","viper","217","0.371330311059371587",NA,NA,"6","ENCODE--ChIP-seq(rank=83); Literature--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=147); GTEx--Coexpression(rank=1210); Enrichr--Queries(rank=1296); ARCHS4--Coexpression(rank=1455)","1275","0.494900000000000007","ReMap ChIP-seq,0.4949"
"NFE2L1","-0.364715678728260106","-0.364715678728260106","0.364715678728260106","Repressed","218","viper","218","0.364715678728260106",NA,NA,"4","ReMap--ChIP-seq(rank=238); GTEx--Coexpression(rank=747); Enrichr--Queries(rank=1233); ARCHS4--Coexpression(rank=1412)","1232","0.464799999999999991","GTEx Coexpression,0.4648"
"SP3","0.340685317941195387","0.340685317941195387","0.340685317941195387","Activated","219","viper","219","0.340685317941195387",NA,NA,"3","GTEx--Coexpression(rank=1011); Enrichr--Queries(rank=1190); ARCHS4--Coexpression(rank=1511)","1437","0.629099999999999993","GTEx Coexpression,0.6291"
"TCF7L2","-0.338960644472860839","-0.338960644472860839","0.338960644472860839","Repressed","220","viper","220","0.338960644472860839",NA,NA,"6","ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=21); Literature--ChIP-seq(rank=34); Enrichr--Queries(rank=478); GTEx--Coexpression(rank=701); ARCHS4--Coexpression(rank=805)","293","0.070709999999999995","ReMap ChIP-seq,0.07071"
"THAP11","0.334930496067876615","0.334930496067876615","0.334930496067876615","Activated","221","viper","221","0.334930496067876615",NA,NA,"5","Literature--ChIP-seq(rank=157); ReMap--ChIP-seq(rank=265); ARCHS4--Coexpression(rank=542); GTEx--Coexpression(rank=1122); Enrichr--Queries(rank=1339)","1001","0.332899999999999918","ARCHS4 Coexpression,0.3329"
"GATA2","0.330208949682302411","0.330208949682302411","0.330208949682302411","Activated","222","viper","222","0.330208949682302411",NA,NA,"6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=49); Enrichr--Queries(rank=599); GTEx--Coexpression(rank=849); ARCHS4--Coexpression(rank=1411)","69","0.016950000000000000","ENCODE ChIP-seq,0.01695"
"IRF4","-0.318339490620591636","-0.318339490620591636","0.318339490620591636","Repressed","223","viper","223","0.318339490620591636",NA,NA,"5","ENCODE--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=215); Enrichr--Queries(rank=621); ARCHS4--Coexpression(rank=640); GTEx--Coexpression(rank=1160)","1117","0.393100000000000005","ARCHS4 Coexpression,0.3931"
"BATF","-0.307251784800958438","-0.307251784800958438","0.307251784800958438","Repressed","224","viper","224","0.307251784800958438",NA,NA,"5","ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=245); ARCHS4--Coexpression(rank=487); Enrichr--Queries(rank=1064); GTEx--Coexpression(rank=1211)","923","0.299099999999999921","ARCHS4 Coexpression,0.2991"
"HINFP","0.307107240979821061","0.307107240979821061","0.307107240979821061","Activated","225","viper","225","0.307107240979821061",NA,NA,"3","ARCHS4--Coexpression(rank=143); ReMap--ChIP-seq(rank=258); GTEx--Coexpression(rank=497)","351","0.087840000000000001","ARCHS4 Coexpression,0.08784"
"CTCF","-0.288650288432443003","-0.288650288432443003","0.288650288432443003","Repressed","226","viper","226","0.288650288432443003",NA,NA,"6","ENCODE--ChIP-seq(rank=8); Literature--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=70); Enrichr--Queries(rank=1348); ARCHS4--Coexpression(rank=1461); GTEx--Coexpression(rank=1573)","282","0.067799999999999999","ENCODE ChIP-seq,0.0678"
"TCF12","0.284002317979455299","0.284002317979455299","0.284002317979455299","Activated","227","viper","227","0.284002317979455299",NA,NA,"5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=93); GTEx--Coexpression(rank=555); Enrichr--Queries(rank=670)","106","0.025420000000000002","ENCODE ChIP-seq,0.02542"
"RFX1","-0.263295032125691053","-0.263295032125691053","0.263295032125691053","Repressed","228","viper","228","0.263295032125691053",NA,NA,"4","ReMap--ChIP-seq(rank=208); Enrichr--Queries(rank=1352); ARCHS4--Coexpression(rank=1435); GTEx--Coexpression(rank=1435)","1506","0.700300000000000034","ReMap ChIP-seq,0.7003"
"YY1","-0.261742055230465731","-0.261742055230465731","0.261742055230465731","Repressed","229","viper","229","0.261742055230465731",NA,NA,"6","ENCODE--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=133); Literature--ChIP-seq(rank=139); GTEx--Coexpression(rank=1022); ARCHS4--Coexpression(rank=1068); Enrichr--Queries(rank=1358)","1203","0.447799999999999976","ReMap ChIP-seq,0.4478"
"BHLHE22","0.252603090914577333","0.252603090914577333","0.252603090914577333","Activated","230","viper","230","0.252603090914577333",NA,NA,"3","ReMap--ChIP-seq(rank=152); GTEx--Coexpression(rank=521); ARCHS4--Coexpression(rank=857)","979","0.324199999999999988","GTEx Coexpression,0.3242"
"SOX6","-0.240916758100244988","-0.240916758100244988","0.240916758100244988","Repressed","231","viper","231","0.240916758100244988",NA,NA,"4","ReMap--ChIP-seq(rank=59); Enrichr--Queries(rank=140); ARCHS4--Coexpression(rank=352); GTEx--Coexpression(rank=1415)","387","0.099720000000000003","Enrichr Queries,0.09972"
"SOX13","-0.240764102861856510","-0.240764102861856510","0.240764102861856510","Repressed","232","viper","232","0.240764102861856510",NA,NA,"4","ReMap--ChIP-seq(rank=55); GTEx--Coexpression(rank=321); ARCHS4--Coexpression(rank=379); Enrichr--Queries(rank=598)","644","0.185200000000000004","ReMap ChIP-seq,0.1852"
"NFYB","-0.240500589007582366","-0.240500589007582366","0.240500589007582366","Repressed","233","viper","233","0.240500589007582366",NA,NA,"5","ENCODE--ChIP-seq(rank=76); ReMap--ChIP-seq(rank=92); GTEx--Coexpression(rank=689); ARCHS4--Coexpression(rank=981); Enrichr--Queries(rank=1198)","951","0.309800000000000020","ReMap ChIP-seq,0.3098"
"TBX21","-0.239115150207946853","-0.239115150207946853","0.239115150207946853","Repressed","234","viper","234","0.239115150207946853",NA,NA,"4","ReMap--ChIP-seq(rank=145); ARCHS4--Coexpression(rank=571); GTEx--Coexpression(rank=810); Enrichr--Queries(rank=1000)","1042","0.350700000000000012","ARCHS4 Coexpression,0.3507"
"MEIS1","0.237813809317101499","0.237813809317101499","0.237813809317101499","Activated","235","viper","235","0.237813809317101499",NA,NA,"5","Enrichr--Queries(rank=23); Literature--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=66); GTEx--Coexpression(rank=795); ARCHS4--Coexpression(rank=852)","66","0.016379999999999999","Enrichr Queries,0.01638"
"RELA","-0.224141860411158078","-0.224141860411158078","0.224141860411158078","Repressed","236","viper","236","0.224141860411158078",NA,NA,"6","Literature--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=131); Enrichr--Queries(rank=788); GTEx--Coexpression(rank=952); ARCHS4--Coexpression(rank=1380)","102","0.024389999999999998","Literature ChIP-seq,0.02439"
"RXRA","-0.223390403775825419","-0.223390403775825419","0.223390403775825419","Repressed","237","viper","237","0.223390403775825419",NA,NA,"6","ENCODE--ChIP-seq(rank=11); Literature--ChIP-seq(rank=137); ReMap--ChIP-seq(rank=160); GTEx--Coexpression(rank=316); Enrichr--Queries(rank=913); ARCHS4--Coexpression(rank=1427)","363","0.093219999999999997","ENCODE ChIP-seq,0.09322"
"ATF1","-0.215950933674469436","-0.215950933674469436","0.215950933674469436","Repressed","238","viper","238","0.215950933674469436",NA,NA,"5","ENCODE--ChIP-seq(rank=101); ReMap--ChIP-seq(rank=259); ARCHS4--Coexpression(rank=859); Enrichr--Queries(rank=1300); GTEx--Coexpression(rank=1592)","1317","0.527599999999999958","ARCHS4 Coexpression,0.5276"
"GLI2","0.210483980682722199","0.210483980682722199","0.210483980682722199","Activated","239","viper","239","0.210483980682722199",NA,NA,"3","ARCHS4--Coexpression(rank=155); Enrichr--Queries(rank=519); GTEx--Coexpression(rank=847)","370","0.095210000000000003","ARCHS4 Coexpression,0.09521"
"GATA1","-0.202505088527987681","-0.202505088527987681","0.202505088527987681","Repressed","240","viper","240","0.202505088527987681",NA,NA,"6","Literature--ChIP-seq(rank=32); ENCODE--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=232); ARCHS4--Coexpression(rank=751); Enrichr--Queries(rank=1262); GTEx--Coexpression(rank=1480)","670","0.195099999999999996","Literature ChIP-seq,0.1951"
"ZEB2","-0.183076979318219341","-0.183076979318219341","0.183076979318219341","Repressed","241","viper","241","0.183076979318219341",NA,NA,"4","ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=263); ARCHS4--Coexpression(rank=483); GTEx--Coexpression(rank=997)","651","0.187299999999999994","Enrichr Queries,0.1873"
"NR3C1","-0.172185947558331942","-0.172185947558331942","0.172185947558331942","Repressed","242","viper","242","0.172185947558331942",NA,NA,"6","ENCODE--ChIP-seq(rank=23); Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=84); ARCHS4--Coexpression(rank=284); Enrichr--Queries(rank=416); GTEx--Coexpression(rank=1126)","612","0.174399999999999999","ARCHS4 Coexpression,0.1744"
"HOXA9","0.166623342903699206","0.166623342903699206","0.166623342903699206","Activated","243","viper","243","0.166623342903699206",NA,NA,"4","ReMap--ChIP-seq(rank=211); Enrichr--Queries(rank=220); GTEx--Coexpression(rank=369); ARCHS4--Coexpression(rank=414)","559","0.156700000000000006","Enrichr Queries,0.1567"
"MEF2C","-0.163074421432394923","-0.163074421432394923","0.163074421432394923","Repressed","244","viper","244","0.163074421432394923",NA,NA,"5","ENCODE--ChIP-seq(rank=58); Enrichr--Queries(rank=64); ReMap--ChIP-seq(rank=171); ARCHS4--Coexpression(rank=190); GTEx--Coexpression(rank=1001)","191","0.045580000000000002","Enrichr Queries,0.04558"
"MAFG","0.158383730103800829","0.158383730103800829","0.158383730103800829","Activated","245","viper","245","0.158383730103800829",NA,NA,"4","ReMap--ChIP-seq(rank=185); Enrichr--Queries(rank=716); GTEx--Coexpression(rank=1156); ARCHS4--Coexpression(rank=1480)","1295","0.510000000000000009","Enrichr Queries,0.51"
"CEBPD","0.157687749881577716","0.157687749881577716","0.157687749881577716","Activated","246","viper","246","0.157687749881577716",NA,NA,"5","Literature--ChIP-seq(rank=40); ENCODE--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=149); GTEx--Coexpression(rank=645); ARCHS4--Coexpression(rank=1051)","795","0.243900000000000006","Literature ChIP-seq,0.2439"
"ARNT","0.151795131149332491","0.151795131149332491","0.151795131149332491","Activated","247","viper","247","0.151795131149332491",NA,NA,"5","ReMap--ChIP-seq(rank=43); Literature--ChIP-seq(rank=65); ARCHS4--Coexpression(rank=868); Enrichr--Queries(rank=1042); GTEx--Coexpression(rank=1054)","522","0.144800000000000012","ReMap ChIP-seq,0.1448"
"FOXO4","0.146938602244015809","0.146938602244015809","0.146938602244015809","Activated","248","viper","248","0.146938602244015809",NA,NA,"3","Enrichr--Queries(rank=954); GTEx--Coexpression(rank=1101); ARCHS4--Coexpression(rank=1271)","1487","0.679499999999999993","Enrichr Queries,0.6795"
"BCL11A","-0.142605737654022235","-0.142605737654022235","0.142605737654022235","Repressed","249","viper","249","0.142605737654022235",NA,NA,"5","ENCODE--ChIP-seq(rank=14); GTEx--Coexpression(rank=107); Enrichr--Queries(rank=198); ReMap--ChIP-seq(rank=250); ARCHS4--Coexpression(rank=355)","277","0.066580000000000000","GTEx Coexpression,0.06658"
"BCL6","0.127651920363029719","0.127651920363029719","0.127651920363029719","Activated","250","viper","250","0.127651920363029719",NA,NA,"5","Literature--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=167); Enrichr--Queries(rank=427); ARCHS4--Coexpression(rank=764); GTEx--Coexpression(rank=922)","936","0.304099999999999981","Enrichr Queries,0.3041"
"TP73","-0.126066916239853111","-0.126066916239853111","0.126066916239853111","Repressed","251","viper","251","0.126066916239853111",NA,NA,"3","GTEx--Coexpression(rank=32); ARCHS4--Coexpression(rank=746); Enrichr--Queries(rank=1034)","79","0.019910000000000001","GTEx Coexpression,0.01991"
"SP4","0.117036717844607924","0.117036717844607924","0.117036717844607924","Activated","252","viper","252","0.117036717844607924",NA,NA,"5","ENCODE--ChIP-seq(rank=109); ReMap--ChIP-seq(rank=168); Enrichr--Queries(rank=604); ARCHS4--Coexpression(rank=861); GTEx--Coexpression(rank=1073)","1176","0.430200000000000027","Enrichr Queries,0.4302"
"TWIST1","-0.102796559790334641","-0.102796559790334641","0.102796559790334641","Repressed","253","viper","253","0.102796559790334641",NA,NA,"4","ARCHS4--Coexpression(rank=19); ReMap--ChIP-seq(rank=153); Enrichr--Queries(rank=238); GTEx--Coexpression(rank=300)","47","0.011670000000000000","ARCHS4 Coexpression,0.01167"
"ELF5","0.091844816753547970","0.091844816753547970","0.091844816753547970","Activated","254","viper","254","0.091844816753547970",NA,NA,"5","ARCHS4--Coexpression(rank=83); Literature--ChIP-seq(rank=142); ReMap--ChIP-seq(rank=150); Enrichr--Queries(rank=189); GTEx--Coexpression(rank=375)","216","0.050979999999999998","ARCHS4 Coexpression,0.05098"
"LHX2","0.084216668453410068","0.084216668453410068","0.084216668453410068","Activated","255","viper","255","0.084216668453410068",NA,NA,"4","ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=348); GTEx--Coexpression(rank=696); ARCHS4--Coexpression(rank=1267)","97","0.023570000000000001","ReMap ChIP-seq,0.02357"
"TCF3","0.079958700889742065","0.079958700889742065","0.079958700889742065","Activated","256","viper","256","0.079958700889742065",NA,NA,"6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=274); Enrichr--Queries(rank=1138); GTEx--Coexpression(rank=1217); ARCHS4--Coexpression(rank=1450)","178","0.042680000000000003","Literature ChIP-seq,0.04268"
"PBX2","0.057853464426527626","0.057853464426527626","0.057853464426527626","Activated","257","viper","257","0.057853464426527626",NA,NA,"4","ReMap--ChIP-seq(rank=39); Enrichr--Queries(rank=1100); GTEx--Coexpression(rank=1121); ARCHS4--Coexpression(rank=1443)","485","0.131300000000000000","ReMap ChIP-seq,0.1313"
