"TF","ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"SMAD4","2.385261747179947989","2.385261747179947989","2.385261747179947989","Activated","79","viper","79","2.385261747179947989",NA,NA,"5","Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=74); ARCHS4--Coexpression(rank=724); GTEx--Coexpression(rank=999); Enrichr--Queries(rank=1330)","862","0.249200000000000005","ReMap ChIP-seq,0.2492"
"CEBPG","2.384769922087625726","2.384769922087625726","2.384769922087625726","Activated","80","viper","80","2.384769922087625726",NA,NA,"4","ReMap--ChIP-seq(rank=6); Enrichr--Queries(rank=76); ARCHS4--Coexpression(rank=695); GTEx--Coexpression(rank=884)","81","0.020199999999999999","ReMap ChIP-seq,0.0202"
"SIX5","-2.379015204838405673","-2.379015204838405673","2.379015204838405673","Repressed","81","viper","81","2.379015204838405673",NA,NA,"5","ENCODE--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=249); Enrichr--Queries(rank=371); ARCHS4--Coexpression(rank=966); GTEx--Coexpression(rank=1444)","899","0.264199999999999990","Enrichr Queries,0.2642"
"MEIS1","2.375828851210552983","2.375828851210552983","2.375828851210552983","Activated","82","viper","82","2.375828851210552983",NA,NA,"5","Literature--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=207); Enrichr--Queries(rank=796); GTEx--Coexpression(rank=819); ARCHS4--Coexpression(rank=1363)","1042","0.329299999999999982","Literature ChIP-seq,0.3293"
"NANOG","2.352237629948316755","2.352237629948316755","2.352237629948316755","Activated","83","viper","83","2.352237629948316755",NA,NA,"6","ENCODE--ChIP-seq(rank=52); Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=205); GTEx--Coexpression(rank=270); Enrichr--Queries(rank=1225); ARCHS4--Coexpression(rank=1397)","622","0.168000000000000010","GTEx Coexpression,0.168"
"STAT3","2.344760484697353320","2.344760484697353320","2.344760484697353320","Activated","84","viper","84","2.344760484697353320",NA,NA,"6","Literature--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=227); Enrichr--Queries(rank=490); GTEx--Coexpression(rank=944)","47","0.012200000000000001","Literature ChIP-seq,0.0122"
"SMAD3","2.343589695232798142","2.343589695232798142","2.343589695232798142","Activated","85","viper","85","2.343589695232798142",NA,NA,"5","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=347); GTEx--Coexpression(rank=429); Enrichr--Queries(rank=507)","150","0.036589999999999998","Literature ChIP-seq,0.03659"
"MAFG","2.337296605081635281","2.337296605081635281","2.337296605081635281","Activated","86","viper","86","2.337296605081635281",NA,NA,"4","ReMap--ChIP-seq(rank=55); Enrichr--Queries(rank=93); GTEx--Coexpression(rank=413); ARCHS4--Coexpression(rank=1131)","272","0.066239999999999993","Enrichr Queries,0.06624"
"NFKB2","-2.331839434564739744","-2.331839434564739744","2.331839434564739744","Repressed","87","viper","87","2.331839434564739744",NA,NA,"4","Enrichr--Queries(rank=60); ReMap--ChIP-seq(rank=61); ARCHS4--Coexpression(rank=78); GTEx--Coexpression(rank=142)","178","0.042740000000000000","Enrichr Queries,0.04274"
"MNT","-2.286382744669681610","-2.286382744669681610","2.286382744669681610","Repressed","88","viper","88","2.286382744669681610",NA,NA,"4","ReMap--ChIP-seq(rank=114); Enrichr--Queries(rank=429); GTEx--Coexpression(rank=653); ARCHS4--Coexpression(rank=1023)","993","0.305599999999999983","Enrichr Queries,0.3056"
"KLF4","2.278942471624628041","2.278942471624628041","2.278942471624628041","Activated","89","viper","89","2.278942471624628041",NA,NA,"5","Enrichr--Queries(rank=10); GTEx--Coexpression(rank=12); Literature--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=179); ReMap--ChIP-seq(rank=228)","26","0.007123000000000000","Enrichr Queries,0.007123"
"HNF4G","2.261132807428081204","2.261132807428081204","2.261132807428081204","Activated","90","viper","90","2.261132807428081204",NA,NA,"5","ReMap--ChIP-seq(rank=42); ENCODE--ChIP-seq(rank=106); GTEx--Coexpression(rank=106); ARCHS4--Coexpression(rank=199); Enrichr--Queries(rank=863)","271","0.065960000000000005","GTEx Coexpression,0.06596"
"THAP1","-2.235902763430461349","-2.235902763430461349","2.235902763430461349","Repressed","91","viper","91","2.235902763430461349",NA,NA,"5","ENCODE--ChIP-seq(rank=109); Enrichr--Queries(rank=191); ReMap--ChIP-seq(rank=291); GTEx--Coexpression(rank=950); ARCHS4--Coexpression(rank=1079)","518","0.136000000000000010","Enrichr Queries,0.136"
"BHLHE22","-2.214184918821566761","-2.214184918821566761","2.214184918821566761","Repressed","92","viper","92","2.214184918821566761",NA,NA,"3","ReMap--ChIP-seq(rank=268); ARCHS4--Coexpression(rank=482); GTEx--Coexpression(rank=753)","972","0.296099999999999919","ARCHS4 Coexpression,0.2961"
"TCF4","2.212184607053538699","2.212184607053538699","2.212184607053538699","Activated","93","viper","93","2.212184607053538699",NA,NA,"5","ReMap--ChIP-seq(rank=50); GTEx--Coexpression(rank=107); Literature--ChIP-seq(rank=108); ARCHS4--Coexpression(rank=399); Enrichr--Queries(rank=858)","273","0.066580000000000000","GTEx Coexpression,0.06658"
"NFATC1","2.201837570540671418","2.201837570540671418","2.201837570540671418","Activated","94","viper","94","2.201837570540671418",NA,NA,"5","ARCHS4--Coexpression(rank=83); ENCODE--ChIP-seq(rank=84); Enrichr--Queries(rank=190); ReMap--ChIP-seq(rank=223); GTEx--Coexpression(rank=698)","209","0.050979999999999998","ARCHS4 Coexpression,0.05098"
"KLF6","2.197926796912911485","2.197926796912911485","2.197926796912911485","Activated","95","viper","95","2.197926796912911485",NA,NA,"4","Enrichr--Queries(rank=57); ARCHS4--Coexpression(rank=77); ReMap--ChIP-seq(rank=90); GTEx--Coexpression(rank=159)","168","0.040599999999999997","Enrichr Queries,0.0406"
"IKZF1","2.193093710426387233","2.193093710426387233","2.193093710426387233","Activated","96","viper","96","2.193093710426387233",NA,NA,"6","ReMap--ChIP-seq(rank=8); Literature--ChIP-seq(rank=79); ENCODE--ChIP-seq(rank=85); ARCHS4--Coexpression(rank=123); GTEx--Coexpression(rank=515); Enrichr--Queries(rank=574)","110","0.026939999999999999","ReMap ChIP-seq,0.02694"
"OTX2","2.171419161076729054","2.171419161076729054","2.171419161076729054","Activated","97","viper","97","2.171419161076729054",NA,NA,"4","ReMap--ChIP-seq(rank=189); GTEx--Coexpression(rank=1053); Enrichr--Queries(rank=1395); ARCHS4--Coexpression(rank=1402)","1506","0.636399999999999966","ReMap ChIP-seq,0.6364"
"ELK1","2.168906030972952870","2.168906030972952870","2.168906030972952870","Activated","98","viper","98","2.168906030972952870",NA,NA,"5","Literature--ChIP-seq(rank=20); ENCODE--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=283); GTEx--Coexpression(rank=755); ARCHS4--Coexpression(rank=1436)","483","0.121999999999999997","Literature ChIP-seq,0.122"
"IRF9","2.156226805587083462","2.156226805587083462","2.156226805587083462","Activated","99","viper","99","2.156226805587083462",NA,NA,"4","ReMap--ChIP-seq(rank=32); Enrichr--Queries(rank=115); ARCHS4--Coexpression(rank=181); GTEx--Coexpression(rank=368)","335","0.081909999999999997","Enrichr Queries,0.08191"
"ZEB2","-2.154667729131209075","-2.154667729131209075","2.154667729131209075","Repressed","100","viper","100","2.154667729131209075",NA,NA,"4","ReMap--ChIP-seq(rank=17); GTEx--Coexpression(rank=286); Enrichr--Queries(rank=638); ARCHS4--Coexpression(rank=880)","232","0.057239999999999999","ReMap ChIP-seq,0.05724"
"ONECUT1","2.143781378620337907","2.143781378620337907","2.143781378620337907","Activated","101","viper","101","2.143781378620337907",NA,NA,"4","ReMap--ChIP-seq(rank=104); GTEx--Coexpression(rank=547); ARCHS4--Coexpression(rank=942); Enrichr--Queries(rank=973)","1068","0.340399999999999980","GTEx Coexpression,0.3404"
"REL","2.138732272769499509","2.138732272769499509","2.138732272769499509","Activated","102","viper","102","2.138732272769499509",NA,NA,"3","GTEx--Coexpression(rank=11); ARCHS4--Coexpression(rank=20); Enrichr--Queries(rank=71)","25","0.006845000000000000","GTEx Coexpression,0.006845"
"MAX","2.135139840344767670","2.135139840344767670","2.135139840344767670","Activated","103","viper","103","2.135139840344767670",NA,NA,"5","ENCODE--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=262); ARCHS4--Coexpression(rank=319); GTEx--Coexpression(rank=563); Enrichr--Queries(rank=905)","714","0.195899999999999991","ARCHS4 Coexpression,0.1959"
"GFI1B","2.117823378068411699","2.117823378068411699","2.117823378068411699","Activated","104","viper","104","2.117823378068411699",NA,NA,"5","ReMap--ChIP-seq(rank=139); Literature--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=286); Enrichr--Queries(rank=748); GTEx--Coexpression(rank=770)","647","0.175699999999999995","ARCHS4 Coexpression,0.1757"
"POU4F2","2.087051059995717939","2.087051059995717939","2.087051059995717939","Activated","105","viper","105","2.087051059995717939",NA,NA,"4","ReMap--ChIP-seq(rank=160); GTEx--Coexpression(rank=592); ARCHS4--Coexpression(rank=750); Enrichr--Queries(rank=1143)","1112","0.368400000000000005","GTEx Coexpression,0.3684"
"MEF2B","2.085185910503023266","2.085185910503023266","2.085185910503023266","Activated","106","viper","106","2.085185910503023266",NA,NA,"4","Enrichr--Queries(rank=198); ReMap--ChIP-seq(rank=266); ARCHS4--Coexpression(rank=523); GTEx--Coexpression(rank=607)","537","0.140999999999999986","Enrichr Queries,0.141"
"ZNF592","2.073239526084124762","2.073239526084124762","2.073239526084124762","Activated","107","viper","107","2.073239526084124762",NA,NA,"4","ReMap--ChIP-seq(rank=148); GTEx--Coexpression(rank=369); ARCHS4--Coexpression(rank=559); Enrichr--Queries(rank=1327)","803","0.229599999999999999","GTEx Coexpression,0.2296"
"PPARG","2.069823367217235255","2.069823367217235255","2.069823367217235255","Activated","108","viper","108","2.069823367217235255",NA,NA,"5","ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=18); GTEx--Coexpression(rank=22); Enrichr--Queries(rank=303); ARCHS4--Coexpression(rank=308)","50","0.013469999999999999","ReMap ChIP-seq,0.01347"
"MEIS2","2.067594698606030956","2.067594698606030956","2.067594698606030956","Activated","109","viper","109","2.067594698606030956",NA,NA,"4","ReMap--ChIP-seq(rank=9); GTEx--Coexpression(rank=257); Enrichr--Queries(rank=673); ARCHS4--Coexpression(rank=707)","124","0.030300000000000001","ReMap ChIP-seq,0.0303"
"TCF3","-2.061892252965631389","-2.061892252965631389","2.061892252965631389","Repressed","110","viper","110","2.061892252965631389",NA,NA,"6","ENCODE--ChIP-seq(rank=22); Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=290); GTEx--Coexpression(rank=947); ARCHS4--Coexpression(rank=962); Enrichr--Queries(rank=1341)","684","0.186400000000000010","ENCODE ChIP-seq,0.1864"
"ETS1","2.046772052788842444","2.046772052788842444","2.046772052788842444","Activated","111","viper","111","2.046772052788842444",NA,NA,"6","ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=135); Literature--ChIP-seq(rank=141); ARCHS4--Coexpression(rank=166); GTEx--Coexpression(rank=297); Enrichr--Queries(rank=398)","412","0.101999999999999993","ARCHS4 Coexpression,0.102"
"GABPA","2.037970101409300572","2.037970101409300572","2.037970101409300572","Activated","112","viper","112","2.037970101409300572",NA,NA,"6","ENCODE--ChIP-seq(rank=82); Literature--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=287); Enrichr--Queries(rank=1043); ARCHS4--Coexpression(rank=1186); GTEx--Coexpression(rank=1602)","1517","0.646299999999999986","Literature ChIP-seq,0.6463"
"TAL1","2.010513430093140652","2.010513430093140652","2.010513430093140652","Activated","113","viper","113","2.010513430093140652",NA,NA,"6","Literature--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=71); ENCODE--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=504); Enrichr--Queries(rank=896); GTEx--Coexpression(rank=1064)","833","0.239100000000000007","ReMap ChIP-seq,0.2391"
"ESRRA","2.009881424447085507","2.009881424447085507","2.009881424447085507","Activated","114","viper","114","2.009881424447085507",NA,NA,"5","ReMap--ChIP-seq(rank=11); ENCODE--ChIP-seq(rank=57); Enrichr--Queries(rank=941); GTEx--Coexpression(rank=1009); ARCHS4--Coexpression(rank=1287)","152","0.037039999999999997","ReMap ChIP-seq,0.03704"
"NFE2","1.964770350818615396","1.964770350818615396","1.964770350818615396","Activated","115","viper","115","1.964770350818615396",NA,NA,"5","ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=107); Enrichr--Queries(rank=440); GTEx--Coexpression(rank=552); ARCHS4--Coexpression(rank=582)","1011","0.313400000000000012","Enrichr Queries,0.3134"
"NR4A1","1.953976277180816679","1.953976277180816679","1.953976277180816679","Activated","116","viper","116","1.953976277180816679",NA,NA,"4","ARCHS4--Coexpression(rank=3); GTEx--Coexpression(rank=5); Enrichr--Queries(rank=38); ReMap--ChIP-seq(rank=138)","6","0.001843000000000000","ARCHS4 Coexpression,0.001843"
"ETV1","1.933451708062035257","1.933451708062035257","1.933451708062035257","Activated","117","viper","117","1.933451708062035257",NA,NA,"4","ReMap--ChIP-seq(rank=168); GTEx--Coexpression(rank=647); Enrichr--Queries(rank=701); ARCHS4--Coexpression(rank=1505)","1171","0.402600000000000013","GTEx Coexpression,0.4026"
"TFAP2A","1.932695606093419283","1.932695606093419283","1.932695606093419283","Activated","118","viper","118","1.932695606093419283",NA,NA,"6","ENCODE--ChIP-seq(rank=17); Literature--ChIP-seq(rank=26); GTEx--Coexpression(rank=28); ReMap--ChIP-seq(rank=84); Enrichr--Queries(rank=675); ARCHS4--Coexpression(rank=811)","69","0.017420000000000001","GTEx Coexpression,0.01742"
"E2F5","-1.925964301614268903","-1.925964301614268903","1.925964301614268903","Repressed","119","viper","119","1.925964301614268903",NA,NA,"4","ReMap--ChIP-seq(rank=181); Enrichr--Queries(rank=471); GTEx--Coexpression(rank=635); ARCHS4--Coexpression(rank=1371)","1056","0.335500000000000020","Enrichr Queries,0.3355"
"ATF2","1.902731079453579444","1.902731079453579444","1.902731079453579444","Activated","120","viper","120","1.902731079453579444",NA,NA,"5","ENCODE--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=216); GTEx--Coexpression(rank=786); Enrichr--Queries(rank=1096); ARCHS4--Coexpression(rank=1285)","1324","0.489099999999999979","GTEx Coexpression,0.4891"
"FOSL2","1.898212565272281660","1.898212565272281660","1.898212565272281660","Activated","121","viper","121","1.898212565272281660",NA,NA,"5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=26); Enrichr--Queries(rank=66); GTEx--Coexpression(rank=443); ARCHS4--Coexpression(rank=799)","67","0.016950000000000000","ENCODE ChIP-seq,0.01695"
"YY1","-1.881007328160124947","-1.881007328160124947","1.881007328160124947","Repressed","122","viper","122","1.881007328160124947",NA,NA,"6","Literature--ChIP-seq(rank=74); ENCODE--ChIP-seq(rank=101); ReMap--ChIP-seq(rank=231); ARCHS4--Coexpression(rank=1133); GTEx--Coexpression(rank=1263); Enrichr--Queries(rank=1288)","1264","0.451199999999999990","Literature ChIP-seq,0.4512"
"ERG","1.871784473950836691","1.871784473950836691","1.871784473950836691","Activated","123","viper","123","1.871784473950836691",NA,NA,"5","GTEx--Coexpression(rank=68); Literature--ChIP-seq(rank=125); ReMap--ChIP-seq(rank=279); Enrichr--Queries(rank=605); ARCHS4--Coexpression(rank=1523)","175","0.042310000000000000","GTEx Coexpression,0.04231"
"SOX11","1.867049444082457654","1.867049444082457654","1.867049444082457654","Activated","124","viper","124","1.867049444082457654",NA,NA,"5","Literature--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=127); ARCHS4--Coexpression(rank=359); Enrichr--Queries(rank=1007); GTEx--Coexpression(rank=1582)","779","0.220500000000000002","ARCHS4 Coexpression,0.2205"
"MEF2C","1.849973019930850837","1.849973019930850837","1.849973019930850837","Activated","125","viper","125","1.849973019930850837",NA,NA,"5","ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=87); GTEx--Coexpression(rank=298); Enrichr--Queries(rank=963); ARCHS4--Coexpression(rank=1274)","680","0.185400000000000009","GTEx Coexpression,0.1854"
"WT1","1.836921565205074769","1.836921565205074769","1.836921565205074769","Activated","126","viper","126","1.836921565205074769",NA,NA,"4","Literature--ChIP-seq(rank=7); Enrichr--Queries(rank=382); GTEx--Coexpression(rank=1310); ARCHS4--Coexpression(rank=1373)","177","0.042680000000000003","Literature ChIP-seq,0.04268"
"STAT2","1.835727181122157159","1.835727181122157159","1.835727181122157159","Activated","127","viper","127","1.835727181122157159",NA,NA,"5","ENCODE--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=239); Enrichr--Queries(rank=243); GTEx--Coexpression(rank=1377)","558","0.146800000000000014","ARCHS4 Coexpression,0.1468"
"BHLHE40","-1.829319520063456217","-1.829319520063456217","1.829319520063456217","Repressed","128","viper","128","1.829319520063456217",NA,NA,"4","ARCHS4--Coexpression(rank=13); GTEx--Coexpression(rank=20); ENCODE--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=265)","28","0.007985000000000001","ARCHS4 Coexpression,0.007985"
"SIX2","1.807322452866310547","1.807322452866310547","1.807322452866310547","Activated","129","viper","129","1.807322452866310547",NA,NA,"4","ReMap--ChIP-seq(rank=211); Enrichr--Queries(rank=379); GTEx--Coexpression(rank=1180); ARCHS4--Coexpression(rank=1255)","913","0.269899999999999973","Enrichr Queries,0.2699"
"SOX13","1.776856079356116558","1.776856079356116558","1.776856079356116558","Activated","130","viper","130","1.776856079356116558",NA,NA,"4","Enrichr--Queries(rank=203); ReMap--ChIP-seq(rank=203); GTEx--Coexpression(rank=335); ARCHS4--Coexpression(rank=587)","551","0.144600000000000006","Enrichr Queries,0.1446"
"FOXP2","-1.766130907578736142","-1.766130907578736142","1.766130907578736142","Repressed","131","viper","131","1.766130907578736142",NA,NA,"6","Literature--ChIP-seq(rank=25); ENCODE--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=137); GTEx--Coexpression(rank=752); ARCHS4--Coexpression(rank=847); Enrichr--Queries(rank=1016)","571","0.152400000000000008","Literature ChIP-seq,0.1524"
"FOXO4","1.764007260570407576","1.764007260570407576","1.764007260570407576","Activated","132","viper","132","1.764007260570407576",NA,NA,"3","Enrichr--Queries(rank=131); ARCHS4--Coexpression(rank=156); GTEx--Coexpression(rank=238)","377","0.093299999999999994","Enrichr Queries,0.0933"
"CTCF","1.728127112819159761","1.728127112819159761","1.728127112819159761","Activated","133","viper","133","1.728127112819159761",NA,NA,"6","ENCODE--ChIP-seq(rank=9); Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=170); GTEx--Coexpression(rank=1004); ARCHS4--Coexpression(rank=1007); Enrichr--Queries(rank=1354)","312","0.076270000000000004","ENCODE ChIP-seq,0.07627"
"LHX2","1.727941707962251439","1.727941707962251439","1.727941707962251439","Activated","134","viper","134","1.727941707962251439",NA,NA,"4","ReMap--ChIP-seq(rank=80); Enrichr--Queries(rank=348); ARCHS4--Coexpression(rank=1342); GTEx--Coexpression(rank=1390)","860","0.247900000000000009","Enrichr Queries,0.2479"
"HNF1B","1.700848733828017378","1.700848733828017378","1.700848733828017378","Activated","135","viper","135","1.700848733828017378",NA,NA,"3","ReMap--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=185); Enrichr--Queries(rank=474)","446","0.113600000000000007","ARCHS4 Coexpression,0.1136"
"CREB1","1.687818744914478364","1.687818744914478364","1.687818744914478364","Activated","136","viper","136","1.687818744914478364",NA,NA,"6","Literature--ChIP-seq(rank=48); ENCODE--ChIP-seq(rank=108); ReMap--ChIP-seq(rank=229); Enrichr--Queries(rank=1215); GTEx--Coexpression(rank=1425); ARCHS4--Coexpression(rank=1500)","964","0.292700000000000016","Literature ChIP-seq,0.2927"
"HOXA9","1.686757789372480332","1.686757789372480332","1.686757789372480332","Activated","137","viper","137","1.686757789372480332",NA,NA,"4","GTEx--Coexpression(rank=19); ReMap--ChIP-seq(rank=257); Enrichr--Queries(rank=618); ARCHS4--Coexpression(rank=1536)","45","0.011820000000000001","GTEx Coexpression,0.01182"
"SOX9","1.667938651325301835","1.667938651325301835","1.667938651325301835","Activated","138","viper","138","1.667938651325301835",NA,NA,"5","ARCHS4--Coexpression(rank=54); ReMap--ChIP-seq(rank=58); Literature--ChIP-seq(rank=81); Enrichr--Queries(rank=290); GTEx--Coexpression(rank=1489)","136","0.033169999999999998","ARCHS4 Coexpression,0.03317"
"NEUROD1","1.633401643070405029","1.633401643070405029","1.633401643070405029","Activated","139","viper","139","1.633401643070405029",NA,NA,"4","ARCHS4--Coexpression(rank=79); ReMap--ChIP-seq(rank=141); GTEx--Coexpression(rank=735); Enrichr--Queries(rank=833)","196","0.048529999999999997","ARCHS4 Coexpression,0.04853"
"TBP","1.627334699185982503","1.627334699185982503","1.627334699185982503","Activated","140","viper","140","1.627334699185982503",NA,NA,"5","Literature--ChIP-seq(rank=36); ENCODE--ChIP-seq(rank=39); ReMap--ChIP-seq(rank=145); GTEx--Coexpression(rank=991); ARCHS4--Coexpression(rank=1459)","775","0.219500000000000001","Literature ChIP-seq,0.2195"
"LEF1","-1.622884252513332237","-1.622884252513332237","1.622884252513332237","Repressed","141","viper","141","1.622884252513332237",NA,NA,"4","ReMap--ChIP-seq(rank=178); GTEx--Coexpression(rank=332); Enrichr--Queries(rank=343); ARCHS4--Coexpression(rank=466)","743","0.206600000000000006","GTEx Coexpression,0.2066"
"ELF3","1.609520830988071749","1.609520830988071749","1.609520830988071749","Activated","142","viper","142","1.609520830988071749",NA,NA,"4","ReMap--ChIP-seq(rank=39); ARCHS4--Coexpression(rank=70); Enrichr--Queries(rank=147); GTEx--Coexpression(rank=492)","180","0.042999999999999997","ARCHS4 Coexpression,0.043"
"IRF1","1.591903943134398647","1.591903943134398647","1.591903943134398647","Activated","143","viper","143","1.591903943134398647",NA,NA,"6","Literature--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=92); ENCODE--ChIP-seq(rank=115); GTEx--Coexpression(rank=164); ARCHS4--Coexpression(rank=198); Enrichr--Queries(rank=242)","413","0.102099999999999996","GTEx Coexpression,0.1021"
"STAT6","1.577343592409305550","1.577343592409305550","1.577343592409305550","Activated","144","viper","144","1.577343592409305550",NA,NA,"4","Literature--ChIP-seq(rank=118); Enrichr--Queries(rank=217); ARCHS4--Coexpression(rank=530); GTEx--Coexpression(rank=749)","580","0.154599999999999987","Enrichr Queries,0.1546"
"PAX6","1.569015945410697777","1.569015945410697777","1.569015945410697777","Activated","145","viper","145","1.569015945410697777",NA,NA,"5","ARCHS4--Coexpression(rank=60); ReMap--ChIP-seq(rank=77); Literature--ChIP-seq(rank=137); Enrichr--Queries(rank=978); GTEx--Coexpression(rank=1060)","151","0.036859999999999997","ARCHS4 Coexpression,0.03686"
"EHF","1.565327653664909890","1.565327653664909890","1.565327653664909890","Activated","146","viper","146","1.565327653664909890",NA,NA,"4","ReMap--ChIP-seq(rank=72); Enrichr--Queries(rank=105); GTEx--Coexpression(rank=199); ARCHS4--Coexpression(rank=229)","307","0.074789999999999995","Enrichr Queries,0.07479"
"BCL6","-1.564773322377479570","-1.564773322377479570","1.564773322377479570","Repressed","147","viper","147","1.564773322377479570",NA,NA,"5","Enrichr--Queries(rank=19); Literature--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=218); GTEx--Coexpression(rank=486); ARCHS4--Coexpression(rank=655)","52","0.013530000000000000","Enrichr Queries,0.01353"
"IRF2","1.525975919100669209","1.525975919100669209","1.525975919100669209","Activated","148","viper","148","1.525975919100669209",NA,NA,"4","Enrichr--Queries(rank=223); ARCHS4--Coexpression(rank=231); ReMap--ChIP-seq(rank=260); GTEx--Coexpression(rank=613)","541","0.141899999999999998","ARCHS4 Coexpression,0.1419"
"CEBPD","1.523319157253159473","1.523319157253159473","1.523319157253159473","Activated","149","viper","149","1.523319157253159473",NA,NA,"5","ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=120); ReMap--ChIP-seq(rank=175); ARCHS4--Coexpression(rank=223); GTEx--Coexpression(rank=509)","523","0.137000000000000011","ARCHS4 Coexpression,0.137"
"ETV4","1.520528833620965026","1.520528833620965026","1.520528833620965026","Activated","150","viper","150","1.520528833620965026",NA,NA,"4","ReMap--ChIP-seq(rank=213); Enrichr--Queries(rank=523); ARCHS4--Coexpression(rank=710); GTEx--Coexpression(rank=1355)","1119","0.372499999999999998","Enrichr Queries,0.3725"
"SOX10","1.509495825843120143","1.509495825843120143","1.509495825843120143","Activated","151","viper","151","1.509495825843120143",NA,NA,"4","ReMap--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=114); Enrichr--Queries(rank=482); GTEx--Coexpression(rank=1423)","287","0.070019999999999999","ARCHS4 Coexpression,0.07002"
"RARA","1.501767058258610676","1.501767058258610676","1.501767058258610676","Activated","152","viper","152","1.501767058258610676",NA,NA,"5","Literature--ChIP-seq(rank=101); ReMap--ChIP-seq(rank=252); Enrichr--Queries(rank=386); ARCHS4--Coexpression(rank=600); GTEx--Coexpression(rank=855)","925","0.274899999999999978","Enrichr Queries,0.2749"
"ZNF639","-1.498059083432184302","-1.498059083432184302","1.498059083432184302","Repressed","153","viper","153","1.498059083432184302",NA,NA,"4","ReMap--ChIP-seq(rank=186); ARCHS4--Coexpression(rank=428); Enrichr--Queries(rank=1230); GTEx--Coexpression(rank=1555)","895","0.262900000000000023","ARCHS4 Coexpression,0.2629"
"ZKSCAN1","1.495875694112104526","1.495875694112104526","1.495875694112104526","Activated","154","viper","154","1.495875694112104526",NA,NA,"5","ENCODE--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=215); ARCHS4--Coexpression(rank=879); GTEx--Coexpression(rank=936); Enrichr--Queries(rank=1243)","1409","0.539900000000000047","ARCHS4 Coexpression,0.5399"
"TBX21","1.478244102247531000","1.478244102247531000","1.478244102247531000","Activated","155","viper","155","1.478244102247531000",NA,NA,"4","ARCHS4--Coexpression(rank=155); ReMap--ChIP-seq(rank=165); Enrichr--Queries(rank=327); GTEx--Coexpression(rank=553)","386","0.095210000000000003","ARCHS4 Coexpression,0.09521"
"ATF7","1.476668499124655254","1.476668499124655254","1.476668499124655254","Activated","156","viper","156","1.476668499124655254",NA,NA,"4","ReMap--ChIP-seq(rank=18); ARCHS4--Coexpression(rank=164); GTEx--Coexpression(rank=390); Enrichr--Queries(rank=1093)","247","0.060609999999999997","ReMap ChIP-seq,0.06061"
"KDM5B","1.466243826893453894","1.466243826893453894","1.466243826893453894","Activated","157","viper","157","1.466243826893453894",NA,NA,"5","ENCODE--ChIP-seq(rank=51); Literature--ChIP-seq(rank=138); ReMap--ChIP-seq(rank=264); GTEx--Coexpression(rank=629); ARCHS4--Coexpression(rank=680)","1156","0.391400000000000026","GTEx Coexpression,0.3914"
"ATF3","-1.440865892310479124","-1.440865892310479124","1.440865892310479124","Repressed","158","viper","158","1.440865892310479124",NA,NA,"6","ARCHS4--Coexpression(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=5); Enrichr--Queries(rank=13); ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=45)","1","0.000614300000000000","ARCHS4 Coexpression,6.143E-4"
