"ID","Description","NES","pvalue","qvalue","size","leadingEdge","var_name"
"Cholesterol homeostasis","Cholesterol homeostasis","-0.7112223203446263","0.8998242530755711232615112749","0.948789878987898904760811547","38","S100A11,ALCAM,FDPS,HMGCS1,ETHE1,ANTXR2,PMVK,LGMN,GNAI1,LGALS3,PLSCR1,CYP51A1,CLU,IDI1,NIBAN1,FASN,STX5,ACAT2","APC (Mutation, COAD)"
"PI3K/AKT/mTOR signaling","PI3K/AKT/mTOR signaling","0.7434178796122595","0.9084158415841584455208135296","0.948789878987898904760811547","61","YWHAB,ACACA,CAB39L,PLCG1,SLC2A1,IRAK4,ITPR2,ECSIT,UBE2N,CSNK2B,PRKAR2A,NFKBIB,DUSP3","APC (Mutation, COAD)"
"mTORC1 signaling","MTORC1 signaling","-0.7551069117509478","0.9437299035369774991011126986","0.964245771005172724876786106","137","SYTL2,ME1,CTH,WARS1,GSR,CACYBP,HK2,SDF2L1,CFP,CTSC,HMGCS1,RDH11,HSPA5,RPA1,CORO1A,GOT1,GLRX,GSK3B,ATP6V1D,UCHL5,ITGB2,LGMN,TPI1,ERO1A,PFKL,NHERF1","APC (Mutation, COAD)"
"Oxidative phosphorylation","Oxidative phosphorylation","0.7719012323228975","0.9705093833780160661461877680","0.970509383378016066146187768","170","SLC25A6,TIMM13,MRPL15,NDUFAB1,LDHB,HSD17B10,TIMM10,ISCU,ABCB7,MRPL11,PDP1,TIMM50,BDH2,TOMM22,TOMM70,PDHA1,LRPPRC,HADHA,ECH1,GOT2,MDH2,AIFM1,SUCLA2,PDHB,RHOT1,PMPCA,MRPS15,MRPS12,VDAC1,HTRA2,HADHB,NDUFB3","APC (Mutation, COAD)"
"Oxidative phosphorylation","Oxidative phosphorylation","2.2271642044920332","0.0000000000224638906105296952","0.000000001055802858694895663","170","HSD17B10,DECR1,SUCLA2,PDP1,CPT1A,MDH2,SLC25A6,SLC25A5,PDHA1,VDAC1,MGST3,AIFM1,PDHB,ABCB7,GOT2,MRPL15,LRPPRC,VDAC3,TIMM13,DLAT,TIMM50,HADHA,PMPCA,NDUFAB1,OAT,GLUD1,COX7A2L,TOMM70,NNT,VDAC2,HADHB,UQCR10,ISCU,SUCLG1,PRDX3,MRPS22,MRPL11,PDHX,IDH3G,ACAT1,IMMT,HTRA2,IDH3A,MTX2,SUPV3L1,CYC1,POR,UQCRB,IDH3B,SURF1,FDX1,RHOT1,ETFA,OPA1,OGDH,MRPS30,ACAA1,SLC25A12,UQCRH,SLC25A3,MFN2,SLC25A20,COX5A,GPX4,ETFB,UQCRQ,ECH1,TOMM22,MRPS15,CS,UQCRC2,OXA1L","TP53 (Mutation, COAD)"
"Complement","Complement","-2.4256676742671028","0.0000000001244316181987870566","0.000000002924143027671495933","98","C4BPB,CLU,C9,FCN1,F5,ERAP2,PFN1,S100A12,MMP12,PLG,C1QC,APOA4,ITGAM,GZMA,CP,TIMP1,CD55,CASP3,LYN,CTSB,DOCK10,PPP2CB,CFH,GRB2,F2,APOC1,FCER1G,SERPINA1,C1QA,LCP2,CTSC,FN1,KLKB1,GNG2,WAS,C3,CDA,PLEK,XPNPEP1,ADAM9,S100A13,PRCP,LGMN,CASP1,CTSL,S100A9,HSPA5,SERPING1,GCA,CASP7,GMFB,KIF2A,TIMP2,LTA4H,GNB4,PPP4C,USP14,USP15,LIPA,GNAI2,C1S,PSMB9,LAP3,GNAI3,RHOG","TP53 (Mutation, COAD)"
"Coagulation","Coagulation","-2.1034487117987819","0.0000019658257684331021027948","0.000024142056347934205977248","73","FGA,CLU,C9,MMP9,PROS1,PLG,F9,C8A,APOC3,CPB2,TIMP1,A2M,CTSB,THBS1,CFH,F2,APOC1,HRG,SERPINA1,CPN1,C1QA,FN1,KLKB1,C3,C8B,PLEK,ADAM9,S100A13,GDA,F12,C8G,ARF4,LGMN","TP53 (Mutation, COAD)"
"Allograft rejection","Allograft rejection","-2.1249042735970551","0.0000020546430934412090103293","0.000024142056347934205977248","68","MMP9,FAS,WARS1,ITGB2,FYB1,CFP,GZMA,TIMP1,GALNT1,ICAM1,PTPRC,LYN,PSMB10,GBP2,F2,TPD52,ITGAL,LCP2,AKT1,HCLS1,IL16,NCF4,WAS,PTPN6,NCK1,PRKCB,BCL10,STAT1,IL18,CSK","TP53 (Mutation, COAD)"
"Fatty acid metabolism","Fatty acid metabolism","1.8979032069194068","0.0000056137684512590586220337","0.000052769423441835153079996","114","HSPH1,ACSS1,ACOT8,GPD1,ACSL5,HSD17B10,DECR1,SUCLA2,AUH,CPT1A,HSDL2,MDH2,PDHA1,BPHL,PDHB,MIX23,HMGCS2,HMGCL,BCKDHB,HADH,HADHB,SUCLG1,GCDH,SMS,IDH3G,HSD17B11,MAOA,AOC3,NSDHL,IDH3B,NBN,HPGD,ACAA1,CD36,OSTC,REEP6,HIBCH,ACOX1,EPHX1,SUCLG2,ECH1","TP53 (Mutation, COAD)"
"Adipogenesis","Adipogenesis","1.8563975770286625","0.0000108898176844001939476622","0.000085303571861134854848775","131","MTCH2,LIPE,DECR1,MDH2,COQ9,FABP4,MGST3,AIFM1,DHCR7,MRPL15,DLAT,ALDH2,NDUFAB1,HADH,ATP1B3,UQCR10,SUCLG1,PRDX3,DBT,PTCD3,IDH3G,SLC25A1,GHITM,IMMT,IDH3A,CYC1,COQ5,POR,CAVIN1,LPCAT3,TALDO1,PLIN2,CD36,REEP6,MCCC1,CMPK1,HIBCH,PEX14,GPX4,AK2,ACOX1,ETFB,UQCRQ,SAMM50,ECH1","TP53 (Mutation, COAD)"
"IFN-gamma response","IFN-gamma response","-1.8762807716835277","0.0000644858731308060900049364","0.000432976576735412312796347","89","FAS,WARS1,GBP4,PSME2,GZMA,TRAFD1,CASP3,ICAM1,UPP1,PSMB10,CFH,PSME1,LCP2,IFI35,NMI,PARP14,ISG20,UBE2L6,CD38,PTPN6,VCAM1,TNFAIP2,PSMB2,BST2,IFI30,HLA-DRB1,PSMA3,CASP1,STAT1,SERPING1,CASP7,LGALS3BP,TRIM21,PSMB8,MTHFD2,STAT2,PFKP,C1S,PSMB9,LAP3","TP53 (Mutation, COAD)"
"Epithelial mesenchymal transition","Epithelial mesenchymal transition","-1.7252625662397205","0.0001996185246661623890161719","0.001172758832413704028693746","121","IGFBP2,QSOX1,LAMA3,BASP1,FAS,LAMC2,LOXL2,ANPEP,MGP,TIMP1,PTX3,COL11A1,THBS1,MCM7,ECM1,TNC,FN1,FMOD,GREM1,CD44,CXCL12,THBS2,PPIB,VCAM1,IGFBP3,COL5A3,MATN2,COL5A2,LGALS1,NT5E,IGFBP4,WIPF1","TP53 (Mutation, COAD)"
"IFN-alpha response","IFN-alpha response","-1.8138699953620525","0.0009349943441269045708505447","0.004882748241551613035960067","54","WARS1,GBP4,PSME2,MOV10,OAS1,TRAFD1,GBP2,PSME1,IFI35,NMI,PARP14,PARP9,ISG20,UBE2L6,GMPR,BST2,IFI30,PSMA3,CASP1,LGALS3BP,TRIM21,PSMB8,UBA7,STAT2,C1S,PSMB9,LAP3","TP53 (Mutation, COAD)"
"Inflammatory response","Inflammatory response","-1.7864131315698015","0.0030084499086285346712565936","0.014139714570554113778899641","37","MSR1,CYBB,TIMP1,CD55,CD82,ICAM1,LYN,VIP,SLC4A4,LPAR1,LCP2,NMI,PTPRE,P2RX4","TP53 (Mutation, COAD)"
