"Analysis_Name","Methods","Method_Labels","Method_Count","DEG_ATF3_Primary_Significant","DEG_ATF3_FDR_Significant","Intersected_TF_Count","ATF3_Consensus_Rank","ATF3_Mean_Selected_Rank","ATF3_Best_Selected_Rank","ATF3_Worst_Selected_Rank","ATF3_Source_Method_Count","ATF3_CheA3_Library_Count","ATF3_CheA3_Integrated_TopRank","ATF3_Method_Details","Top1_TF"
"SW948","chea3;trrust","ChEA3;TRRUST",2,TRUE,FALSE,253,25,78,2,154,6,6,2,"ChEA3(rank=2); TRRUST(rank=154, P=0.254)","DDIT3"
"ALL","chea3;collectri","ChEA3;CollecTRI",2,TRUE,FALSE,528,1,3,1,5,6,6,1,"ChEA3(rank=1); CollecTRI(rank=5, P=5e-06)","ATF3"
"DLD1","chea3;collectri","ChEA3;CollecTRI",2,TRUE,TRUE,520,25,139.5,35,244,6,6,244,"ChEA3(rank=244); CollecTRI(rank=35, P=0.00577)","TFDP1"
"DLD1_HCT15","chea3;collectri","ChEA3;CollecTRI",2,TRUE,FALSE,527,1,4.5,1,8,6,6,1,"ChEA3(rank=1); CollecTRI(rank=8, P=0.00101)","ATF3"
"DLD1_HCT15_SW48","chea3;collectri","ChEA3;CollecTRI",2,TRUE,FALSE,515,1,3,1,5,6,6,1,"ChEA3(rank=1); CollecTRI(rank=5, P=1.4e-05)","ATF3"
"HCT15","chea3;collectri","ChEA3;CollecTRI",2,TRUE,TRUE,525,1,1.5,1,2,6,6,1,"ChEA3(rank=1); CollecTRI(rank=2, P=4.63e-07)","ATF3"
"HT55","chea3;collectri","ChEA3;CollecTRI",2,FALSE,FALSE,522,8,36.5,4,69,6,6,4,"ChEA3(rank=4); CollecTRI(rank=69, P=0.00385)","KLF4"
"RKO","chea3;collectri","ChEA3;CollecTRI",2,TRUE,TRUE,496,34,177.5,171,184,6,6,171,"ChEA3(rank=171); CollecTRI(rank=184, P=0.0825)","E2F4"
"SW48","chea3;collectri","ChEA3;CollecTRI",2,TRUE,FALSE,504,20,84.5,47,122,6,6,122,"ChEA3(rank=122); CollecTRI(rank=47, P=0.0107)","SOX2"
"SW948","chea3;collectri","ChEA3;CollecTRI",2,TRUE,FALSE,519,1,2,2,2,6,6,2,"ChEA3(rank=2); CollecTRI(rank=2, P=1.6e-08)","ATF3"
"ALL","viper;enrichr","VIPER;ENRICHR",2,TRUE,FALSE,182,33,91,24,158,6,6,1,"VIPER(rank=158); ENRICHR(rank=24, adjP=0.00482)","ATF4"
"DLD1","viper;enrichr","VIPER;ENRICHR",2,TRUE,TRUE,206,57,117,105,129,6,6,244,"VIPER(rank=105); ENRICHR(rank=129, adjP=0.0312)","E2F4"
"DLD1_HCT15","viper;enrichr","VIPER;ENRICHR",2,TRUE,FALSE,189,10,31.5,4,59,6,6,1,"VIPER(rank=59); ENRICHR(rank=4, adjP=9.99e-05)","ATF4"
"DLD1_HCT15_SW48","viper;enrichr","VIPER;ENRICHR",2,TRUE,FALSE,186,20,50.5,12,89,6,6,1,"VIPER(rank=89); ENRICHR(rank=12, adjP=0.000136)","JUN"
"HCT15","viper;enrichr","VIPER;ENRICHR",2,TRUE,TRUE,201,38,90.5,5,176,6,6,1,"VIPER(rank=176); ENRICHR(rank=5, adjP=4.52e-16)","ATF4"
"HT55","viper;enrichr","VIPER;ENRICHR",2,FALSE,FALSE,199,89,139.5,99,180,6,6,4,"VIPER(rank=180); ENRICHR(rank=99, adjP=0.00249)","SP1"
"RKO","viper;enrichr","VIPER;ENRICHR",2,TRUE,TRUE,207,56,110,9,211,6,6,171,"VIPER(rank=211); ENRICHR(rank=9, adjP=2.08e-14)","E2F4"
"SW48","viper;enrichr","VIPER;ENRICHR",2,TRUE,FALSE,197,68,122,37,207,6,6,122,"VIPER(rank=207); ENRICHR(rank=37, adjP=6.51e-07)","TP53"
"SW948","viper;enrichr","VIPER;ENRICHR",2,TRUE,FALSE,200,47,93.5,35,152,6,6,2,"VIPER(rank=152); ENRICHR(rank=35, adjP=0.000155)","ATF4"
"ALL","viper;trrust","VIPER;TRRUST",2,TRUE,FALSE,167,36,84,10,158,6,6,1,"VIPER(rank=158); TRRUST(rank=10, P=0.00121)","ATF4"
"DLD1","viper;trrust","VIPER;TRRUST",2,TRUE,TRUE,167,26,74,43,105,6,6,244,"VIPER(rank=105); TRRUST(rank=43, P=0.0206)","E2F1"
"DLD1_HCT15","viper;trrust","VIPER;TRRUST",2,TRUE,FALSE,164,15,36,13,59,6,6,1,"VIPER(rank=59); TRRUST(rank=13, P=0.0102)","ATF4"
"DLD1_HCT15_SW48","viper;trrust","VIPER;TRRUST",2,TRUE,FALSE,166,32,65,41,89,6,6,1,"VIPER(rank=89); TRRUST(rank=41, P=0.0786)","TP53"
"HCT15","viper;trrust","VIPER;TRRUST",2,TRUE,TRUE,166,77,133,90,176,6,6,1,"VIPER(rank=176); TRRUST(rank=90, P=0.0641)","ATF4"
"HT55","viper;trrust","VIPER;TRRUST",2,FALSE,FALSE,163,74,118.5,57,180,6,6,4,"VIPER(rank=180); TRRUST(rank=57, P=0.034)","STAT3"
"RKO","viper;trrust","VIPER;TRRUST",2,TRUE,TRUE,159,108,170.5,130,211,6,6,171,"VIPER(rank=211); TRRUST(rank=130, P=0.185)","E2F4"
"SW48","viper;trrust","VIPER;TRRUST",2,TRUE,FALSE,165,122,184.5,162,207,6,6,122,"VIPER(rank=207); TRRUST(rank=162, P=0.305)","TP53"
"SW948","viper;trrust","VIPER;TRRUST",2,TRUE,FALSE,166,102,153,152,154,6,6,2,"VIPER(rank=152); TRRUST(rank=154, P=0.254)","ATF4"
"ALL","viper;collectri","VIPER;CollecTRI",2,TRUE,FALSE,238,31,81.5,5,158,6,6,1,"VIPER(rank=158); CollecTRI(rank=5, P=5e-06)","E2F4"
"DLD1","viper;collectri","VIPER;CollecTRI",2,TRUE,TRUE,236,23,70,35,105,6,6,244,"VIPER(rank=105); CollecTRI(rank=35, P=0.00577)","E2F4"
"DLD1_HCT15","viper;collectri","VIPER;CollecTRI",2,TRUE,FALSE,233,12,33.5,8,59,6,6,1,"VIPER(rank=59); CollecTRI(rank=8, P=0.00101)","E2F4"
"DLD1_HCT15_SW48","viper;collectri","VIPER;CollecTRI",2,TRUE,FALSE,235,18,47,5,89,6,6,1,"VIPER(rank=89); CollecTRI(rank=5, P=1.4e-05)","E2F4"
"HCT15","viper;collectri","VIPER;CollecTRI",2,TRUE,TRUE,237,42,89,2,176,6,6,1,"VIPER(rank=176); CollecTRI(rank=2, P=4.63e-07)","ATF4"
